ID,名称,枚举类型,显示控制（0=默认全部可见  8=全部不可见 ）,参数值类型
140015,闪避率,14,0,玩家属性
140016,近战攻击,14,0,玩家属性
140017,远程攻击,14,0,玩家属性
140018,近战防御,14,0,玩家属性
140019,远程防御,14,0,玩家属性
140020,模型大小,14,0,玩家属性
140022,星星数,14,0,玩家属性
140023,当前经验值,14,0,玩家属性
140024,当前等级,14,0,玩家属性
140025,最大体力值,14,0,玩家属性
140026,当前体力值,14,0,玩家属性
140027,体力值恢复速度倍率,14,0,玩家属性
140028,物理攻击,14,0,玩家属性
140029,元素攻击,14,0,玩家属性
140030,物理防御,14,0,玩家属性
140031,元素防御,14,0,玩家属性
140032,重力值,14,0,玩家属性
150001,静止,15,0,运动状态
150002,移动,15,0,运动状态
150004,奔跑,15,0,运动状态
150005,跳跃,15,0,运动状态
150006,二段跳,15,0,运动状态
150007,潜行,15,0,运动状态
150011,落地,15,0,运动状态
160001,可移动,16,0,玩家设置
160002,可摆放方块,16,0,玩家设置
160003,可与方块交互,16,0,玩家设置
160004,可破坏方块,16,0,玩家设置
160005,可使用道具,16,0,玩家设置
160006,可攻击,16,0,玩家设置
160007,可受到伤害,16,0,玩家设置
160008,可被杀死,16,0,玩家设置
160009,可拾取道具,16,0,玩家设置
160010,可死亡掉落,16,0,玩家设置
160011,可丢弃道具,16,0,玩家设置
160012,可切换快捷栏,16,0,玩家设置
160013,可旋转摄像机,16,0,玩家设置
170001,队伍1红,17,0,队伍
170002,队伍2蓝,17,0,队伍
170003,队伍3绿,17,0,队伍
170004,队伍4黄,17,0,队伍
170005,队伍5橙,17,0,队伍
170006,队伍6紫,17,0,队伍
170007,无队伍,17,0,队伍
180001,玩家数量,18,0,队伍属性
180002,得分,18,0,队伍属性
190001,可被破坏,19,0,方块设置
190002,可被交互,19,0,方块设置
190003,可被推动,19,0,方块设置
190004,可掉落道具,19,0,方块设置
200001,空,20,0,生物行动状态
200002,待机,20,0,生物行动状态
200003,闲逛,20,0,生物行动状态
200004,近战攻击,20,0,生物行动状态
200005,远程攻击,20,0,生物行动状态
200006,跟随,20,0,生物行动状态
200007,游泳,20,0,生物行动状态
200008,逃跑,20,0,生物行动状态
200009,自爆,20,0,生物行动状态
200010,被吸引,20,0,生物行动状态
200011,交配,20,0,生物行动状态
210001,最大生命值,21,0,生物属性
210002,当前生命值,21,0,生物属性
210003,生命恢复,0,0,生物属性
210005,当前饥饿度,21,0,生物属性
210007,当前氧气值,21,0,生物属性
210009,移动速度,21,0,生物属性
210011,游泳速度,21,0,生物属性
210012,跳跃力,21,0,生物属性
210014,闪避率,21,0,生物属性
210015,近战攻击,21,0,生物属性
210016,远程攻击,21,0,生物属性
210017,近战防御,21,0,生物属性
210018,远程防御,21,0,生物属性
210019,模型大小,21,0,生物属性
210020,视野范围,21,0,生物属性
210021,转身速度,21,0,生物属性
210022,物理攻击,21,0,生物属性
210023,元素攻击,21,0,生物属性
210024,物理防御,21,0,生物属性
210025,元素防御,21,0,生物属性
210026,重力值,21,0,生物属性
210027,当前体力值,21,0,生物属性
210028,最大体力值,21,0,生物属性
220001,可移动,22,0,生物设置
220002,可被攻击,22,0,生物设置
220003,可被杀死,22,0,生物设置
220004,可拾取道具,22,0,生物设置
220005,可死亡掉落,22,0,生物设置
230001,在世界选择区域,23,0,区域
240001,事件中的位置,24,0,位置
240002,出生点,24,0,位置
240003,在世界选择位置,24,0,位置
250001,触发事件的玩家,25,0,玩家
250002,事件中的目标玩家,25,0,玩家
260001,空气方块,26,0,方块类型
260002,事件中的方块类型,26,0,方块类型
260003,最后创建的方块类型,26,0,方块类型
270001,事件中的道具类型,27,0,道具类型
270002,最后创建的道具类型,27,0,道具类型
280001,触发事件的投掷物,28,0,投掷物
290001,事件中的掉落物,29,0,掉落物
300001,触发事件的生物,30,0,生物
300002,事件中的目标生物,30,0,生物
300003,在世界选择生物,30,0,生物
300004,最后创建的生物,30,0,生物
310001,事件中的动画表情,31,0,动画表情
320001,真,32,0,布尔值
320002,假,32,0,布尔值
330001,Sin,33,0,三角函数
330002,Cos,33,0,三角函数
330003,Tan,33,0,三角函数
340001,事件中的特效类型,34,0,特效类型
340002,最后创建的特效类型,34,0,特效类型
350001,正上方向,35,0,方向
350002,正下方向,35,0,方向
350003,正左方向,35,0,方向
350004,正右方向,35,0,方向
350005,正前方向,35,0,方向
350006,正后方向,35,0,方向
360001,执行动作的对象,36,0,对象
370001,高音1,37,0,音调
370002,高音1(升),37,0,音调
370003,高音2,37,0,音调
370004,高音2(升),37,0,音调
370005,高音3,37,0,音调
370006,高音4,37,0,音调
370007,高音4(升),37,0,音调
370008,高音5,37,0,音调
370009,高音5(升),37,0,音调
370010,高音6,37,0,音调
370011,高音6(升),37,0,音调
370012,高音7,37,0,音调
370013,中音1,37,0,音调
370014,中音1(升),37,0,音调
370015,中音2,37,0,音调
370016,中音2(升),37,0,音调
370017,中音3,37,0,音调
370018,中音4,37,0,音调
370019,中音4(升),37,0,音调
370020,中音5,37,0,音调
370021,中音5(升),37,0,音调
370022,中音6,37,0,音调
370023,中音6(升),37,0,音调
370024,中音7,37,0,音调
370025,低音1,37,0,音调
370026,低音1(升),37,0,音调
370027,低音2,37,0,音调
370028,低音2(升),37,0,音调
370029,低音3,37,0,音调
370030,低音4,37,0,音调
370031,低音4(升),37,0,音调
370032,低音5,37,0,音调
370033,低音5(升),37,0,音调
370034,低音6,37,0,音调
370035,低音6(升),37,0,音调
370036,低音7,37,0,音调
380001,键位W,38,0,按键
380002,键位A,38,0,按键
380003,键位S,38,0,按键
380004,键位D,38,0,按键
380005,键位Space,38,0,按键
380006,键位Shift,38,0,按键
380007,键位B,38,0,按键
380008,键位C,38,0,按键
380009,键位E,38,0,按键
380010,键位F,38,0,按键
380011,键位G,38,0,按键
380012,键位H,38,0,按键
380013,键位I,38,0,按键
380014,键位J,38,0,按键
380015,键位K,38,0,按键
380016,键位L,38,0,按键
380017,键位M,38,0,按键
380018,键位N,38,0,按键
380019,键位O,38,0,按键
380020,键位P,38,0,按键
380021,键位Q,38,0,按键
380022,键位R,38,0,按键
380023,键位T,38,0,按键
380024,键位U,38,0,按键
380025,键位V,38,0,按键
380026,键位X,38,0,按键
380027,键位Y,38,0,按键
380028,键位Z,38,0,按键
380029,鼠标左键,38,0,按键
380030,鼠标右键,38,0,按键
380031,Ctrl,38,0,按键
380032,Alt,38,0,按键
380033,上,38,0,按键
380034,下,38,0,按键
380035,左,38,0,按键
380036,右,38,0,按键
380037,0,38,0,按键
380038,1,38,0,按键
380039,2,38,0,按键
380040,3,38,0,按键
380041,4,38,0,按键
380042,5,38,0,按键
380043,6,38,0,按键
380044,7,38,0,按键
380045,8,38,0,按键
380046,9,38,0,按键
390001,快捷栏1,39,0,快捷栏位
390002,快捷栏2,39,0,快捷栏位
390003,快捷栏3,39,0,快捷栏位
390004,快捷栏4,39,0,快捷栏位
390005,快捷栏5,39,0,快捷栏位
390006,快捷栏6,39,0,快捷栏位
390007,快捷栏7,39,0,快捷栏位
390008,快捷栏8,39,0,快捷栏位
400001,事件中的快捷栏,40,0,快捷栏
410001,事件中的状态效果,41,0,状态
420001,装备栏1（头盔）,42,0,装备栏位
420002,装备栏2（胸甲）,42,0,装备栏位
420003,装备栏3（护腿）,42,0,装备栏位
420004,装备栏4（靴子）,42,0,装备栏位
420005,装备栏5（背饰）,42,0,装备栏位
420006,装备栏6（扩展1）,42,0,装备栏位
420007,装备栏7（扩展2）,42,0,装备栏位
420008,装备栏8（扩展3）,42,0,装备栏位
430001,事件中的装备栏,43,0,装备栏
440001,触发事件的生物类型,44,0,生物类型
440002,事件中的目标生物类型,44,0,生物类型
440003,最后创建的生物类型,44,0,生物类型
450001,事件中的配方,45,0,配方
460001,事件中的熔炼,46,0,熔炼
470001,事件中的剧情,47,0,剧情
480001,事件中的道具数量,48,0,道具数量
490001,文字板,49,0,图文信息类型
490002,漂浮文字,49,0,图文信息类型
490003,进度条,49,0,图文信息类型
490004,指向对象的箭头,49,0,图文信息类型
490005,指向位置的箭头,49,0,图文信息类型
490006,指向对象的引导面,49,0,图文信息类型
490007,指向位置的引导面,49,0,图文信息类型
490008,指向对象的引导线,49,0,图文信息类型
490009,指向位置的引导线,49,0,图文信息类型
490010,图片,49,0,图文信息类型
490011,指向位置的寻路引导线,49,0,图文信息类型
490012,气泡板,49,0,图文信息类型
500001,升序,50,0,排序
500002,降序,50,0,排序
510001,事件中的元件,51,0,元件
520001,当前编辑界面,52,0,界面
520002,事件中的界面,52,0,界面
530001,飞行,53,0,移动方式
530002,默认移动方式,53,0,移动方式
540001,年,54,0,时间单位
540002,月,54,0,时间单位
540003,日,54,0,时间单位
540004,时,54,0,时间单位
540005,分,54,0,时间单位
540006,秒,54,0,时间单位
540007,时间戳（秒）,54,0,时间单位
540008,星期,54,0,时间单位
550001,事件中的字符串,55,0,字符串
570001,事件中的音乐,57,0,音乐
580001,暂停,58,0,暂停恢复
580002,恢复,58,0,暂停恢复
580003,关闭,58,0,暂停恢复
580004,暂停/恢复,58,0,暂停恢复
590001,在世界选择显示板,59,0,显示板
600001,全局对象,60,0,全局对象
610001,循环播放,61,0,播放模式
610002,单次播放,61,0,播放模式
620001,这个逻辑,62,0,停止逻辑
680001,攻击力,68,0,道具属性
680002,最大堆叠数,68,0,道具属性
680003,近战防御,68,0,道具属性
680004,远程防御,68,0,道具属性
680005,爆炸防御,68,0,道具属性
680006,燃烧防御,68,0,道具属性
680007,毒素防御,68,0,道具属性
680008,混乱防御,68,0,道具属性
680009,最大耐久度,68,0,道具属性
680010,最大射击间隔,68,0,道具属性
680011,最大弹夹量,68,0,道具属性
690001,玩家丢弃道具,69,0,掉落方式
690002,箱子被破坏掉落,69,0,掉落方式
690003,生物被击败掉落,69,0,掉落方式
690004,方块被破坏掉落,69,0,掉落方式
690005,触发器创建,69,0,掉落方式
690006,掉落物对象转玩法创建,69,8,掉落方式
690007,任意方式,69,0,掉落方式
700001,循环播放,70,0,动作播放模式
700002,单次播放,70,0,动作播放模式
700003,播放完停在最后一帧,70,0,动作播放模式
700004,按动作原播放模式,70,0,动作播放模式
710001,所有背包栏,71,0,道具库
710002,所有快捷栏,71,0,道具库
710003,所有装备栏,71,0,道具库
720001,背包格子1,72,0,背包格子
720002,背包格子2,72,0,背包格子
720003,背包格子3,72,0,背包格子
720004,背包格子4,72,0,背包格子
720005,背包格子5,72,0,背包格子
720006,背包格子6,72,0,背包格子
720007,背包格子7,72,0,背包格子
720008,背包格子8,72,0,背包格子
720009,背包格子9,72,0,背包格子
720010,背包格子10,72,0,背包格子
720011,背包格子11,72,0,背包格子
720012,背包格子12,72,0,背包格子
720013,背包格子13,72,0,背包格子
720014,背包格子14,72,0,背包格子
720015,背包格子15,72,0,背包格子
720016,背包格子16,72,0,背包格子
720017,背包格子17,72,0,背包格子
720018,背包格子18,72,0,背包格子
720019,背包格子19,72,0,背包格子
720020,背包格子20,72,0,背包格子
720021,背包格子21,72,0,背包格子
720022,背包格子22,72,0,背包格子
720023,背包格子23,72,0,背包格子
720024,背包格子24,72,0,背包格子
720025,背包格子25,72,0,背包格子
720026,背包格子26,72,0,背包格子
720027,背包格子27,72,0,背包格子
720028,背包格子28,72,0,背包格子
720029,背包格子29,72,0,背包格子
720030,背包格子30,72,0,背包格子
730001,玩家,73,0,角色类型
730002,生物,73,0,角色类型
740001,0度,74,0,蓝图
740002,90度,74,0,蓝图
740003,180度,74,0,蓝图
740004,270度,74,0,蓝图
800001,胜利,80,0,胜利状态
800002,失败,80,0,胜利状态
810001,显示,81,0,显示状态
810002,隐藏,81,0,显示状态
820001,方块类型一致,82,0,相似度检测模式
820002,忽略方块类型,82,0,相似度检测模式
830001,X,83,0,二维坐标分量
830002,Y,83,0,二维坐标分量
840001,增加,84,0,增减
840002,减小,84,0,增减
840003,设为,84,0,增减
850001,无缓动,85,0,缓动曲线
850002,线性变换,85,0,缓动曲线
850003,平方曲线渐入,85,0,缓动曲线
850004,平方曲线渐出,85,0,缓动曲线
850005,平方曲线进出,85,0,缓动曲线
850006,指数曲线渐入,85,0,缓动曲线
850007,指数曲线渐出,85,0,缓动曲线
850008,指数曲线进出,85,0,缓动曲线
850009,圆曲线渐入,85,0,缓动曲线
850010,圆曲线渐出,85,0,缓动曲线
850011,圆曲线进出,85,0,缓动曲线
850012,回退曲线渐入,85,0,缓动曲线
850013,回退曲线渐出,85,0,缓动曲线
850014,回退曲线进出,85,0,缓动曲线
850015,弹簧曲线渐入,85,0,缓动曲线
850016,弹簧曲线渐出,85,0,缓动曲线
850017,弹簧曲线进出,85,0,缓动曲线
850018,弹跳曲线渐入,85,0,缓动曲线
850019,弹跳曲线渐出,85,0,缓动曲线
850020,弹跳曲线进出,85,0,缓动曲线
860001,宽,86,0,宽高
860002,高,86,0,宽高
870001,严格模式,87,0,积木检测模式
870002,模糊模式,87,0,积木检测模式
880001,参数一致,88,0,参数检测模式
880002,忽略参数,88,0,参数检测模式
900001,当前时间段,90,0,天空盒时间
900002,0点,90,0,天空盒时间
900003,4点,90,0,天空盒时间
900004,6点,90,0,天空盒时间
900005,8点,90,0,天空盒时间
900006,12点,90,0,天空盒时间
900007,16点,90,0,天空盒时间
900008,18点,90,0,天空盒时间
900009,20点,90,0,天空盒时间
900010,所有时间段,90,0,天空盒时间
910001,天空贴图,91,0,天空盒贴图
910002,太阳贴图,91,0,天空盒贴图
910003,月亮贴图,91,0,天空盒贴图
920001,天空顶部颜色,92,0,天空盒颜色
920002,天空腰部颜色,92,0,天空盒颜色
920003,天空底部颜色,92,0,天空盒颜色
920004,天空光明度,92,0,天空盒颜色
920005,环境光明度,92,0,天空盒颜色
920006,太阳颜色,92,0,天空盒颜色
920007,月亮颜色,92,0,天空盒颜色
920008,云颜色,92,0,天空盒颜色
920009,雾颜色,92,0,天空盒颜色
920010,水颜色,92,0,天空盒颜色
920011,天空光颜色,92,0,天空盒颜色
920012,环境光颜色,92,0,天空盒颜色
930001,太阳大小,93,0,天空盒参数
930002,月亮大小,93,0,天空盒参数
930003,星星密度,93,0,天空盒参数
930004,云的运动速度,93,0,天空盒参数
930005,云的密度,93,0,天空盒参数
930006,云的高度,93,0,天空盒参数
930007,雾的最近距离,93,0,天空盒参数
930008,雾的最远距离,93,0,天空盒参数
930009,水透明度,93,0,天空盒参数
930010,水镜面度,93,0,天空盒参数
930011,风速,93,0,天空盒参数
930012,天空光强度,93,0,天空盒参数
930013,环境光强度,93,0,天空盒参数
940001,强度,94,0,环境粒子参数
940002,范围,94,0,环境粒子参数
940003,速度,94,0,环境粒子参数
940004,运动不规则度,94,0,环境粒子参数
950001,对比度,95,0,滤镜参数
950002,饱和度,95,0,滤镜参数
950003,泛光强度,95,0,滤镜参数
950011,泛光阈值,95,0,滤镜参数
950004,曝光强度,95,0,滤镜参数
950005,体积光强度,95,0,滤镜参数
950006,伽马强度,95,0,滤镜参数
960001,跟随角色移动,96,0,摄像机设置
960002,跟随角色旋转,96,0,摄像机设置
960003,阻挡后自动缩进,96,0,摄像机设置
960004,摄像机自身旋转,96,0,摄像机设置
960005,角色半透明,96,0,摄像机设置
970001,全方向,97,0,转动模式
970002,仅左右,97,0,转动模式
970003,仅上下,97,0,转动模式
970004,无法转动,97,0,转动模式
980001,X轴,98,0,轴向
980002,Y轴,98,0,轴向
980003,Z轴,98,0,轴向
990001,常见组,99,0,地形组
990002,海洋组,99,0,地形组
990003,沙漠组,99,0,地形组
990004,普通寒带组,99,0,地形组
990005,高峰寒带组,99,0,地形组
990006,特殊组,99,0,地形组
990007,湿地组,99,0,地形组
990008,平坦组,99,8,地形组
990009,空岛组,99,8,地形组
990010,全局地形组,99,0,地形组
1000001,雾开关,100,0,天空盒开关
1010001,景深开关,101,0,滤镜开关
1130001,最小值,113,0,进度项
1130002,最大值,113,0,进度项
1130003,当前值,113,0,进度项
1130004,当前值&最大值,113,0,进度项
1420001,关注作者,142,8,游戏内弹窗
1420002,收藏地图,142,0,游戏内弹窗
1420003,评价地图,142,0,游戏内弹窗
1420004,好友邀请,142,0,游戏内弹窗
1420005,储物箱界面,142,0,游戏内弹窗
1420006,道具面板,142,0,游戏内弹窗
1420007,状态显示,142,0,游戏内弹窗
1420008,背包制作界面,142,0,游戏内弹窗
1420009,特长界面,142,0,游戏内弹窗
1420010,背包角色界面,142,0,游戏内弹窗
1420011,背包任务界面,142,0,游戏内弹窗
1420012,背包科技界面,142,0,游戏内弹窗
1420013,游戏动作,142,0,游戏内弹窗
1420014,小地图,142,0,游戏内弹窗
1420015,商城,142,0,游戏内弹窗
1430001,消费,143,0,充值消费
1440001,迷你豆,144,0,迷你币
1440002,迷你币,144,0,迷你币
1450001,购买,145,0,商店一级分类
1450002,皮肤,145,0,商店一级分类
1450003,兑换,145,0,商店一级分类
1450004,福利,145,0,商店一级分类
1450005,大会员,145,0,商店一级分类
1460001,元件,146,0,参数类型
1460002,界面,146,0,参数类型
1460003,图片模板,146,0,参数类型
1460004,玩家,146,0,参数类型
1460005,方块类型,146,0,参数类型
1460006,投掷物,146,0,参数类型
1460007,投掷物类型,146,0,参数类型
1460008,道具类型,146,0,参数类型
1460009,生物,146,0,参数类型
1460010,生物类型,146,0,参数类型
1460011,计时器,146,0,参数类型
1460012,特效类型,146,0,参数类型
1460013,动画表情,146,0,参数类型
1460014,音效,146,0,参数类型
1460015,状态,146,0,参数类型
1460016,显示板,146,0,参数类型
1460017,蓝图,146,0,参数类型
1460018,组件,146,0,参数类型
1460019,对象,146,0,参数类型
1460020,角色,146,0,参数类型
1460021,掉落物,146,0,参数类型
1460022,实体,146,0,参数类型
1460023,实体类型,146,0,参数类型
1470001,仅左右,147,0,滚动方向
1470002,仅上下,147,0,滚动方向
1470003,自由,147,0,滚动方向
1480001,水平角,148,0,朝向
1480002,俯仰角,148,0,朝向
1500001,%,150,0,像素单位
1500002,像素,150,0,像素单位
1510001,居左,151,0,水平偏移
1510002,居中,151,0,水平偏移
1510003,居右,151,0,水平偏移
1520001,居上,152,0,垂直偏移
1520002,居中,152,0,垂直偏移
1520003,居下,152,0,垂直偏移
1530001,图片,153,0,UI元件类型
1530002,按钮,153,0,UI元件类型
1530003,文本,153,0,UI元件类型
1530004,输入框,153,0,UI元件类型
1530005,3d装载器,153,0,UI元件类型
1530006,滑动容器,153,0,UI元件类型
1530007,进度条,153,0,UI元件类型
1530008,动画装载器,153,0,UI元件类型
1540001,进度背景,154,0,进度图片
1540002,进度条,154,0,进度图片
1570001,昵称,155,0,昵称称号
1570002,官方称号,155,0,昵称称号
1570003,头部动效,155,0,昵称称号
1570004,血条,155,0,昵称称号
1560001,方块类型(不含液体方块),156,0,射线对象
1560002,玩家,156,0,射线对象
1560003,生物,156,0,射线对象
1560004,生物类型,156,0,射线对象
1560005,方块类型(含液体方块),156,0,射线对象
2030001,无,203,0,打断规则—条件改变时触发
2030002,打断自身,203,0,打断规则—条件改变时触发
2030003,打断低优先级,203,0,打断规则—条件改变时触发
2030004,全部,203,0,打断规则—条件改变时触发
2040001,任意子节点成功,204,0,并行节点成功规则
2040002,所有子节点成功,204,0,并行节点成功规则
2050001,无,205,0,并行节点失败规则
2050002,任意子节点失败,205,0,并行节点失败规则
2050003,所有子节点失败,205,0,并行节点失败规则
2060001,任意,206,0,队伍关系
2060002,友方,206,0,队伍关系
2060003,敌方,206,0,队伍关系
2060004,中立,206,0,队伍关系
2070001,任意,207,8,实际队伍
2070002,敌对生物,207,0,实际队伍
2070003,中立生物,207,0,实际队伍
2070010,无队伍,207,0,实际队伍
2070011,队伍1红,207,0,实际队伍
2070012,队伍2蓝,207,0,实际队伍
2070013,队伍3绿,207,0,实际队伍
2070014,队伍4黄,207,0,实际队伍
2070015,队伍5橙,207,0,实际队伍
2070016,队伍6紫,207,0,实际队伍
2070101,NPC队伍1,207,0,实际队伍
2070102,NPC队伍2,207,0,实际队伍
2090001,周围,209,0,方位
2090002,面前,209,0,方位
2090003,背后,209,0,方位
2110001,行走,211,0,移动方式
2110002,飞行,211,0,移动方式
2110003,游泳,211,0,移动方式
2110004,爬行,211,0,移动方式
2110005,行走+游泳,211,0,移动方式
2110006,根据环境自动调整,211,0,移动方式
3100001,添加,310,0,增删
3100002,删除,310,0,增删
3180001,任意位置,318,0,任意位置/任意对象
3180002,任意对象,318,0,任意位置/任意对象
3180003,任意玩家,318,0,任意位置/任意对象
3180004,任意生物,318,0,任意位置/任意对象
3180005,任意投掷物,318,0,任意位置/任意对象
3180006,任意掉落物,318,0,任意位置/任意对象
3180007,任意实体,318,0,任意位置/任意对象
3210001,点击,321,0,点按
3210002,按下,321,0,点按
3210003,抬起,321,0,点按
3210004,长按,321,0,点按
3220001,任意玩家,322,0,任意角色
3220002,任意生物,322,0,任意角色
3230001,受到伤害,323,0,被攻击
3230002,被击败,323,0,被攻击
3240001,开始,324,0,开始结束
3240002,结束,324,0,开始结束
3250001,进入,325,0,进入|离开
3250002,离开,325,0,进入|离开
3260001,开始攻击,326,0,攻击
3260002,攻击命中,326,0,攻击
3260003,击败目标,326,0,攻击
3260004,造成伤害,326,0,攻击
3270001,获得道具,327,0,操作道具
3270002,开始使用道具,327,0,操作道具
3270003,开始蓄力道具,327,0,操作道具
3270004,消耗道具,327,0,操作道具
3270005,拾取道具,327,0,操作道具
3270006,丢弃道具,327,0,操作道具
3270007,结束蓄力道具,327,0,操作道具
3280001,任意方块,328,0,点击对象
3280002,任意玩家,328,0,点击对象
3280003,任意生物,328,0,点击对象
3280004,任意投掷物,328,0,点击对象
3280005,任意掉落物,328,8,点击对象
3280006,任意实体,328,0,点击对象
3290001,获得,329,0,获得|失去
3290002,失去,329,0,获得|失去
3300001,任意玩家,330,0,任意对象
3300002,任意生物,330,0,任意对象
3300003,任意投掷物,330,0,任意对象
3300004,任意掉落物,330,0,任意对象
3300005,任意实体,330,0,任意对象
3300006,任意区域,330,0,任意对象
3310001,快捷栏,331,0,玩家背包
3310002,背包栏,331,0,玩家背包
3310003,装备栏,331,0,玩家背包
3320001,穿上,332,0,穿脱装备
3320002,脱下,332,0,穿脱装备
3330001,指定字符,333,0,输入字符
3330002,包含字符,333,0,输入字符
3330003,任意字符,333,0,输入字符
3340001,任意玩家,334,0,任意角色
3340002,任意生物,334,0,任意角色
3350001,碰撞开始,335,0,碰撞状态
3350002,碰撞结束,335,8,碰撞状态
3360001,被点击,336,0,方块操作
3360002,被破坏,336,0,方块操作
3360003,被挖掘,336,0,方块操作
3360004,被挖掘完毕,336,0,方块操作
3360005,被挖掘中断,336,0,方块操作
3370001,开关状态,337,0,方块属性
3370002,颜色,337,0,方块属性
3370003,方向,337,0,方块属性
3380001,发生改变,338,0,储存容器操作
3380002,放入道具,338,0,储存容器操作
3380003,取出道具,338,0,储存容器操作
3390001,被拾取,339,0,掉落物状态
3390002,消失,339,0,掉落物状态
3400001,绝对值,340,0,数学运算
3400002,算术平方根,340,0,数学运算
3400003,-,340,0,数学运算
3400004,ln,340,0,数学运算
3400005,log10,340,0,数学运算
3400006,e^,340,0,数学运算
3400007,10^,340,0,数学运算
3410001,删除,341,0,删除道具
3410002,丢弃,341,0,删除道具
3410003,使用,341,0,删除道具
3420001,房间,342,0,地图房间类型
3420002,地图,342,0,地图房间类型
3420003,房间类型,342,0,地图房间类型
3430001,加入观战,343,0,观战
3430002,移除观战,343,0,观战
3440001,不可丢弃,344,0,道具权限
3440002,不可掉落,344,0,道具权限
3450001,删除,345,0,删除方块
3450002,破坏,345,0,删除方块
3460001,填充,346,0,方块填充方式
3460002,空心,346,0,方块填充方式
3460003,加轮廓,346,0,方块填充方式
3460004,保持,346,0,方块填充方式
3460005,摧毁,346,0,方块填充方式
3470001,购买窗口,347,0,商品页面
3470002,商品详情页,347,0,商品页面
3480001,水平角度,348,0,位置间角度
3480002,垂直角度,348,0,位置间角度
3480003,向量夹角,348,0,位置间角度
3490001,随机位置(整数),349,0,区域中位置
3490002,随机位置(小数),349,0,区域中位置
3490003,中央位置(整数),349,0,区域中位置
3490004,中央位置(小数),349,0,区域中位置
3500001,字符串,350,0,音调转换
3500002,数值,350,0,音调转换
3510001,名称,351,0,说明
3510002,描述,351,0,说明
3510003,id,351,0,说明
3520001,服务器,352,0,服务器|客户端
3520002,主机,352,0,服务器|客户端
3530001,位置,353,0,变换
3530002,朝向,353,0,变换
3530003,缩放,353,0,变换
3540001,角色头像,354,0,玩家头像
3540002,玩家头像,354,0,玩家头像
3550001,堆叠数量,355,0,掉落物属性
3550002,道具类型,355,0,掉落物属性
3560001,发送,356,0,输入框状态
3560002,显示,356,0,输入框状态
3570001,好友申请,357,0,好友弹框
3570002,礼物赠送,357,0,好友弹框
3570003,好友私聊,357,0,好友弹框
3650001,出生点,365,0,角色位置点
3650002,复活点,365,0,角色位置点
3660001,生物,366,0,对象枚举
3660002,区域,366,0,对象枚举
3660003,投掷物,366,0,对象枚举
3660004,掉落物,366,0,对象枚举
3660005,实体,366,0,对象枚举
3670001,击败,367,0,删除生物
3670002,删除,367,0,删除生物
3730001,创建,373,0,创建方块
3730002,替换,373,0,创建方块
3750001,复制(含空气),375,0,复制方块
3750002,复制(不含空气),375,0,复制方块
3750003,移动(含空气),375,0,复制方块
3750004,移动(不含空气),375,0,复制方块
3760001,完成冷却,376,0,道具冷却
3760002,进入冷却,376,0,道具冷却
3800001,不改变原位置,380,0,位置偏移
3800002,改变原位置,380,0,位置偏移
3810001,数值,381,0,转换字符串
3810002,颜色,381,0,转换字符串
3810003,V3坐标,381,0,转换字符串
3810004,布尔值,381,0,转换字符串
