id,合成品名称,合成品ID,背包显示排序,子类顺序,配方类别（0常用，1战斗，2生产，4建筑，6机械，7出现在食谱内，8出现在烹饪台内。填两个表示同时显示到两个分类里）,子类(填的是crafting的id),"插件编辑（大于0开放插件编辑，1：常用,2:装备,3:道具,4:材料,5:建筑,6:装饰,7:机械；填两个表示同时显示到两个分类里",插件编辑模板[0=不是模板，1=作为模板],英文名称,海外开放,必填/插件用,合成品数量,消耗经验,解锁等级(默认是1）,横占格（填3）,竖占格（填3）,组（0不为组1为组，例如木板通用）（关联Itemdef的ItemGroup）,是否随身合成（11616钛金锤（曾经是需要工具箱0，程序特殊处理了），11000空手（曾经是不需要工具箱1，程序特殊处理了），800不完整工匠台，797完整工匠台，794石锅，795烹饪台，150029融合台，201011烘焙箱）,烹饪时长（制作一份所需要的标准时长，单位tick，20tick=1s）,1格材料ID,1格材料数量,1格保留容器ID,2格材料ID,2格材料数量,2格保留容器ID,3格材料ID,3格材料数量,3格保留容器ID,4格材料ID,4格材料数量,4格保留容器ID,5格材料ID,5格材料数量,5格保留容器ID,6格材料ID,6格材料数量,6格保留容器ID,7格材料ID,7格材料数量,7格保留容器ID,8格材料ID,8格材料数量,8格保留容器ID,9格材料ID,9格材料数量,9格保留容器ID,货币ID,货币数量,分数,野人合成检测开关（0需要合成；1不需要合成）,标签
17,水泥块,666,107,[3],[4],[21544],[5],,CementBlock,,CementBlock,1,1,,3,3,0,797,0,11200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
18,轻木门,812,1018,[2],"[4,4]","[21578,21533]",[5],1,WoodDoor,,WoodDoor,1,1,,3,3,1,797,0,11323,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
19,绳索,813,5,[5],[0],[21565],[6],,RopeLadder,,RopeLadder,3,1,,3,3,1,11000,0,11226,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
20,简易睡袋,828,1020,[3],"[0,4]","[21565,21578]",[6],,SleepingBag,,SleepingBag,1,1,,3,3,1,797,0,11226,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
21,土块,101,110,[4],"[0,4]","[21565,21544]",[5],,DirtBlock,,DirtBlock,1,1,,3,3,0,797,0,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
22,木桩,821,110,[1],"[4,4]","[21578,21534]",[5],,WoodPile,,WoodPile,2,1,,3,3,1,797,0,11323,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
23,木围栏门,535,111,"[2,2]",[4],"[21534,21533]",[5],,FenceGate,,FenceGate,1,1,,3,3,1,797,0,11323,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
25,嘟嘟鸟炖土笋,12510,1025,,"[7,8]",,[1],,DuDuSoup,,DuDuSoup,1,0,,3,3,0,794,100,226,1,,226,1,,226,1,,12518,1,,,,,,,,,,,,,,,,,,,0.1,,
26,黄铜星能幕布,815,1026,[1],[4],[21545],[3],,StarenergyBoard,,StarenergyBoard,2,1,,3,3,1,797,0,11329,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
27,棉花块,600,1027,[3],[4],[21544],[6],,WhiteCotton,,WhiteCotton,1,1,,3,3,0,797,0,12600,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
28,调色架,498,245,[1],[2],[21525],,,ColorPalette,,ColorPalette,1,1,,3,3,1,797,0,11323,5,,11329,3,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
29,石斧,11002,11,"[11,19]","[0,2]","[21565,21571]","[1,2]",,StoneAxe,,StoneAxe,1,1,,3,3,1,11000,0,11627,2,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
30,铸铁斧,11003,1009,[10],[2],[21571],"[1,2]",,MithsilverAxe,,MithsilverAxe,1,1,,3,3,1,797,0,11209,3,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
31,钛合金斧,11004,1013,[7],[2],[21571],"[1,2]",,TitaniumAxe,,TitaniumAxe,1,1,,3,3,1,797,0,11330,3,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
32,链锯,11005,1017,[3],[2],[21571],"[1,2]",,TungstenGoldAxe,,TungstenGoldAxe,1,1,,3,3,1,797,0,11203,3,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
33,石镐,11012,12,"[12,20]","[0,2]","[21565,21571]","[1,2]",,StonePickaxe,,StonePickaxe,1,1,,3,3,1,11000,0,11627,2,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
34,铸铁镐,11013,1010,[11],[2],[21571],"[1,2]",,MithsilverPickaxe,,MithsilverPickaxe,1,1,,3,3,1,797,0,11209,3,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
35,钛合金镐,11014,1014,[7],[2],[21571],"[1,2]",,TitaniumPickaxe,,TitaniumPickaxe,1,1,,3,3,1,797,0,11330,3,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
36,钻头,11015,1018,[2],[2],[21571],"[1,2]",,TungstenGoldPickaxe,,TungstenGoldPickaxe,1,1,,3,3,1,797,0,11203,3,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
37,石铲,11022,13,"[13,21]","[0,2]","[21565,21571]","[1,2]",,StoneShovel,,StoneShovel,1,1,,3,3,1,11000,0,11627,1,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
38,铸铁铲,11023,1011,[12],[2],[21571],"[1,2]",,MithsilverShovel,,MithsilverShovel,1,1,,3,3,1,797,0,11209,2,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
39,钛合金铲,11024,1015,[7],[2],[21571],"[1,2]",,TitaniumShovel,,TitaniumShovel,1,1,,3,3,1,797,0,11330,2,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
40,钨金铲,11025,1019,[5],[2],[21571],"[1,2]",,TungstenGoldShovel,,TungstenGoldShovel,1,1,,3,3,1,797,0,11203,2,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
41,石耙,11032,14,"[14,22]","[0,2]","[21565,21571]","[1,2]",,StoneHoe,,StoneHoe,1,1,,3,3,1,11000,0,11627,1,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
42,铸铁耙,11033,1012,[13],[2],[21571],"[1,2]",,MithsilverHoe,,MithsilverHoe,1,1,,3,3,1,797,0,11209,2,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
43,钛合金耙,11034,1016,[8],[2],[21571],"[1,2]",,TitaniumHoe,,TitaniumHoe,1,1,,3,3,1,797,0,11330,2,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
44,钨金耙,11035,1020,[4],[2],[21571],"[1,2]",,TungstenGoldHoe,,TungstenGoldHoe,1,1,,3,3,1,797,0,11203,2,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
46,面条,12502,1046,,"[7,8]",,[1],,Noodles,,Noodles,2,0,,3,3,0,794,100,344,1,,344,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
47,瓶装果糖浆,11326,1047,,[1],[21519],[3],,BottledFructose,,BottledFructose,1,1,,3,3,0,797,200,12500,1,,11320,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
48,烤肉披萨,830,1048,,"[7,8]",,[1],,BBQPizza,,BBQPizza,1,0,,3,3,0,794,200,12518,1,,12518,1,,344,1,,344,1,,,,,,,,,,,,,,,,,,,0.1,,
49,玉米点心,12507,1049,,"[7,8]",,[1],,Waffle,,Waffle,1,0,,3,3,0,794,200,344,1,,12052,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
50,象牙白颜料瓶,11500,1050,[3],[2],[21525],[4],,WhiteDye,,WhiteDye,8,1,,3,3,0,797,0,11533,1,,11320,8,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
51,巨鳞羽果种子,11402,1051,[2],[2],[21573],[4],,GiantScalyFruitSeed,,GiantScalyFruitSeed,1,1,,3,3,0,797,0,12508,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
52,巨布鲁果种子,11401,1052,[3],[2],[21573],[4],,GiantBlueFruitSeed,,GiantBlueFruitSeed,5,1,,3,3,0,797,0,230,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
53,巨布鲁果条,12515,1053,,"[7,8]",,[1],,BlueFruitPie,,BlueFruitPie,1,0,,3,3,0,794,200,230,1,,344,1,,11326,1,11320,,,,,,,,,,,,,,,,,,,,,0.1,,
57,凉拌青瓜,12505,1057,,"[7,8]",,[3],,RadishSalad,,RadishSalad,1,0,,3,3,1,794,200,12732,1,,200144,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
58,巨鳞羽果汁,11321,1058,[5],[1],[21519],[3],,GiantScalyFruitJuice,,GiantScalyFruitJuice,1,1,,3,3,1,797,200,12508,4,,11320,1,,12732,1,,,,,,,,,,,,,,,,,,,,,,0.1,,
59,煎蛋面条,12540,1059,,"[7,8]",,[1],,FriedEggNoodles,,FriedEggNoodles,1,0,,3,3,0,794,200,344,1,,344,1,,12052,1,,,,,,,,,,,,,,,,,,,,,,0.1,,
60,烤薯条,12541,1060,,"[7,8]",,[1],,RoastedYamsChips,,RoastedYamsChips,1,0,,3,3,0,794,200,200147,1,,200147,1,,344,1,,,,,,,,,,,,,,,,,,,,,,0.1,,
62,烤嘟嘟鸟全家桶,12543,1062,,"[7,8]",,[1],,RoastedChicken,,RoastedChicken,1,0,,3,3,0,794,100,12518,1,,12518,1,,12518,1,,12518,1,,,,,,,,,,,,,,,,,,,0.1,,
63,烤肉面条,12544,1063,,"[7,8]",,[1],,SteakNoodles,,SteakNoodles,1,0,,3,3,1,794,100,12513,1,,344,1,,344,1,,,,,,,,,,,,,,,,,,,,,,0.1,,
64,角鹿肉煲,12545,1064,,"[7,8]",,[1],,DeerMeatPot,,DeerMeatPot,1,0,,3,3,0,794,100,12530,1,,12530,1,,226,1,,,,,,,,,,,,,,,,,,,,,,0.1,,
65,火腿,12546,1065,,"[7,8]",,[1],,Ham,,Ham,1,0,,3,3,0,794,300,12522,1,,12522,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
66,异味火腿,12547,1066,,"[7,8]",,[1],,SmellyHam,,SmellyHam,1,0,,3,3,0,794,300,12522,1,,12522,1,,311,1,,,,,,,,,,,,,,,,,,,,,,0.1,,
67,‘蟹棒’火腿,12548,1067,,"[7,8]",,[1],,CrabStickHam,,CrabStickHam,1,0,,3,3,0,794,300,12522,1,,12522,1,,12581,1,,,,,,,,,,,,,,,,,,,,,,0.1,,
68,浓缩奶糖,12549,1068,,"[7,8]",,[1],,MilkCandy,,MilkCandy,1,0,,3,3,0,794,300,11326,1,11320,12509,1,11320,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
69,香溢煎蛋面条,12550,1069,,"[7,8]",,[1],,TastyFriedEggNoodles,,TastyFriedEggNoodles,1,0,,3,3,1,794,200,12732,1,,344,1,,344,1,,12052,1,,,,,,,,,,,,,,,,,,,0.1,,
70,香溢薯条,12551,1070,[1],"[7,8]",,[1],,TastyChips,,TastyChips,1,0,,3,3,1,794,200,12732,1,,200147,1,,200147,1,,344,1,,,,,,,,,,,,,,,,,,,0.1,,
71,香溢巨布鲁果派,12552,1071,[1],"[7,8]",,[1],,TastyGiantBlueFruitPie,,TastyGiantBlueFruitPie,1,0,,3,3,1,794,200,12732,1,,230,1,,344,1,,11326,1,11320,,,,,,,,,,,,,,,,,,0.1,,
72,香溢玉米点心,12553,1072,[1],"[7,8]",,[1],,TastyWaffle,,TastyWaffle,1,0,,3,3,1,794,200,12732,1,,344,1,,12052,1,,,,,,,,,,,,,,,,,,,,,,0.1,,
74,香溢青瓜,12555,1074,,"[7,8]",,[3],,TastyRadishSalad,,TastyRadishSalad,1,0,,3,3,1,794,100,12732,1,,200144,1,,200144,1,,,,,,,,,,,,,,,,,,,,,,0.1,,
75,香溢巨鳞羽果汁,12556,1075,[6],[1],[21519],[3],,TastyGiantScalyFruitJuice,,TastyGiantScalyFruitJuice,1,1,,3,3,1,797,100,12732,2,,12508,4,,11320,1,,,,,,,,,,,,,,,,,,,,,,0.1,,
76,香溢水果拼盘,12557,1076,,"[7,8]",,[3],,TastyFruitPlatter,,TastyFruitPlatter,1,0,,3,3,1,794,100,12732,1,,12506,1,,12506,1,,,,,,,,,,,,,,,,,,,,,,0.1,,
77,香溢烤嘟嘟鸟,12558,1077,[1],"[7,8]",,[1],,TastyRoastChicken,,TastyRoastChicken,1,0,,3,3,1,794,100,12732,1,,12518,1,,12518,1,,12518,1,,,,,,,,,,,,,,,,,,,0.1,,
78,香溢烤肉面条,12559,1078,[1],"[7,8]",,[1],,TastySteakNoodles,,TastySteakNoodles,1,0,,3,3,1,794,300,12732,1,,12513,1,,344,1,,344,1,,,,,,,,,,,,,,,,,,,0.1,,
79,香溢角鹿煲,12560,1079,[1],"[7,8]",,[1],,TastyDeerMeatPot,,TastyDeerMeatPot,1,0,,3,3,1,794,300,12732,1,,12530,1,,12530,1,,226,1,,,,,,,,,,,,,,,,,,,0.1,,
80,香溢火腿,12561,1080,[1],"[7,8]",,[1],,TastyHam,,TastyHam,1,0,,3,3,1,794,300,12732,1,,12522,1,,12522,1,,,,,,,,,,,,,,,,,,,,,,0.1,,
81,香溢异味腿,12562,1081,[1],"[7,8]",,[1],,TastySmellyHam,,TastySmellyHam,1,0,,3,3,1,794,300,12732,1,,12522,1,,12522,1,,311,1,,,,,,,,,,,,,,,,,,,0.1,,
82,香溢‘蟹棒’腿,12563,1082,[1],"[7,8]",,[1],,TastyCrabHam,,TastyCrabHam,1,0,,3,3,1,794,300,12732,1,,12522,1,,12522,1,,12548,1,,,,,,,,,,,,,,,,,,,0.1,,
83,木棒,12001,15,"[15,18]","[0,1]","[21565,21568]","[1,2]",,Stick,,Stick,1,1,,3,3,1,11000,0,11323,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
84,石矛,12002,1102,[15],[1],[21568],"[1,2]",,StoneSpear,,StoneSpear,1,1,,3,3,1,797,0,11627,3,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
85,短剑,12003,1104,[8],[1],[21568],"[1,2]",,MithsilverSword,,MithsilverSword,1,1,,3,3,1,797,0,11209,3,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
86,黄铜矛,12004,1103,[14],[1],[21568],"[1,2]",,BrassLance,,BrassLance,1,1,,3,3,1,797,0,11329,3,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
87,能量剑,12005,1105,[1],[1],[21568],"[1,2]",,EnergySword,,EnergySword,1,1,,3,3,1,797,0,11203,5,,,,,11323,2,,,,,,,,,,,,,,,,,,,,,,0.1,,
88,铸铁弓,12050,1151,[7],[1],[21517],"[1,2]",,Bow,,Bow,1,1,,3,3,0,797,0,11209,5,,11323,2,,710,3,,,,,,,,,,,,,,,,,,,,,,0.1,,
89,石箭,12051,1152,[8],[1],[21517],"[1,2]",,Arrow,,Arrow,4,1,,3,3,1,797,0,11627,2,,11323,2,,11303,1,,,,,,,,,,,,,,,,,,,,,,0.1,,
90,皮头盔,12201,1201,[37],[1],[21566],[2],,LeatherHelmet,,LeatherHelmet,1,1,,3,3,1,797,0,11307,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
91,皮胸甲,12202,1202,[38],[1],[21566],[2],,LeatherArmor,,LeatherArmor,1,1,,3,3,1,797,0,11307,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
92,皮护腿,12203,1203,[39],[1],[21566],[2],,LeatherGreave,,LeatherGreave,1,1,,3,3,1,797,0,11307,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
93,皮靴子,12204,1204,[40],[1],[21566],[2],,LeatherBoots,,LeatherBoots,1,1,,3,3,1,797,0,11307,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
98,铸铁头盔,12221,1213,[22],[1],[21566],[2],,MithsilverHelmet,,MithsilverHelmet,1,1,,3,3,0,797,0,11209,5,,,,,11307,3,,,,,,,,,,,,,,,,,,,,,,0.1,,
99,铸铁胸甲,12222,1214,[23],[1],[21566],[2],,MithsilverArmor,,MithsilverArmor,1,1,,3,3,0,797,0,11209,8,,,,,11307,3,,,,,,,,,,,,,,,,,,,,,,0.1,,
100,铸铁护腿,12223,1215,[24],[1],[21566],[2],,MithsilverGreave,,MithsilverGreave,1,1,,3,3,0,797,0,11209,7,,,,,11307,3,,,,,,,,,,,,,,,,,,,,,,0.1,,
101,铸铁靴子,12224,1216,[25],[1],[21566],[2],,MithsilverBoots,,MithsilverBoots,1,1,,3,3,0,797,0,11209,5,,,,,11307,3,,,,,,,,,,,,,,,,,,,,,,0.1,,
102,钛金头盔,12231,1217,[12],[1],[21566],[2],,TitaniumHelmet,,TitaniumHelmet,1,1,,3,3,0,797,0,11330,5,,,,,11307,3,,,,,,,,,,,,,,,,,,,,,,0.1,,
103,钛金胸甲,12232,1218,[13],[1],[21566],[2],,TitaniumArmor,,TitaniumArmor,1,1,,3,3,0,797,0,11330,8,,,,,11307,3,,,,,,,,,,,,,,,,,,,,,,0.1,,
104,钛金护腿,12233,1219,[14],[1],[21566],[2],,TitaniumGreave,,TitaniumGreave,1,1,,3,3,0,797,0,11330,7,,,,,11307,3,,,,,,,,,,,,,,,,,,,,,,0.1,,
105,钛金靴子,12234,1220,[15],[1],[21566],[2],,TitaniumBoots,,TitaniumBoots,1,1,,3,3,0,797,0,11330,5,,,,,11307,3,,,,,,,,,,,,,,,,,,,,,,0.1,,
106,钨金头盔,12241,1221,[1],[1],[21566],[2],,TungstenGoldHelmet,,TungstenGoldHelmet,1,1,,3,3,0,797,0,11203,5,,,,,11307,3,,,,,,,,,,,,,,,,,,,,,,0.1,,
107,钨金胸甲,12242,1222,[2],[1],[21566],[2],,TungstenGoldArmor,,TungstenGoldArmor,1,1,,3,3,0,797,0,11203,8,,,,,11307,3,,,,,,,,,,,,,,,,,,,,,,0.1,,
108,钨金护腿,12243,1223,[3],[1],[21566],[2],,TungstenGoldGreave,,TungstenGoldGreave,1,1,,3,3,0,797,0,11203,7,,,,,11307,3,,,,,,,,,,,,,,,,,,,,,,0.1,,
109,钨金靴子,12244,1224,[4],[1],[21566],[2],,TungstenGoldBoots,,TungstenGoldBoots,1,1,,3,3,0,797,0,11203,5,,,,,11307,3,,,,,,,,,,,,,,,,,,,,,,0.1,,
110,象牙白颜料瓶,11500,1050,[3],[2],[21525],[4],,WhiteDye,,WhiteDye,16,1,,3,3,0,797,0,346,1,,11320,16,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
111,碎石块,505,1110,[3],[4],[21544],[1],,Rock,,Rock,1,1,,3,3,0,797,0,11627,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
112,锰块,348,1111,[3],[4],[21544],[4],,ManganeseBlock,,ManganeseBlock,1,1,,3,3,0,797,0,12614,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
113,岩石,104,5,[4],"[0,4]","[21565,21544]",[1],,Stone,,Stone,1,1,,3,3,0,11000,0,11627,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
114,青石,105,1113,[5],[4],[21544],[4],,MossRock,,MossRock,4,1,,3,3,0,797,0,104,4,,11595,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
115,裂纹石砖,502,1114,[5],[4],[21544],[5],,CrackedStoneBrick,,CrackedStoneBrick,1,1,,3,3,0,797,0,11627,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
116,锰结核,12614,1111,[21],[2],[21577],,,Manganese,,Manganese,8,1,,3,3,0,797,0,348,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
117,木荧光菇灯,905,8,[1],[4],[21522],[6],,WoodenMycenaChlorophosLamp,,WoodenMycenaChlorophosLamp,1,1,,3,3,1,11000,0,837,1,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
118,石荧光菇灯,907,9,[2],[4],[21522],[6],,StoneMycenaChlorophosLamp,,StoneMycenaChlorophosLamp,1,1,,3,3,0,11000,0,837,1,,11627,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
119,聚物手套,11231,1119,[12],[2],[21576],[2],,CohesionGlove,,CohesionGlove,1,1,,3,3,0,797,0,11307,3,,11824,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
120,星能信号灯,707,1121,,[6],[21543],[7],,Acetylene lamp,,Acetylene lamp,1,2,,3,3,0,797,0,11664,1,,632,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
121,星能比较器,374,1126,,[6],[21543],[7],,PowerComparator,,PowerComparator,1,2,,3,3,0,797,0,11664,2,,11207,1,,11210,2,,,,,,,,,,,,,,,,,,,,,,0.1,,
122,铸铁弹簧,842,1129,,[6],[21543],[7],,Iron spring,,Iron spring,1,1,,3,3,1,797,0,11664,1,,11209,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
123,炽炎弹簧,844,1130,,[6],[21543],[7],,Gold spring,,Gold spring,1,2,,3,3,1,797,0,11664,1,,11207,2,,842,1,,,,,,,,,,,,,,,,,,,,,,0.1,,
124,轨道节点,725,1132,,[6],[21543],[7],,RailNode,,RailNode,4,1,,3,3,0,797,0,11664,1,,11209,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
125,动能提升节点,729,1133,,[6],[21543],[7],,SpeedupRailNode,,SpeedupRailNode,4,1,,3,3,0,797,0,11664,1,,11210,1,,12758,2,,,,,,,,,,,,,,,,,,,,,,0.1,,
126,过山车厢,13800,1134,,[6],[21543],[7],,RollerCoasterTrain,,RollerCoasterTrain,1,1,,3,3,1,797,0,11664,1,,11209,5,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
127,硫黄砖薄板,512,1135,[20],[4],[128],[5],,SulfurBrickStep,,SulfurBrickStep,4,1,,3,3,0,797,0,124,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
128,薄板,514,1136,[20],[4],[128],[5],,WoodStep,,WoodStep,4,1,,3,3,0,797,0,11323,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
129,秋叶橙薄板,515,1137,[20],[4],[128],[5],,YellowOrangeStep,,YellowOrangeStep,4,1,,3,3,0,797,0,11323,1,,11537,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
