规则ID,排序ID/从小到大，相等则按规则ID,规则名称,繁体规则名称,英文规则名称,规则描述,繁体规则描述,英文规则描述,大类ID,大类名称,繁体大类名称,英文大类名称,缺省option,跑酷option,对战option,吃鸡option,选项ID1,选项ID2,选项ID3,选项ID4,选项ID5,选项ID6,选项ID7,选项ID8,选项ID9,选项ID10
45,77,机械载具伤害,,,开启后可以对机械载具造成伤害,,,1,世界设定,,,1,1,1,1,1,2,,,,,,,,
46,78,重力跌落伤害,,,开启后可以对重力跌落造成伤害,,,1,世界设定,,,1,1,1,1,1,2,,,,,,,,
49,79,显示伤害数值,,,,,,6,其他规则,,,101,98,99,99,98,99,100,101,,,,,,
50,80,显示血条,,,,,,6,其他规则,,,102,103,103,103,102,102,,,,,,,,
51,81,受击保护,,,,,,1,世界设定,,,1,1,1,1,1,1,1,1,,,,,,
52,82,角色影子,,,,,,1,世界设定,,,1,1,1,1,1,1,1,1,,,,,,
53,83,温度系统,,,,,,1,场景基本设定,場景基本設定,General,2,2,2,2,2,2,,,,,,,,
61,84,开启虚空之夜,,,,,,1,场景基本设定,場景基本設定,General,1,1,1,1,1,1,1,1,,,,,,
62,85,刷新原冒险BOSS,,,,,,1,场景基本设定,場景基本設定,General,1,1,1,1,1,1,1,1,,,,,,
63,86,睡觉跳过夜晚,,,,,,1,场景基本设定,場景基本設定,General,1,1,1,1,1,1,1,1,,,,,,
65,87,怪物生成,,,游戏中是否继续生成怪物,,,1,世界组件规则,,,62,62,62,62,62,1,2,,,,,,,
66,88,动物生成,,,游戏中是否继续生成动物,,,1,世界组件规则,,,62,62,62,62,62,1,2,,,,,,,
67,89,普通动物生成,,,游戏中是否继续生成普通动物,,,,世界组件规则,,,62,62,62,62,62,1,2,,,,,,,
68,90,稀有动物生成,,,游戏中是否继续生成稀有动物,,,,世界组件规则,,,62,62,62,62,62,1,2,,,,,,,
69,91,水生动物生成,,,游戏中是否继续生成水生物,,,,世界组件规则,,,62,62,62,62,62,1,2,,,,,,,
70,92,飞行动物生成,,,游戏中是否继续飞行动物,,,,世界组件规则,,,62,62,62,62,62,1,2,,,,,,,
71,93,三栖动物生成,,,游戏中是否继续三栖动物,,,,世界组件规则,,,62,62,62,62,62,1,2,,,,,,,
72,94,超视野时随机清除生物,,,超视野时随机清除生物,,,1,世界组件规则,,,62,62,62,62,62,1,2,,,,,,,
74,95,防御公式,,,,,,1,世界组件规则,,,120,120,120,120,120,121,122,,,,,,,
