功能操作ID,备注(自己看),UI名称（IDString）,分类(暂时没用上),UI描述（IDString）,图标,技能类型[0=点击目标，1=无目标，2=不主动释放],键位[0=左键/屏幕，1=右键/屏幕，2=右键/使用按钮],蓄力模式[0=不蓄力，1=蓄力中途可以释放，2=蓄满才能释放，3=蓄满自动释放],蓄力时间[单位0.1秒],蓄力移动速度[百分比],操作间隔[0.01秒]-暂时用不上,冷却时间[单位1秒],使用距离[单位厘米],目标类型[0=生物，1=方块，2=物理对象],目标种类[当目标类型为生物，-1=所有生物，0=怪物，1=动物，2=稀有动物，3=水生物，4=移动工具，5=村民，6=boss，7=Npc，8=飞行生物，9=除怪物以外的所有生物（包括玩家）][当目标类型为方块，0=所有方块，1=木头，2=石头，3=泥土，5=树叶羊毛],精确目标[ID],目标队伍[0=不限队伍，1=同队伍，2=不同队伍],特殊类型标记（暂时没用到）,"目标范围类型[0=单体，1=射线，2=立方体,3=圆柱体]",目标范围类型参数1[射线的长度 or 立体的长 or 圆柱体半径]（100=1格）,目标范围类型参数2[射线的半径 or 立体的宽 or 圆柱体角度]（100=1格）,目标范围类型参数3[立体的高 or 圆柱体的高]（100=1格）,第一人称启动动作,第一人称蓄力动作,第一人称释放动作,第三人称启动动作,第三人称蓄力动作,第三人称释放动作,启动音效,蓄力音效,释放音效,启动特效,蓄力特效,释放特效,目标地点特效(暂时没用上),目标特效,消耗[数组]（type：0=耐久，1=饥饿，2=弹药，3=体力）,"效果[数组，1=方块操作（Type：5：替换方块为指定方块），2=攻击，3=加状态，4=击飞，5=召唤，6=治疗，7=发射投掷物，8=图纸，9=变蛋，10=接剧情，11-13都被占用，14=加状态（自身），15=引雷，16=巴啦啦变身，17=清除某类型状态，18=给某类型生物加状态,19=Actor,20=架盾,21=穿刺投掷,22=削韧]"
109,解锁配方-火箭,6500,,6501,109,1,2,0,1.5,0.7,,,500,0,-1,,,,1,1000,300,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""13803|11096"",""UnlockType"":1}]"
110,星铜钻头技能,,,,,1,2,2,1.5,0.7,,10,500,1,2,,,,1,800,200,,101130,101131,101132,,100148,100147,,item.12004.charge3,item.12004.charge4,,,,item_12253_2,,"[{""CostType"":0,""CostVal"":35},{""CostType"":1,""CostVal"":10},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":1,""ActionType"":0,""DropOut"":1,""BlockID"":200}]"
111,激光武器,,,,,0,2,1,1.5,0.7,,,1000,0,-1,,2,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.12005.charge4,,item_12004_3,item_12005_Y,,item_12004_4,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":2,""AttackType"":1,""AttackVal"":20},{""function_id"":4,""RepelPower"":1500,""BlowUpPower"":100}]"
112,重力手套-抓取,,,,,0,0,0,0,1,,,500,2,,,,,0,,,,,101131,,,100148,,,,item.12293.pickup,,item_12293_pickup,,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":11,""MaxMass"":99999999,""Distance"":250,""High"":150}]"
113,重力手套-发射,,,,,1,2,1,0.7,1,,,500,2,,,,,0,,,,101120,101121,101122,,100116,100153,,item.12293.charge,item.12293.freed,,item_12293_charge,item_12293_freed,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":12,""MaxMomentum"":300}]"
114,钢珠击飞,,,,,1,2,2,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.12005.charge4,,item_12004_3,item_12005_Y,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":4,""RepelPower"":500,""BlowUpPower"":150}]"
115,删除物理对象,,,,,2,2,0,0,1,,,500,2,-1,,,,0,,,,101130,101131,101132,,100148,100147,,item.12004.charge3,item.12004.charge4,,item_12004_3,,item_12253_2,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0}]","[{""function_id"":13,}]"
121,图纸气体提炼器,,,,,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""1045"",""UnlockType"":1}]"
122,图纸压缩气罐（空）,,,,,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""1047"",""UnlockType"":1}]"
123,图纸培养基,,,,,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""1050"",""UnlockType"":1}]"
124,图纸超硬镐,,,,,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""11016"",""UnlockType"":1}]"
125,图纸喷射钩爪,,,,,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""12006|12008"",""UnlockType"":1}]"
126,图纸氧气背包,,,,,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""12275"",""UnlockType"":1}]"
127,图纸-星启激活石,,,,,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""11075"",""UnlockType"":1}]"
128,图纸-星启点亮石,,,,,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""11076"",""UnlockType"":1}]"
129,图纸-火箭燃料,,,,,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""11096"",""UnlockType"":1}]"
130,图纸-无线装置,,,,,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""1052|1053"",""UnlockType"":1}]"
131,图纸-序列技术,,,,,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""1054|11809"",""UnlockType"":1}]"
132,图纸-缩小技术,,,,,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""12587|12588"",""UnlockType"":1}]"
133,图纸-变异技术,,,,,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""466|467|468|11800"",""UnlockType"":1]"
134,图纸-星能振荡器,,,,,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""1182"",""UnlockType"":1}]"
135,家具配方-贝壳床,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""1223"",""UnlockType"":1}]"
136,家具配方-贝壳沙发,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""1224"",""UnlockType"":1}]"
137,家具配方-贝壳桌子,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""1225"",""UnlockType"":1}]"
138,家具配方-贝壳椅子,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""1226"",""UnlockType"":1}]"
139,家具配方-珊瑚门,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""1227"",""UnlockType"":1}]"
140,家具配方-贝壳门,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""1228"",""UnlockType"":1}]"
141,家具配方-珊瑚窗,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""1229"",""UnlockType"":1}]"
142,家具配方-贝壳窗,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""1230"",""UnlockType"":1}]"
143,家具配方-珊瑚贝壳储物柜,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""1231"",""UnlockType"":1}]"
144,家具配方-珊瑚贝壳屏风,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""1232"",""UnlockType"":1}]"
145,家具配方-贝壳楼梯,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""1233"",""UnlockType"":1}]"
146,家具配方-珊瑚贝壳衣柜,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""1234"",""UnlockType"":1}]"
147,家具配方-珊瑚贝壳落地灯,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""1235"",""UnlockType"":1}]"
148,家具配方-珊瑚贝壳吊灯,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""1236"",""UnlockType"":1}]"
149,家具配方-珊瑚贝壳台灯,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""1237"",""UnlockType"":1}]"
150,家具配方-珊瑚贝壳大花盆,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""1238"",""UnlockType"":1}]"
151,家具配方-珊瑚栅栏,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""1239"",""UnlockType"":1}]"
152,家具配方-珊瑚栅栏门,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""1240"",""UnlockType"":1}]"
153,家具配方-贝壳栅栏,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""1241"",""UnlockType"":1}]"
154,家具配方-贝壳栅栏门,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""1242"",""UnlockType"":1}]"
155,家具配方-贝壳风铃,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""1243"",""UnlockType"":1}]"
156,鱼竿配方-角珊瑚鱼竿,,,,icon11937,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""12722"",""UnlockType"":1}]"
157,鱼竿配方-气泡珊瑚鱼竿,,,,icon11937,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""12723"",""UnlockType"":1}]"
158,鱼竿配方-圆盘珊瑚鱼竿,,,,icon11937,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""12724"",""UnlockType"":1}]"
159,鱼竿配方-树珊瑚鱼竿,,,,icon11937,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""12725"",""UnlockType"":1}]"
160,家具配方-贝壳双人沙发,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""1195"",""UnlockType"":1}]"
161,食谱配方-demo蔬菜饭团,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":23,""ItemID"":""150120"",""UnlockType"":1}]"
