解锁对象ID,解锁类型（（0免费，1迷你币，2家园币，3迷你豆，4迷你点，5道具不足用迷你豆）,消耗道具ID,消耗道具数量,消耗位置（0家园1账号）,代替道具ID,代替需要数量,系列ID,获得数量（在创造背包中获得的数量）
201667,5,97093,16,1,10002,12,39,0
201668,5,97094,10,1,10002,12,39,0
201669,5,97095,8,1,10002,12,39,0
201670,5,97096,5,1,10002,12,39,0
201671,5,97097,8,1,10002,12,39,0
201672,5,97098,10,1,10002,12,39,0
201673,5,97099,11,1,10002,12,39,0
201674,5,97100,7,1,10002,12,39,0
201675,5,97101,13,1,10002,12,39,0
201676,5,97102,7,1,10002,12,39,0
