能力ID,能力名称,图标,技能分类（1特性技能，2普通技能）,技能文件名（需要lua逻辑支持时才填，名字罗列于技能模板.xlsx）,描述,效果ID,效果值1,效果名称1,效果值2,效果名称2,效果值3,效果名称3,效果值4,效果名称4,效果值5,效果名称5,效果值6,效果名称6,效果值7,效果名称7,特效1,特效2,特效3,音效1,音效2,音效3,备注,
54,冲锋,54,1,,向前冲锋。,,3,,5,,4,,0.2,,,,,,,,,,,,,,cd时间，攻击点数，格子数，镜头抖动的时间,
55,冲击,55,1,,向前冲锋，并且可以短距离击退前方生物。,,3,,5,,4,,0.2,,3,,,,,,,,,,,,cd时间，攻击点数，格子数，镜头抖动的时间，击退距离,
56,悬空,56,2,BambooDragonFlyLv0,使用坐骑时，角色会离地悬空，同时自动播放螺旋桨旋转音效。,,,,,,,,,,,,,,,,,,,,,,,
57,贴地飞行,57,2,BambooDragonFlyLv1,可在低空飞行一段距离，下落过程按住跳跃键不会掉血。,,16,,-10,,0,,0,,330,,6,,1.5,,,,,,,,上升速度，下降速度，无，无，离起飞点高度，蓄力值恢复速度，蓄力值消耗速度,
58,离地飞行,58,1,,可在低空飞行更长一段距离，下落过程按住跳跃键不会掉血。,,16,,-10,,0,,0,,430,,6,,1,,,,,,,,上升速度，下降速度，无，无，离起飞点高度，蓄力值恢复速度，蓄力值消耗速度,
59,浮光掠羽,59,1,,使用后可召唤出3只小天鹅的虚影特效在坐骑周围绕圈游动。,,10,,,,,,,,,,,,,,,,,,,,cd时间,
60,天鹅湖,60,1,,可以潜入水中遨游。,,,,-1,,30,,,,,,,,,,,,,,,,,
61,曦光飞行,61,1,,可以在空中飞行一段距离，下落过程不会掉血。,,16,,-24,,5,,15,,9,,20,,0.1,,,,,,,,上升速度，下降速度，蓄满力后上升时间（s），前进加速，后退减速，平移速度，转向速度比例（0-1，数值越小转向越慢）,
62,超能光波,62,1,,战机会自动发射炫酷的光波。,,,,,,,,,,,,,,,,,,,,,,,
63,毁灭射线,63,1,,战机会自动发射炫酷的金红色光波。,,,,,,,,,,,,,,,,,,,,,,,
64,神圣光波,64,1,,战机会自动发射炫酷的光波。,,,,,,,,,,,,,,,,,,,,,,,
65,净化射线,65,1,,战机会自动发射炫酷的银紫色光波。,,,,,,,,,,,,,,,,,,,,,,,
66,凌云,66,1,,可以漂浮在空中进行短距离移动，下落过程不会掉血。,,16,,-24,,2,,15,,9,,20,,0.1,,,,,,,,,
67,破空,67,1,,可以在空中飞行一段距离，下落过程不会掉血。,,16,,-24,,5,,15,,9,,20,,0.1,,,,,,,,上升速度，下降速度，蓄满力后上升时间（s），前进加速，后退减速，平移速度，转向速度比例（0-1，数值越小转向越慢）,
68,时空跳跃,68,1,,点击使用键可以出现在所指方向的15格距离之外。,,8,,1,,15,,,,,,,,,,,,,,,,cd时间，技能前摇，闪现距离,
69,旋风,69,1,,使用后在车后方产生一个小型龙卷风跟随。,,10,,,,,,,,,,,,,,,,,,,,cd时间,
70,魔法泡泡,70,1,,周身会出现很多泡泡围绕。,,10,,,,,,,,,,,,,,,,,,,,cd时间,
71,风之翼,71,1,,可以在空中飞行一段距离，下落过程不会掉血。,,16,,-24,,5,,15,,9,,20,,0.1,,,,,,,,上升速度，下降速度，蓄满力后上升时间（s），前进加速，后退减速，平移速度，转向速度比例（0-1，数值越小转向越慢）,
72,魔法水流,72,1,,周身会出现蓝色水流围绕。,,10,,,,,,,,,,,,,,,,,,,,cd时间,
73,神奇眼泪,73,1,,可以形成一个能量盾。,,50,,25,,,,,,,,,,,,,,,,,,生命值，冷却时间s,
74,红芒,74,1,,周身出现持续环绕的红色光芒。,,,,,,,,,,,,,,,,,,,,,,,
75,金光,75,1,,周身出现持续环绕的金色光芒。,,,,,,,,,,,,,,,,,,,,,,,
76,蓝辉,76,1,,周身出现持续环绕的蓝色光芒。,,,,,,,,,,,,,,,,,,,,,,,
77,落英,77,1,,周身有小花飘落。,,,,,,,,,,,,,,,,,,,,,,,
78,蝶绕,78,1,,周身出现蝴蝶和花朵围绕。,,,,,,,,,,,,,,,,,,,,,,,
79,飞花,79,1,,周身有粉色花瓣和花朵飞落。,,,,,,,,,,,,,,,,,,,,,,,
80,扬帆,80,1,,点击跳跃键可以加速持续10秒。,,220001,,30,,,,,,,,,,,,,,,,,,buff id，cd时间（30s）,
81,初级召唤,81,1,,点击跳跃键会出现1个小灯神跟随。,,10,,5,,,,,,,,,,,,,,,,,,cd时间、持续时间,
82,中级召唤,82,1,,点击跳跃键会出现1个星灵灯神跟随。,,10,,5,,,,,,,,,,,,,,,,,,cd时间、持续时间,
83,高级召唤,83,1,,点击跳跃键会出现1个明珠灯神跟随。,,10,,5,,,,,,,,,,,,,,,,,,cd时间、持续时间,
84,神隐,84,1,,长按跳跃键可以进入隐身状态。,,15,,3,,,,,,,,,,,,,,,,,,cd时间，持续时间,
85,化灵,85,1,,周身会出现金色小齿轮。,,,,,,,,,,,,,,,,,,,,,,,
86,紫电,86,1,,周身会出现紫色闪电。,,,,,,,,,,,,,,,,,,,,,,,
87,狂风,87,1,,长按跳跃键蓄力可以召唤龙卷风吹飞前方的生物。,,230001,,10,,5,,2,,2,,,,,,,,,,,,buff id，cd时间（10s），技能距离，技能宽度，技能高度,
88,扶摇,88,1,,点击跳跃键后在半空中再点击一次跳跃键可以盘旋飞上天空。,,20,,-17,,5,,15,,9,,20,,0.1,,,,,,,,上升速度，下降速度，蓄满力后上升时间（s），前进加速，后退减速，平移速度，转向速度比例（0-1，数值越小转向越慢）,
89,音浪,89,1,,周身带有镭射光效。,,,,,,,,,,,,,,,,,,,,,,,
90,电音,90,1,,周身带有炫彩闪电。,,,,,,,,,,,,,,,,,,,,,,,
91,节奏摇摆,91,2,JieZouYaoBai,长按跳跃键可以给自己和一定范围内的队友增加生命值。,,5,,4,,20,技能冷却时间,240001,,,,,,,,Note91,,,,,,半径、高度、cd、buff id,
9102,节奏摇摆,91,2,JieZouYaoBai,长按跳跃键可以给自己和一定范围内的队友增加生命值。,,5,,4,,19,技能冷却时间,240001,,,,,,,,Note91,,,,,,,
9103,节奏摇摆,91,2,JieZouYaoBai,长按跳跃键可以给自己和一定范围内的队友增加生命值。,,5,,4,,18,技能冷却时间,240001,,,,,,,,Note91,,,,,,,
9104,节奏摇摆,91,2,JieZouYaoBai,长按跳跃键可以给自己和一定范围内的队友增加生命值。,,5,,4,,17,技能冷却时间,240001,,,,,,,,Note91,,,,,,,
9105,节奏摇摆,91,2,JieZouYaoBai,长按跳跃键可以给自己和一定范围内的队友增加生命值。,,5,,4,,16,技能冷却时间,240001,,,,,,,,Note91,,,,,,,
9106,节奏摇摆,91,2,JieZouYaoBai,长按跳跃键可以给自己和一定范围内的队友增加生命值。,,5,,4,,15,技能冷却时间,240001,,,,,,,,Note91,,,,,,,
92,巨星驾到,92,2,JuXingJiaDao,长按跳跃键可以增加一定范围内友方的生命值，并且减少范围内怪物的生命值。,,5,,4,,20,,240001,,250001,,,,,,,,,,,,半径、高度、cd、buff id、debuff id,
93,花飞,93,1,,周身有花瓣飞舞。,,,,,,,,,,,,,,,,,,,,,,,
94,浮云,94,2,Fly,长按跳跃键可以在空中飞行一段距离。,,16,,-24,,5,,15,,9,,20,,0.1,,cloud94,,,,,,上升速度，下降速度，蓄满力后上升时间（s），前进加速，后退减速，平移速度，转向速度比例（0-1，数值越小转向越慢）,
95,玲珑,95,1,WalkOnWater,可以在水面上行走。,,20,,,,,,,,,,,,,,particles/cloud94.ent,,,,,,这个比较特殊：数值1配置老特效位置偏移做特殊处理,
96,清风,96,1,,周身有花瓣飞舞。,,,,,,,,,,,,,,,,,,,,,,,
97,舞扇,97,1,,周身有花瓣飞舞。,,,,,,,,,,,,,,,,,,,,,,,
98,摇曳,98,2,Fly,长按跳跃键可以在空中飞行一段距离。,,16,,-24,,5,,15,,9,,20,,0.1,,,,,,,,上升速度，下降速度，蓄满力后上升时间（s），前进加速，后退减速，平移速度，转向速度比例（0-1，数值越小转向越慢）,
99,迷醉幻象,99,2,MiZuiHuanXiang,点击使用键可以发动幻象法阵，法阵中的怪物会陷入昏迷。,,8,,4,,25,,230002,,3,,,,,,,,,,,,半径、高度、cd、buff id、技能中心位置（3格）,
100,福从天降,100,2,UsePlayEffect,点击使用键空中会掉落肉骨头。,,15,,,,,,,,,,,,,,,,,,,,cd,
101,蓝焰,101,1,,后方喷射出蓝色火焰。,,,,,,,,,,,,,,,,,,,,,,,
102,龙焰,102,1,,身上环绕着橙红火焰。,,,,,,,,,,,,,,,,,,,,,,,
103,帝皇炮,103,2,DiHuangJuAttack,朝目标位置发射异能量炮，对击中的怪物造成伤害。,,20,,0.8,,12308,,250,,85,,0.1,,,,,,,,,,cd时间，力量(决定发射速度)，物品id（子弹），初始位置往前的偏移，初始位置向上的偏移，镜头抖动的时间,
104,战龙翱翔,104,2,DiHuangJuFly,点击跳跃键后在半空中再点击一次跳跃键可以飞行升空，在空中可以自由翱翔。,,30,,18,,-24,,15,,9,,20,,0.1,,,,,,,,cd（30s），上升速度，下降速度，前进加速，后退减速，转向速度比例（0-1，数值越小转向越慢）,
105,祥瑞,105,1,,周身有金色光点和小元宝。,,,,,,,,,,,,,,,,,,,,,,,
106,瑞兽,106,1,,周身有升腾的云雾，且有光芒和金币在周围飘落。,,,,,,,,,,,,,,,,,,,,,,,
107,虎跃,107,2,HuYue,向前飞扑，对击中的怪物造成伤害。,,15,,10,伤害,3,,2,,,,,,,,,,,,,,cd时间，攻击点数，格子数，技能范围半径,
10702,虎跃,107,2,HuYue,向前飞扑，对击中的怪物造成伤害。,,15,,11,伤害,3,,2,,,,,,,,,,,,,,cd时间，攻击点数，格子数，技能范围半径,
10703,虎跃,107,2,HuYue,向前飞扑，对击中的怪物造成伤害。,,15,,12,伤害,3,,2,,,,,,,,,,,,,,cd时间，攻击点数，格子数，技能范围半径,
10704,虎跃,107,2,HuYue,向前飞扑，对击中的怪物造成伤害。,,15,,13,伤害,3,,2,,,,,,,,,,,,,,cd时间，攻击点数，格子数，技能范围半径,
10705,虎跃,107,2,HuYue,向前飞扑，对击中的怪物造成伤害。,,15,,14,伤害,3,,2,,,,,,,,,,,,,,cd时间，攻击点数，格子数，技能范围半径,
10706,虎跃,107,2,HuYue,向前飞扑，对击中的怪物造成伤害。,,15,,15,伤害,3,,2,,,,,,,,,,,,,,cd时间，攻击点数，格子数，技能范围半径,
108,虎啸山林,108,2,HuXiaoShanLin,长按跳跃键可以发出怒吼，对一定范围内的怪物造成伤害。,,10,,20,,270001,,,,,,,,,,,,,,,,技能范围半径（10），cd（20s），buff id,
109,流星,109,1,,周身飘散着粉色星星和蓝色星星。,,,,,,,,,,,,,,,,,,,,,,,
110,月华,110,1,,周身飘散着白色花朵和黄色荧光。,,,,,,,,,,,,,,,,,,,,,,,
111,祈愿,111,1,,周身飘散着粉色爱心和蓝色荧光。,,,,,,,,,,,,,,,,,,,,,,,
112,飞羽,112,2,Fly,长按跳跃键可以在空中飞行一段距离。,,16,,-24,,5,,15,,9,,20,,0.1,,,,,,,,上升速度，下降速度，蓄满力后上升时间（s），前进加速，后退减速，平移速度，转向速度比例（0-1，数值越小转向越慢）,
113,天佑,113,2,TianYou,受到致命伤害时会获得庇佑并增加生命值。,,30,,20,,40,,,,,,,,,,,,,,,,cd时间，触发技能最低生命值，治疗生命值,
114,风动,114,1,,周身飘落竹叶和流云。,,,,,,,,,,,,,,,,,,,,,,,
115,绘影,115,1,,周身会浮现江山虚影。,,,,,,,,,,,,,,,,,,,,,,,
116,自在逍遥,116,2,BeAttack,受到伤害时会增加移动速度。,,15,,220001,,,,,,,,,,,,,,,,,,cd时间，buff id,
117,千里江山,117,2,QianLiJiangShan,点击使用键可以召唤群山对前方的怪物造成伤害。,,20,,250001,,9,,8,,4,,,,,,,,,,,,cd时间，buff id，中心点距离，技能范围半径，高度,
118,星影,118,1,,周身环绕闪烁的粒子。,,,,,,,,,,,,,,,,,,,,,,,
119,圣辉,119,1,,周身环绕变换的光芒。,,,,,,,,,,,,,,,,,,,,,,,
120,卜梦,120,2,ChargeAddBuff,长按跳跃键可以施展魔法随机获得一个增益效果。,,20,,220001.31,,240001.31,,1013001.31,,1007001.07,,,,,,,,,,,,cd（20s），buff1 id_权重（220001_31），buff2 id_权重（240001_31），buff3 id_权重（1013001_31），buff4 id_权重（1007001_7）,
121,帝道,121,1,,剑穗会形成具象火焰。,,,,,,,,,,,,,,,,,,,,,,,
122,圣道,122,1,,周身带有流光火焰。,,,,,,,,,,,,,,,,,,,,,,,
123,御剑飞行,123,2,DiHuangJuFly2,点击跳跃键后在半空中再点击一次跳跃键可以飞行升空，在空中可以自由翱翔一段时间。,,30,,18,,-24,,15,,9,,20,,0.1,,,,,,,,cd（30s），上升速度，下降速度，前进加速，后退减速，转向速度比例（0-1，数值越小转向越慢）,
124,御剑双飞,124,2,RideAddBuff,可以与小伙伴一起乘坐，双人御剑还可以增加移动速度。,,220002,,,,,,,,,,,,,,Wings124,,,,,,buff id,
125,泡泡浴,125,1,,周身漂浮着泡泡。,,,,,,,,,,,,,,,,,,,,,,,
126,音符泡泡浴,126,1,,周身有泡泡和音符飞舞。,,,,,,,,,,,,,,,,,,,,,,,
127,梦游,127,1,WalkOnWater,可以漂浮在水面上。,,,,,,,,,,,,,,,,,,,,,,,
128,漂浮泡泡,128,2,ChargeAddBuff,长按跳跃键可以让身边的怪物被泡泡包裹漂浮在空中。,,8,,4,,2000001,,20,,,,,,,,,,,,,,范围半径（8），范围高度（4），buff id，cd（20s）,
129,卖萌,129,1,,周身飘散着许多爱心。,,,,,,,,,,,,,,,,,,,,,,,
130,浮梦,130,1,,周身会洒落赤色彼岸花。,,,,,,,,,,,,,,,,,,,,,,,
131,轻灵,131,2,Agility,点击跳跃键后在空中再点击一次跳跃键可以二段跳。,,160,跳跃高度,,,,,,,,,,,,,,,,,,,跳跃高度（160）,
13101,轻灵,131,2,Agility,点击跳跃键后在空中再点击一次跳跃键可以二段跳。,,163,跳跃高度,,,,,,,,,,,,,,,,,,,,
13102,轻灵,131,2,Agility,点击跳跃键后在空中再点击一次跳跃键可以二段跳。,,166,跳跃高度,,,,,,,,,,,,,,,,,,,,
13103,轻灵,131,2,Agility,点击跳跃键后在空中再点击一次跳跃键可以二段跳。,,169,跳跃高度,,,,,,,,,,,,,,,,,,,,
13104,轻灵,131,2,Agility,点击跳跃键后在空中再点击一次跳跃键可以二段跳。,,172,跳跃高度,,,,,,,,,,,,,,,,,,,,
13105,轻灵,131,2,Agility,点击跳跃键后在空中再点击一次跳跃键可以二段跳。,,175,跳跃高度,,,,,,,,,,,,,,,,,,,,
132,千幻,132,2,QianHuan,长按跳跃键可以让附近的怪物陷入幻境中互相攻击。,,8,,4,,20,,,,,,,,,,,,,,,,范围半径（8），范围高度（4），cd（20s）,
133,兜风,133,1,,周身飘散着喵咪脚印。,,,,,,,,,,,,,,,,,,,,,,,
134,飞沙,134,1,,周身飘散着沙粒。,,,,,,,,,,,,,,,,,,,,,,,
135,踏沙,135,2,StepOnDuststorm,乘坐后可以降低沙尘暴的伤害。,,0.6,,,,,,,,,,,,,,,,,,,,减伤比例（0.6）,
136,似锦,136,1,,周身飘散着白色的翎羽。,,,,,,,,,,,,,,,,,,,,,,,
137,浮翠,137,1,,周身飘散着绿色的翎羽。,,,,,,,,,,,,,,,,,,,,,,,
138,琳琅,138,1,,周身飘散着华丽的翎羽。,,,,,,,,,,,,,,,,,,,,,,,
139,徘徊,139,2,Hover,长按跳跃键可以在空中飞行一段距离。,,16,,-24,,5,,15,,9,,20,,0.1,,,,,,,,上升速度，下降速度，蓄满力后上升时间（s），前进加速，后退减速，平移速度，转向速度比例（0-1，数值越小转向越慢）,
140,雀之灵,140,2,NightSig,乘坐后视野亮度大幅提升，在黑夜也能看清身边的环境。,,50,,10,,,,,,,,,,,,,,,,,,视野亮度提升值,环境光照条件
141,流沙,141,1,,周身环绕着流淌出的金沙流心馅。,,,,,,,,,,,,,,,,,,,,,,,
142,灵樨,142,1,,周身飘散着金色桂花。,,,,,,,,,,,,,,,,,,,,,,,
143,浮月,143,1,WalkOnWater,可以漂浮在水面上。,,,,,,,,,,,,,,,,Cloud143,,,,,,漂浮高度,
144,打糕,144,2,DaGao,长按跳跃键可以随机生成一种食物道具。,,12530.1,,12531.1,,12551.1,,12552.1,,12553.1,,12554.1,,20,,,,,,,,道具id，道具数量，cd,
145,忘忧,145,1,,周身环绕着粉色铃兰花和点点光影,,,,,,,,,,,,,,,,,,,,,,,
146,无忧,146,1,,周身环绕着粉色铃兰花、点点光影和蝴蝶,,,,,,,,,,,,,,,,,,,,,,,
147,风铃,147,2,Fly,长按跳跃键可以在空中飞行一段距离。,,16,,-24,,5,,15,,9,,20,,0.1,,Cloud147,,,ent.4614.attack1,,,上升速度，下降速度，蓄满力后上升时间（s），前进加速，后退减速，平移速度，转向速度比例（0-1，数值越小转向越慢）,
148,香浮,148,1,,有超快的移动速度。,,,,,,,,,,,,,,,,,,,,,,,
149,滑行,149,2,,周身会有枫叶和光线随风而动。,,,,,,,,,,,,,,,,,,,,,,,
150,动力加速,150,2,Sprint,长按跳跃键可以向前冲刺一段距离。,,2,,20,,,,,,,,,,,,,,,,,,冲刺距离倍数（2），技能cd（20）,
151,飞行员,151,2,Pilot,双击跳跃键可持续低空飞行，但是不能在水面和岩浆上飞行，再次双击跳跃键可降落。,,4,,,,,,,,,,,,,,,,,,,,飞行高度（5）,
152,猪猪反击,152,2,Thorns,受到连续攻击时会将敌方的攻击伤害返还给敌方。,,180,,,,,,,,,,,,,,,,,,,,重置cd（180）,
153,烛光,153,1,,周身飘散着光点。,,,,,,,,,,,,,,,,,,,,,,,
154,飞跃,154,2,RabbitLeap,长按跳跃键可以蓄力跳跃更高。,,2.5,跳跃高度倍数,,,,,,,,,,,,,,,,,,,跳跃高度倍数（2.5）,
15402,飞跃,154,2,RabbitLeap,长按跳跃键可以蓄力跳跃更高。,,2.5,跳跃高度倍数,,,,,,,,,,,,,,,,,,,,
15403,飞跃,154,2,RabbitLeap,长按跳跃键可以蓄力跳跃更高。,,2.5,跳跃高度倍数,,,,,,,,,,,,,,,,,,,,
15404,飞跃,154,2,RabbitLeap,长按跳跃键可以蓄力跳跃更高。,,3,跳跃高度倍数,,,,,,,,,,,,,,,,,,,,
15405,飞跃,154,2,RabbitLeap,长按跳跃键可以蓄力跳跃更高。,,3,跳跃高度倍数,,,,,,,,,,,,,,,,,,,,
15406,飞跃,154,2,RabbitLeap,长按跳跃键可以蓄力跳跃更高。,,3,跳跃高度倍数,,,,,,,,,,,,,,,,,,,,
15407,飞跃,154,2,RabbitLeap,长按跳跃键可以蓄力跳跃更高。,,3.5,跳跃高度倍数,,,,,,,,,,,,,,,,,,,,
15408,飞跃,154,2,RabbitLeap,长按跳跃键可以蓄力跳跃更高。,,3.5,跳跃高度倍数,,,,,,,,,,,,,,,,,,,,
15409,飞跃,154,2,RabbitLeap,长按跳跃键可以蓄力跳跃更高。,,3.5,跳跃高度倍数,,,,,,,,,,,,,,,,,,,,
15410,飞跃,154,2,RabbitLeap,长按跳跃键可以蓄力跳跃更高。,,4,跳跃高度倍数,,,,,,,,,,,,,,,,,,,,
