回收物品ID,名称,0级关联物品ID,类型（0普通物品1解锁型道具2角色3皮肤4坐骑5头像6特长碎片）,获得物品ID1,获得物品数量1,获得物品ID2,获得物品数量2
20153,九色鹿王壁画碎片,1752,1,10000,1,10001,1
20154,弦月魔法棒碎片,12301,1,10000,1,10001,1
20155,星翼魔法棒（蓝）碎片,12302,1,10000,1,10001,1
20156,星翼魔法棒（红）碎片,12303,1,10000,1,10001,1
20157,魔仙剑碎片,12304,1,10000,1,10001,1
20158,公主魔法绘本碎片,12305,1,10000,1,10001,1
20159,魔法调色盘（红）碎片,12306,1,10000,1,10001,1
20160,魔法调色盘（黄）碎片,12307,1,10000,1,10001,1
20161,凯蒂猫餐桌碎片,1816,1,10000,1,10001,1
20162,凯蒂猫沙发碎片,1817,1,10000,1,10001,1
20163,凯蒂猫公主床碎片,1818,1,10000,1,10001,1
20164,凯蒂猫衣柜碎片,1819,1,10000,1,10001,1
20165,凯蒂猫公主椅碎片,1820,1,10000,1,10001,1
20166,凯蒂猫留言牌碎片,1821,1,10000,1,10001,1
20167,凯蒂猫字牌碎片,1822,1,10000,1,10001,1
20168,凯蒂猫围栏碎片,1823,1,10000,1,10001,1
20169,凯蒂猫方块碎片,1824,1,10000,1,10001,1
20170,大耳狗餐桌碎片,1825,1,10000,1,10001,1
20171,大耳狗沙发碎片,1826,1,10000,1,10001,1
20172,大耳狗星愿床碎片,1827,1,10000,1,10001,1
20173,大耳狗衣柜碎片,1828,1,10000,1,10001,1
20174,大耳狗椅子碎片,1829,1,10000,1,10001,1
20175,大耳狗留言牌碎片,1830,1,10000,1,10001,1
20176,大耳狗字牌碎片,1831,1,10000,1,10001,1
20177,大耳狗围栏碎片,1832,1,10000,1,10001,1
20178,大耳狗方块碎片,1833,1,10000,1,10001,1
20179,凯蒂猫门碎片,1834,1,10000,1,10001,1
20180,酷洛米餐桌碎片,1835,1,10000,1,10001,1
20181,酷洛米沙发碎片,1836,1,10000,1,10001,1
20182,酷洛米公主床碎片,1837,1,10000,1,10001,1
20183,酷洛米衣柜碎片,1838,1,10000,1,10001,1
20184,酷洛米公主椅碎片,1839,1,10000,1,10001,1
20185,酷洛米留言牌碎片,1840,1,10000,1,10001,1
20186,酷洛米字牌碎片,1841,1,10000,1,10001,1
20187,酷洛米围栏碎片,1842,1,10000,1,10001,1
20188,酷洛米方块碎片,1843,1,10000,1,10001,1
20189,美乐蒂餐桌碎片,1844,1,10000,1,10001,1
20190,美乐蒂沙发碎片,1845,1,10000,1,10001,1
20191,美乐蒂公主床碎片,1846,1,10000,1,10001,1
20192,美乐蒂衣柜碎片,1847,1,10000,1,10001,1
20193,美乐蒂公主椅碎片,1848,1,10000,1,10001,1
20194,美乐蒂留言牌碎片,1849,1,10000,1,10001,1
20195,美乐蒂字牌碎片,1850,1,10000,1,10001,1
20196,美乐蒂围栏碎片,1851,1,10000,1,10001,1
20197,美乐蒂方块碎片,1852,1,10000,1,10001,1
20198,美乐蒂门碎片,1853,1,10000,1,10001,1
97001,大眼蛙方块碎片,1854,1,10000,1,10001,1
97002,大眼蛙字牌碎片,1855,1,10000,1,10001,1
97003,大眼蛙留言牌碎片,1856,1,10000,1,10001,1
97004,大眼蛙围栏碎片,1857,1,10000,1,10001,1
97005,大眼蛙桌子碎片,1858,1,10000,1,10001,1
97006,大眼蛙椅子碎片,1859,1,10000,1,10001,1
97007,大眼蛙沙发碎片,1860,1,10000,1,10001,1
97008,大眼蛙衣柜碎片,1861,1,10000,1,10001,1
97009,大眼蛙床碎片,1862,1,10000,1,10001,1
97010,布丁狗衣柜碎片,1863,1,10000,1,10001,1
97011,布丁狗床碎片,1864,1,10000,1,10001,1
97012,布丁狗沙发碎片,1865,1,10000,1,10001,1
97013,布丁狗桌子碎片,1866,1,10000,1,10001,1
97014,布丁狗椅子碎片,1867,1,10000,1,10001,1
97015,布丁狗门碎片,1868,1,10000,1,10001,1
97016,布丁狗围栏碎片,1869,1,10000,1,10001,1
97017,布丁狗字牌碎片,1870,1,10000,1,10001,1
97018,布丁狗留言牌碎片,1871,1,10000,1,10001,1
97019,布丁狗方块碎片,1872,1,10000,1,10001,1
97020,双子星衣柜碎片,1874,1,10000,1,10001,1
97021,双子星床碎片,1875,1,10000,1,10001,1
97022,双子星沙发碎片,1876,1,10000,1,10001,1
97023,双子星桌子碎片,1877,1,10000,1,10001,1
97024,双子星椅子碎片,1878,1,10000,1,10001,1
97025,双子星门碎片,1879,1,10000,1,10001,1
97026,双子星围栏碎片,1880,1,10000,1,10001,1
97027,双子星字牌碎片,1881,1,10000,1,10001,1
97028,双子星留言牌碎片,1882,1,10000,1,10001,1
97029,双子星方块碎片,1883,1,10000,1,10001,1
20489,苍林白鹿（永久）,4500,1,10000,1,10001,1
20490,涅盘绘色（永久）,4500,1,10000,1,10001,1
20491,鹿王本生（永久）,4500,1,10000,1,10001,1
25504,超音帝皇驹（永久）,4559,1,10000,1,10001,1
25505,小老虎（永久）,4563,1,10000,1,10001,1
25506,星语心愿（永久）,4571,1,10000,1,10001,1
25507,魔法南瓜车（永久） ,4504,1,10000,1,10001,1
25508,环海洛洛（永久） ,4524,1,10000,1,10001,1
25509,尼东洛洛（永久） ,4527,1,10000,1,10001,1
25510,玲珑音韵（永久） ,4534,1,10000,1,10001,1
25511,天方夜谭（永久）,4538,1,10000,1,10001,1
25512,逐影之钥（永久）,4582,1,10000,1,10001,1
25513,赤霄长剑（永久）,4586,1,10000,1,10001,1
25514,休闲时光（永久）,4597,1,10000,1,10001,1
25515,萌小狸（永久）,4601,1,10000,1,10001,1
25516,青绿（永久）,4605,1,10000,1,10001,1
25517,心里软（永久）,4609,1,10000,1,10001,1
25518,紫幽铃（永久）,4613,1,10000,1,10001,1
25519,飞行猪噜噜（永久）,4623,1,10000,1,10001,1
25520,小粉匣（永久）,4632,1,10000,1,10001,1
25521,雪琉璃（永久）,4636,1,10000,1,10001,1
25522,迷你变形车（永久）,4644,1,10000,1,10001,1
25523,庆典之书（永久）,4646,1,10000,1,10001,1
25524,咕噜兽（永久）,4648,1,10000,1,10001,1
25525,粽叶筏（永久）,4650,1,10000,1,10001,1
25526,山川云海（永久）,4654,1,10000,1,10001,1
25527,邂逅甜心（永久）,4656,1,10000,1,10001,1
25528,天禄（永久）,4660,1,10000,1,10001,1
25529,核桃（永久）,4662,1,10000,1,10001,1
25530,星穹之乐（永久）,4664,1,10000,1,10001,1
25531,翠叶新芽（永久）,4668,1,10000,1,10001,1
25532,微光星贝（永久）,4672,1,10000,1,10001,1
25533,游鲤跃金（永久）,4678,1,10000,1,10001,1
25534,梦影云端（永久）,4682,1,10000,1,10001,1
25535,大块头（永久）,4686,1,10000,1,10001,1
25536,先行者（永久）,4688,1,10000,1,10001,1
25537,战狼传说（永久）,4690,1,10000,1,10001,1
25538,谛听（永久）,4696,1,10000,1,10001,1
25539,金樽墨花（永久）,4698,1,10000,1,10001,1
25540,婆娑莲华（永久）,4702,1,10000,1,10001,1
25541,蓝韵梦篮（永久）,4704,1,10000,1,10001,1
25542,云野漫游（永久）,4712,1,10000,1,10001,1
25543,末日战机（永久）,4714,1,10000,1,10001,1
25544,煌泉,4716,1,10000,1,10001,1
25545,狂野四驱（永久）,4718,1,10000,1,10001,1
77501,能和你过圣诞节吗？（碎片）,76024,1,10000,1,10001,1
77502,我的圣诞礼物呢？（碎片）,76025,1,10000,1,10001,1
84001,龙首狙击枪-碎片,20,1,10000,1,10001,1
84002,狮兽重机枪-碎片,23,1,10000,1,10001,1
84003,萌虎左轮-碎片,28,1,10000,1,10001,1
10043,特长碎片,,6,10000,2,10001,1
10127,,,0,10000,6,10001,1
97030,星河地板碎片,201600,1,10000,1,10001,1
97031,星河门碎片,201601,1,10000,1,10001,1
97032,星河视窗碎片,201602,1,10000,1,10001,1
97033,星河窗帘碎片,201603,1,10000,1,10001,1
97034,星河小圆凳碎片,201604,1,10000,1,10001,1
97035,星河沙发椅碎片,201605,1,10000,1,10001,1
97036,星河大沙发碎片,201606,1,10000,1,10001,1
97037,星河床碎片,201607,1,10000,1,10001,1
97038,星河抽屉柜碎片,201608,1,10000,1,10001,1
97039,星河衣橱碎片,201609,1,10000,1,10001,1
97040,星河方桌碎片,201610,1,10000,1,10001,1
97041,星河星象吊灯碎片,201611,1,10000,1,10001,1
97042,星河壁炉碎片,201612,1,10000,1,10001,1
97043,星河吊饰碎片,201613,1,10000,1,10001,1
97044,星河地毯碎片,201614,1,10000,1,10001,1
97045,星河编书台碎片,201615,1,10000,1,10001,1
97046,星河水晶球碎片,201616,1,10000,1,10001,1
97047,云朵蓝方块碎片,201617,1,10000,1,10001,1
97048,云朵粉方块碎片,201618,1,10000,1,10001,1
97049,云朵紫方块碎片,201619,1,10000,1,10001,1
97050,云朵门碎片,201620,1,10000,1,10001,1
97051,云朵视窗碎片,201621,1,10000,1,10001,1
97052,云朵天窗碎片,201622,1,10000,1,10001,1
97053,云朵阶梯碎片,201623,1,10000,1,10001,1
97054,云朵懒人沙发碎片,201624,1,10000,1,10001,1
97055,云朵躺椅碎片,201625,1,10000,1,10001,1
97056,云朵软床碎片,201626,1,10000,1,10001,1
97057,云朵衣橱碎片,201627,1,10000,1,10001,1
97058,云朵小储物箱碎片,201628,1,10000,1,10001,1
97059,云朵大储物箱碎片,201629,1,10000,1,10001,1
97060,云朵圆桌碎片,201630,1,10000,1,10001,1
97061,云朵花盆碎片,201631,1,10000,1,10001,1
97062,云朵壁灯碎片,201632,1,10000,1,10001,1
97063,云朵吊灯碎片,201633,1,10000,1,10001,1
97064,云朵地毯碎片,201634,1,10000,1,10001,1
97065,云朵立牌碎片,201635,1,10000,1,10001,1
97066,云朵场景摆件碎片,201636,1,10000,1,10001,1
97067,云朵喷泉碎片,201637,1,10000,1,10001,1
97068,奶牛凳子碎片,201639,1,10000,1,10001,1
97069,狗狗茶几碎片,201640,1,10000,1,10001,1
97070,宠物坐垫碎片,201641,1,10000,1,10001,1
97071,宠物地垫碎片,201642,1,10000,1,10001,1
97072,储物格碎片,201643,1,10000,1,10001,1
97073,置物格碎片,201644,1,10000,1,10001,1
97074,熊猫壁灯碎片,201645,1,10000,1,10001,1
97075,兔子灯碎片,201646,1,10000,1,10001,1
97076,猫猫顶灯碎片,201647,1,10000,1,10001,1
97077,泡泡吊灯碎片,201648,1,10000,1,10001,1
97078,树枝灯碎片,201649,1,10000,1,10001,1
97079,平衡木碎片,201650,1,10000,1,10001,1
97080,木地板碎片,201651,1,10000,1,10001,1
97081,猫架基座平板碎片,201652,1,10000,1,10001,1
97082,猫架半板带单柱碎片,201653,1,10000,1,10001,1
97083,猫架楼梯碎片,201654,1,10000,1,10001,1
97084,猫架圆顶带单柱碎片,201655,1,10000,1,10001,1
97085,猫架方箱碎片,201656,1,10000,1,10001,1
97086,花小楼沙发,201660,1,10000,1,10001,1
97087,花小楼床,201661,1,10000,1,10001,1
97088,花小楼衣柜,201662,1,10000,1,10001,1
97089,花小楼方桌,201663,1,10000,1,10001,1
97090,花小楼暖炉,201664,1,10000,1,10001,1
97091,花小楼冰箱,201665,1,10000,1,10001,1
97092,花小楼方柜,201666,1,10000,1,10001,1
97093,星谕梦榻碎片,201667,1,10000,1,10001,1
97094,星谕书柜碎片,201668,1,10000,1,10001,1
97095,星谕门扉碎片,201669,1,10000,1,10001,1
97096,星谕摇椅碎片,201670,1,10000,1,10001,1
97097,星谕方桌碎片,201671,1,10000,1,10001,1
97098,星谕衣橱碎片,201672,1,10000,1,10001,1
97099,星谕壁炉碎片,201673,1,10000,1,10001,1
97100,星谕琉窗碎片,201674,1,10000,1,10001,1
97101,星谕织毯碎片,201675,1,10000,1,10001,1
97102,星谕晶灯碎片,201676,1,10000,1,10001,1
