ID[整型],名称[string],界面大类[整型](1事件 2条件 3动作 4取值 5流程控制 6变量 7自定义),界面子类[整型]【1通用，2游戏，3玩家，4生物，5方块，6道具，7变量，8控制，9自定义，10数学，11组，12计时器，13界面，14特效，15音频，16图文信息，17开发者，18赋值，19数据存储，21区域，22位置，23数值，24字符串，25布尔值，26生物类型，27排行榜，28一维表，29世界，30二维表，31对象，32角色，33实体，34投掷物，35掉落物，36蓝图】,形状类型[数值](1事件 2条件 3动作 4取值 5重复执行 6次数重复执行 7重复执行直到 8退出循环 9如果那么 如果那么否则 10保持等待直到),简略显示[数值]【在库里是否缩略显示，1=是，0=否】,描述[string],图标[string],"3.0组件场景筛选（-3 完全不显示,-2 只在选择器中使用,-1 全显示,0 实体 ，1  生物，2  玩家， 3 世界，4 空对象，5 方块5，6 UI，7 道具，8 状态，9 地形，11 配方，12 方块材质，13 熔炼编辑，14 区域，15 投掷物，16 位置，17 掉落物，1001 持续效果，1002 瞬时效果）",传参[string],左右值标记[整型]1常量0变量,返回值[整型],参数1类型[string],参数1默认值[string],参数2类型,参数2默认值,参数3类型,参数3默认值,参数4类型,参数4默认值,参数5类型,参数5默认值,参数6类型,参数6默认值,参数7类型,参数7默认值,参数8类型,参数8默认值,参数9类型,参数9默认值,参数10类型,参数10默认值,参数11类型,参数11默认值,显示控制（0=默认全部可见 1=仅开发者可见 2=仅999渠道可见 3=4位数迷你号可见  4 = 仅国内可见  5 = 仅海外可见 6 = 仅国内开发者可见 7 = 仅海外开发者可见）,积木间距值（间距值默认为60，超过60会开始变高）,说明,是否显示详细说明（0和空不显示，1显示）,创建的版本,,,
1020012,云服房间收到任意信息时,1,2,1,0,当 云服房间 收到任意信息时,15,暂时不要,40015,,,,0|40015,,,,,,,,,,,,,,,,,,,,,2,,,,1.42.0,14,,
1020016,当云服房间收到服务器广播消息,1,2,1,0,当 云服房间 收到服务器广播%1,5,-1,,,,1090|1|0,,,,,,,,,,,,,,,,,,,,,,0,,306294,1,1.42.0,15,,
1020014,条件成立,1,2,1,0,当%1成立,18,暂时不要,,,,1087|1|0,,,,,,,,,,,,,,,,,,,,,,2,100,,,1.42.0,16,,
1080003,此状态被玩家获得,1,2,1,0,当 玩家 获得此类状态 ,21,暂时不要,40003|40006|60009|40006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42.0,17,,
1080004,此状态从玩家身上移除,1,2,1,0,当 玩家 失去此类状态,21,暂时不要,40003|40006|60009|40006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42.0,18,,
1080001,此状态被生物获得,1,2,1,0,当 生物 获得此类状态,21,暂时不要,40003|40006|80006|80008|40006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42.0,19,,
1080002,此状态从生物身上移除,1,2,1,0,当 生物 失去此类状态 ,21,暂时不要,40003|40006|80006|80008|40006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42.0,20,,
1070003,生物身上特效创建,1,14,1,0,当 特效 创建在生物,13,暂时不要,80006|40003|40007,,,,,,,,,,,,,,,,,,,,,,,,,0,,306186,1,1.42.0,21,,
1070004,投掷物上特效创建,1,14,1,0,当 特效 创建在投掷物,13,暂时不要,90015|40003|40007,,,,,,,,,,,,,,,,,,,,,,,,,0,100,306187,1,1.42.0,22,,
1070005,掉落物上特效创建,1,14,1,0,当 特效 创建在掉落物,13,暂时不要,90016|40003|40007,,,,,,,,,,,,,,,,,,,,,,,,,0,100,306188,1,1.42.0,23,,
1090001,此配方合成完毕,1,2,1,0,当 此类配方 合成完毕,9,暂时不要,60009|80006|90014|90017,,,,,,,,,,,,,,,,,,,,,,,,,,,306802,1,1.42.0,24,,
1100001,熔炼开始,1,2,1,0,当 熔炼 开始,9,暂时不要,40003,,,,,,,,,,,,,,,,,,,,,,,,,,,306348,1,1.42.0,25,,
1100002,熔炼完成,1,2,1,0,当 熔炼 完成,9,暂时不要,40003,,,,,,,,,,,,,,,,,,,,,,,,,,100,306349,1,1.42.0,26,,
60102001,当熔炼开始|完成,1,2,1,0,当 熔炼 %1,9,"3,6",40003,,,3024|1|2,5|3240001,,,,,,,,,,,,,,,,,,,,,,100,306803,1,1.44.0,27,,
1100003,此熔炼开始,1,2,1,0,当 此类熔炼 开始,9,暂时不要,40003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42.0,28,,
1100004,此熔炼完成,1,2,1,0,当 此类熔炼 完成,9,暂时不要,40003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42.0,29,,
1070001,位置上特效被创建,1,2,1,0,当 特效 创建在位置,13,暂时不要,40003|40007,,,,,,,,,,,,,,,,,,,,,,,,,0,,306184,1,1.42.0,30,,
1070002,玩家身上特效被创建,1,2,1,0,当 特效 创建在玩家,13,暂时不要,60009|40003|40007,,,,,,,,,,,,,,,,,,,,,,,,,0,,306185,1,1.42.0,31,,
1110001,剧情开始,1,2,1,0,当 剧情 开始,7,暂时不要,60009|80007|80009,,,,,,,,,,,,,,,,,,,,,,,,,,,306350,1,1.42.0,32,,
1110002,剧情结束,1,2,1,0,当 剧情 结束,7,暂时不要,60009|80007|80009,,,,,,,,,,,,,,,,,,,,,,,,,,,306351,1,1.42.0,33,,
1110003,此剧情开始,1,2,1,0,当 此段剧情 开始,7,暂时不要,60009|80007|80009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42.0,34,,
1110004,此剧情结束,1,2,1,0,当 此段剧情 结束,7,暂时不要,60009|80007|80009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42.0,35,,
1020007,玩家进入游戏,1,3,1,0,当 玩家 进入游戏,18,暂时不要,60009|40003,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306002,1,1.42.0,36,,
1020008,玩家离开游戏,1,3,1,0,当 玩家 离开游戏,18,暂时不要,60009|40003,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306128,1,1.42.0,37,,
60103001,玩家进入|离开游戏,1,3,1,0,当 玩家 %1游戏,18,"3,6",60009|40003|60506007|60505020,,,3025|1|2,5|3250001,,,,,,,,,,,,,,,,,,,,,0,100,306804,1,1.44.0,38,,
60103501,此玩家进入|离开游戏,1,3,1,0,当 此玩家 %1游戏,18,"2,1001,",60009|40003|60506007|60505020,,,3025|1|2,5|3250001,,,,,,,,,,,,,,,,,,,,,,100,306805,1,1.44.0,39,,
60103003,玩家点击方块、点击玩家、点击生物、点击投掷物、点击掉落物、点击实体任意对象,1,3,1,0,当 玩家 点击%1,3,"3,6",60009|40003|80007|80009|60010|40009|90016|60505008|60506008|60526002|60506007|60505020,,,3028|1|2,5|3280001,,,,,,,,,,,,,,,,,,,,,0,100,306806,1,1.44.0,40,,
60103503,此玩家点击任意对象,1,3,1,0,当 此玩家 点击%1,3,"2,1001,",60009|40003|80007|80009|60010|40009|90016|60505008|60506008|60526002|60506007|60505020,,,3028|1|2,5|3280001,,,,,,,,,,,,,,,,,,,,,0,100,306807,1,1.44.0,41,,
1030030,玩家显示聊天信息,1,3,1,0,当 玩家 的聊天框显示%1,15,暂时不要,60009|40003|40015,,,1010|1|0,1|300198,,,,,,,,,,,,,,,,,,,,,0,,306126,1,1.42.0,42,,
1030031,玩家输入聊天信息,1,3,1,0,当 玩家 在聊天框发送%1,15,暂时不要,60009|40003|40015,,,1010|1|0,1|300198,,,,,,,,,,,,,,,,,,,,,0,,306025,1,1.42.0,43,,
1030039,玩家输入聊天信息（包含字符串）,1,3,1,0,当任意玩家在聊天框输入包含%1的信息,15,暂时不要,60009|40003|40015,,,1010|1|0,1|300198,,,,,,,,,,,,,,,,,,,,,,,306232,1,1.42.0,44,,
60103005,玩家发送聊天信息,1,3,1,1,当 玩家 在聊天框 %1 %2 %3,15,"3,6",60009|40003|40015|60506007|60505020,,,3056|1|2,5|3560001,3033|1|2,5|3330001,1010|1|0,1|300198,,,,,,,,,,,,,,,,,0,100,306448,1,1.44.0,45,,
60103505,此玩家发送聊天信息,1,3,1,1,当 此玩家 在聊天框 %1 %2 %3,15,"2,1001,",60009|40003|40015|60506007|60505020,,,3056|1|2,5|3560001,3033|1|2,5|3330001,1010|1|0,1|300198,,,,,,,,,,,,,,,,,0,100,306449,1,1.44.0,46,,
1020004,玩家胜利,1,3,1,0,当 玩家 胜利,18,暂时不要,60009|40003,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306129,1,1.42.0,47,,
1020005,玩家失败,1,3,1,0,当 玩家 失败,18,暂时不要,60009|40003,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306130,1,1.42.0,48,,
1030005,玩家进行攻击,1,3,1,0,当 玩家 开始攻击,20,暂时不要,60009|40003,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306011,1,1.42.0,49,,
1030006,玩家攻击命中,1,3,1,0,当 玩家 攻击命中,20,暂时不要,60009|40003|60010|80007|80009,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306012,1,1.42.0,50,,
1030004,玩家击败目标,1,3,1,0,当 玩家 击败目标,20,暂时不要,60009|40003|60010|80007|80009,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,100,当玩家打败其他玩家、生物时。被打败的玩家、生物为事件中的目标玩家、生物,,1.42.0,51,,
1030007,玩家造成伤害,1,3,1,0,当 玩家 造成伤害,20,暂时不要,60009|40003|60010|80007|80009|40023,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306230,1,1.42.0,52,,
1030008,玩家受到伤害,1,3,1,0,当 玩家 受伤,20,暂时不要,60009|40003|40023,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306013,1,1.42.0,53,,
1030012,玩家获得道具,1,3,1,0,当 玩家 获得道具,3,暂时不要,60009|40003|90014|90017,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306014,1,1.42.0,54,,
1030011,玩家使用道具,1,3,1,0,当 玩家 使用道具,3,暂时不要,60009|40003|90014,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306015,1,1.42.0,55,,
1030013,玩家消耗道具,1,3,1,0,当 玩家 消耗道具,3,暂时不要,60009|40003|90014,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306133,1,1.42.0,56,,
1030020,玩家拾取道具,1,3,1,0,当 玩家 拾取掉落物,3,暂时不要,60009|40003|90014|90016|90017,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306352,1,1.42.0,57,,
1030027,玩家丢弃道具,1,3,1,0,当 玩家 丢弃道具,3,暂时不要,60009|40003|90014|90016|90017,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,100,306353,1,1.42.0,58,,
60103012,玩家获得道具,1,3,1,0,当 玩家 %1,3,"3,6",60009|40003|90014|90017|60506007|60501015|60505020,,,3027|1|2,5|3270001,,,,,,,,,,,,,,,,,,,,,0,,306450,1,1.44.0,59,,
60103512,此玩家获得道具,1,3,1,0,当 此玩家%1,3,"2,1001,",60009|40003|90014|90017|60506007|60501015|60505020,,,3027|1|2,5|3270001,,,,,,,,,,,,,,,,,,,,,0,,306451,1,1.44.0,60,,
60106526,此玩家选中快捷栏,1,3,1,0,当 此玩家 选中快捷栏,14,"2,1001,",60009|40003|90014|40011|90017|430001|60505020,,,,,,,,,,,,,,,,,,,,,,,,,0,,306452,1,1.44.0,61,,
1030026,玩家选中快捷栏,1,3,1,0,当 玩家 选中快捷栏,14,"3,6",60009|40003|90014|40011|90017|60506007|430001|60505020,,,,,,,,,,,,,,,,,,,,,,,,,0,,306453,1,1.42.0,62,,
1030014,玩家点击生物或玩家,1,3,1,0,当 玩家 点击生物或玩家,3,暂时不要,60009|40003|80007|80009|60010,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306354,1,1.42.0,63,,
1030015,玩家点击方块,1,3,1,0,当 玩家 点击方块,3,暂时不要,60009|40003|40009,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,100,306003,1,1.42.0,64,,
1030038,玩家等级发生改变,1,3,1,0,当 玩家 等级发生改变,14,暂时不要,60009|40003,,,,0|60009,,,,,,,,,,,,,,,,,,,,,,,306355,1,1.42.0,65,,
1030035,玩家获得状态,1,3,1,0,当 玩家 获得状态,21,暂时不要,60009|40003|40006,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306356,1,1.42.0,66,,
1030036,玩家失去状态,1,3,1,0,当 玩家 失去状态,21,暂时不要,60009|40003|40006,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306357,1,1.42.0,67,,
1030037,玩家失去指定状态,1,3,1,0,当 玩家 失去%1状态,21,暂时不要,60009|40003|40006,,,1037|1|0,2|4001,,,,,,,,,,,,,,,,,,,,,0,100,306358,1,1.42.0,68,,
1030010,玩家使用动画表情,1,3,1,0,当 玩家 使用动画表情,3,暂时不要,60009|40003|40005,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306029,1,1.42.0,69,,
1030018,玩家运动状态改变,1,3,1,0,当 玩家 开始%1,16,暂时不要,60009|40003,,,1021|1|2,5|150002,,,,,,,,,,,,,,,,,,,,,0,,306009,1,1.42.0,70,,
1030019,玩家发生碰撞,1,3,1,0,当 玩家 碰撞任意玩家/生物,16,暂时不要,60009|40003|60010|80007,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306028,1,1.42.0,71,,
1030021,玩家进入区域,1,3,1,0,当 玩家 进入%1,10,暂时不要,60009|40003,,,1001|1|0,,,,,,,,,,,,,,,,,,,,,,0,,306006,1,1.42.0,72,,
1030022,玩家离开区域,1,3,1,0,当 玩家 离开%1,10,暂时不要,60009|40003,,,1001|1|0,,,,,,,,,,,,,,,,,,,,,,0,100,306007,1,1.42.0,73,,
1030025,玩家快捷栏改变,1,3,1,0,当 玩家 的快捷栏发生改变,14,暂时不要,60009|40003|90014,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306134,1,1.42.0,74,,
1030024,玩家背包栏改变,1,3,1,0,当 玩家 的背包栏发生改变,14,暂时不要,60009|40003|90014,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306359,1,1.42.0,75,,
1030023,玩家装备栏改变,1,3,1,0,当 玩家 的装备栏发生改变,14,暂时不要,60009|40003|90014|40012,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306360,1,1.42.0,76,,
60103025,玩家快捷栏改变时,1,3,1,0,当 玩家的 %1 %2,14,"3,6",60009|40003|90014|40011|90017|60506007|40012|430001|60505020,,,3031|1|2,5|3310001,3038|1|2,5|3380001,,,,,,,,,,,,,,,,,,,0,,306454,1,1.44.0,77,,
60103525,此玩家快捷栏改变时,1,3,1,0,当 此玩家 %1的 %2,14,"2,1001,",60009|40003|90014|40011|90017|60506007|40012|430001|60505020,,,3031|1|2,5|3310001,3038|1|2,5|3380001,,,,,,,,,,,,,,,,,,,0,,306455,1,1.44.0,78,,
1030040,当玩家选中指定道具,1,3,1,0,当玩家在快捷栏选中%1,3,"3,6",60009|40003|90014|40011|60506007|430001|60505020,,,1028|1|0,2|200,,,,,,,,,,,,,,,,,,,,,0,,306808,1,1.42.0,79,,
1030028,玩家穿上装备,1,3,1,0,当 玩家 穿上装备,14,暂时不要,60009|40003|90014|40012,,,,0|60009,,,,,,,,,,,,,,,,,,,,,,,306363,1,1.42.0,80,,
1030029,玩家脱下装备,1,3,1,0,当 玩家 脱下装备,14,暂时不要,60009|40003|90014|40012,,,,0|60009,,,,,,,,,,,,,,,,,,,,,,100,306364,1,1.42.0,81,,
60103028,玩家穿脱装备,1,3,1,0,当  玩家 %1 装备,14,"3,6",60009|40003|90014|40012|60505020,,,3032|1|2,5|3320001,,,,,,,,,,,,,,,,,,,,,,100,306809,1,1.44.0,82,,
60103029,玩家到达星球,1,3,1,0,当玩家到达任意星球,14,暂时不要,60009|60505020|60505021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52.0,82,,
60103528,此玩家穿脱装备,1,3,1,0,当 此玩家 %1  装备,14,"2,1001,",60009|40003|90014|40012|60505020,,,3032|1|2,5|3320001,,,,,,,,,,,,,,,,,,,,,,,306810,1,1.44.0,83,,
1030032,玩家按下按键,1,3,1,0,当 玩家 按下%1,1,暂时不要,60009|40003,,,1051|1|2,5|380001,,,,,,,,,,,,,,,,,,,,,0,,306010,1,1.42.0,84,,
1030033,玩家长按按键,1,3,1,0,当 玩家 长按%1,1,暂时不要,60009|40003,,,1051|1|2,5|380001,,,,,,,,,,,,,,,,,,,,,0,,306124,1,1.42.0,85,,
1030034,玩家松开按键,1,3,1,0,当 玩家 松开%1,1,暂时不要,60009|40003,,,1051|1|2,5|380001,,,,,,,,,,,,,,,,,,,,,0,100,306125,1,1.42.0,86,,
60103030,玩家打开游戏 原版背包 界面,1,3,1,0,当 任意玩家 %1 游戏 %2 界面,1,"3,6",40014|60009|40003|60506007|60505020,,,1013|1|2,5|100001,1141|1|2,5|1420002,,,,,,,,,,,,,,,,,,,0,100,306811,1,1.44.0,87,,
60103004,玩家按下按键,1,3,1,0,当 任意玩家 %1 %2,1,"3,6",60009|40003|60506007|60505020,,,3021|1|2,5|3210001,1051|1|2,5|380001,,,,,,,,,,,,,,,,,,,0,100,306811,1,1.44.0,87,,
60103504,此玩家按下按键,1,3,1,0,当 此玩家 %1 %2,1,"2,1001,",60009|40003|60506007|60505020,,,3021|1|2,5|3210001,1051|1|2,5|380001,,,,,,,,,,,,,,,,,,,0,100,306812,1,1.44.0,88,,
60103002,玩家胜利|失败,1,3,1,0,当 玩家 游戏%1,18,"3,6",60009|40003|60505020,,,1092|1|2,5|800001,,,,,,,,,,,,,,,,,,,,,0,,306813,1,1.44.0,89,,
60103502,此玩家胜利|失败,1,3,1,0,当 此玩家 游戏%1,18,"2,1001,",60009|40003|60505020,,,1092|1|2,5|800001,,,,,,,,,,,,,,,,,,,,,0,,306814,1,1.44.0,90,,
1030003,玩家属性改变,1,3,1,0,当 玩家 的%1属性改变,14,暂时不要,60009|40003,,,1020|1|2,5|140001,,,,,,,,,,,,,,,,,,,,,0,,当玩家某个属性，如血量改变时,,1.42.0,91,,
1030001,玩家被击败,1,3,1,0,当 玩家 被击败,20,暂时不要,60009|40003,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,100,306132,1,1.42.0,92,,
1030002,玩家复活,1,3,1,0,当 玩家 复活,14,"3,6",60009|40003|60506007,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,100,306798,1,1.42.0,93,,
60103802,此玩家复活,1,3,1,0,当 此玩家 复活,14,"2,1001,",60009|40003|60506007|60505020,,,,,,,,,,,,,,,,,,,,,,,,,0,100,306799,1,1.44.0,94,,
1030009,玩家移动,1,3,1,0,当 玩家 移动一格距离,16,"3,6",60009|40003|60506007|60505020,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306800,1,1.42.0,95,,
60103809,此玩家移动,1,3,1,0,当 此玩家 移动一格距离,16,"2,1001,",60009|40003|60506007|60505020,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,100,306801,1,1.44.0,96,,
1030016,玩家骑乘（弃用）,1,3,1,0,当 玩家 骑乘坐骑/载具,3,暂时不要,60009|40003|80007|80009,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306211,1,1.42.0,97,,
1030017,玩家取消骑乘（弃用）,1,3,1,0,当 玩家 取消骑乘,3,暂时不要,60009|40003|80007|80009,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,100,306212,1,1.42.0,98,,
60103006,当玩家持枪状态改变时,1,3,1,1,当任意玩家%1%2行为时,3,"3,6",60009|40003|60506007|60505020,,,3025|1|2,5|3250001,3097|1|2,5|3970003,,,,,,,,,,,,,,,,,,,,,306456,1,1.44.0,99,,
1030041,玩家邀请好友,1,3,1,0,当 玩家 发送好友邀请链接,14,"3,6",60009|40003|60010|60506007|60505020,,,,,,,,,,,,,,,,,,,,,,,,,0,,306457,1,1.42.0,100,,
60103841,此玩家邀请好友,1,3,1,0,当 此玩家 发送好友邀请链接,14,"2,1001,",60009|40003|60010|60506007|60505020,,,,,,,,,,,,,,,,,,,,,,,,,0,,306458,1,1.44.0,101,,
1040012,生物被创建,1,4,1,0,当 生物 被创建,11,暂时不要,80006|80008|40003,,,,,,,,,,,,,,,,,,,,,,,,,0,100,306026,1,1.42.0,102,,
1040011,生物属性改变,1,4,1,0,当 生物 的属性%1发生改变,11,暂时不要,80006|80008|40003,,,1035|1|2,5|210001,,,,,,,,,,,,,,,,,,,,,0,,306372,1,1.42.0,103,,
1040002,生物进行攻击,1,4,1,0,当 生物 开始攻击,20,暂时不要,80006|40003|80008|80007|80009|60010,,,,,,,,,,,,,,,,,,,,,,,,,0,,306366,1,1.42.0,104,,
1040003,生物攻击命中,1,4,1,0,当 生物 攻击命中,20,暂时不要,80006|40003|80008|80007|80009|60010,,,,,,,,,,,,,,,,,,,,,,,,,0,,306367,1,1.42.0,105,,
1040004,生物造成伤害,1,4,1,0,当 生物 造成伤害,20,暂时不要,80006|40003|80008|80007|80009|60010|40023,,,,,,,,,,,,,,,,,,,,,,,,,0,,306368,1,1.42.0,106,,
1040006,生物击败目标,1,4,1,0,当 生物 击败目标,20,暂时不要,80006|40003|80008|80007|80009|60010,,,,,,,,,,,,,,,,,,,,,,,,,0,100,306369,1,1.42.0,107,,
1040001,生物受到伤害,1,4,1,0,当 生物 受伤,20,暂时不要,80006|80008|40003|60010|40023,,,,,,,,,,,,,,,,,,,,,,,,,0,,306370,1,1.42.0,108,,
1040005,生物被击败,1,4,1,0,当 生物 被击败,20,暂时不要,80006|80008|40003,,,,,,,,,,,,,,,,,,,,,,,,,0,100,306371,1,1.42.0,109,,
1040013,生物获得状态,1,4,1,0,当 生物 获得状态,21,暂时不要,80006|80008|40003|40006,,,,,,,,,,,,,,,,,,,,,,,,,0,,306373,1,1.42.0,110,,
1040014,生物失去状态,1,4,1,0,当 生物 失去状态,21,暂时不要,80006|80008|40003|40006,,,,,,,,,,,,,,,,,,,,,,,,,0,,306374,1,1.42.0,111,,
1040015,生物失去指定状态,1,4,1,0,当 生物 失去%1,21,暂时不要,80006|80008|40003|40006,,,1037|1|0,2|4001,,,,,,,,,,,,,,,,,,,,,0,100,306375,1,1.42.0,112,,
1040009,生物运动状态改变,1,4,1,0,当 生物 开始%1,16,暂时不要,80006|80008|40003,,,1034|1|2,5|200003,,,,,,,,,,,,,,,,,,,,,0,,,,1.42.0,113,,
1040010,生物发生碰撞,1,4,1,0,当 生物 碰撞任意玩家/生物,16,暂时不要,80006|40003|80008|80007|80009|60010,,,,,,,,,,,,,,,,,,,,,,,,,0,,306027,1,1.42.0,114,,
1040007,生物进入区域,1,4,1,0,当 生物 进入%1,10,暂时不要,80006|80008|40003,,,1001|1|0,,,,,,,,,,,,,,,,,,,,,,0,,306376,1,1.42.0,115,,
1040008,生物离开区域,1,4,1,0,当 生物 离开%1,10,暂时不要,80006|80008|40003,,,1001|1|0,,,,,,,,,,,,,,,,,,,,,,0,,306377,1,1.42.0,116,,
1040025,此生物被创建,1,4,1,0,当 此类生物 被创建,11,暂时不要,80006|40003|80008,,,,,,,,,,,,,,,,,,,,,,,,,,,306005,1,1.42.0,117,,
