方块ID,方块名称,预制文件名,英文名称,插件用名称[必填/不能有空格],繁体名称,海外开放（0和空为在国内海外都开放，1为只在国内开放，2为只在海外开放）,类别,插件编辑[大于0开放插件编辑，1=综合，2=彩色，3=建筑],触发器开放[1=植物方块 2=液体方块 3=自然方块 4=装饰方块 5=功能方块],地形编辑器开放[1=植物方块 2=液体方块 3=自然方块 4=装饰方块 5=功能方块],成长后替换的模型ID,插件编辑模板[0=不是模板，1=作为模板],变换颜色,鼠标点击碰撞,移动碰撞[0=空气， 1=固体， 2= 液体， 3=不阻挡投射物，4=空气挡子弹，5=不阻挡物理],阻挡水流（0=不阻挡，1=阻挡，2=被流沙同化，3=覆盖阻挡）,"推动标识-0:普通推动后续方块, 1:推动碾碎, 2:不能推动",重力影响方式0:不影响， 1: 沙子会下坠， 2: 流体会往低处流， 3：花草会破坏,PlaceDir(0：没有方向，1：和放置的面相关，类似火把，  2：和自己视线的方向相关，类似楼梯),放置可直接替换,植物标识（填了1就视为是植物方块）,生长时间（生长阶段数|阶段生成时间）,覆雪标识[默认0=不覆雪 1=覆雪],爆炸抗性,硬度,地滑程度,燃烧速度,点燃概率,毒液侵蚀速度,充能状态,掉落物1,掉落概率1,掉落物2,掉落概率2,空手掉落物,空手掉落概率,采集掉落经验,掉落经验概率,掉落的星星数量（数组，两个值随机）,"遮挡旁边块0: 不遮挡， 1: 遮挡， 2： 根据厚度来定,  3: 遮挡相同材质",光衰减,光源强度,使用旁边方块的光照,高度（block),贴图1,贴图2/模型类这里填模型名称,prefab资源（用到prefab资源的方块填此字段）,走在上面声音,挖的声音,放置的声音,精准掉落物品,采集工具/1=斧头，2=镐，3=铲子，5=剪刀,工具等级（1=石，2=铜，3=铁，4=铝，5=钛，6=钴，7=钨）,随机颜色【地形生成树的时候会从三个颜色里等概率随机一个，以012的形式存于blockdata】,小地图颜色,分数,特殊数据1,可被投掷物击碎,特效名字,蓝图方块分类[多类相加，1=不能复制 2=不消耗 4=有方向的方块 8=随机数 16=多方向 32=不能替换],所需材料替换方块[蓝图],物理碰撞（0-无碰撞，1-满1格碰撞，2-不满一格的碰撞，3-门那种， 6-会根据方块data改变形状）,微缩透明度(0全透 15不透明),微缩发光度(0最亮 15不发光),温度源强度（用于计算温度源的热传导）,温度衰减（用于计算温度源的传热衰减）,植物生长温度区间（1=冻结，2=极寒，3=寒冷，4=适宜，5=炎热，6=极热，7=自燃；不在适宜温度区间则会降低生长速度，仅对cropper，flowergrow，melonstem，shrub这几个type生效；0或不填则不开启）,"多格方块类型(0非多格,1多格例如床钢琴箱子等)",韧度值,LOD等级(默认为0，0=强制显示),是否产生阴影(默认为1),是否按屏幕空间大小的方式裁剪(默认是1),破坏中的掉落粒子使用的特效文件，填文件名称，默认填空为使用通用粒子；文件地址：CommonResource\Assets\Resources\minigame\prefab\particles,破坏后的掉落粒子使用的特效文件，填文件名称，默认填空为使用通用粒子；文件地址：CommonResource\Assets\Resources\minigame\prefab\particles,挖掘附属特效（例如石头-火花）,可否被变向（0没有方向无法变向，1四向，2六、八向，3特殊处理）,自发光颜色,不透明度(0-255),"方块结构标识-0:可被推动、转动, 1:推动、转动碾碎, 2:不能推动、转动",里世界交互标识（0不可被交互，1可被交互）,PBR功能贴图,蓝图方块价值,替换绘制类型（BlockDrawType）,是否可活化,HDR自发光强度系数
9,加速移动方块,,SpeedUpBlock,SpeedUpBlock,,,portal,,4,4,,,,1,0,1,2,3,1,,,,,50,5,1,0,,0,,9,10000,0,0,9,10000,,,,0,0,15,,1,speedup_block,,,blocks.stone,blockd.stone,,9,2,1,,ff7717,,,,,1,,0,8,0,,1,,,5,,,,,,,0,af822b,0,2,0,,0,,,
10,星能块,,StarenergyBlock,StarenergyBlock,,,powerbasic,,,,,,,1,1,1,0,0,0,,,,1,10,1,1,0,,0,,10,10000,0,0,10,10000,,,,1,15,0,,1,starenergy_block,,,blocks.stone,blockd.stone,,10,0,1,,81c9fb,,,,,1,,1,15,15,,6,,,1,,,,,,,0,,255,0,1,,0,,,2
11,静态蜂蜜,,StaticHoney,StaticHoney,,,stillfluidhoney,,2,2,,,,0,2,0,1,2,0,1,,,,10,-1,1,0,,0,,0,0,0,0,0,0,,,,0,1,0,,1,honey_still,,,,,env.splash,0,0,,,d38400,,,,,2,,0,8,0,,1,,,,,,,,,,0,,17,1,1,,0,,,
12,动态蜂蜜,,Honey,Honey,,,flowfluidhoney,,2,2,,,,0,2,0,1,2,0,1,,,,10,-1,1,0,,0,,0,0,0,0,0,0,,,,0,1,0,,1,honey_flow,,,,,env.splash,0,0,,,d38400,,,,,2,,0,8,0,,1,,,,,,,,,,0,,17,1,1,,0,,,
13,静态流沙,,StaticQuicksand,StaticQuicksand,,,staticsandflow,,2,2,,,,0,2,2,1,2,0,1,,,,10,-1,1,0,,0,,0,0,0,0,0,0,,,,0,1,0,,1,sand_still,,,,,env.splash,0,0,,,efd974,,,,,2,,0,8,15,,1,,,,,,,,,,0,,17,1,1,,0,,,
14,动态流沙,,Quicksand,Quicksand,,,sandflow,,2,2,,,,0,2,2,1,2,0,1,,,,10,-1,1,0,,0,,0,0,0,0,0,0,,,,0,1,0,,1,sand_flow,,,,,env.splash,0,0,,,efd974,,,,,2,,0,15,15,,1,,,,,,,,,,0,,17,1,1,,0,,,
15,咒岩,,CurseStone,CurseStone,,,cursestone,1,3,3,,,,1,1,1,0,0,0,,,,1,500,500,1,0,,0,,15,10000,0,0,15,10000,,,,1,15,6,,1,cursestone,,,blocks.stone,blockd.stone,,15,2,2,,3d2168,,,,cursestone.ent,,,1,15,15,,6,,,999,,,,,,,0,,255,0,1,,1,,,
16,咒岩-激活,,CurseStoneActivated,CurseStoneActivated,,,cursestoneactivated,,,,,,,0,0,1,2,0,0,,,,1,500,200,1,0,,0,,0,0,0,0,0,0,,,,0,0,6,,1,cursestone_activated,,,,,,15,2,2,,3d2168,,,,,,15,0,0,15,,6,,,999,,,,,,,0,9d79b6,0,2,1,,0,,,2
17,静态剧毒,,StaticHighlyVenom,StaticHighlyVenom,,,stillvenom,,2,2,,,,0,2,0,1,2,0,1,,,,10,-1,1,0,,0,,0,0,0,0,0,0,,,,0,1,0,,1,highlyvenom_still,,,,,env.splash,0,0,,,128c34,,,,,2,,0,15,15,,1,,,,,,,,,,0,,17,1,1,,0,,,
18,动态剧毒,,HighlyVenom,HighlyVenom,,,flowvenom,,2,2,,,,0,2,0,1,2,0,1,,,,10,-1,1,0,,0,,0,0,0,0,0,0,,,,0,1,0,,1,highlyvenom_flow,,,,,env.splash,0,0,,,128c34,,,,,2,,0,8,0,,1,,,,,,,,,,0,,17,1,1,,0,,,
19,风蚀岩,,WindErosionStone,WindErosionStone,,,log,1,3,3,,,,1,1,1,0,0,0,,,,1,20,4,1,0,,0,,19,10000,0,0,0,0,,,,1,15,0,,1,winderosion_stone,,,blocks.stone,blockd.stone,,19,2,1,,c79d59,,,,,,,1,15,15,,6,,,4,,,,,,,0,,255,0,1,,0.2,,1,
20,外星空气,,,,,,alienair,,,,,,,0,0,0,1,0,0,1,,,,0,-1,1,0,,0,,0,0,0,0,0,0,,,,0,0,0,,1,water_still,,,,,,0,0,,,,,,,,1,,0,15,15,,1,,,,,,,,,,0,,0,1,0,,0,,,
21,信号发生器,,,,,,radioproducer,,,,,,,1,1,1,2,0,0,,,,,,,1,0,,0,,,,,,,,,,,,,,,1,alientotem1,alientotem1,,,,,,,,,,,,,,,,1,15,15,,6,,,,,,,,,,0,,0,2,0,,0,26,,
22,信号接收器,,,,,,radioreceiver,,,,,,,1,1,1,2,0,0,,,,,,,1,0,,0,,,,,,,,,,,,,,,1,alientotem2,alientotem2,,,,,,,,,,,,,,,,1,15,15,,6,,,,,,,,,,0,,0,2,0,,0,26,,
23,深积岩,,SedimentaryRock,SedimentaryRock,,,plutonicrock,1,3,3,,,,1,1,1,0,0,0,,,,1,12,12,1,0,,0,,23,10000,0,0,23,10000,,,,1,15,0,,1,sedimentaryrock,,,blocks.stone,blockd.stone,,23,2,2,,191970,,,,,,,1,15,15,,6,,,5,,,,,,,0,,255,0,1,,0.2,,,
24,锰结核矿,,ManganeseOre,ManganeseOre,,,minestone,1,3,3,,,,1,1,1,0,0,0,,,,1,50,40,1,0,,0,,12614,20000,12614,7500,12614,0,11,10000,"3,4",1,15,0,1,1,meng,meng1,,blocks.stone,blockd.stone,,24,2,3,,A58F78,,,,,,,1,15,15,,6,,,30,4,,,,,block_knock_line,0,,255,0,1,,4,,1,2
25,礁石,,Reef,Reef,,,reef,1,3,3,,,,1,1,1,0,0,0,,,,1,10,10.5,1,0,,0,,25,10000,0,0,25,10000,,,,1,15,0,,1,reef,,,blocks.stone,blockd.stone,,25,2,1,,2F4F4F,,,,,,,1,15,15,,6,,,10,,,,,,,0,,255,0,1,reef_0_mix,0.2,,,
26,漂流瓶,,,,,,driftBottle,,4,,3887,,,1,1,1,0,0,0,,,,,3,0,1,0,,0,,26,10000,0,0,26,10000,,,,2,1,0,,1,drift_bottle,drift_bottle,,blocks.stone,blockd.glass,blockd.stone,748,2,1,,ffffff,1,,1,item_749.ent,1,,0,8,0,,1,,,1,3,,,,,,0,,17,0,1,,0,,,
27,远方的漂流瓶,,,,,,driftBottle,,4,,3887,,,1,1,1,0,0,0,,,,,3,0,1,0,,0,,27,10000,0,0,27,10000,,,,2,1,0,,1,far_drift_bottle,far_drift_bottle,,blocks.stone,blockd.glass,blockd.stone,748,2,1,,ffffff,1,,1,item_749.ent,1,,0,8,0,,1,,,1,3,,,,,,0,,17,0,1,,0,,,
28,小玻璃瓶（方块）,,,,,,placeBottle,,4,,3888,,,1,1,1,0,0,0,,,,,3,0,1,0,,0,,11320,10000,0,0,11320,10000,,,,2,1,0,,1,glass_bottle,glass_bottle,,blocks.stone,blockd.glass,blockd.stone,748,2,1,,ffffff,1,,1,item_749.ent,,,0,8,0,,6,,,1,3,,,,,,0,,17,0,1,,0.2,,,
29,黄沙,,Sand,Sand,,,solidsand,1,3,3,,1,,1,1,2,0,1,0,,,,1,7,3,1,0,,0,,29,10000,0,0,29,10000,,,,1,15,0,,1,new_sand,,,blocks.sand,blockd.sand,,29,3,1,,efd974,,,,,,,1,15,15,,6,,,2,,,,,,,0,,255,0,1,,0.2,,1,
30,游戏版本过低,,,,,,basic,,,,,,,1,1,1,2,0,0,,,,,,,1,0,,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,15,15,,1,,,,,,,,,,0,,0,2,1,,0,,,
31,坚固冰棱,,HardIcicle,HardIcicle,,,hardicicle,1,3,3,,,,1,1,1,1,3,0,,,,,12,5,1,0,,0,,31,10000,0,0,31,10000,,,,0,1,0,,1,icicle1,icicle,,blocks.stone,blocks.stone,,31,2,1,,6e8f41,5,,,,8,,0,15,15,,1,,,2,,,,,,,0,,17,1,1,,0.2,,,
32,脆冰棱,,WeakIcicle,WeakIcicle,,,icicle,1,3,3,,,,1,1,1,1,3,0,,,,,12,5,1,0,,0,,32,10000,0,0,32,10000,,,,0,1,0,,1,icicle,icicle,,blocks.stone,blocks.stone,,32,2,1,,6e8f41,5,,,,8,,0,15,15,,1,,,2,,,,,,,0,,17,1,1,,0.2,,,
33,平凡晶核矿,,OrdinaryCrystalCoreOre,OrdinaryCrystalCoreOre,,,minestone,1,3,3,,,,1,1,1,0,0,0,,,,1,50,20,1,0,,0,,11570,10000,0,0,11570,0,,,,1,15,0,1,1,pingfan,pingfan1,,blocks.stone,blockd.stone,,33,2,3,,6c4729,,,,,,,1,15,15,,6,,,5,4,,,,,block_knock_line,0,,255,0,1,,4,,1,2
34,霜火石矿,,IceCrystalOre,IceCrystalOre,,,minestone,1,3,3,,,,1,1,1,0,0,0,,,,1,50,20,1,0,,0,,11824,10000,0,0,11824,0,1,10000,"1,1",1,7,7,1,1,shuanghuo,shuanghuo1,,blocks.stone,blockd.stone,,34,2,3,,6c4729,,,,,,,1,15,15,-10,6,,,5,4,,,,,block_knock_line,0,6f668c,119,0,1,,4,,1,2
35,霜火石块,,IceCrystalBlock,IceCrystalBlock,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,1,100,24,1,0,,0,,35,10000,0,0,35,10000,,,,1,7,14,,1,ice_crystal_block,,,blocks.stone,blockd.stone,,35,2,1,,cccccc,,,,,,,1,15,15,-13,6,,,5,,,,,,,0,6f668c,119,0,1,,24,,1,2
36,洞窟洞口刷新,,,,,,air,,,,,,,1,0,0,2,0,0,1,,,,1,0,1,0,,0,,,,,,,,,,,0,0,0,,1,fluorescent,,,,,,,,,,ffff00,,,,,33,,0,8,0,,1,,,,,,,,,,0,,0,2,0,,0,,,
37,洞窟通道刷新,,,,,,air,,,,,,,1,0,0,2,0,0,1,,,,1,0,1,0,,0,,,,,,,,,,,0,0,0,,1,fluorescent,,,,,,,,,,ffff00,,,,,33,,0,8,0,,1,,,,,,,,,,0,,0,2,0,,0,,,
38,洞窟大洞刷新,,,,,,air,,,,,,,1,0,0,2,0,0,1,,,,1,0,1,0,,0,,,,,,,,,,,0,0,0,,1,fluorescent,,,,,,,,,,ffff00,,,,,33,,0,8,0,,1,,,,,,,,,,0,,0,2,0,,0,,,
39,洞窟小洞刷新,,,,,,air,,,,,,,1,0,0,2,0,0,1,,,,1,0,1,0,,0,,,,,,,,,,,0,0,0,,1,fluorescent,,,,,,,,,,ffff00,,,,,33,,0,8,0,,1,,,,,,,,,,0,,0,2,0,,0,,,
40,虚空晶块,,,,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,1,40,13,1,1,5,1,,40,10000,0,0,40,10000,,,,1,15,8,,1,void_block,,,blocks.stone,blockd.stone,,40,2,1,,81c9fb,,,,,,,1,15,15,,6,,,10,,,,,,,0,a5799f,255,0,1,,24,,1,2
41,静态星辉水,,StaticStarWater,StaticStarWater,,,stillfluidwater,,2,2,,,,0,2,0,1,2,0,1,,,,10,-1,1,0,,0,,0,0,0,0,0,0,,,,0,1,0,,1,starwater_still,,,,,env.splash,0,0,,,0e7bc0,,,,,2,,0,8,15,,1,,,,,,,,,,0,,17,1,1,,0,,,
42,动态星辉水,,StarWater,StarWater,,,flowfluidwater,,2,2,,,,0,2,0,1,2,0,1,,,,10,-1,1,0,,0,,0,0,0,0,0,0,,,,0,1,0,,1,starwater_flow,,,,,env.splash,0,0,,,,,,,,2,,0,15,15,,1,,,,,,,,,,0,,17,1,1,,0,,,
43,蘑古沙,,MoguSand,MoguSand,,,solidsand,1,3,3,,1,,1,1,2,0,0,0,,,,1,7,3,1,,,,,43,10000,0,0,43,10000,,,,1,15,0,,1,mogusand,,,blocks.sand,blockd.sand,,43,3,1,,efd974,,,,,,,1,15,15,,6,,,2,,,,,,,0,,255,0,1,,0.2,,,
99,混凝土,,GrassBlock,GrassBlock,,,basic,1,3,3,,1,,1,1,1,0,0,0,,,,1,7,3.5,1,0,,0,,99,10000,0,0,99,10000,,,,1,15,0,,1,CityGround,,,blocks.grass,blockd.grass,,99,3,1,,776d63,,,,,1,,1,15,15,,6,,,,,,,,,,0,,255,0,1,,0.2,,1,
100,长草土块,,GrassBlock,GrassBlock,,,grass,1,3,3,,1,,1,1,1,0,0,0,,,,1,7,2.5,1,0,,0,,100,10000,0,0,100,10000,,,,1,15,0,,1,grass,,,blocks.grass,blockd.grass,,100,3,1,,a7c738,,,,,,,1,15,15,,6,,,,,,,,,,0,,255,0,1,,0.2,,1,
101,土块,,Soil,Soil,,,soil,1,3,3,,1,,1,1,1,0,0,0,,,,1,7,2.5,1,0,,0,,101,10000,0,0,101,10000,,,,1,15,0,,1,dirt,,,blocks.gravel,blockd.gravel,,101,3,1,,967331,,,,,,,1,15,15,,6,,,,,,,,,,0,,255,0,1,,0.2,,1,
102,耕地,,Arableland,Arableland,,,farmland,1,3,3,,,,1,1,1,0,0,0,,,,,7,2.5,1,0,,0,,101,10000,0,0,101,10000,,,,2,15,0,,1,arableland,dirt,,blocks.grass,blockd.grass,,102,3,1,,6c5a1a,,,,,,101,1,15,15,,6,,,,,,,,,,0,,255,0,1,,0,,1,
103,土坑,,Buryland,Buryland,,,buryland,1,3,3, ,,,1,1,1,0,0,0,,,,,7,2.5,1,0,,0,,101,10000,0,0,101,10000,,,,2,15,0,,1,buryland,dirt,,blocks.grass,blockd.grass,,103,3,1,,6c5a1a,,,,,,101,1,15,15,,6,,,,,,,,,,0,,255,0,1,,0,,1,
104,岩石,,Stone,Stone,,,basic,1,3,3,,1,,1,1,1,0,0,0,,,,1,50,6,1,0,,0,,104,10000,0,0,104,10000,,,,1,15,0,,1,stone,,,blocks.stone,blockd.stone,,104,2,1,,a6a899,,,,,,,1,15,15,,6,,,3,,,,,,,0,,255,0,1,,0.2,,1,
105,青石,,MossRock,MossRock,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,1,50,8,1,0,,0,,105,10000,0,0,105,10000,,,,1,15,0,,1,moss_rock,,,blocks.stone,blockd.stone,,105,2,1,,bdbfae,,,,,,,1,15,15,,6,,,3,,,,,,,0,,255,0,1,,0.2,,1,
106,黄沙,,Sand,Sand,,,sand,,,,,,,1,1,2,0,1,0,,,,1,7,2,1,0,,0,,29,10000,0,0,29,10000,,,,1,15,0,,1,sand,,,blocks.sand,blockd.sand,,29,3,1,,efd974,,,,,,29,1,15,15,,6,,,,,,,,,,0,,255,0,1,,0,,,
107,碎石堆,,Gravel,Gravel,,,gravel,1,3,3,,,,1,1,1,0,1,0,,,,1,10,6,1,0,,0,,107,10000,,,107,10000,,,,1,15,0,,1,gravel,,,blocks.gravel,blockd.gravel,,107,3,1,,f1c95a,,,,,,,1,15,15,,6,,,2,,,,,,,0,,255,0,1,,0.2,,1,
108,素纹黄砖,,Sandstone,Sandstone,,,log,1,4,4,,1,,1,1,1,0,0,0,,,,1,20,5,1,0,,0,,108,10000,0,0,108,10000,,,,1,15,0,,1,sandstone,sandstone_normal,,blocks.stone,blockd.stone,,108,2,1,,ecc47c,,,,,,,1,15,15,,6,,,3,,,,,,,0,,255,0,1,,0.2,,1,
109,砂土,,SandySoil,SandySoil,,,basic,1,4,4,,,,1,1,2,0,0,0,,,,1,8,4,1,0,,0,,109,10000,0,0,109,10000,,,,1,15,0,,1,sandstone_top,,,blocks.gravel,blockd.gravel,,109,2,1,,c79d59,,,,,,,1,15,15,,6,,,3,,,,,,,0,,255,0,1,,0.2,,1,
110,散落的石块,,ScatteredStone,ScatteredStone,,,clitter,1,3,3,,1,,1,1,1,0,0,0,,,,1,4,0,1,0,,0,,11627,15000,0,0,11627,15000,,,,2,1,0,,1,scatteredstone,scatteredstone,,blocks.stone,blockd.stone,,110,0,1,,a6a899,,,,,,104,0,15,15,,1,,,1,2,,,,,,0,,17,0,1,,0,,,
111,游戏版本过低,,,,,,basic,,,,,,,1,1,1,2,0,0,,,,,,,1,0,,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,33,,1,15,15,,1,,,,,,,,,,0,,0,2,1,,0,,,
112,黑晶石,,BlackCrystal,BlackCrystal,,,basic,1,3,3,,1,,1,1,1,2,0,0,,,,1,500,200,1,0,,0,,112,10000,0,0,0,0,,,,1,15,0,,1,blackcrystal,,,blocks.stone,blockd.stone,,112,2,5,,3d2168,,,,,,,1,15,15,,6,,,10,,,,,,,0,,255,0,1,,0.5,,1,
113,脆冰,,FloatingIce,FloatingIce,,,basic,,,,,,,1,1,1,0,0,1,,,,1,10,5,1,0,,0,,0,0,0,0,0,0,,,,2,3,0,,1,ice,,,blocks.stone,blockd.stone,,113,2,1,,8dd1ff,,,,,,,1,15,15,,6,,,2,,,,,,,0,,51,0,1,,0.2,,1,
114,淤泥,,Silt,Silt,,,basic,1,3,3,,,,1,1,1,0,0,0,,,,1,8,4,1,0,,0,,114,10000,0,0,114,10000,,,,2,15,0,,1,silt,,,blocks.stone,blockd.stone,,114,3,1,,87999e,,,,,,,1,15,15,,6,,,2,,,,,,,0,,255,0,1,,0.2,,1,
115,松软的雪,,Snow,Snow,,,snow,1,3,3,,,,1,0,0,0,3,0,1,,,,3,1.5,1,0,,0,,115,10000,0,0,0,0,,,,2,2,0,,1,snow,,,blocks.snow,blockd.snow,,115,3,1,,d4f4f5,,,,,,,0,15,15,,1,,,1,,1,,,,,0,,34,0,1,,0.2,,1,
