鱼的id,中文名称,稀有度（0~4递增）,咬饵时间tick,基础全生态权重（biomedef.csv）,加成生态权重（biomedef.csv）,暴风雨权重加成,彩虹0假动作概率,普通鱼竿,角珊瑚鱼竿,气泡珊瑚鱼竿,圆盘珊瑚鱼竿,树珊瑚鱼竿,猫猫鱼竿,举鱼动作,模型路径（0=itemmod，1=entity）
13612,粉色呆呆鱼,2,40,0,OCEAN|100;RIVER|100;FROZEN_OCEAN|100;FROZEN_RIVER|100;BEACH|200;BIOME_DESERT_LAKE|100;DEEPOCEAN|60;ISLAND_SHORE_DESERT|60;ISLAND_LAND_DESERT|60;ISLAND_SHORE_REDSOIL|60;ISLAND_LAND_REDSOIL|60;ISLAND_SHORE_REEF|60;ISLAND_LAND_REEF|60;REDSOIL|100;REDSOIL_SHORE|100;PLAINS|100;FOREST|100;TAIGA|100;SWAMPLAND|100;ICE_PLAINS|100;JUNGLE|100;RAINFOREST|100;AIR_ISLAND|100;BASIN_PEACH|100,0,100,1,1,1,1,1,1,1,1
13613,黄色奇奇鱼,2,40,0,OCEAN|100;RIVER|100;FROZEN_OCEAN|100;FROZEN_RIVER|100;BEACH|200;BIOME_DESERT_LAKE|100;DEEPOCEAN|60;ISLAND_SHORE_DESERT|60;ISLAND_LAND_DESERT|60;ISLAND_SHORE_REDSOIL|60;ISLAND_LAND_REDSOIL|60;ISLAND_SHORE_REEF|60;ISLAND_LAND_REEF|60;REDSOIL|100;REDSOIL_SHORE|100;PLAINS|100;FOREST|100;TAIGA|100;SWAMPLAND|100;ICE_PLAINS|100;JUNGLE|100;RAINFOREST|100;AIR_ISLAND|100;BASIN_BAMBOO|100,0,100,1,1,1,1,1,1,1,1
13614,紫色丑丑鱼,2,40,0,DEEPOCEAN|400;ISLAND_SHORE_DESERT|400;ISLAND_LAND_DESERT|400;ISLAND_SHORE_REDSOIL|400;ISLAND_LAND_REDSOIL|400;ISLAND_SHORE_REEF|400;ISLAND_LAND_REEF|400;REDSOIL|50;REDSOIL_SHORE|50,0,100,1,1,1,1,1,1,1,1
13615,绿色奇奇鱼,2,40,0,OCEAN|100;RIVER|100;FROZEN_OCEAN|100;FROZEN_RIVER|100;BEACH|200;BIOME_DESERT_LAKE|100;DEEPOCEAN|60;ISLAND_SHORE_DESERT|60;ISLAND_LAND_DESERT|60;ISLAND_SHORE_REDSOIL|60;ISLAND_LAND_REDSOIL|60;ISLAND_SHORE_REEF|60;ISLAND_LAND_REEF|60;REDSOIL|100;REDSOIL_SHORE|100;PLAINS|100;FOREST|100;TAIGA|100;SWAMPLAND|100;ICE_PLAINS|100;JUNGLE|100;RAINFOREST|100;AIR_ISLAND|100;BASIN|100;BASIN_BAMBOO|100,0,100,1,1,1,1,1,1,1,1
13616,条纹丑丑鱼,2,40,0,OCEAN|100;RIVER|100;FROZEN_OCEAN|100;FROZEN_RIVER|100;BEACH|200;BIOME_DESERT_LAKE|100;DEEPOCEAN|60;ISLAND_SHORE_DESERT|60;ISLAND_LAND_DESERT|60;ISLAND_SHORE_REDSOIL|60;ISLAND_LAND_REDSOIL|60;ISLAND_SHORE_REEF|60;ISLAND_LAND_REEF|60;REDSOIL|100;REDSOIL_SHORE|100;PLAINS|100;FOREST|100;TAIGA|100;SWAMPLAND|100;ICE_PLAINS|100;JUNGLE|100;RAINFOREST|100;AIR_ISLAND|100;BASIN|100;BASIN_BAMBOO|100,0,100,1,1,1,1,1,1,1,1
13617,红色奇奇鱼,2,40,0,OCEAN|100;RIVER|100;FROZEN_OCEAN|50;FROZEN_RIVER|50;BEACH|200;BIOME_DESERT_LAKE|100;DEEPOCEAN|60;ISLAND_SHORE_DESERT|60;ISLAND_LAND_DESERT|60;ISLAND_SHORE_REDSOIL|60;ISLAND_LAND_REDSOIL|60;ISLAND_SHORE_REEF|60;ISLAND_LAND_REEF|60;REDSOIL|100;REDSOIL_SHORE|100;PLAINS|100;FOREST|100;TAIGA|100;SWAMPLAND|100;ICE_PLAINS|100;JUNGLE|100;RAINFOREST|100;AIR_ISLAND|100;BASIN_PEACH|100,0,100,1,1,1,1,1,1,1,1
13618,红色呆呆鱼,2,40,0,OCEAN|100;RIVER|100;FROZEN_OCEAN|50;FROZEN_RIVER|50;BEACH|200;BIOME_DESERT_LAKE|100;DEEPOCEAN|60;ISLAND_SHORE_DESERT|60;ISLAND_LAND_DESERT|60;ISLAND_SHORE_REDSOIL|60;ISLAND_LAND_REDSOIL|60;ISLAND_SHORE_REEF|60;ISLAND_LAND_REEF|60;REDSOIL|100;REDSOIL_SHORE|100;PLAINS|100;FOREST|100;TAIGA|100;SWAMPLAND|100;ICE_PLAINS|100;JUNGLE|100;RAINFOREST|100;AIR_ISLAND|100;BASIN_PEACH|100,0,100,1,1,1,1,1,1,1,1
13619,橙色丑丑鱼,2,40,0,OCEAN|100;RIVER|100;FROZEN_OCEAN|100;FROZEN_RIVER|100;BEACH|200;BIOME_DESERT_LAKE|100;DEEPOCEAN|60;ISLAND_SHORE_DESERT|60;ISLAND_LAND_DESERT|60;ISLAND_SHORE_REDSOIL|60;ISLAND_LAND_REDSOIL|60;ISLAND_SHORE_REEF|60;ISLAND_LAND_REEF|60;REDSOIL|100;REDSOIL_SHORE|100;PLAINS|100;FOREST|100;TAIGA|100;SWAMPLAND|100;ICE_PLAINS|100;JUNGLE|100;RAINFOREST|100;AIR_ISLAND|100;BASIN_BAMBOO|100,0,100,1,1,1,1,1,1,1,1
13621,螃蟹,2,40,0,OCEAN|300;RIVER|300;BEACH|300;DEEPOCEAN|60;ISLAND_SHORE_DESERT|60;ISLAND_LAND_DESERT|60;ISLAND_SHORE_REDSOIL|60;ISLAND_LAND_REDSOIL|60;ISLAND_SHORE_REEF|60;ISLAND_LAND_REEF|60;REDSOIL|200;REDSOIL_SHORE|100,0,100,1,1,1,1,1,1,1,1
13623,海马,4,10,0,OCEAN|100;BEACH|80;DEEPOCEAN|100;ISLAND_SHORE_DESERT|100;ISLAND_LAND_DESERT|100;ISLAND_SHORE_REDSOIL|100;ISLAND_LAND_REDSOIL|100;ISLAND_SHORE_REEF|100;ISLAND_LAND_REEF|100,50,100,0,1.3,1.3,1.3,1.3,1,1,1
13624,小海马,4,10,0,OCEAN|100;BEACH|100;DEEPOCEAN|100;ISLAND_SHORE_DESERT|100;ISLAND_LAND_DESERT|100;ISLAND_SHORE_REDSOIL|100;ISLAND_LAND_REDSOIL|100;ISLAND_SHORE_REEF|100;ISLAND_LAND_REEF|100,50,100,0,1.5,1.5,1.5,1.5,1,1,1
13626,水母,3,20,0,OCEAN|150;BEACH|150;DEEPOCEAN|100;ISLAND_SHORE_DESERT|100;ISLAND_LAND_DESERT|100;ISLAND_SHORE_REDSOIL|100;ISLAND_LAND_REDSOIL|100;ISLAND_SHORE_REEF|100;ISLAND_LAND_REEF|100,0,100,1,1.5,1.5,1.5,1.5,1,1,1
13627,飞鱼,3,20,0,OCEAN|150;BEACH|200;DEEPOCEAN|100;ISLAND_SHORE_DESERT|100;ISLAND_LAND_DESERT|100;ISLAND_SHORE_REDSOIL|100;ISLAND_LAND_REDSOIL|100;ISLAND_SHORE_REEF|100;ISLAND_LAND_REEF|100,0,100,1,1.5,1.5,1.5,1.5,1,1,1
13628,鲨鱼,4,10,0,OCEAN|100;BEACH|100;DEEPOCEAN|100;ISLAND_SHORE_DESERT|100;ISLAND_LAND_DESERT|100;ISLAND_SHORE_REDSOIL|100;ISLAND_LAND_REDSOIL|100;ISLAND_SHORE_REEF|100;ISLAND_LAND_REEF|100,50,100,0,1.3,1.3,1.3,1.3,1,1,1
13629,魔鬼鱼,3,20,0,DEEPOCEAN|100;ISLAND_SHORE_DESERT|100;ISLAND_LAND_DESERT|100;ISLAND_SHORE_REDSOIL|100;ISLAND_LAND_REDSOIL|100;ISLAND_SHORE_REEF|100;ISLAND_LAND_REEF|100,0,100,1,1.5,1.5,1.5,1.5,1,1,1
13630,荧光棒藻鱼,3,20,0,DEEPOCEAN|100;ISLAND_SHORE_DESERT|100;ISLAND_LAND_DESERT|100;ISLAND_SHORE_REDSOIL|100;ISLAND_LAND_REDSOIL|100;ISLAND_SHORE_REEF|100;ISLAND_LAND_REEF|100,0,100,1,1.5,1.5,1.5,1.5,1,1,1
12616,藏宝图玻璃瓶,4,10,150,OCEAN|100;RIVER|20;BEACH|150;DEEPOCEAN|200;ISLAND_SHORE_DESERT|200;ISLAND_LAND_DESERT|200;ISLAND_SHORE_REDSOIL|200;ISLAND_LAND_REDSOIL|200;ISLAND_SHORE_REEF|200;ISLAND_LAND_REEF|200,50,100,0,1.3,1.3,1.3,1.3,1,,
314,红藻,2,40,0,DEEPOCEAN|200;ISLAND_SHORE_DESERT|200;ISLAND_LAND_DESERT|200;ISLAND_SHORE_REDSOIL|200;ISLAND_LAND_REDSOIL|200;ISLAND_SHORE_REEF|200;ISLAND_LAND_REEF|200,0,100,0,1.3,1.3,1.3,1.3,1,,
247,漂浮的花瓣,1,50,100,PLAINS|100;DESERT|100;EXTREMEHILLS|100;FOREST|100;TAIGA|100;SWAMPLAND|100;JUNGLE|100;FOREST_HILLS|100;TAIGA_HILLS|100;EXTREMEHILLS_EDGE|100;JUNGLE_HILLS|100;RAINFOREST|100;AIR_ISLAND|100;BASIN|100;BASIN_EDGE|100;BASIN_BAMBOO|100;BASIN_PEACH|100;BIOME_AIR_PLAINS|100;BIOME_AIR_PLAINS_H|100,0,100,1,1,1,1,1,1,,
248,漂浮的木板,1,50,100,PLAINS|100;DESERT|100;EXTREMEHILLS|100;FOREST|100;TAIGA|100;SWAMPLAND|100;JUNGLE|100;FOREST_HILLS|100;TAIGA_HILLS|100;EXTREMEHILLS_EDGE|100;JUNGLE_HILLS|100;RAINFOREST|100;AIR_ISLAND|100;BASIN|100;BASIN_EDGE|100;BASIN_BAMBOO|100;BASIN_PEACH|100;BIOME_AIR_PLAINS|100;BIOME_AIR_PLAINS_H|100,0,100,1,1,1,1,1,1,,
11311,便便,1,50,100,PLAINS|100;DESERT|100;EXTREMEHILLS|100;FOREST|100;TAIGA|100;SWAMPLAND|100;JUNGLE|100;FOREST_HILLS|100;TAIGA_HILLS|100;EXTREMEHILLS_EDGE|100;JUNGLE_HILLS|100;RAINFOREST|100;AIR_ISLAND|100;BASIN|100;BASIN_EDGE|100;BASIN_BAMBOO|100;BASIN_PEACH|100;BIOME_AIR_PLAINS|100;BIOME_AIR_PLAINS_H|100,0,100,1,1,1,1,1,1,,
250,荷花,1,50,0,RIVER|100;PLAINS|100;DESERT|100;EXTREMEHILLS|100;FOREST|100;TAIGA|100;SWAMPLAND|100;JUNGLE|100;FOREST_HILLS|100;TAIGA_HILLS|100;EXTREMEHILLS_EDGE|100;JUNGLE_HILLS|100;RAINFOREST|100;AIR_ISLAND|100;BASIN|100;BASIN_EDGE|100;BASIN_BAMBOO|100;BASIN_PEACH|100;BIOME_AIR_PLAINS|100;BIOME_AIR_PLAINS_H|100,0,100,1,1,1,1,1,1,,
295,大椰子,1,50,0,PLAINS|100;DESERT|100;EXTREMEHILLS|100;FOREST|100;TAIGA|100;SWAMPLAND|100;JUNGLE|100;FOREST_HILLS|100;TAIGA_HILLS|100;EXTREMEHILLS_EDGE|100;JUNGLE_HILLS|100;RAINFOREST|100;AIR_ISLAND|100;BASIN|100;BASIN_EDGE|100;BASIN_BAMBOO|100;BASIN_PEACH|100;BIOME_AIR_PLAINS|100;BIOME_AIR_PLAINS_H|100,0,100,1,1,1,1,1,1,,
11423,异化巨大椰叶,1,40,0,OCEAN|100;RIVER|100;FROZEN_OCEAN|100;FROZEN_RIVER|100;BEACH|100;DEEPOCEAN|100;ISLAND_SHORE_DESERT|100;ISLAND_LAND_DESERT|100;ISLAND_SHORE_REDSOIL|100;ISLAND_LAND_REDSOIL|100;ISLAND_SHORE_REEF|100;ISLAND_LAND_REEF|100;REDSOIL|100;REDSOIL_SHORE|100;PLAINS|100;DESERT|100;EXTREMEHILLS|100;FOREST|100;TAIGA|100;SWAMPLAND|100;JUNGLE|100;FOREST_HILLS|100;TAIGA_HILLS|100;EXTREMEHILLS_EDGE|100;JUNGLE_HILLS|100;RAINFOREST|100;AIR_ISLAND|100;BASIN|100;BASIN_EDGE|100;BASIN_BAMBOO|100;BASIN_PEACH|100;BIOME_AIR_PLAINS|100;BIOME_AIR_PLAINS_H|100,0,100,1,1,1,1,1,1,,
11603,低级攻击符文,1,20,30,,0,100,1,0,0,1.1,1.1,1,,
11604,中级攻击符文,2,50,20,,0,100,1,0,0,1.1,1.1,1,,
11605,高级攻击符文,3,40,10,ISLAND_SHORE_REDSOIL|50,50,100,0,0,0,1.1,1.1,1,,
11606,低级防御符文,1,20,30,,0,100,1,1.1,0,0,1.1,1,,
11607,中级防御符文,2,50,20,,0,100,1,1.1,0,0,1.1,1,,
11608,高级防御符文,3,40,10,ISLAND_SHORE_REDSOIL|50,50,100,0,1.1,0,0,1.1,1,,
11609,低级效率符文,1,20,30,,0,100,1,1.1,1.1,0,0,1,,
11610,中级效率符文,2,50,20,,0,100,1,1.1,1.1,0,0,1,,
11611,高级效率符文,3,40,10,ISLAND_SHORE_REDSOIL|50,50,100,0,1.1,1.1,0,0,1,,
13631,幻彩霓虹,2,40,0,MUSHROOM_PLAINS|200;STARLIGHT_LAKE|200;MUSHROOM_FOREST|200;STAR_FOREST|200;STAR_FOREST_EDGE|200;MUSHROOM_HILLS|200;MUSHROOM_PLAINS_EDGE|200;CLOVER_STREAM|200;RUNE_RELIC|200;STAR_FOREST_HILLS|200;CATDOG_VILLAGE|200;DARK_WOODS|200;MUSHROOM_VILLAGE|200;,0,100,1,1.5,1.5,1.5,1.5,1,1,1
13632,幽兰刺龟,2,40,0,MUSHROOM_PLAINS|200;STARLIGHT_LAKE|200;MUSHROOM_FOREST|200;STAR_FOREST|200;STAR_FOREST_EDGE|200;MUSHROOM_HILLS|200;MUSHROOM_PLAINS_EDGE|200;CLOVER_STREAM|200;RUNE_RELIC|200;STAR_FOREST_HILLS|200;CATDOG_VILLAGE|200;DARK_WOODS|200;MUSHROOM_VILLAGE|200;,0,100,1,1.5,1.5,1.5,1.5,1,1,1
13633,冰雪明珠,2,40,0,MUSHROOM_PLAINS|200;STARLIGHT_LAKE|200;MUSHROOM_FOREST|200;STAR_FOREST|200;STAR_FOREST_EDGE|200;MUSHROOM_HILLS|200;MUSHROOM_PLAINS_EDGE|200;CLOVER_STREAM|200;RUNE_RELIC|200;STAR_FOREST_HILLS|200;CATDOG_VILLAGE|200;DARK_WOODS|200;MUSHROOM_VILLAGE|200;,0,100,1,1.5,1.5,1.5,1.5,1,1,1
13634,冰晶玉壶,2,40,0,MUSHROOM_PLAINS|200;STARLIGHT_LAKE|200;MUSHROOM_FOREST|200;STAR_FOREST|200;STAR_FOREST_EDGE|200;MUSHROOM_HILLS|200;MUSHROOM_PLAINS_EDGE|200;CLOVER_STREAM|200;RUNE_RELIC|200;STAR_FOREST_HILLS|200;CATDOG_VILLAGE|200;DARK_WOODS|200;MUSHROOM_VILLAGE|200;,0,100,1,1.5,1.5,1.5,1.5,1,1,1
13635,星夜光纹,2,40,0,MUSHROOM_PLAINS|200;STARLIGHT_LAKE|200;MUSHROOM_FOREST|200;STAR_FOREST|200;STAR_FOREST_EDGE|200;MUSHROOM_HILLS|200;MUSHROOM_PLAINS_EDGE|200;CLOVER_STREAM|200;RUNE_RELIC|200;STAR_FOREST_HILLS|200;CATDOG_VILLAGE|200;DARK_WOODS|200;MUSHROOM_VILLAGE|200;,0,100,1,1.5,1.5,1.5,1.5,1,1,1
13636,长颌白鲑,2,40,0,MUSHROOM_PLAINS|200;STARLIGHT_LAKE|200;MUSHROOM_FOREST|200;STAR_FOREST|200;STAR_FOREST_EDGE|200;MUSHROOM_HILLS|200;MUSHROOM_PLAINS_EDGE|200;CLOVER_STREAM|200;RUNE_RELIC|200;STAR_FOREST_HILLS|200;CATDOG_VILLAGE|200;DARK_WOODS|200;MUSHROOM_VILLAGE|200;,0,100,1,1.5,1.5,1.5,1.5,1,1,1
13637,浪里白条,2,40,0,MUSHROOM_PLAINS|200;STARLIGHT_LAKE|200;MUSHROOM_FOREST|200;STAR_FOREST|200;STAR_FOREST_EDGE|200;MUSHROOM_HILLS|200;MUSHROOM_PLAINS_EDGE|200;CLOVER_STREAM|200;RUNE_RELIC|200;STAR_FOREST_HILLS|200;CATDOG_VILLAGE|200;DARK_WOODS|200;MUSHROOM_VILLAGE|200;,0,100,1,1.5,1.5,1.5,1.5,1,1,1
13638,炫彩灵锤,2,40,0,MUSHROOM_PLAINS|200;STARLIGHT_LAKE|200;MUSHROOM_FOREST|200;STAR_FOREST|200;STAR_FOREST_EDGE|200;MUSHROOM_HILLS|200;MUSHROOM_PLAINS_EDGE|200;CLOVER_STREAM|200;RUNE_RELIC|200;STAR_FOREST_HILLS|200;CATDOG_VILLAGE|200;DARK_WOODS|200;MUSHROOM_VILLAGE|200;,0,100,1,1.5,1.5,1.5,1.5,1,1,1
201922,星水草,1,20,0,MUSHROOM_PLAINS|200;STARLIGHT_LAKE|200;MUSHROOM_FOREST|200;STAR_FOREST|200;STAR_FOREST_EDGE|200;MUSHROOM_HILLS|200;MUSHROOM_PLAINS_EDGE|200;CLOVER_STREAM|200;RUNE_RELIC|200;STAR_FOREST_HILLS|200;CATDOG_VILLAGE|200;DARK_WOODS|200;MUSHROOM_VILLAGE|200;,0,100,1,1.5,1.5,1.5,1.5,1,,
201914,星辉三叶草,1,20,0,CLOVER_STREAM|200;CATDOG_VILLAGE|200;,0,100,1,1.5,1.5,1.5,1.5,1,,
201915,星辉四叶草,3,40,0,CLOVER_STREAM|200;CATDOG_VILLAGE|200;,0,100,1,1.5,1.5,1.5,1.5,1,,
201926,荧光藻,2,30,0,MUSHROOM_PLAINS|200;STARLIGHT_LAKE|200;MUSHROOM_FOREST|200;STAR_FOREST|200;STAR_FOREST_EDGE|200;MUSHROOM_HILLS|200;MUSHROOM_PLAINS_EDGE|200;CLOVER_STREAM|200;RUNE_RELIC|200;STAR_FOREST_HILLS|200;CATDOG_VILLAGE|200;DARK_WOODS|200;MUSHROOM_VILLAGE|200;,0,100,1,1.5,1.5,1.5,1.5,1,,
201923,星辉莲花,2,40,0,MUSHROOM_PLAINS|200;STARLIGHT_LAKE|200;MUSHROOM_FOREST|200;STAR_FOREST|200;STAR_FOREST_EDGE|200;MUSHROOM_HILLS|200;MUSHROOM_PLAINS_EDGE|200;CLOVER_STREAM|200;RUNE_RELIC|200;STAR_FOREST_HILLS|200;CATDOG_VILLAGE|200;DARK_WOODS|200;MUSHROOM_VILLAGE|200;,0,100,1,1.5,1.5,1.5,1.5,1,,
201924,星辉浮藻,1,20,0,MUSHROOM_PLAINS|200;STARLIGHT_LAKE|200;MUSHROOM_FOREST|200;STAR_FOREST|200;STAR_FOREST_EDGE|200;MUSHROOM_HILLS|200;MUSHROOM_PLAINS_EDGE|200;CLOVER_STREAM|200;RUNE_RELIC|200;STAR_FOREST_HILLS|200;CATDOG_VILLAGE|200;DARK_WOODS|200;MUSHROOM_VILLAGE|200;,0,100,1,1.5,1.5,1.5,1.5,1,,
