序号,类型（1=富文本，2=图片文件）,富文本,显示时间（tick，-1=无限时间）,底图文件,底图宽度（-1=自适应）,底图高度（-1=自适应）,组（数组，这个气泡id归属的组）,
10700,1,风说我发型太嚣张,100,,100,-1,159,沙漠村民
10701,1,尖尖碰碰锤@item_11230#，这是最完美的武器，我要是有的话就可以打爆那个沙虫了,100,,100,-1,160,厨师说话
10702,1,你知道哪里可以搞到尖尖碰碰锤@item_11230#吗，听说很好用,100,,100,-1,160,
10711,1,我最喜欢创造锤了！！创造锤又可以当武器，还可以做音乐呢,100,,100,-1,161,冰原建筑工闲聊
10712,1,创造锤~创造锤~我可以拿创造锤来合成所有东西~,100,,100,-1,161,
10721,1,真可爱的小恶魔，听说他们也喜欢生日蛋糕,100,,100,-1,162,小恶魔互动
10722,1,小恶魔好像每年只有在3月的时候会出现呢,100,,100,-1,162,
10723,1,别看它凶，看见蛋糕直接秒怂！,100,,100,-1,162,
10724,1,强力战宠？不，是蛋糕狂热粉！,100,,100,-1,162,
10725,1,敢抢它蛋糕，小心被恶魔报复！,100,,100,-1,162,
10731,1,十周年，感谢有你，冒险家,100,,100,-1,163,周年感谢玩家气泡组
10732,1,周年庆快乐！！,100,,100,-1,163,
10741,1,明早起来希望也是这么开心,100,,100,-1,164,周年庆睡觉中
10742,1,十周年快乐~呼呼呼,100,,100,-1,164,
10751,1,逛遍庆典，还是我这儿福利最顶！,100,,100,-1,165,周年聚会
10752,1,庆典人真多，可别挤坏我的宝贝！,100,,100,-1,165,
10753,1,十年啦，陪各位冒险家走过岁岁年年！,100,,100,-1,165,
10754,1,十年庆典狂欢，好物优惠享不停！,100,,100,-1,165,
10755,1,四处转转，给大伙寻点周年好礼！,100,,100,-1,165,
10756,1,我再巡巡货，保证周年福利到位！,100,,100,-1,165,
100300-100499,,樵夫,,,,,,
100301,1,去上班咯！！,100,,100,-1,,
100302,1,请带我到最近的村庄，在里面只要有樵夫旗帜@item_1204#，我就能去工作。,100,,100,-1,,
100303,1,我需要斧头@item_11002#或者铲子@item_11022#才能干活。,100,,100,-1,100303,
100304,1,你想看我表演空手劈树吗？,100,,100,-1,100303,
100305,1,什么都没有，怎么干活？快给我铲子和斧头。,100,,100,-1,100303,
100306,1,给我斧头@item_11002#，我才能去把大树伐了！,100,,100,-1,,
100307,1,嘿哟~再加把劲咯~,100,,100,-1,100307,
100308,1,这年轮…去年雨水是真足啊。,100,,100,-1,100307,
100309,1,身上没有种子没法种树，请给我种子或果实。,100,,100,-1,,
100310,1,我找到材料了，但是需要工匠台才能合成。,100,,100,-1,,
100311,1,给我铲子@item_11022#和种子@item_11405#，我会在这片空地上种上大树。,100,,100,-1,,
100312,1,今天天气真不错啊！,100,,100,-1,100312,
100313,1,空闲下来的时间真好。,100,,100,-1,100312,
100314,1,东西收集差不多了，先放进箱子里。,100,,100,-1,,
100315,1,锄禾日当午，汗滴禾下土……下一句是什么来着？算了，先流汗吧。,100,,100,-1,100315,
100316,1,小树苗啊，你争口气，长直点。别像村口那棵歪脖子树，我都替它累得慌。,100,,100,-1,100315,
100317,1,前人栽树，后人乘凉。我这是自己栽树……自己乘凉？好像也没错！,100,,100,-1,100315,
100318,1,都说十年树木，我这天天数着，才过了三天……急不得，急不得。,100,,100,-1,100315,
100319,1,太好了，有材料我去把树种子做出来。,100,,100,-1,,
100320,1,我记得箱子里有种子，我去看看。,100,,100,-1,,
100321,1,不知道今天晚饭有什么好吃的…,100,,100,-1,100321,
100322,1,手腕再沉三分，劲儿才透得深。,100,,100,-1,100321,
100323,1,这力道，得从脚跟传到斧尖，一条线。,100,,100,-1,100321,
100324,1,斧子轻了飘，重了滞…得摸透它的脾气。,100,,100,-1,100321,
100325,1,呼——筋骨舒展开了。,100,,100,-1,100312,
100326,1,歇口气，再干更有劲。,100,,100,-1,100312,
100327,1,这太阳晒得背暖烘烘。,100,,100,-1,100312,
100328,1,这样劈……会不会更省力？,100,,100,-1,100328,
100329,1,明天该先砍哪一片呢……,100,,100,-1,100328,
100330,1,斧柄有点松了，得紧紧。,100,,100,-1,100328,
100331,1,肚子咕咕叫……该吃饭了。,100,,100,-1,100331,
100332,1,啥时候开饭啊，饿得没劲了。,100,,100,-1,100331,
100333,1,怀里要是有块饼就好了。,100,,100,-1,100331,
100334,1,饿得发慌……得找点吃的。,100,,100,-1,100331,
100335,1,前胸贴后背了……,100,,100,-1,100331,
100336,1,不行，得去讨口吃的。,100,,100,-1,100331,
100337,1,躺平咯……天当被地当床。,100,,100,-1,100336,
100338,1,让我眯会儿，就一会儿……,100,,100,-1,100336,
100339,1,舒服！这才是享受。,100,,100,-1,100336,
100340,1,哟，歇会儿歇会儿，这老腰得活动活动,100,,100,-1,100340,用于与玩家交互播放伸懒腰100163
100341,1,忙活半天，伸个懒腰最解乏。,100,,100,-1,100340,
100342,1,手腕得稳，劲儿要透，得常练。,100,,100,-1,100342,用于与玩家交互播放挥斧头100147
100343,1,空挥几下，找找手感。,100,,100,-1,100342,
100344,1,每天练几遍，砍树不费劲。,100,,100,-1,100342,
100345,1,咋啦？找我有事儿？,100,,100,-1,100345,用于与玩家交互播放站立100100
100346,1,我这身板，站如松……嗯，松树那种。,100,,100,-1,100345,
100347,1,有事儿您说话，没事儿我接着忙。,100,,100,-1,100345,
100348,1,一身木屑子，回家前得拍拍干净。,100,,100,-1,100348,用于与玩家交互播放拍打衣服(100130)
100349,1,拍一拍，清爽多了。,100,,100,-1,100348,
100350,1,衣服沾了树脂，黏糊糊的。,100,,100,-1,100348,
100500-100699,,养殖工,,,,,,
100501,1,没有草饲料了，我去拿一点就回来。,100,,100,-1,,
100502,1,给我一些蔬菜@item_12621#，我才能制作草饲料。,300,,100,-1,,
100503,1,没有肉饲料了，我去拿一点就回来。,100,,100,-1,,
100504,1,给我一些兽肉@item_12513#，我才能制作肉饲料。,100,,100,-1,,
100505,1,你们吃多点，就能多生点。我就有吃不完的肉。,100,,100,-1,100505,
100506,1,照顾好这些家伙，它们才能照顾好咱们的肚子。,100,,100,-1,100505,
100507,1,日复一日，但这活儿从来不觉得腻。,100,,100,-1,100505,
100508,1,嘿，今天这活儿干得顺手。,100,,100,-1,100505,
100509,1,(捏鼻子)~~~~,100,,100,-1,,
100510,1,我要用@item_11320#挤牛奶。给我3石英砂@item_11305#和1木料@item_11323#，我会自己做。,200,,100,-1,,
100511,1,有时候真羡慕你们，吃了睡睡了吃...唉，我好像也差不多？,100,,100,-1,100511,
100512,1,在这儿待久了，我都忘了青草之外的味道是啥样了..,100,,100,-1,100511,
100513,1,找个地方坐坐...,100,,100,-1,100511,
100514,1,风一吹，我的头发跟羊羔毛一个样儿——都打结！,100,,100,-1,100511,
100515,1,在它们眼里，我大概就是个会走路的饲料桶吧？,100,,100,-1,100511,
100516,1,要是我也能像母鸡一样，一天下一个‘金蛋’@item_1390#就好了...下鸡蛋也行啊！,100,,100,-1,100505,
100517,1,请带我到最近的村庄，在里面只要有养殖旗帜@item_201017#，我就能去工作。,100,,100,-1,,
100518,1,等一会，我这就把饲料做好。,100,,100,-1,,
100519,1,检查一下槽@item_1753#里还有没有饲料。,100,,100,-1,,
100520,1,围栏里没有动物。,100,,100,-1,100520,
100521,1,好像有玻璃瓶@item_11320#在箱子里了，我去看看。,100,,100,-1,,
100522,1,等一会，我这就把玻璃瓶做好@item_11320#。,100,,100,-1,,
100523,1,这奶花，稠得能挂壁，好！,100,,100,-1,,
100524,1,别动别动...一剪子的事儿，完事给你加餐！,100,,100,-1,,
100525,1,太好了，有材料。,100,,100,-1,,
100526,1,啧，还是@item_200204#吃起来香。,100,,100,-1,100511,
100527,1,忙完这一天，能吃个@item_200204#就美了。,100,,100,-1,100511,
100699-100899,,战士/猎人 野人伙伴,,,,,,
100700,1,敢打我，看我不把你揍趴下！,100,,100,-1,100700,
100701,1,好家伙，这下彻底惹毛我了！,100,,100,-1,100700,
100702,1,疼死我了，今天非教训你不可！,100,,100,-1,100700,
100703,1,有我守护这里，你就只管放心！,100,,100,-1,100703,
100704,1,正在执行巡逻，目前一切正常！,100,,100,-1,100703,
100705,1,当前区域安全，未发现入侵者！,100,,100,-1,100703,
100706,1,主人都出手了，看我来补刀,100,,100,-1,100706,
100707,1,嘿嘿，算我一个，揍他,100,,100,-1,100706,
100708,1,这就帮主人收拾他,100,,100,-1,100706,
100709,1,大胆！不许伤害我主人分毫,100,,100,-1,100709,
100710,1,主人小心，我来挡住这家伙,100,,100,-1,100709,
100711,1,快躲到我身后，我来教训他,100,,100,-1,100709,
100712,1,别掉以轻心，我巡逻过的地方才安全,100,,100,-1,100712,
100713,1,我眼观六路耳听八方，危险来了第一时间察觉,100,,100,-1,100712,
100714,1,敢在我的眼皮底下闹事，不管什么怪物，都得吃点苦头,100,,100,-1,100712,
100715,1,你要是遇到危险，喊我一声马上到,100,,100,-1,100712,
100716,1,我站这腿的快僵了，也就怪物敢来给我活动筋骨,100,,100,-1,100712,
100717,1,敢来挑衅的家伙，都得尝尝我的厉害！,100,,100,-1,100712,
100718,1,冒险家放心外出探险，村庄有我守护,100,,100,-1,100718,
100719,1,你也要加入到我的巡逻队伍吗？,100,,100,-1,100718,
100720,1,村庄有我们两个，任何怪物都不敢来犯,100,,100,-1,100718,
100721,1,保持警惕，最近野外生物蠢蠢欲动,100,,100,-1,100721,
100722,1,如果在村庄遇到危险，就来找我,100,,100,-1,100721,
100723,1,不用担心，村庄的安全由我守护,100,,100,-1,100721,
100724,1,冒险家，小心周围隐藏的未知生物,100,,100,-1,100724,
100725,1,如果遇到任何危险，第一时间找到我,100,,100,-1,100724,
100726,1,没有什么怪物是我战胜不了的,100,,100,-1,100724,
100727,1,发现入侵者，呼叫支援！,100,,100,-1,,
100728,1,发现入侵者，非战斗人员尽快撤离！,100,,100,-1,,
100729,1,哼，不堪一击！,100,,100,-1,100728,
100730,1,谁也别想在我守护的地盘惹事！,100,,100,-1,100728,
100731,1,我还得守护主人，没空追你这个胆小鬼！,100,,100,-1,100731,
100732,1,懦夫！跑远点，别再让我看见你！,100,,100,-1,100731,
100733,1,不许碰我的主人，拿命来偿！,100,,100,-1,100733,
100734,1,竟敢袭击主人，我跟你拼了！,100,,100,-1,100733,
100899-101099,,渔村 村民,,,,,,
100900,1,感谢冒险家的祝福，期待我的大丰收！,100,,100,-1,100900,
100901,1,感谢冒险家的祝福，现在我动力满满！,100,,100,-1,100900,
100902,1,哎呀！鱼都被你吓跑啦，得重新下竿咯！,100,,100,-1,100903,
100903,1,别动别动！刚有鱼咬钩就被你搅和了，真是的！,100,,100,-1,100903,
100904,1,吓我一跳！好不容易等来了动静，这下又得从头等起。,100,,100,-1,100903,
100905,1,喂！走路轻点儿啊！我的鱼都被你惊走了，重新来！,100,,100,-1,100903,
100906,1,差一点点就上钩了！都怪你，我得再找个好位置。,100,,100,-1,100903,
100907,1,上钩啦！瞧瞧这肥美的鱼儿，今天运气真不赖！,100,,100,-1,100907,
100908,1,功夫不负有心人！总算钓上来一条，美滋滋！,100,,100,-1,100907,
100909,1,耶！又收获一条！看来这片水域的鱼群真不少。,100,,100,-1,100907,
100910,1,快看快看！这么大的鱼，我还是头一次钓上来呢！,100,,100,-1,100910,
100911,1,完美收竿！这鱼的品相绝佳，拿去集市肯定能卖个好价钱。,100,,100,-1,100910,
100912,1,可算逮到你了！折腾了这么久，总算没白费功夫。,100,,100,-1,100910,
100913,1,奇了怪了，今天水里的鱼全躲起来了吗？,100,,100,-1,100913,
100914,1,钓了半天啥也没捞着！,100,,100,-1,100913,
100915,1,今天的鱼怎么都不上我的钩呦。,100,,100,-1,100913,
100916,1,附近没有@item_3#，没有办法钓鱼啦！,100,,100,-1,,
100917,1,附近没有箱子和@item_1192#，鱼都没法储存啦!,100,,100,-1,,
100918,1,用@item_11640#触碰我，下次钓鱼效率更快哦！,100,,100,-1,100918,
100919,1,冒险家，要和我一块去钓鱼吗？,100,,100,-1,100918,
100920,1,跟你说，我昨天在河边钓到一条稀有的@item_13609#,100,,100,-1,100918,
100921,1,在大海航行时，一定要小心那些到处劫掠的@item_13220#,100,,100,-1,100918,
100922,1,给我一把@item_12721#，你就是我最好朋友！,100,,100,-1,100918,
100923,1,据说深海的沉船中藏有无尽宝藏,100,,100,-1,100918,
100924,1,不要在试图水中招惹发怒的@item_13626#,100,,100,-1,100918,
100925,1,要是能驯服只@item_13625#为坐骑就好啦！,100,,100,-1,100918,
100926,1,想要征服深海，潜水装备必不可少！,100,,100,-1,100918,
100927,1,@item_12064#和@item_12066#都是制作潜水装备必备材料！,100,,100,-1,100918,
100928,1,没有潜水装备，可不要轻易尝试下水探险！,100,,100,-1,100918,
100929,1,哼，真当俺只会撒网摸鱼？,100,,100,-1,100929,
100930,1,打鱼的力气可不是白练的！接招！,100,,100,-1,100929,
100931,1,好端端的咋动手呢！,100,,100,-1,100929,
100932,1,冒险家，你可以带我回村庄吗？俺的渔具还在村里！,100,,100,-1,100932,
100933,1,呜呜，我好想回村子，能安安稳稳钓个鱼，不用风餐露宿,100,,100,-1,100932,
100934,1,在野外呆久了浑身不得劲，我只想回村，守着村边的河就够了,100,,100,-1,100932,
100935,1,满满当当一箱子，够吃好一阵子了,100,,100,-1,100935,
100936,1,今天的收获，比昨天还要多嘞,100,,100,-1,100935,
100937,1,这鲜鱼晒成鱼干，嚼起来可有劲了,100,,100,-1,100937,
100938,1,趁今天天气好，赶紧把鱼晒上,100,,100,-1,100937,
100939,1,似乎什么也没有发生？,100,,100,-1,,
100940,1,你见过美人鱼吗？我们村就藏着一条,100,,100,-1,100918,
100941,1,渔民如果获得@item_11640#的祝福，工作效率更高哦！,100,,100,-1,100941,
100942,1,你可别被@item_13622#可爱的外表欺骗，刚钓的鲜鱼一不留神就被它抢走了,100,,100,-1,100941,
100943,1,小心椰子树上摇摇欲坠的@item_295#，被砸到可是很痛的,100,,100,-1,100941,
100944,1,深海里的@item_346#藏着好东西呢！,100,,100,-1,100941,
100945,1,修复村里的@item_1193#，可以为出海航行的人带来好运！,100,,100,-1,100941,
100946,1,前段时间村里找@item_13223#购置了一批新家具,100,,100,-1,100941,
100947,1,想要让我帮你钓鱼？给我把@item_12721#看看诚意！,100,,100,-1,100941,
100948,1,使用品质更高的鱼竿，就可以钓到更丰富的鱼类,100,,100,-1,100941,
100949,1,@item_12061#配上@item_12062#，对深海里的怪物超好用,100,,100,-1,100941,
100950,1,@item_27#里藏着其他冒险家的消息，下海捕捞时多留意，说不定能找到新的冒险路线,100,,100,-1,100941,
100951,1,今天风平浪静，特别适合出海钓鱼！,100,,100,-1,100941,
100952,1,听说冒险家你的钓鱼技术特别好，能不能传授我几招？,100,,100,-1,100941,
