 ,名称[string],界面大类[整型](      1.AI事件 2.AI装饰器 3.AI组合 4.AI条件 5.AI动作 6.AI取值 7.AI变量),"界面子类[整型]【1通用，2游戏，3玩家，4生物，5方块，6道具，7变量，8控制，9自定义，10数学，11组，12计时器，13界面，14特效，15音频，16图文信息，17开发者，18赋值，19数据存储，21区域，22位置，23数值，24字符串，25布尔值，26生物类型，27排行榜，28表,29世界,30对象,32角色,34投掷物，35掉落物101搜索对象 , 102移动, 103攻击 ， 150 内部节点】",形状类型[数值](      1.AI事件 2.AI装饰器 3.AI组合 4.AI条件 5.AI动作 6.AI取值 7.AI变量 8.全局变量  9.AI根节点),简略显示[数值]【在库里是否缩略显示，1=是，0=否】,描述[string],图标[string],使用场景过滤[string],传参[string],左右值标记[整型]1可读0可读写,返回值[整型],参数1类型[string],参数1默认值[string],参数2类型,参数2默认值,参数3类型,参数3默认值,参数4类型,参数4默认值,参数5类型,参数5默认值,参数6类型,参数6默认值,参数7类型,参数7默认值,参数8类型,参数8默认值,显示控制（0=默认全部可见 1=仅开发者可见 2=仅999渠道可见 3=4位数迷你号可见  4 = 仅国内可见  5 = 仅海外可见 6 = 仅国内开发者可见 7 = 仅海外开发者可见 8 = 不显示）,积木间距值（间距值默认为60，超过60会开始变高）,说明,"生成规则[ 0 =lua ,1=c++]",真排序,节点版本控制：        0： 节点在全版本显示     .2： UGC2.0版本显示   3.  UGC3.0版本显示,备注
103000,当主人受到攻击时,1,30,1,1,"当 主人受到攻击时,攻击者存储到%1",,"1,0,0,1,1,0",,,,1048|0|0,,,,,,,,,,,,,,,,,,,,18,,
103001,当指定对象被击败时(除自己外),1,30,1,1,"当%1被击败时,攻击者存储至%2",,"1,0,0,1,1,0",,,,1048|1|0,,1048|0|0,,,,,,,,,,,,,,,100,,,19,,
103002,当受到生物碰撞时,1,30,1,1,"当受到生物碰撞时,碰撞者存储到%1",,"1,0,0,1,1,0",,,,1031|0|0,,,,,,,,,,,,,,,,,,,,20,,
103003,当受到玩家碰撞时,1,30,1,1,"当受到玩家碰撞时,碰撞者存储到%1",,"1,0,0,1,1,0",,,,1018|0|0,,,,,,,,,,,,,,,,,100,,,21,,
103004,当周边有对象播放指定表情动作,1,30,1,1,"当%1格内有玩家播放%2动作,玩家存储到%3",,"1,0,0,1,1,0",,,,1005|1|0,1|10,1041|1|2,2|1,1018|0|0,,,,,,,,,,,,,,,,22,,
103005,当玩家输入指定字符串,1,30,1,1,当%1格内玩家输入指定%2，玩家存储到%3,,"1,0,0,1,1,0",,,,1005|1|0,1|10,1010|1|0,1|300198,1048|0|0,,,,,,,,,,,,2,,,,,,26寒假
103006,当子女被攻击时,1,30,1,1,当%1格内子女被攻击时，攻击者存储到%2,,"1,0,0,1,1,0",,,,1005|1|0,1|10,1048|0|0,,,,,,,,,,,,,,2,,,,,,26寒假
190002,接收大模型消息,1,2,1,1,"当 接收到大模型%1消息时,参数1%2,参数2%3,参数3%4,参数4%5",,"1,0,0,1,1,0",,,,1010|1|0,,1010|0|0,,1010|0|0,,1010|0|0,,1010|0|0,,,,,,,,2,,,,,,
200001,取反,2,1,2,1,以下节点返回值取反,,"1,1,0,1,1,0",,,,1048|1|0,,,,,,,,,,,,,,,,,,9401005,1,100,,
200002,仅执行一次,2,1,2,1,以下节点仅执行一次,,"1,1,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,9401006,1,101,,
200003,循环,2,1,2,1,循环执行%1次,,"1,1,0,1,1,0",,,,1005|1|0,1|2,,,,,,,,,,,,,,,,,9401007,1,102,,
200004,总是返回成功,2,1,2,1,返回成功,,"1,1,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,9401008,1,103,,
200005,总是返回失败,2,1,2,1,返回失败,,"1,1,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,9401009,1,104,,
200006,每若干秒执行一次,2,1,2,2,每%1秒执行一次,,"1,1,0,1,1,0",,,,1005|1|0,1|1,,,,,,,,,,,,,,,,,9401060,1,105,,
300001,顺序执行,3,1,3,1,顺序执行%1,,"1,1,0,1,1,0",,,,1203|1|0,5|2030001,,,,,,,,,,,,,,,,,9401010,1,106,,
300002,选择执行,3,1,3,1,选择执行%1,,"1,1,0,1,1,0",,,,1203|1|0,5|2030001,,,,,,,,,,,,,,,,,9401011,1,107,,
300003,同时执行,3,1,3,1,同时执行%1%2,,"1,1,0,1,1,0",,,,1204|1|0,5|2040001,1205|1|0,5|2050003,,,,,,,,,,,,,,,9401012,1,108,,
400201,游戏时间,4,2,4,1,%1%2%3,12,"1,1,0,1,1,0",,,,1005|1|0,3|600205,1016|1|2,5|120001,1005|1|0,1|10,,,,,,,,,,,,100,9401013,,109,,
400202,天气判断,4,2,4,1,%1所处位置的天气%2%3,,"1,1,0,1,1,0",,1,13,1048|1|0,,1012|1|2,5|90001,1000|1|0,5|10003,,,,,,,,,,,8,,,,109,,26寒假
400203,位置处于区域判断,4,2,4,1,%1%2处于%3中,12,"1,1,0,1,1,0",,,,1002|1|0,,1012|1|2,5|90001,1001|1|0,,,,,,,,,,,,,,9401014,,200,,
400204,位置与位置之间的距离,4,2,4,1,%1%2%3,12,"1,1,0,1,1,0",,,,1005|1|0,3|600104,1016|1|2,5|120001,1005|1|0,1|1,,,,,,,,,,,,100,9401015,,201,,
400205,对象属性判断,0,0,0,1,%1%2%3,12,"1,1,0,1,1,0",,,,1005|1|0,3|600201,1016|1|2,5|120001,1005|1|0,1|10,,,,,,,,,,,,,,,202,,
400206,对象间队伍关系判断,4,2,4,1,%1与%2的队伍关系为%3,12,"1,1,0,1,1,0",,,,1048|1|0,,1048|1|0,,1206|1|2,5|2060002,,,,,,,,,,,,,9401017,,203,,
400207,对象是否存活,4,2,4,1,%1存活,12,"1,1,0,1,1,0",,,,1048|1|0,,,,,,,,,,,,,,,,,,9401016,,204,,
400208,对象类型判断,4,2,4,1,%1的类型%2%3,12,"1,1,0,1,1,0",,,,1048|1|0,3|600101,1016|1|2,5|120001,1106|1|0,,,,,,,,,,,,,,9401018,,205,,
400209,对象手持道具类型判断,4,6,4,1,%1手持道具类型%2%3,1,"1,1,0,1,1,0",,,,1048|1|0,3|600101,1016|1|2,5|120001,1028|1|0,2|200,,,,,,,,,,,,,,,206,,
400210,内部-是否为虚空之夜,4,2,4,1,当前是特殊夜晚,12,"1,1,0,1,1,0",,,,,,,,,,,,,,,,,,,,2,,,,207,,
400211,对象状态效果判断,4,2,4,1,%1%2处于%3中,12,"1,1,0,1,1,0",,,,1048|1|0,3|600101,1012|1|2,5|90001,1037|1|0,2|4001,,,,,,,,,,,,,9401061,,208,,
400212,对象队伍判断,4,2,4,1,%1队伍为%2,12,"1,1,0,1,1,0",,,,1048|1|0,3|600101,1207|1|0,,,,,,,,,,,,,,,,9401062,,209,,
400213,对象与对象之间的距离,4,2,4,1,%1%2%3,12,"1,1,0,1,1,0",,,,1005|1|0,3|600113,1016|1|2,5|120001,1005|1|0,1|1,,,,,,,,,,,,100,9401015,,210,,
400214,对象是否包含指定标签,4,2,4,1,%1%2包含%4%3,12,"1,1,0,1,1,0",,,,1048|1|0,3|600101,1012|1|2,5|90001,3149|1|0,,3147|0|2,5|4470002,,,,,,,,,2,,,,209,,
400230,区域是否存在,4,2,4,1,%1存在,12,"1,1,0,1,1,0",,,,1001|1|0,,,,,,,,,,,,,,,,,,9401016,,211,,
400311,玩家属性判断,4,3,4,1,%1%2%3,8,"1,1,0,1,1,0",,,,1005|1|0,3|600311,1016|1|2,5|120001,1005|1|0,1|10,,,,,,,,,,,,,9401019,,211,,
400312,周边是否有玩家存在,4,3,4,1,%1存在,8,"1,1,0,1,1,0",,,,1018|1|0,3|600312,,,,,,,,,,,,,,,,,9401020,,212,,
400313,玩家正在使用激光笔,4,3,4,1,%1正在使用激光笔,8,"1,1,0,1,1,0",,,,1018|1|0,,,,,,,,,,,,,,,,,,,,,,
400314,玩家是否在水中,4,3,4,1,%1在水中,8,"1,1,0,1,1,0",,,,1018|1|0,,,,,,,,,,,,,,,,2,,,,,,26寒假
400315,玩家是否第一次进入村庄,4,3,4,1,%1第一次进入村庄,8,"1,1,0,1,1,0",,,,1018|1|0,,,,,,,,,,,,,,,,2,,,,,,
400411,生物属性判断,4,4,4,1,%1%2%3,5,"1,1,0,1,1,0",,,,1005|1|0,3|600411,1016|1|2,5|120001,1005|1|0,1|10,,,,,,,,,,,,,9401021,,213,,
400412,周边是否有生物存在,4,4,4,1,%1存在,5,"1,1,0,1,1,0",,,,1031|1|0,3|600415,,,,,,,,,,,,,,,,,9401020,,214,,
400413,生物是否在水中,4,4,4,1,%1在水中,5,"1,1,0,1,1,0",,,,1031|1|0,,,,,,,,,,,,,,,,2,,,,,,26寒假
400421,生物是否处于持盾状态,4,4,4,1,%1处于持盾状态,5,"1,1,0,1,1,0",,,,1031|1|0,,,,,,,,,,,,,,,,,,,,215,,
400422,生物是否处于抱起状态,4,4,4,1,%1处于抱起状态,5,"1,1,0,1,1,0",,,,1031|1|0,,,,,,,,,,,,,,,,,,,,216,,
400423,生物是否处于跟随状态,4,4,4,1,%1处于跟随状态,5,"1,1,0,1,1,0",,,,1031|1|0,,,,,,,,,,,,,,,,,,,,216,,
400424,生物是否处于睡觉状态,4,4,4,1,%1处于睡觉状态,5,"1,1,0,1,1,0",,,,1031|1|0,,,,,,,,,,,,,,,,,,,,216,,
400480,内部-部位是否存活,4,4,4,1,%1部位处于存活状态,5,"1,1,0,1,1,0",,,,1005|1|0,1|1,,,,,,,,,,,,,,,2,,,,,,
400481,内部-生物是否在窝内,4,4,4,1,%1处于窝内,5,"1,1,0,1,1,0",,,,1031|1|0,,,,,,,,,,,,,,,,2,,,,,,26寒假
400501,周边是否存在特定方块,4,5,4,1,%1上有方块存在,2,"1,1,0,1,1,0",,,,1002|1|0,,,,,,,,,,,,,,,,,,9401022,,217,,
400502,位置处的方块类型判断,4,5,4,1,%1的方块类型为%2,2,"1,1,0,1,1,0",,,,1002|1|0,,1025|1|0,2|200,,,,,,,,,,,,,,,9401023,,218,,
400503,方块是否有指定标签,4,5,4,1,%1的方块%2包含%4%3,2,"1,1,0,1,1,0",,,,1002|1|0,,1012|1|2,5|90001,3149|1|0,,3147|0|2,5|4470002,,,,,,,,,2,,9401023,,218,,
400510,篝火是否正在燃烧,4,5,4,1,%1的篝火正在燃烧,2,"1,1,0,1,1,0",,,,1002|1|0,,,,,,,,,,,,,,,,,,,,,,
400520,石锅是否完成烹饪,4,5,4,1,%1的石锅完成烹饪,2,"1,1,0,1,1,0",,,,1002|1|0,,,,,,,,,,,,,,,,,,,,,,
400530,冶炼台内是否有指定道具,4,5,4,1,%1的冶炼台内有%2,2,"1,1,0,1,1,0",,,,1002|1|0,,1028|1|0,2|200,,,,,,,,,,,,,,,,,,,
400580,内部-周边若干个是否有建筑,4,5,4,1,周边%1格内有建筑,2,"1,1,0,1,1,0",,,,1005|1|0,1|20,,,,,,,,,,,,,,,2,,,,219,,
400581,内部-僵尸条件打断优化,4,5,4,1,%1%2%3,2,"1,1,0,1,1,0",,,,1048|1|0,3|600101,1048|1|0,3|600101,1005|1|0,,,,,,,,,,,,2,,,1,220,,
400582,内部-星尘之境传送祭坛任一点被激活,4,5,4,1,%1格内 祭坛任一点被激活,2,"1,1,0,1,1,0",,,,1005|1|0,1|10,,,,,,,,,,,,,,,2,,,,221,,
400583,内部-星尘之境传送祭坛全部点被激活,4,5,4,1,%1格内 祭坛全部点被激活,2,"1,1,0,1,1,0",,,,1005|1|0,1|10,,,,,,,,,,,,,,,2,,,,222,,
400584,内部-最近星尘之境遗迹已解锁,4,5,4,1,%1格内 最近星尘之境遗迹已解锁,2,"1,1,0,1,1,0",,,,1005|1|0,1|10,,,,,,,,,,,,,,,2,,,,223,,
400601,道具属性判断,0,6,0,1,%1%2%3,1,"1,1,0,1,1,0",,,,1005|1|0,3|600601,1016|1|2,5|120001,1005|1|0,,,,,,,,,,,,,,9401024,,221,,
400611,道具属性判断,0,6,0,1,%1%2%3,1,"1,1,0,1,1,0",,,,1005|1|0,3|600611,1016|1|2,5|120001,1005|1|0,,,,,,,,,,,,,,9401024,,222,,
400612,道具是否有标签,4,6,4,1,%1%2包含%4%3,1,"1,1,0,1,1,0",,,,1028|1|0,2|12012,1012|1|2,5|90001,3149|1|0,,3147|0|2,5|4470002,,,,,,,,,2,,,,222,,
400613,内部-道具是否在道具组内,4,6,4,1,%1对象手持道具类型在%2道具类型组,1,"1,1,0,1,1,0",,,,1048|1|0,3|600101,1068|0|0,,,,,,,,,,,,,,2,,,,222,,26.4
400620,背包内道具判断,4,6,4,1,背包内含有%1个%2,1,"1,1,0,1,1,0",,,,1005|1|0,1|1,1028|1|0,2|12012,,,,,,,,,,,,,,,,,222,,
400621,背包内合成道具材料判断,4,6,4,1,背包内含有合成%1的材料,1,"1,1,0,1,1,0",,,,1028|1|0,2|12012,,,,,,,,,,,,,,,,,,,222,,
400622,背包是否已满,4,6,4,1,%1的背包是否已满,1,"1,1,0,1,1,0",,,,1048|1|0,,,,,,,,,,,,,,,,2,,,,,,26寒假
401001,数值比较,4,10,4,1,%1%2%3,6,"1,1,0,1,1,0",,,,1005|1|0,1|0,1016|1|2,5|120001,1005|1|0,1|10,,,,,,,,,,,,,,,223,,
401002,布尔值比较,4,10,4,1,%1%2%3,6,"1,1,0,1,1,0",,,,1014|1|0,5|320001,1012|1|2,5|90001,1014|1|0,5|320001,,,,,,,,,,,,,,,224,,
401003,字符串比较,4,10,4,1,%1%2%3,6,"1,1,0,1,1,0",,,,1010|1|0,1|300198,1012|1|2,5|90001,1010|1|0,1|300198,,,,,,,,,,,,,,,225,,
401004,位置比较,4,10,4,1,%1%2%3,6,"1,1,0,1,1,0",,,,1002|1|0,,1016|1|2,5|120001,1002|1|0,,,,,,,,,,,,,,,,226,,
401005,对象比较,4,10,4,1,%1%2%3,6,"1,1,0,1,1,0",,,,1048|1|0,,1012|1|2,5|90001,1048|1|0,,,,,,,,,,,,,,,,227,,
401010,随机数,4,10,4,1,%1%2%3,6,"1,1,0,1,1,0",,,,1005|1|0,3|601001,1016|1|2,5|120001,1005|1|0,1|10,,,,,,,,,,,,,,,228,,
401201,计时器时间判断,4,12,4,1,%1%2%3,6,"1,1,0,1,1,0",,1,,1005|1|0,3|601201,1016|1|2,5|120001,1005|1|0,,,,,,,,,,,,,,,,229,,
401601,存在特定编号的图文信息,4,16,4,1,%1身上存在编号为%2的%3,3,"1,1,0,1,1,0",,1,,1048|1|0,,1005|1|0,1|1,1058|1|2,5|490001,,,,,,,,,,,,,,,230,,
403401,周边是否存在指定投掷物,4,34,4,1,%1存在,34,"1,1,0,1,1,0",,,,1044|1|0,3|603402,,,,,,,,,,,,,,,,,,,,,
403501,周边是否存在指定掉落物,4,35,4,1,%1存在,35,"1,1,0,1,1,0",,,,1030|1|0,3|600606,,,,,,,,,,,,,,,,,,,,,
500101,设置数值,5,18,5,1,设置%1为%2,6,"1,1,0,1,1,0",,,,1005|0|0,,1005|1|0,1|0,,,,,,,,,,,,,,,,,400,,
500102,设置字符串,5,18,5,1,设置%1为%2,6,"1,1,0,1,1,0",,,,1010|0|0,,1010|1|0,1|300198,,,,,,,,,,,,,,,,,401,,
500103,设置布尔值,5,18,5,1,设置%1为%2,6,"1,1,0,1,1,0",,,,1014|0|0,,1014|1|0,5|320002,,,,,,,,,,,,,,,,,402,,
500104,设置对象,5,18,5,1,设置%1为%2,6,"1,1,0,1,1,0",,,,1048|0|0,,1048|1|0,,,,,,,,,,,,,,,,,,403,,
500105,设置位置,5,18,5,1,设置%1为%2,6,"1,1,0,1,1,0",,,,1002|0|0,,1002|1|0,,,,,,,,,,,,,,,,,,404,,
500106,设置区域,5,18,5,1,设置%1为%2,6,"1,1,0,1,1,0",,,,1001|0|0,,1001|1|0,,,,,,,,,,,,,,,,,,405,,
500107,设置玩家,5,18,5,1,设置%1为%2,6,"1,1,0,1,1,0",,,,1018|0|0,,1018|1|0,,,,,,,,,,,,,,,,,,406,,
500108,设置生物,5,18,5,1,设置%1为%2,6,"1,1,0,1,1,0",,,,1031|0|0,,1031|1|0,,,,,,,,,,,,,,,,,,407,,
500110,设置方块类型,5,18,5,1,设置%1为%2,6,"1,1,0,1,1,0",,,,1025|0|0,,1025|1|0,2|200,,,,,,,,,,,,,,,,,408,,
500111,设置道具类型,5,18,5,1,设置%1为%2,6,"1,1,0,1,1,0",,,,1028|0|0,,1028|1|0,,,,,,,,,,,,,,,,,,409,,
500112,设置生物类型,5,18,5,1,设置%1为%2,6,"1,1,0,1,1,0",,,,1032|0|0,,1032|1|0,2|3400,,,,,,,,,,,,,,,,,410,,
500113,设置特效类型,5,18,5,1,设置%1为%2,6,"1,1,0,1,1,0",,,,1045|0|0,,1045|1|0,2|1024,,,,,,,,,,,,,,,,,411,,
500114,设置掉落物,5,18,5,1,设置%1为%2,6,"1,1,0,1,1,0",,,,1030|0|0,,1030|1|0,,,,,,,,,,,,,,,,,,411,,
500115,设置投掷物,5,18,5,1,设置%1为%2,6,"1,1,0,1,1,0",,,,1044|0|0,,1044|1|0,,,,,,,,,,,,,,,100,,,411,,
500130,设置组件属性,5,18,5,1,设置%1的%2的%3为%4,6,"1,1,0,1,1,0",,,,1048|1|0,,3002|0|0,,3003|0|0,,3007|0|0,,,,,,,,,,,,,,412,,
500131,执行对象的指令,5,1,5,1,执行%1的%2的%3,6,"1,1,0,1,1,0",,,,1048|1|0,,3002|0|0,,3004|0|0,,,,,,,,,,,,,,,,413,,
500150,内部-切换行为树,5,1,5,1,切换%1,6,"1,1,0,1,1,0",,,,1210|0|0,,,,,,,,,,,,,,,,2,,,,73,,
500151,内部-引用行为树,5,1,5,1,引用%1,6,"1,1,0,1,1,0",,,,1210|0|0,,,,,,,,,,,,,,,,2,,,1,74,,
500152,发送消息给大模型,5,1,5,1,发送消息%1给大模型,,"1,0,0,1,1,0",,,,1010|1|0,,,,,,,,,,,,,,,,2,,,,74,,
500201,内部-改变对象属性,0,0,0,1,使%1的%2%3%4,8,"1,1,0,1,1,0",,,,1048|1|0,,1020|1|2,5|140001,1120|1|2,5|840001,1005|1|0,1|0,,,,,,,,,2,,,,75,,
500202,等待时间,5,2,5,1,等待%1秒后，执行下一个节点,12,"1,1,0,1,1,0",,,,1005|1|0,1|1,,,,,,,,,,,,,,,,,9401027,1,420,,
500203,发送广播,5,2,5,1,发送广播%1,12,"1,1,0,1,1,0",,,,1090|1|0,,,,,,,,,,,,,,,,,,9401026,,421,,
500204,设置对象朝向,5,2,5,1,使%1朝向%2缓动时间%3秒,12,"1,1,0,1,1,0",,,,1048|1|0,3|600101,1002|1|0,,1005|1|0,1|1,,,,,,,,,,,,,9401025,,422,,
500205,设置对象队伍,5,2,5,1,设置%1的队伍为%2,12,"1,1,0,1,1,0",,,,1048|1|0,,1207|1|0,,,,,,,,,,,,,,,,9401028,,423,,
500206,改变外观,0,2,0,1,改变%1的外观为%2,12,"1,1,0,1,1,0",,,,1048|1|0,3|600101,1060|1|0,2|163,,,,,,,,,,,,,,,9401029,,424,,
500207,替换生物,0,2,0,1,"替换%1为%2,%3保留血量百分比",12,"1,1,0,1,1,0",,,,1048|1|0,,1032|1|2,2|3400,1012|1|2,5|90001,,,,,,,,,,,,,9401030,,425,,
500208,骑乘生物-弃用,0,2,0,1,骑乘%1,12,"1,1,0,1,1,0",,,,1048|1|0,,,,,,,,,,,,,,,,,,9401031,,426,,
500209,播放指定ID动画,5,4,5,1,"播放ID为%1的动画,持续%2秒,模式%3,结束后停止%4",5,"1,1,0,1,1,0",,,,1005|1|0,,1005|1|0,2|0,1102|0|0,700001,1012|1|2,5|90002,,,,,,,,,,,9401032,,427,3,
500210,弃用-搜寻时受到视线阻挡,5,2,5,1,%1搜寻目标时，%2受到视线阻挡,12,"1,1,0,1,1,0",,,,1048|1|0,,1012|1|2,5|90001,,,,,,,,,,,,,8,,9401032,,428,,
500211,内部-停止动画,5,2,5,1,使此生物停止播放ID为%1的动画,12,"1,1,0,1,1,0",,,,1005|1|0,,,,,,,,,,,,,,,,2,,9401032,,429,,
500301,改变玩家属性,0,3,0,1,使玩家%1的%2%3%4,8,"1,1,0,1,1,0",,,,1048|1|0,,1020|1|2,5|140001,1120|1|2,5|840001,1005|1|0,1|1,,,,,,,,,,,9401033,,500,,
500311,改变玩家属性,5,3,5,1,使%1的%2%3%4,8,"1,1,0,1,1,0",,,,1018|1|0,,1020|1|2,5|140001,1120|1|2,5|840001,1005|1|0,1|1,,,,,,,,,,,9401033,,501,,
500312,改变组内玩家的属性,5,3,5,1,使%1的%2%3%4,8,"1,1,0,1,1,0",,,,1019|1|0,,1020|1|2,5|140001,1120|1|2,5|840001,1005|1|0,1|1,,,,,,,,,,,9401033,,502,,
500320,对所有玩家显示聊天框信息,5,3,5,1,对所有玩家显示聊天框信息%1,8,"1,1,0,1,1,0",,,,1010|1|0,1|300198,,,,,,,,,,,,,,,2,,,,502,,
500400,设置行为树属性,5,4,5,1,设置%1的%2 %3为%4,5,"1,1,0,1,1,0",,,,1031|1|0,3|600400,1210|1|0,,3142|1|0,,3007|0|0,,,,,,,,,,,100,,,510,3,
500401,改变生物属性,0,4,0,1,使生物%1的%2%3%4,5,"1,1,0,1,1,0",,,,1048|1|0,,1035|1|2,5|140001,1120|1|2,5|840001,1005|1|0,1|1,,,,,,,,,,,9401034,,511,,
