序号,动作命名,描述,动作id,图标,特效命名,特效索引装扮id（填入则单个播放，不填则都播放）,音效,表情（暂时废弃）,是否为游戏内动作[0=否，1=是],"是否解锁[不填=否,1=是]",货币类型[0=免费，1=迷你币，2=迷你豆],消耗货币数量,"专属[0=装扮,1=Avatar]",装扮id,装扮互动副ID,解锁装扮互动动作皮肤ID,排序权重,"副装扮方位(0,,1上,2下,3前,4后,5左,6右)",副装扮距离  单位:格,界面ID,界面副ID,"界面副方位(0,,1上,2下,3前,4后,5左,6右)",界面副距离  单位:格,界面偏移  单位:像素,界面缩放,备注
12,专属动作,月亮公主专属动作,100108,icon100108,140073_1,,,,1,,,,0,73,,,2,,,,,,,,,
13,专属动作,碧琪专属动作,100108,icon100108,skin81_showup,,,,1,,,,0,81,,,2,,,,,,,,,
14,专属动作,星光熠熠女孩专属动作,100108,icon100108,140086_1,,,,1,,,,0,86,,,2,,,,,,,,,
15,专属动作,云宝女孩专属动作,100108,icon100108,140087_1,,,,1,,,,0,87,,,2,,,,,,,,,
16,专属动作,音韵公主女孩专属动作,100108,icon100108,140088_1,,,,1,,,,0,88,,,2,,,,,,,,,
17,专属动作,朝露繁花专属动作,100108,icon100108,140113_1,,,,1,,,,0,114,,,2,,,,,,,,,
18,专属动作,冰公主专属动作,100108,icon100108,140115_1,,,,1,,,,0,115,,,2,,,,,,,,,
19,专属动作,罗丽专属动作,100108,icon100108,140116_1,,,,1,,,,0,116,,,2,,,,,,,,,
20,测试互动1,落樱与雷光的互动动作,102001,icon102001,,,,,1,,,,,999,998,,1,3,2,,,,,,,
21,测试互动2,落樱与落樱的互举动作,102002,icon102002,,,,,1,,,,,999,999,,1,3,2,,,,,,,
22,测试互动3,落樱通用的互动动作,102003,icon102003,,,,,1,,,,,999,1,,1,3,2,,,,,,,
23,莺飞长空-空侯,弹奏箜篌,102001,icon102001,140175_4,171,act.act23,,1,,,,,171,169,,1,5,2.5,171,169,5,2,0,0.9,
24,莺飞长空-莺初,旋转飞舞,102001,icon102001,140175_4,169,act.act23,,1,,,,,169,171,,1,6,2.5,171,169,5,2,0,0.9,
25,变装,看我华丽变身！,100170,icon100170,avt_zhongji_1,,act.act25,,1,,,,,,,,3,,,,,,,,,
26,高兴2,露出开心的样子,100155,icon100155,avt_zhongji_1,,act.act25,face_100155,1,,,,,,,,4,,,,,,,,,
27,展示武魂,唐三专属动作,100858,icon100156,lanlingcao_1,,,,1,,,,,240,,,2,,,,,,,,,
28,展示武魂,小舞专属动作,100858,icon100156,rougutu_1,,,,1,,,,,241,,,2,,,,,,,,,
29,展示武魂,比比东专属动作,100858,icon100156,bibidong_1,,,,1,,,,,242,,,2,,,,,,,,,
30,释放魂技,奥斯卡专属动作,100858,icon100156,anim_100858,,,,1,,,,,243,,,2,,,,,,,,,
31,展示武魂,马红俊专属动作,100858,icon100156,fenghuang_1,,,,1,,,,,244,,,2,,,,,,,,,
32,展示武魂,戴沐白专属动作,100858,icon100156,baihu_1,,,,1,,,,,246,,,2,,,,,,,,,
33,展示武魂,朱竹清专属动作,100858,icon100156,lingmao_1,,,,1,,,,,247,,,2,,,,,,,,,
34,展示武魂,宁荣荣专属动作,100858,icon100156,hunji,,,,1,,,,,248,,,2,,,,,,,,,
35,花瓣雨,菲丽茜亚专属动作,100927,icon100108,140272_4,,,,1,,,,,306,,,2,,,,,,,,,
36,花瓣雨,菲丽茜亚专属动作,100927,icon100108,140272_4,,,,1,,,,,307,,,2,,,,,,,,,
37,远山黛,远山黛和碧水青的互动动作,102001,icon102001,,423,act.act37,,1,,,,,423,317,,1,5,2.5,423,317,5,2,0,0.9,
38,碧水青,远山黛和碧水青的互动动作,102001,icon102001,,317,act.act37,,1,,,,,317,423,,1,6,2.5,423,317,5,2,0,0.9,
39,云鸢儿互动动作,云鸢儿和白羽互动动作,102001,icon102001,140438_4,444,,,1,,,,,444,445,,1,5,1,444,445,5,0,0,0.9,
40,白羽互动动作,云鸢儿和白羽互动动作,102001,icon102001,140437_4,445,,,1,,,,,445,444,,1,6,1,444,445,5,0,0,0.9,
41,华夕,华夕和七莓互动动作,102001,icon102001,102001_1,510,act.act41,,1,,,,,510,511,,1,6,2,510,511,6,2.5,150,0.9,
42,七莓,华夕和七莓互动动作,102001,icon102001,102001_2,511,act.act41,,1,,,,,511,510,,1,5,2,510,511,6,2.5,150,0.9,
43,喵懒懒,喵懒懒和犬悠悠互动动作,102001,icon102001,,529,,,1,,,,,529,530,,1,5,2,529,530,5,2,0,0.9,
44,犬悠悠,喵懒懒和犬悠悠互动动作,102001,icon102001,,530,,,1,,,,,530,529,,1,6,2,529,530,5,2,0,0.9,
45,叶灵 晨露,叶灵 晨露和藤灵 格鲁互动动作,102001,icon102001,,552,,,1,,,,,552,553,,1,5,2,552,553,5,2,0,0.9,
46,藤灵 格鲁,叶灵 晨露和藤灵 格鲁互动动作,102001,icon102001,,553,,,1,,,,,553,552,,1,6,2,552,553,5,2,0,0.9,
47,薇拉,薇拉和莱恩互动动作,102001,icon102001,,559,,,1,,,,,559,560,,1,6,2,559,560,6,2,150,0.9,
48,莱恩,薇拉和莱恩互动动作,102001,icon102001,,560,,,1,,,,,560,559,,1,5,2,559,560,6,2,150,0.9,
49,司缘,司缘和忘川互动动作,102001,icon102001,140605_4,,,,1,,,,,621,622,,1,5,1,621,622,5,2,0,0.9,
50,忘川,司缘和忘川互动动作,102001,icon102001,140604_4,,,,1,,,,,622,621,,1,6,1,621,622,5,2,0,0.9,
