索引,矿编号,出现地图/0迷拉星 1烈焰星 2萌眼星,名字,最小高度,最大高度,最小高度Falloff,最大高度Falloff,产生方式,（无效字段）出现概率（万分之),矿脉最大矿石数量(最小填3）,概率增加矿物,矿脉生成次数,替换方块,"生态生成（生态名+英文逗号分隔,MAX_BIOME_TYPE：全部生态）"
33,101,0,土块,129,200,10,32,0,100,33,"[0, 1]",10,104,"ICE_PLAINS_MOUNTAIN,ICE_PLAINS_HIGHEST_PEAK,ICE_PLAINS_SECOND_PEAK,ICE_PLAINS_MOUTAINSIDE"
34,402,0,凝能矿,129,200,5,20,0,100,10,"[0, 1]",12,104,"ICE_PLAINS_MOUNTAIN,ICE_PLAINS_HIGHEST_PEAK,ICE_PLAINS_SECOND_PEAK,ICE_PLAINS_MOUTAINSIDE"
35,451,0,铜矿,129,200,3,2,0,72,4,"[0, 1]",10,104,"ICE_PLAINS_MOUNTAIN,ICE_PLAINS_HIGHEST_PEAK,ICE_PLAINS_SECOND_PEAK,ICE_PLAINS_MOUTAINSIDE"
36,401,0,铁矿,129,200,4,2,0,48,4,"[0, 1]",10,104,"ICE_PLAINS_MOUNTAIN,ICE_PLAINS_HIGHEST_PEAK,ICE_PLAINS_SECOND_PEAK,ICE_PLAINS_MOUTAINSIDE"
37,123,0,自然冰,41,200,5,5,0,100,8,"[0, 1]",30,104,"ICE_PLAINS_MOUNTAIN,ICE_PLAINS_HIGHEST_PEAK,ICE_PLAINS_SECOND_PEAK,ICE_PLAINS_MOUTAINSIDE"
38,400,1,炽炎矿,0,80,4,0,0,15,9,"[0, 1]",2,124,MAX_BIOME_TYPE
39,405,1,星能矿,17,80,4,2,0,100,9,"[0, 1]",12,124,MAX_BIOME_TYPE
40,536,1,曙光石块,33,128,5,5,0,20,9,"[0, 1]",10,124,MAX_BIOME_TYPE
41,407,1,硅石矿,0,128,5,5,0,30,12,"[0, 1]",15,124,MAX_BIOME_TYPE
42,448,1,石油块,0,128,3,2,0,100,9,"[0, 1]",12,124,MAX_BIOME_TYPE
43,6,1,动态岩浆,0,128,5,5,0,8,4,"[0, 1]",1,124,MAX_BIOME_TYPE
44,401,1,铁矿,0,128,0,0,0,100,6,"[0, 1]",10,124,MAX_BIOME_TYPE
45,401,1,铁矿,81,128,0,0,0,100,9,"[0, 1]",10,124,MAX_BIOME_TYPE
46,177,1,钴矿,49,80,3,2,0,8,3,"[0, 1]",6,124,MAX_BIOME_TYPE
47,177,1,钴矿,0,80,3,2,0,8,3,"[0, 1]",10,124,MAX_BIOME_TYPE
48,404,2,钨矿,0,24,3,2,0,8,3,"[0, 1]",6,116,MAX_BIOME_TYPE
49,404,2,钨矿,65,120,3,2,0,8,3,"[0, 1]",10,116,MAX_BIOME_TYPE
50,445,2,星瞳矿石（高原）,25,64,3,2,0,100,3,"[0, 1]",5,116,MAX_BIOME_TYPE
51,445,2,星瞳矿石（空岛）,65,120,3,2,0,100,3,"[0, 1]",8,117,MAX_BIOME_TYPE
52,446,2,紫荧矿石（空岛）,65,120,3,2,0,100,3,"[0, 1]",8,117,MAX_BIOME_TYPE
53,448,2,石油块,0,56,3,2,0,100,3,"[0.3, 2]",6,116,MAX_BIOME_TYPE
54,175,2,铝矿,17,40,0,0,0,100,4,"[0, 1]",6,116,MAX_BIOME_TYPE
55,405,2,星能矿,65,120,4,2,0,100,6,"[0, 1]",6,117,MAX_BIOME_TYPE
56,447,2,神秘化石,2,100,0,0,0,100,3,"[0, 1]",1,116,MAX_BIOME_TYPE
57,402,3,凝能矿,15,20,2,2,0,100,5,"[0, 1]",10,200232,MAX_BIOME_TYPE
58,455,3,符文矿石,15,20,2,2,0,100,5,"[0, 1]",5,200232,MAX_BIOME_TYPE
