ID[整型],名称[string],界面大类[整型](1事件 2条件 3动作 4取值 5流程控制 6变量 7自定义),界面子类[整型]【1通用，2游戏，3玩家，4生物，5方块，6道具，7变量，8控制，9自定义，10数学，11组，12计时器，13界面，14特效，15音频，16图文信息，17开发者，18赋值，19数据存储，21区域，22位置，23数值，24字符串，25布尔值，26生物类型，27排行榜，28一维表，29世界，30二维表，36蓝图】,形状类型[数值](1事件 2条件 3动作 4取值 5重复执行 6次数重复执行 7重复执行直到 8退出循环 9如果那么 如果那么否则 10保持等待直到),简略显示[数值]【在库里是否缩略显示，1=是，0=否】,描述[string],图标[string],使用场景过滤[string],传参[string],左右值标记[整型],返回值[整型],参数1类型[string],参数1默认值[string],参数2类型,参数2默认值,参数3类型,参数3默认值,参数4类型,参数4默认值,参数5类型,参数5默认值,参数6类型,参数6默认值,参数7类型,参数7默认值,参数8类型,参数8默认值,参数9类型,参数9默认值,参数10类型,参数10默认值,参数11类型,参数11默认值,显示控制（0=默认全部可见 1=仅开发者可见 2=仅999渠道可见 3=4位数迷你号可见  4 = 仅国内可见  5 = 仅海外可见 6 = 仅国内开发者可见 7 = 仅海外开发者可见）,积木间距值（间距值默认为60，超过60会开始变高）,说明,是否显示详细说明（0和空不显示，1显示）,
1020011,每当游戏运行时长（循环）,1,2,1,0,游戏每运行%1秒都,12,"1,0,0,1,1,0",,,,1005|1|0,1|2,,,,,,,,,,,,,,,,,,,,,,,306018,1,10
1020009,任意计时器变化,1,2,1,0,当 任意计时器 发生变化,12,"1,0,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,0,,306170,,11
1020010,指定计时器变化,1,2,1,0,当%1发生变化,12,"1,0,0,1,1,0",,,,1040|1|0,,,,,,,,,,,,,,,,,,,,,,0,100,306171,,12
1080003,此状态被玩家获得,1,2,1,0,当 玩家 获得此类状态 ,21,"0,7,0,1,0,0",40003|40006|60009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
1080004,此状态从玩家身上移除,1,2,1,0,当 玩家 失去此类状态,21,"0,7,0,1,0,0",40003|40006|60009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
1080001,此状态被生物获得,1,2,1,0,当 生物 获得此类状态,21,"0,7,0,1,0,0",40003|40006|80006|80008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
1080002,此状态从生物身上移除,1,2,1,0,当 生物 失去此类状态 ,21,"0,7,0,1,0,0",40003|40006|80006|80008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
1070001,位置上特效被创建,1,2,1,0,当 特效 创建在位置,13,"1,0,0,1,1,0",40003|40007,,,,,,,,,,,,,,,,,,,,,,,,,0,,306184,,17
1070002,玩家身上特效被创建,1,2,1,0,当 特效 创建在玩家,13,"1,0,0,1,1,0",60009|40003|40007,,,,,,,,,,,,,,,,,,,,,,,,,0,,306185,,18
1070003,生物身上特效被创建,1,2,1,0,当 特效 创建在生物,13,"1,0,0,1,1,0",80006|40003|40007,,,,,,,,,,,,,,,,,,,,,,,,,0,,306186,,19
1070004,投掷物特效被创建,1,2,1,0,当 特效 创建在投掷物,13,"1,0,0,1,1,0",90015|40003|40007,,,,,,,,,,,,,,,,,,,,,,,,,0,100,306187,,20
1070005,当特效在掉落物上创建,1,2,1,0,当 特效 创建在掉落物,13,"1,0,0,1,1,0",90016|40003|40007,,,,,,,,,,,,,,,,,,,,,,,,,0,100,306188,,21
1090001,此配方合成完毕,1,2,1,0,当 此类配方 合成完毕,9,"0,4,0,1,0,0",60009|80006|90014|90017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
1090002,配方合成完毕,1,2,1,0,当 配方 合成完毕,9,"1,0,0,1,1,0",60009|80006|80008|90014|90017,,,,,,,,,,,,,,,,,,,,,,,,,,100,306347,,23
1100001,熔炼开始,1,2,1,0,当 熔炼 开始,9,"1,0,0,1,1,0",40003,,,,,,,,,,,,,,,,,,,,,,,,,,,306348,,24
1100002,熔炼完成,1,2,1,0,当 熔炼 完成,9,"1,0,0,1,1,0",40003,,,,,,,,,,,,,,,,,,,,,,,,,,100,306349,,25
1100003,此熔炼开始,1,2,1,0,当 此类熔炼 开始,9,"0,5,0,1,0,0",40003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
1100004,此熔炼完成,1,2,1,0,当 此类熔炼 完成,9,"0,5,0,1,0,0",40003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
1110001,剧情开始,1,2,1,0,当 剧情 开始,7,"1,0,0,1,1,0",60009|80007|80009,,,,,,,,,,,,,,,,,,,,,,,,,,,306350,,28
1110002,剧情结束,1,2,1,0,当 剧情 结束,7,"1,0,0,1,1,0",60009|80007|80009,,,,,,,,,,,,,,,,,,,,,,,,,,,306351,,29
1110003,此剧情开始,1,2,1,0,当 此段剧情 开始,7,"0,6,0,1,0,0",60009|80007|80009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
1110004,此剧情结束,1,2,1,0,当 此段剧情 结束,7,"0,6,0,1,0,0",60009|80007|80009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
1020007,玩家进入游戏,1,3,1,0,当 玩家 进入游戏,18,"1,0,0,1,1,0",60009|40003,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306002,1,32
1020008,玩家离开游戏,1,3,1,0,当 玩家 离开游戏,18,"1,0,0,1,1,0",60009|40003,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306128,,33
1020004,玩家胜利,1,3,1,0,当 玩家 胜利,18,"1,0,0,1,1,0",60009|40003,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306129,,34
1020005,玩家失败,1,3,1,0,当 玩家 失败,18,"1,0,0,1,1,0",60009|40003,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306130,,35
1030002,玩家复活,1,3,1,0,当 玩家 复活,14,"1,0,0,1,1,0",60009|40003,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,100,306131,,36
1030005,玩家进行攻击,1,3,1,0,当 玩家 开始攻击,20,"1,0,0,1,1,0",60009|40003,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306011,1,37
1030006,玩家攻击命中,1,3,1,0,当 玩家 攻击命中,20,"1,0,0,1,1,0",60009|40003|60010|80007|80009,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306012,1,38
1030007,玩家造成伤害,1,3,1,0,当 玩家 造成伤害,20,"1,0,0,1,1,0",60009|40003|60010|80007|80009|40023,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306230,,39
1030004,玩家击败目标,1,3,1,0,当 玩家 击败目标,20,"1,0,0,1,1,0",60009|40003|60010|80007|80009,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,100,当玩家打败其他玩家、生物时。被打败的玩家、生物为事件中的目标玩家、生物,,40
1030008,玩家受到伤害,1,3,1,0,当 玩家 受伤,20,"1,0,0,1,1,0",60009|40003|40023,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306013,1,41
1030001,玩家被击败,1,3,1,0,当 玩家 被击败,20,"1,0,0,1,1,0",60009|40003,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,100,306132,,42
1030012,玩家获得道具,1,3,1,0,当 玩家 获得道具,3,"1,0,0,1,1,0",60009|40003|90014|90017,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306014,1,43
1030011,玩家使用道具,1,3,1,0,当 玩家 使用道具,3,"1,0,0,1,1,0",60009|40003|90014,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306015,1,44
1030013,玩家消耗道具,1,3,1,0,当 玩家 消耗道具,3,"1,0,0,1,1,0",60009|40003|90014,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306133,,45
1030020,玩家拾取道具,1,3,1,0,当 玩家 拾取掉落物,3,"1,0,0,1,1,0",60009|40003|90014|90016|90017,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306352,,46
1030027,玩家丢弃道具,1,3,1,0,当 玩家 丢弃道具,3,"1,0,0,1,1,0",60009|40003|90014|90016|90017,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,100,306353,,47
1030014,玩家点击生物或玩家,1,3,1,0,当 玩家 点击生物或玩家,3,"1,0,0,1,1,0",60009|40003|80007|80009|60010,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306354,,48
1030015,玩家点击方块,1,3,1,0,当 玩家 点击方块,3,"1,0,0,1,1,0",60009|40003|40009,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,100,306003,1,49
1030003,玩家属性改变,1,3,1,0,当 玩家 的%1属性变化,14,"1,0,0,1,1,0",60009|40003,,,1020|1|2,5|140001,,,,,,,,,,,,,,,,,,,,,0,,当玩家某个属性，如血量变化时,,50
1030038,玩家等级发生改变,1,3,1,0,当 玩家 等级发生变化,14,"1,0,0,1,1,0",60009|40003,,,,0|60009,,,,,,,,,,,,,,,,,,,,,,,306355,,51
1030035,玩家获得状态,1,3,1,0,当 玩家 获得状态,21,"1,0,0,1,1,0",60009|40003|40006,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306356,,52
1030036,玩家失去状态,1,3,1,0,当 玩家 失去状态,21,"1,0,0,1,1,0",60009|40003|40006,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306357,,53
1030037,玩家失去指定状态,1,3,1,0,当 玩家 失去%1状态,21,"1,0,0,1,1,0",60009|40003|40006,,,1037|1|0,2|4001,,,,,,,,,,,,,,,,,,,,,0,100,306358,,54
1030010,玩家使用动画表情,1,3,1,0,当 玩家 使用动画表情,3,"1,0,0,1,1,0",60009|40003|40005,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306029,1,55
1030009,玩家移动,1,3,1,0,当 玩家 移动一格距离,16,"1,0,0,1,1,0",60009|40003,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306233,,56
1030018,玩家运动状态改变,1,3,1,0,当 玩家 开始%1,16,"1,0,0,1,1,0",60009|40003,,,1021|1|2,5|150002,,,,,,,,,,,,,,,,,,,,,0,,306009,1,57
1030019,玩家发生碰撞,1,3,1,0,当 玩家 碰撞任意玩家/生物,16,"1,0,0,1,1,0",60009|40003|60010|80007,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306028,1,58
1030021,玩家进入区域,1,3,1,0,当 玩家 进入%1,10,"1,0,0,1,1,0",60009|40003,,,1001|1|0,,,,,,,,,,,,,,,,,,,,,,0,,306006,1,59
1030022,玩家离开区域,1,3,1,0,当 玩家 离开%1,10,"1,0,0,1,1,0",60009|40003,,,1001|1|0,,,,,,,,,,,,,,,,,,,,,,0,100,306007,1,60
1030025,玩家快捷栏改变,1,3,1,0,当 玩家 的快捷栏发生变化,14,"1,0,0,1,1,0",60009|40003|90014,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306134,,61
1030024,玩家背包栏改变,1,3,1,0,当 玩家 的背包栏发生变化,14,"1,0,0,1,1,0",60009|40003|90014,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306359,,62
1030023,玩家装备栏改变,1,3,1,0,当 玩家 的装备栏发生变化,14,"1,0,0,1,1,0",60009|40003|90014|40012,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306360,,63
1030026,玩家选择快捷栏,1,3,1,0,当 玩家 选中快捷栏,14,"1,0,0,1,1,0",60009|40003|90014|40011|430001,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306361,,64
1030040,当玩家选中指定道具,1,3,1,0,当玩家在快捷栏选中%1,3,"1,0,0,1,1,0",60009|40003|90014|40011|430001,,,1028|1|0,2|200,,,,,,,,,,,,,,,,,,,,,0,,306362,,65
1030028,玩家穿上装备,1,3,1,0,当 玩家 穿上装备,14,"1,0,0,1,1,0",60009|40003|90014|40012,,,,0|60009,,,,,,,,,,,,,,,,,,,,,,,306363,,66
1030029,玩家脱下装备,1,3,1,0,当 玩家 脱下装备,14,"1,0,0,1,1,0",60009|40003|90014|40012,,,,0|60009,,,,,,,,,,,,,,,,,,,,,,100,306364,,67
1030032,玩家按下按键,1,3,1,0,当 玩家 按下%1,1,"1,0,0,1,1,0",60009|40003,,,1051|1|2,5|380001,,,,,,,,,,,,,,,,,,,,,0,,306010,1,68
1030033,玩家长按按键,1,3,1,0,当 玩家 长按%1,1,"1,0,0,1,1,0",60009|40003,,,1051|1|2,5|380001,,,,,,,,,,,,,,,,,,,,,0,,306124,,69
1030034,玩家松开按键,1,3,1,0,当 玩家 松开%1,1,"1,0,0,1,1,0",60009|40003,,,1051|1|2,5|380001,,,,,,,,,,,,,,,,,,,,,0,100,306125,,70
1030016,玩家骑乘,1,3,1,0,当 玩家 骑乘坐骑/载具,3,"1,0,0,1,1,0",60009|40003|80007|80009,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,,306211,,71
1030017,玩家取消骑乘,1,3,1,0,当 玩家 取消骑乘,3,"1,0,0,1,1,0",60009|40003|80007|80009,,,,0|60009,,,,,,,,,,,,,,,,,,,,,0,100,306212,,72
1030030,玩家显示聊天信息,1,3,1,0,当 玩家 的聊天框显示%1,15,"1,0,0,1,1,0",60009|40003|40015,,,1010|1|0,1|300198,,,,,,,,,,,,,,,,,,,,,0,,306126,,73
1030031,玩家输入聊天信息,1,3,1,0,当 玩家 在聊天框发送%1,15,"1,0,0,1,1,0",60009|40003|40015,,,1010|1|0,1|300198,,,,,,,,,,,,,,,,,,,,,0,,306025,1,74
1030039,玩家输入聊天信息（包含字符串）,1,3,1,0,当任意玩家在聊天框输入包含%1的信息,15,"1,0,0,1,1,0",60009|40003|40015,,,1010|1|0,1|300198,,,,,,,,,,,,,,,,,,,,,,,306232,,75
1030041,玩家邀请好友,1,3,1,0,当 玩家 发送好友邀请链接,14,"1,0,0,1,1,0",60009|40003|60010,,,,,,,,,,,,,,,,,,,,,,,,,0,,306365,1,76
1040012,生物被创建,1,4,1,0,当 生物 被创建,11,"1,0,0,1,1,0",80006|80008|40003,,,,,,,,,,,,,,,,,,,,,,,,,0,100,306026,1,77
1040002,生物进行攻击,1,4,1,0,当 生物 开始攻击,20,"1,0,0,1,1,0",80006|40003|80008|80007|80009|60010,,,,,,,,,,,,,,,,,,,,,,,,,0,,306366,,78
1040003,生物攻击命中,1,4,1,0,当 生物 攻击命中,20,"1,0,0,1,1,0",80006|40003|80008|80007|80009|60010,,,,,,,,,,,,,,,,,,,,,,,,,0,,306367,,79
1040004,生物造成伤害,1,4,1,0,当 生物 造成伤害,20,"1,0,0,1,1,0",80006|40003|80008|80007|80009|60010|40023,,,,,,,,,,,,,,,,,,,,,,,,,0,,306368,,80
1040006,生物击败目标,1,4,1,0,当 生物 击败目标,20,"1,0,0,1,1,0",80006|40003|80008|80007|80009|60010,,,,,,,,,,,,,,,,,,,,,,,,,0,100,306369,,81
1040001,生物受到伤害,1,4,1,0,当 生物 受伤,20,"1,0,0,1,1,0",80006|80008|40003|60010|40023,,,,,,,,,,,,,,,,,,,,,,,,,0,,306370,,82
1040005,生物被击败,1,4,1,0,当 生物 被击败,20,"1,0,0,1,1,0",80006|80008|40003,,,,,,,,,,,,,,,,,,,,,,,,,0,100,306371,,83
1040011,生物属性改变,1,4,1,0,当 生物 的属性%1发生变化,11,"1,0,0,1,1,0",80006|80008|40003|430001,,,1035|1|2,5|210001,,,,,,,,,,,,,,,,,,,,,0,,306372,,84
1040013,生物获得状态,1,4,1,0,当 生物 获得状态,21,"1,0,0,1,1,0",80006|80008|40003|40006,,,,,,,,,,,,,,,,,,,,,,,,,0,,306373,,85
1040014,生物失去状态,1,4,1,0,当 生物 失去状态,21,"1,0,0,1,1,0",80006|80008|40003|40006,,,,,,,,,,,,,,,,,,,,,,,,,0,,306374,,86
1040015,生物失去指定状态,1,4,1,0,当 生物 失去%1,21,"1,0,0,1,1,0",80006|80008|40003|40006,,,1037|1|0,2|4001,,,,,,,,,,,,,,,,,,,,,0,100,306375,,87
1040009,生物运动状态改变,1,4,1,0,当 生物 开始%1,16,"1,0,0,1,1,0",80006|80008|40003,,,1034|1|2,5|200003,,,,,,,,,,,,,,,,,,,,,0,,,,88
1040010,生物发生碰撞,1,4,1,0,当 生物 碰撞任意玩家/生物,16,"1,0,0,1,1,0",80006|40003|80008|80007|80009|60010,,,,,,,,,,,,,,,,,,,,,,,,,0,,306027,1,89
1040007,生物进入区域,1,4,1,0,当 生物 进入%1,10,"1,0,0,1,1,0",80006|80008|40003,,,1001|1|0,,,,,,,,,,,,,,,,,,,,,,0,,306376,,90
1040008,生物离开区域,1,4,1,0,当 生物 离开%1,10,"1,0,0,1,1,0",80006|80008|40003,,,1001|1|0,,,,,,,,,,,,,,,,,,,,,,0,,306377,,91
1040025,此生物被创建,1,4,1,0,当 此类生物 被创建,11,"0,2,0,1,0,0",80006|40003|80008,,,,,,,,,,,,,,,,,,,,,,,,,,,306005,1,92
1040017,此生物进行攻击,1,4,1,0,当 此类生物 开始攻击,20,"0,2,0,1,0,0",80006|40003|80008|80007|80009|60010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
1040018,此生物攻击命中,1,4,1,0,当 此类生物 攻击命中目标,20,"0,2,0,1,0,0",80006|40003|80008|80007|80009|60010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
1040019,此生物造成伤害,1,4,1,0,当 此类生物 对目标造成伤害,20,"0,2,0,1,0,0",80006|40003|80008|80007|80009|60010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
1040021,此生物击败目标,1,4,1,0,当 此类生物 击败目标,20,"0,2,0,1,0,0",80006|40003|80008|80007|80009|60010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96
1040016,此生物受到伤害,1,4,1,0,当 此类生物 受到伤害,20,"0,2,0,1,0,0",80006|40003|80008|60010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97
1040020,此生物被击败,1,4,1,0,当 此类生物 被击败,20,"0,2,0,1,0,0",80006|40003|80008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
1040024,此生物属性改变,1,4,1,0,当 此类生物 %1属性变化,11,"0,2,0,1,0,0",80006|40003|80008,,,1035|1|2,5|210001,,,,,,,,,,,,,,,,,,,,,,,,,99
1040022,此生物行动状态改变,1,4,1,0,当 此类生物 开始%1,16,"0,2,0,1,0,0",80006|40003|80008,,,1034|1|2,5|200003,,,,,,,,,,,,,,,,,,,,,,,,,100
1040023,此生物发生碰撞,1,4,1,0,当 此类生物 碰撞任意玩家/生物,16,"0,2,0,1,0,0",80006|40003|80008|80007|80009|60010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101
1040026,此生物获得状态,1,4,1,0,当 此类生物 获得状态,21,"0,2,0,1,0,0",80006|40003|80008|40006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102
1040027,此生物失去状态,1,4,1,0,当 此类生物 失去状态,21,"0,2,0,1,0,0",80006|40003|80008|40006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103
1040028,此生物被玩家点击,1,4,1,0,当 此类生物 被玩家点击,11,"0,2,0,1,0,0",80006|40003|80008|60010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104
1050005,方块被创建,1,5,1,0,当 方块 被创建,4,"1,0,0,1,1,0",40003|40009,,,,,,,,,,,,,,,,,,,,,,,,,0,100,306378,,105
1050002,方块被破坏,1,5,1,0,当 方块 被破坏,4,"1,0,0,1,1,0",40003|40009,,,,,,,,,,,,,,,,,,,,,,,,,0,,306016,1,106
1050008,方块被挖掘,1,5,1,0,当 方块 被挖掘,4,"1,0,0,1,1,0",40003|40009|60009|80006|80008,,,,,,,,,,,,,,,,,,,,,,,,,,,306231,,107
1050001,方块被挖掘完毕,1,5,1,0,当 方块 被挖掘完毕,4,"1,0,0,1,1,0",40003|40009|60009|80006|80008,,,,,,,,,,,,,,,,,,,,,,,,,0,,306379,,108
1050009,方块被挖掘中断,1,5,1,0,当 方块 被挖掘但中断,4,"1,0,0,1,1,0",40003|40009|60009|80006|80008,,,,,,,,,,,,,,,,,,,,,,,,,,100,306380,,109
1050003,方块开关状态变化,1,5,1,0,当 方块 开关状态发生变化,4,"1,0,0,1,1,0",40003|40009,,,,,,,,,,,,,,,,,,,,,,,,,0,100,306381,,110
1020015,放置蓝图时,1,5,1,0,当 蓝图 被放置,4,"1,0,0,1,1,0",40022,,,,,,,,,,,,,,,,,,,,,,,,,,,306382,,111
1050004,储存容器道具发生改变,1,5,1,0,当 储存容器 内道具发生变化,4,"1,0,0,1,1,0",40003|40009|90014,,,,,,,,,,,,,,,,,,,,,,,,,0,,306383,,112
1050006,储存容器被放入道具,1,5,1,0,当 储存容器 被放入道具,4,"1,0,0,1,1,0",40003|40009|90014,,,,,,,,,,,,,,,,,,,,,,,,,0,,306384,,113
1050007,储存容器被取出道具,1,5,1,0,当 储存容器 被取出道具,4,"1,0,0,1,1,0",40003|40009|90014,,,,,,,,,,,,,,,,,,,,,,,,,0,,306385,,114
1050014,此方块被创建,1,5,1,0,当 此类方块 被创建,4,"0,1,0,1,0,0",40003|40009,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,115
1050013,此方块被破坏,1,5,1,0,当 此类方块 被破坏,4,"0,1,0,1,0,0",60009|80006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116
1050010,此方块被挖掘,1,5,1,0,当 此类方块 被挖掘,4,"0,1,0,1,0,0",60009|80006|80008|40003|40009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117
1050011,此方块被挖掘完毕,1,5,1,0,当 此类方块 完成挖掘,4,"0,1,0,1,0,0",60009|80006|80008|40003|40009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118
1050012,此方块被挖掘中断,1,5,1,0,当 此类方块 挖掘中断,4,"0,1,0,1,0,0",60009|80006|80008|40003|40009,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,119
1050015,此方块开关状态变化,1,5,1,0,当 此类方块 的开关状态发生变化,4,"0,0,0,0,0,0",60009|80006|80008|40003|40009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120
1050016,此方块被获取,1,5,1,0,当 玩家/生物 获取此类方块 ,4,"0,1,0,1,0,0",60009|80006|80008|40003|40009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121
1050018,方块颜色改变,1,5,1,0,当 方块 颜色发生改变,4,"1,0,0,1,1,0",40003|40009|60009|80006|80008,,,,,,,,,,,,,,,,,,,,,,,,,0,,306386,,122
1050017,此方块被玩家点击,1,5,1,0,当 玩家 点击此类方块,4,"0,1,0,1,0,0",60009|40003|40009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123
1060008,投掷物被创建,1,6,1,0,当 投掷物 被创建,2,"1,0,0,1,1,0",90015|90014|60009|80006|80008|40003|60011|80012,,,,,,,,,,,,,,,,,,,,,,,,,0,100,306004,1,124
1060001,投掷物击中目标,1,6,1,0,当 投掷物 击中任意玩家/生物/方块,2,"1,0,0,1,1,0",90015|90014|60010|80007|80009|40003|60011|80012,,,,,,,,,,,,,,,,,,,,,,,,,0,,306030,1,125
1060002,投掷物进入区域,1,6,1,0,当 投掷物 进入%1,10,"1,0,0,1,1,0",90015|90014|40003|60011|80012,,,1001|1|0,,,,,,,,,,,,,,,,,,,,,,0,,306387,,126
1060003,投掷物离开区域,1,6,1,0,当 投掷物 离开%1,10,"1,0,0,1,1,0",90015|90014|40003|60011|80012,,,1001|1|0,,,,,,,,,,,,,,,,,,,,,,0,,306388,,127
1060006,掉落物被拾取,1,6,1,0,当 掉落物 被拾取,2,"1,0,0,1,1,0",90016|90014|40003,,,,,,,,,,,,,,,,,,,,,,,,,0,,306389,,128
1060007,掉落物消失,1,6,1,0,当 掉落物 消失,2,"1,0,0,1,1,0",90016|90014|40003,,,,,,,,,,,,,,,,,,,,,,,,,0,100,306390,,129
1060004,掉落物进入区域,1,6,1,0,当 掉落物 进入%1,10,"1,0,0,1,1,0",90016|90014|40003,,,1001|1|0,,,,,,,,,,,,,,,,,,,,,,0,,306391,,130
1060005,掉落物离开区域,1,6,1,0,当 掉落物 离开%1,10,"1,0,0,1,1,0",90016|90014|40003,,,1001|1|0,,,,,,,,,,,,,,,,,,,,,,0,,306392,,131
1060021,当掉落物以指定方式被创建,1,6,1,0,当掉落物以%1被创建,2,"1,0,0,1,1,0",90016|40003|90014,,,1100|1|0,5|690004,,,,,,,,,,,,,,,,,,,,,0,100,306393,,132
