id,效果名,描述,分类（1=一般效果 2=特殊效果 3=自定义的效果组件）,选择器中分类 1 = 属性 2 = 触发  3  = 其它   99 = 自定义,显示开关（不填=全显示 1=只在BUFF编辑显示 2=只在装备编辑显示 3=不显示）,隐藏Tips显示（0=不隐藏，1=在bufftips中隐藏）,属性类型（该类型与EffectBank表相通，10开头表示在EffectBankEnum表中，20开头表示在EffectBank表中 该参数需要程序来定义）,触发类型（1=计算公式内生效 2=直接生效 3=间隔时间内持续生效）,图标名字,参数类型1(100xxx=枚举类型  200xxx=滑动条数值  300001=开关  400001=模型库  400002=状态库  400003=道具库  400004=音效库  400006=状态类型 400007=特效库 400008=UI库 400009=方块库 500001=指定配置）,参数1默认值（枚举=填枚举ID 滑动条数值=填默认数值  开关=填0关，填1开   素材库类型=填对应库中的ID  ）,参数1描述ID（填StringID）,参数类型2,参数2默认值,参数2描述ID,参数类型3,参数3默认值,参数3描述ID,参数类型4,参数4默认值,参数4描述ID,参数类型5,参数5默认值,参数5描述ID,参数类型6,参数6默认值,参数6描述ID,参数类型7,参7默认值,参数7描述ID,备注
1048,附增状态,每@1秒获得@2,2,2,3,,2033,2,buff_additional,200005,10,25435,400002,4001,25461,,,,,,,,,,,,,,,,
1049,禁止操作,禁止所有行为,2,3,3,,2034,2,DeepFreeze,,,,,,,,,,,,,,,,,,,,,,
1050,状态类型免疫,免疫@1类的所有状态,2,3,3,,2035,2,bufftype_defence,400006,3,25461,,,,,,,,,,,,,,,,,,,
1051,坠落,使飞行生物跌落,2,3,3,,2036,2,damagebuff_wither,,,,,,,,,,,,,,,,,,,,,,
1052,禁止移动,禁止角色移动,2,3,3,,2037,2,damagebuff_wither,,,,,,,,,,,,,,,,,,,,,,
1053,发疯攻击任何生物,,2,3,3,,2038,2,,,,,,,,,,,,,,,,,,,,,,,
1054,彻底变身,使角色的模型以及属性和攻击方式改变为@1,2,1,3,,2039,2,OXY-satable,400001,3400,25440,300001,0,25441,300001,0,25442,,,,,,,,,,,,,
1055,右键点击,右键点击触发,2,2,3,,2040,2,,,,,,,,,,,,,,,,,,,,,,,
1056,屏幕贴花,使角色屏幕显示贴花,2,3,,1,2041,2,ScreenDecal,400008,24001,25474,300001,1,25475,,,,,,,,,,,,,,,,
1057,停止动作,使角色动作停在当前帧,2,3,,1,2042,2,StopAction,,,,,,,,,,,,,,,,,,,,,,
1058,改变贴图,使角色贴图变为冰块材质,2,3,,1,2043,2,freeze,,0,,200014,-3,,200014,-7,,,,,,,,,,,,,,
1059,添加特效,在角色身上添加特效,2,3,,1,2044,2,AddModel,400007,3035,25410,200016,10,25476,300001,1,25477,,,,,,,,,,,,,
1060,结束改变温度,状态结束时将角色的温度设置为@1,1,2,,1,2045,2,EndAttribute,200014,5,25433,,,,,,,,,,,,,,,,,,,
1061,结束播放特效音效,状态结束时播放特效和音效,2,2,,1,2046,2,EndEffect,400007,1009,25410,400004,10982,25411,,,,,,,,,,,,,,,,
1062,温度影响持续时间,状态时长会因为周围温度改变,2,3,,1,2047,2,melt,101501,101501,25478,200011,100,25479,200011,10,25480,200011,5,25481,200011,500,25482,,,,,,,
1063,累计受到伤害解除状态,累计受到@1伤害达到@2解除状态,1,2,,1,2048,2,HurtEnd,100412,100412,25432,200011,50,25483,,,,,,,,,,,,,,,,
1064,持续改变温度,每@1秒使温度@2,1,2,,,2049,3,ChangeTemp,200004,1,25435,200015,10,25433,300001,1,25484,,,,,,,,,,,,,
1065,体感温度改变,受到的环境温度@1,1,1,,,2050,1,ColdDef,200015,50,25433,300001,1,25484,,,,,,,,,,,,,,,,
1066,改变周围温度,周围@1格内的环境温度@2,2,3,3,,2051,3,SwitchTemperature,200013,1,25485,200014,1,25433,,,,,,,,,,,,,,,,
1067,方块凝结与融化,使周围@1格，上下高度@2格内的液体凝结,2,2,,1,2052,3,BlockCongeal,200013,1,25485,200013,1,25485,,,,,,,,,,,,,,,,
1068,周围随机生成方块,在玩家周围半径@1高度@2的圆柱范围内，每隔@3秒随机一个方块顶面生成@4,2,2,,1,2053,3,Generate,200013,5,25485,200013,5,25485,200004,1,25435,400009,115,25486,,,,,,,,,,
1069,使攻击者获得状态,受到@1次攻击有@2%概率使攻击者获得@3,2,2,,,2054,2,attack_fire_add,200004,1,25485,200004,100,25485,400002,1001,25464,,,,,,,,,,,,,
1070,食物恢复量倍率改变,@1的@2恢复量提高@3,1,1,3,,,2,buff_appetite,101701,101701,25487,101801,101801,25488,200002,30,25430,,,,,,,,,,,,,
1071,使受击者获得状态,受到@1次攻击有@2%概率获得@3,2,2,,,2055,2,attack_fire_add,200004,1,25485,200004,100,25485,400002,1001,25464,,,,,,,,,,,,,
1072,修改枪械属性,枪械@1 @2,1,1,3,,,1,,102001,102001,,200001,0,25433,,,,,,,,,,,,,,,,
1073,修改枪械属性，按百分比,枪械@1 @2,1,1,3,,,1,,102101,102101,,200002,0,,,,,,,,,,,,,,,,,
1074,修改buff/枪skill/投掷物,,1,1,3,,,1,,102201,102201,,,,,,,,,,,,,,,,,,,,
1075,获得护盾,,1,3,3,,,1,,101801,101804,,200001,10,,,,,,,,,,,,,,,,,
1076,改变最大生命值/饥饿度（百分比）,最大@1@2,1,1,,,,2,MODEL_ADD,100201,100201,25434,200002,10,,,,,,,,,,,,,,,,,
1077,持续恢复生命值百分比,"每@1秒恢复@2点生命值,@3立即生效",1,1,,,2057,3,addhpbuff_add,200004,1,25435,200002,10,25433,300001,0,25489,,,,,,,,,,,,,
1078,降低防御值百分比,@1@2,1,1,,,,1,armor_add,100501,100501,25449,200002,10,,,,,,,,,,,,,,,,,
1079,技能冷却,技能冷却中,1,2,3,,,2,run_no,,,,,,,,,,,,,,,,,,,,,,
1080,多段跳,"多段跳,在空中连按跳跃可以多跳几次",1,2,3,,2058,2,run_no,200004,3,,200004,35,,200004,5,,400007,3041,,,,,,,,,,,
1081,动态照明,照亮周围,1,2,3,,2059,2,run_no,200004,5,,200004,10,,200004,1,,,,,,,,,,,,,,
1082,模型隐藏,隐身,1,2,3,,2060,2,run_no,,,,,,,,,,,,,,,,,,,,,,
1083,移动生成方块,每移动@1格，在偏移@2，@3，@4的位置上，生成@5，同时播放@6和@7,1,3,,1,2061,3,Generate,200002,1,25433,200001,0,25502,200001,0,25503,200001,-1,25504,400009,100,25486,400007,3035,25505,400004,13142,25506,
1084,发狂,,1,3,3,,2062,2,,,,,,,,,,,,,,,,,,,,,,,
1085,浮空术,"浮空术,使目标持续上浮",1,2,3,,2063,2,run_no,200004,10,,200004,0,,200004,0,,200004,0,,,,,,,,,,,
1086,持续改变法力值,每@1秒@2点法力值,1,1,,,2064,3,sta_recovery,200005,10,25435,200001,10,25433,,,,,,,,,,,,,,,,
1087,持续改变法力值（百分比）,每@1秒@2法力值,1,1,,,2064,3,sta_recovery,200005,10,25435,200002,10,25433,,,,,,,,,,,,,,,,
1088,改变法力值恢复速度,@1@2,1,1,,,,1,sta_reducerate,102501,102501,25434,200009,100,25433,,,,,,,,,,,,,,,,
1089,改变最大法力值,@1@2,1,1,,,,1,sta_breakthrough,102301,102301,25434,200003,50,25433,,,,,,,,,,,,,,,,
1090,改变施法冷却时间,@1@2,1,1,,,,1,cd,102601,102601,25434,200009,-5,25433,,,,,,,,,,,,,,,,
1091,改变法力消耗,@1@2,1,1,,,,1,absorbed,102701,102701,25434,200009,-5,25433,,,,,,,,,,,,,,,,
1092,状态结束时造成范围伤害,在@1结束时对@2范围内的生物造成@3点@4伤害，并播放@5和@6,1,1,,,2065,2,CRITICAL_HIT_1,400002,2230001,25434,200004,3,25485,200004,15,25483,100304,100304,25432,400007,3035,25505,400004,25465,25465,,,,
1093,头顶显示倒计时,@1期间在头顶显示倒计时,1,1,,1,2066,3,sta_recovery,400002,2230001,25434,,,,,,,,,,,,,,,,,,,
1094,嘲讽,吸引半径为@1格内生物的攻击，仇恨等级为@2,1,3,,,2067,3,defend,200004,10,,200004,1,,,,,,,,,,,,,,,,,
1095,滑翔,按镜头方向滑翔，落地不造成跌落伤害,1,3,,,2068,2,run_no,200017,12,25490,200018,180,25491,200019,240,25492,200020,2,25493,200021,2,25494,,,,,,,
1096,锁血触发,致命伤害时保留1点生命,1,2,,,2069,2,defend,,,,,,,,,,,,,,,,,,,,,,
9999,,,3,99,3,1,,,buff_appetite,,,,,,,,,,,,,,,,,,,,,,自定义效果模板
