ID,名称,输入【①0=关闭，1=整数，2=字符串，3=角度，4=颜色，5=脚本编辑，6=浮点数；②左值开关，1=开（默认），0=关；③局部逻辑开关，④行为树节点开关，1=开（默认），0=关】,素材库【0=关闭，1=方块类型，2=道具类型，3=投掷物类型，4=生物类型，5=状态，6=动画标签，7=特效类型，8=音效，9=装备类型，10=触发器，11=颜色，12=模型外观，13=界面，14=元件，15=图片模板，16=页面状态，17=音乐，18=开发者商店，19=触发器，20=触发器组，21=选择广播 22= 选择编程对象 23=选择编程答案 24】,代码块【0=关闭（默认），1=开启】,变量【0=关闭（默认），1=开启】,返回值【0=关闭（默认），1=开启】,选项【0=关闭（默认），>0为枚举表里的枚举类型】,传参（可能没用了）【0=关闭（默认），>0为枚举表里的枚举类型】,选择对象【0=关闭（默认），1=区域，2=位置，3=生物，4=显示板，5=道具 7=通用对象8=实体9=星球对象】,可兼容值类型,可兼容值输入,值类型【13=布尔值，其它的一一对应】
1076,图片模板,0,15|0|1|1,1|1|1|1,1|1|1|1,0,0,0,0,0,0,75
1077,移动方式,0,0,0,0,0,53|1|1|1,0,0,0,0,76
1078,时间单位,0,0,0,0,0,54|1|1|1,0,0,0,0,77
1079,页面状态,0,16|1|1|1,0,0,0,0,0,0,0,0,78
1080,音乐,0,17|1|1|1,0,0,0,0,57|1|1|1,0,0,0,79
1081,暂停恢复,0,0,0,0,0,58|1|1|1,0,0,0,0,80
1082,显示板,0,0,0,0,0,0,59|1|1|1,4|0|1|1,0,0,81
1083,全局对象,0,0,0,0,0,60|1|1|1,0,0,0,0,82
1084,排行榜,2|1|1|1,0,0,1|1|1|1,0,0,0,0,0,0,83
1085,kv表,2|1|1|1,0,0,1|1|1|1,0,0,0,0,0,0,84
1086,播放模式,0,0,0,0,0,61|1|1|1,0,0,0,0,85
1087,条件,0,0,1|1|1|1,1|1|1|1,1|1|1|1,0,0,0,0,0,13
1088,停止逻辑,0,0,0,0,0,62|1|1|1,0,0,0,0,86
1089,动作积木槽,0,0,0,0,0,0,0,0,0,0,87
1090,消息,0,21|1|1|1,0,0,0,0,0,0,0,0,88
1091,整数,1|0|1|1,0,1|1|1|1,1|1|1|1,1|1|1|1,0,0,0,0,0,6
1092,胜利状态,0,0,0,0,0,80|1|1|1,0,0,0,0,13
1093,显示状态,0,0,0,0,0,81|1|1|1,0,0,0,0,13
1094,相似度检测模式,0,0,0,0,0,82|1|1|1,0,0,0,0,89
1095,积木检测模式,0,0,0,0,0,87|1|1|1,0,0,0,0,90
1096,参数检测模式,0,0,0,0,0,88|1|1|1,0,0,0,0,91
1097,编程对象,0,22|1|1|1,0,0,0,0,0,0,0,0,92
1098,积木答案,0,23|1|1|1,0,0,0,0,0,0,0,0,93
1099,道具属性,0,0,0,0,0,68|1|1|1,0,0,0,0,98
1100,掉落方式,0,0,0,0,0,69|1|1|1,0,0,0,0,99
1101,指定页面,0,24|1|1|1,0,0,0,0,0,0,0,0,100
1102,动作播放模式,0,0,0,0,0,70|1|1|1,0,0,0,0,101
1103,道具库,0,0,0,0,0,71|1|1|1,0,0,0,0,102
1104,道具栏,0,0,1|1|1|1,0,0,0,0,0,0,0,103
1105,背包栏,0,0,1|1|1|1,0,0,72|1|1|1,0,0,0,0,104
1106,角色类型,0,0,1|1|1|1,0,0,73|1|1|1,0,0,0,0,105
1107,蓝图,0,25|0|1|1,0,1|1|1|1,0,0,0,0,0,0,106
1108,角度,0,0,0,0,0,74|1|1|1,0,0,0,0,107
1109,镜像,0,0,0,0,0,32|1|1|1,0,0,0,0,108
1110,覆盖规则,0,0,0,0,0,32|1|1|1,0,0,0,0,109
1111,玩法排行榜,0,26|1|1|1,0,0,0,0,0,0,0,0,110
1112,缓动曲线,0,0,0,0,0,85|1|1|1,0,0,0,0,111
1113,宽高,0,,0,0,0,86|1|1|1,0,0,0,0,112
1114,进度项,0,0,0,0,0,113|1|1|1,0,0,0,0,113
1115,显示动效,0,27|1|1|1,0,0,0,0,0,0,0,0,114
1116,隐藏动效,0,28|1|1|1,0,0,0,0,0,0,0,0,115
1117,动效,0,29|1|1|1,0,0,0,0,0,0,0,0,116
1118,文本动效选择,0,30|1|1|1,0,0,0,0,0,,0,0,117
1119,二维坐标分量,0,0,0,0,0,83|1|1|1,0,0,0,0,118
1120,增减,0,0,0,0,0,84|1|1|1,0,0,0,0,119
1121,元件动效,0,0,1|1|1|1,0,0,0,0,0,0,0,120
1122,文本动效,0,0,1|1|1|1,0,0,0,0,0,0,0,121
1123,元件平滑运动,0,0,1|1|1|1,0,0,0,0,0,0,0,122
1124,天空盒时间,0,0,0,0,0,90|1|1|1,0,0,0,0,123
1125,天空盒贴图,0,0,0,0,0,91|1|1|1,0,0,0,0,124
1126,天空盒颜色,0,0,0,0,0,92|1|1|1,0,0,0,0,125
1127,天空盒参数,0,0,0,0,0,93|1|1|1,0,0,0,0,126
1128,环境粒子参数,0,0,0,0,0,94|1|1|1,0,0,0,0,127
1129,滤镜参数,0,0,0,0,0,95|1|1|1,0,0,0,0,128
1130,摄像机设置,0,0,0,0,0,96|1|1|1,0,0,0,0,131
1131,转动模式,0,0,0,0,0,97|1|1|1,0,0,0,0,132
1132,摄像机属性,0,0,1|1|1|1,0,0,0,0,0,0,0,133
1133,轴向,0,0,0,0,0,98|1|1|1,0,0,0,0,134
1134,天空盒模板,0,31|1|1|1,0,0,0,0,0,0,0,0,135
1135,色彩校正,0,32|1|1|1,0,0,0,0,0,0,0,0,136
1136,滤镜模板,0,33|1|1|1,0,0,0,0,0,0,0,0,137
1137,地形组,0,0,1|1|1|1,0,0,99|1|1|1,0,0,0,0,138
1138,皮肤商品,0,34|1|1|1,0,0,0,0,0,0,0,0,139
1139,天空盒开关,0,0,0,0,0,100|1|1|1,0,0,0,0,140
1140,滤镜开关,0,0,0,0,0,101|1|1|1,0,0,0,0,141
1141,游戏内弹框,0,0,0,0,0,142|1|1|1,0,0,0,0,142
1142,充值消费,0,0,0,0,0,143|1|1|1,0,0,0,0,143
1143,迷你币,0,0,0,0,0,144|1|1|1,0,0,0,0,144
1144,商店一级分类,0,0,0,0,0,145|1|1|1,0,0,0,0,145
1145,参数类型,0,0,0,0,0,146|1|1|1,0,0,0,0,146
1146,滚动方向,0,0,0,0,0,147|1|1|1,0,0,0,0,147
1147,朝向,0,0,0,0,0,148|1|1|1,0,0,0,0,148
1148,父元件X坐标,0,0,1|1|1|1,0,0,0,0,0,0,0,149
1149,像素单位,0,0,0,0,0,150|1|1|1,0,0,0,0,150
1150,水平偏移,0,0,0,0,0,151|1|1|1,0,0,0,0,151
1151,垂直偏移,0,0,0,0,0,152|1|1|1,0,0,0,0,152
1152,元件类型,0,0,0,0,0,153|1|1|1,0,0,0,0,153
1153,元件动画,0,36|1|1|1,0,0,0,0,0,0,0,0,154
1154,进度图片,0,0,0,0,0,154|1|1|1,0,0,0,0,155
1155,父元件宽高,0,0,1|1|1|1,0,0,0,0,0,0,0,156
1156,昵称称号,0,0,0,0,0,155|1|1|1,0,0,0,0,157
1157,射线对象,0,0,0,0,0,156|1|1|1,0,0,0,0,158
1158,剧情动画,0,455|0|1|1,1|1|1|1,1|1|1|1,1|1|1|1,0,0,0,0,0,11
1159,剧情动画暂停恢复,0,0,0,0,0,458|1|1|1,0,0,0,0,458
1201,对象组,0,0,1|0|1|1,1|1|1|1,0,0,0,0,0,0,201
1203,打断规则—条件变化时触发,0,0,0,0,0,203|1|1|1,0,0,0,0,203
1204,并行成功规则,0,0,0,0,0,204|1|1|1,0,0,0,0,204
1205,并行失败规则,0,0,0,0,0,205|1|1|1,0,0,0,0,205
1206,队伍关系,0,0,0,0,0,206|1|1|1,0,0,0,0,206
1207,实际队伍,0,0,0,0,0,207|1|1|1,0,0,0,0,207
1208,队伍,0,0,1|1|1|1,0,0,0,0,0,0,0,208
1209,方位,0,0,0,0,0,209|1|1|1,0,0,0,0,209
1210,行为树,0,35|1|1|1,0,0,0,0,0,0,0,0,210
1211,移动方式,0,0,0,0,0,211|1|1|1,0,0,0,0,211
3001,xxxxxx不要了,0,0,1|1|1|1,1|1|1|1,0,0,0,7|1|1|1,0,0,301
3002,组件,0,102|1|1|1,0,0,0,0,0,0,0,0,302
3003,属性,0,103|1|1|2,0,0,0,0,0,0,0,0,303
3004,自定义函数,0,104|1|1|2,1|1|1|1,1|1|1|1,0,0,0,0,0,0,304
3005,二维表,0,0,0,1|1|1|1,0,0,0,0,0,0,305
3006,自定义枚举,0,106|1|1|1,0,0,0,0,0,0,0,0,306
3007,空值,0,0,0,0,0,0,0,0,0,0,307
3008,玩家|组,0,0,1|1|1|1,1|1|1|1,0,0,0,0,17|18,0,308
3009,数值|字符串,6|0|1|1,0,1|1|1|1,1|1|1|1,0,0,0,0,6|11,0,309
3010,增删,0,0,0,0,0,310|1|1|1,0,0,0,0,310
3011,对象|组,0,0,1|1|1|1,1|1|1|1,0,0,0,0,201|47,0,311
3012,角色|组,0,0,1|1|1|1,1|1|1|1,0,0,0,0,362|395,0,312
3013,生物|组,0,0,1|1|1|1,1|1|1|1,0,0,0,3|0|1|1,30|32,0,313
3014,掉落物|组,0,0,1|1|1|1,1|1|1|1,0,0,0,0,29|361,0,314
3015,投掷物|组,0,0,1|1|1|1,1|1|1|1,0,0,0,0,43|360,0,315
3016,区域|组,0,0,1|1|1|1,1|1|1|1,0,0,0,1|0|1|1,2|62,0,316
3017,实体|组,0,0,1|1|1|1,1|1|1|1,0,0,0,8|0|1|1,319|320,0,317
3018,任意位置|对象,0,0,0,0,0,318|1|1|1,0,0,0,0,318
3019,实体,0,0,1|1|1|1,1|1|1|1,1|1|1|1,0,30|0|1|1,8|0|1|1,0,0,319
3020,实体组,0,0,1|0|1|1,1|1|1|1,0,0,0,0,0,0,320
3021,点按,0,0,0,0,0,321|1|1|1,0,0,0,0,321
3022,任意角色,0,0,0,0,0,322|1|1|1,0,0,0,0,322
3023,被攻击,0,0,0,0,0,323|1|1|1,0,0,0,0,323
3024,开始结束,0,0,0,0,0,324|1|1|1,0,0,0,0,324
3025,进入|离开,0,0,0,0,0,325|1|1|1,0,0,0,0,325
3026,攻击,0,0,0,0,0,326|1|1|1,0,0,0,0,326
3027,操作道具,0,0,0,0,0,327|1|1|1,0,0,0,0,327
3028,点击对象,0,0,0,0,0,328|1|1|1,0,0,0,0,328
3029,获得|失去,0,0,0,0,0,329|1|1|1,0,0,0,0,329
3030,任意对象,0,0,0,0,0,330|1|1|1,0,0,0,0,330
3031,玩家背包,0,0,0,0,0,331|1|1|1,0,0,0,0,331
3032,穿脱装备,0,0,0,0,0,332|1|1|1,0,0,0,0,332
3033,输入字符,0,0,0,0,0,333|1|1|1,0,0,0,0,333
3034,任意角色,0,0,0,0,0,334|1|1|1,0,0,0,0,334
3035,碰撞状态,0,0,0,0,0,335|1|1|1,0,0,0,0,335
3036,方块操作,0,0,0,0,0,336|1|1|1,0,0,0,0,336
3037,方块属性,0,0,0,0,0,337|1|1|1,0,0,0,0,337
3038,储存容器操作,0,0,0,0,0,338|1|1|1,0,0,0,0,338
3039,掉落物状态,0,0,0,0,0,339|1|1|1,0,0,0,0,339
3040,数学运算,0,0,0,0,0,340|1|1|1,0,0,0,0,340
3041,删除道具,0,0,0,0,0,341|1|1|1,0,0,0,0,341
3042,地图房间类型,0,0,0,0,0,342|1|1|1,0,0,0,0,342
3043,观战,0,0,0,0,0,343|1|1|1,0,0,0,0,343
3044,道具权限,0,0,0,0,0,344|1|1|1,0,0,0,0,344
3045,删除方块,0,0,0,0,0,345|1|1|1,0,0,0,0,345
3046,方块填充方式,0,0,0,0,0,346|1|1|1,0,0,0,0,346
3047,商品页面,0,0,0,0,0,347|1|1|1,0,0,0,0,347
3048,位置间角度,0,0,0,0,0,348|1|1|1,0,0,0,0,348
3049,区域中位置,0,0,0,0,0,349|1|1|1,0,0,0,0,349
3050,音调转换,0,0,0,0,0,350|1|1|1,0,0,0,0,350
3051,说明,0,0,0,0,0,351|1|1|1,0,0,0,0,351
3052,服务器|客户端,0,0,0,0,0,352|1|1|1,0,0,0,0,352
3053,变换,0,0,0,0,0,353|1|1|1,0,0,0,0,353
3054,玩家头像,0,0,0,0,0,354|1|1|1,0,0,0,0,354
3055,掉落物属性,0,0,0,0,0,355|1|1|1,0,0,0,0,355
3056,输入框状态,0,0,0,0,0,356|1|1|1,0,0,0,0,356
3057,好友弹框,0,0,0,0,0,357|1|1|1,0,0,0,0,357
3058,状态|组,0,5|0|1|1,1|1|1|1,0,0,0,41|1|1|1,0,36|359,0,358
3059,状态组,0,0,1|1|1|1,1|1|1|1,0,0,0,0,0,0,359
3060,投掷物组,0,0,1|1|1|1,1|1|1|1,0,0,0,0,0,0,360
3061,掉落物组,0,0,1|1|1|1,1|1|1|1,0,0,0,0,0,0,361
3062,角色,0,0,1|1|1|1,1|1|1|1,0,0,0,0,0,0,362
3063,伤害类型组,0,0,1|1|1|1,0,0,0,0,0,0,0,363
3064,伤害类型|组,0,0,1|1|1|1,0,0,8|1|1|1,0,0,12|363,0,364
3065,角色位置点,0,0,0,0,0,365|1|1|1,0,0,0,0,365
3066,对象枚举,0,0,0,0,0,366|1|1|1,0,0,0,0,366
3067,删除生物,0,0,0,0,0,367|1|1|1,0,0,0,0,367
3068,生物类型|组,0,4|0|1|1,1|1|1|1,1|1|1|1,1|1|1|1,0,0,0,31|68,0,368
3069,掉落物类型|组,0,0,1|1|1|1,1|1|1|1,0,0,0,0,0,0,369
3070,投掷物类型|组,0,0,1|1|1|1,1|1|1|1,0,0,0,0,0,0,370
3071,区域类型|组,0,287|0|1|1,1|1|1|1,1|1|1|1,0,0,0,0,0,0,371
3072,实体类型|组,0,291|0|1|1,1|1|1|1,1|1|1|1,0,0,0,0,0,0,372
3073,创建方块,0,0,0,0,0,373|1|1|1,0,0,0,0,373
3074,方块类型|组,0,1|0|1|1,1|1|1|1,1|1|1|1,1|1|1|1,0,26|1|1|1,0,24|66,0,374
3075,复制方块,0,0,0,0,0,375|1|1|1,0,0,0,0,375
3076,道具冷却,0,0,0,0,0,376|1|1|1,0,0,0,0,376
3077,特效类型|组,0,7|0|1|1,1|1|1|1,1|1|1|1,1|1|1|1,0,34|1|1|1,0,44|70,0,377
3078,音效组,0,0,1|1|1|1,1|1|1|1,0,0,0,0,0,0,378
3079,音效|组,0,8|0|1|1,1|1|1|1,0,0,0,0,0,45|378,0,379
3080,位置偏移,0,0,0,0,0,380|1|1|1,0,0,0,0,380
3081,转换字符串,0,0,0,0,0,381|1|1|1,0,0,0,0,381
3082,转换道具（1）,0,0,0,0,0,382|1|1|1,0,0,0,0,382
3083,预制,0,0,1|1|1|1,0,0,0,0,0,0,0,383
3084,玩家类型,0,284|0|1|1,1|1|1|1,0,0,0,0,0,0,0,384
3085,掉落物类型,0,2|0|1|1,1|1|1|1,0,0,0,0,0,0,0,385
3086,掉落物类型组,0,0,1|1|1|1,0,0,0,0,0,0,0,386
3087,区域类型,0,287|0|1|1,1|1|1|1,0,0,0,0,0,0,0,387
3088,区域类型组,0,0,1|1|1|1,0,0,0,0,0,0,0,388
3089,所有对象,0,0,0,0,0,389|1|1|1,0,0,0,0,389
3090,玩法弹框,0,0,0,0,0,390|1|1|1,0,0,0,0,390
3091,实体类型,0,291|0|1|1,1|1|1|1,1|1|1|1,0,0,0,0,0,0,391
3092,所有状态,0,0,0,0,0,392|1|1|1,0,0,0,0,392
3093,转换道具（2）,0,0,0,0,0,393|1|1|1,0,0,0,0,393
3094,所有角色,0,0,0,0,0,394|1|1|1,0,0,0,0,394
3095,角色组,0,0,1|0|1|1,1|1|1|1,0,0,0,0,0,0,395
3096,数值类型,0,0,0,0,0,396|1|1|1,0,0,0,0,396
3097,角色持枪行为,0,0,0,0,0,397|1|1|1,0,0,0,0,397
3098,预制类型,0,0,0,0,0,398|1|1|1,0,0,0,0,398
3099,数值|数值组,6|0|1|1,0,1|1|1|1,1|1|1|1,1|1|1|1,0,0,0,6|63,0,399
3100,是否等于,0,0,0,0,0,400|1|1|1,0,0,0,0,400
3101,行列,0,0,0,0,0,401|1|1|1,0,0,0,0,401
3102,二维表列名,2|0|1|1,0,0,0,0,0,0,0,0,0,402
3103,数据类型,0,0,0,0,0,403|1|1|1,0,0,0,0,403
3104,角色属性,0,0,0,0,0,404|1|1|1,0,0,0,0,404
3105,二维表列数,1|0|1|1,0,0,0,0,0,0,0,0,0,402
3106,移动方式,0,0,1|1|1|1,0,0,406|1|1|1,0,0,0,0,406
3107,移动能力,0,0,0,0,0,407|1|1|1,0,0,0,0,407
3108,角色权限,0,0,0,0,0,408|1|1|1,0,0,0,0,408
3109,旋转,0,0,1|1|1|1,1|1|1|1,1|1|1|1,0,24|0|1|1,2|0|1|1,0,0,3
3110,缩放,0,0,1|1|1|1,1|1|1|1,1|1|1|1,0,24|0|1|1,2|0|1|1,0,0,3
3111,角色运动状态,0,0,0,0,0,411|1|1|1,0,0,0,0,411
3112,动作标签,1|0|1|1,312|0|1|1,1|1|1|1,0,0,0,0,0,6,0,412
3113,字符串|数值,2|0|1|1,0,1|1|1|1,1|1|1|1,0,0,0,0,6|11,0,413
3114,日志级别,0,0,0,0,0,414|1|1|1,0,0,0,0,414
3115,日志输出框,2|0|1|1,0,1|1|1|1,1|1|1|1,0,0,0,0,3|6|11|13|17|18|24|27|28|29|30|31|32|36|43|44|47|54|55|59|61|62|63|64|65|66|67|68|70|74|75|106|201|319|320|359|360|361|362|363|378|385|391|395|412|443,0,415
3116,骨骼挂点,2|0|1|1,316|0|1|1,1|1|1|1,0,0,0,0,0,11,0,416
3117,抓举,0,0,0,0,0,417|1|1|1,0,0,0,0,417
3118,举起的角色,0,0,0,0,0,418|1|1|1,0,0,0,0,418
3119,世界规则（占位）,0,110|0|1|1,0,0,0,0,0,0,0,0,419
3120,模组变量库（占位）,0,111|0|1|1,0,0,0,0,0,0,0,0,420
3121,自定义图片（占位）,0,292|0|1|1,0,0,0,0,0,0,0,0,421
3122,自定义材质（占位）,0,293|0|1|1,0,0,0,0,0,0,0,0,422
3123,所有变量类型,0,323|0|1|1,0,0,0,0,0,0,0,0,423
3124,列数据,0,324|0|1|1,0,0,0,0,0,0,0,0,424
3125,字符串|字符串组,2|0|1|1,0,1|1|1|1,1|1|1|1,1|1|1|1,0,0,0,11|64,0,425
3126,角色持枪权限,0,0,0,0,0,426|1|1|1,0,0,0,0,426
3127,游戏模式,0,0,0,0,0,427|1|1|1,0,0,0,0,427
3128,商品弹框,0,0,0,0,0,428|1|1|1,0,0,0,0,428
3129,任意组类型,0,0,0,0,0,429|1|1|1,0,0,0,0,429
3130,道具格子属性,0,0,0,0,0,430|1|1|1,0,0,0,0,430
3131,地形类型,0,0,0,0,0,0,0,0,0,0,431
3132,时间单位,0,0,0,0,0,432|1|1|1,0,0,0,0,432
3133,排行榜类型,0,0,0,0,0,433|1|1|1,0,0,0,0,433
3134,任意值|任意组,0,0,1|1|1|1,0,0,0,0,0,52|60,0,434
3135,任意值|任意组类型,0,0,0,0,0,435|1|1|1,0,0,0,0,435
3136,元件组,0,0,0,1|1|1|1,0,0,0,0,0,0,436
3137,图片组,0,0,0,1|1|1|1,0,0,0,0,0,0,437
3138,外观类型组,0,0,0,1|1|1|1,0,0,0,0,0,0,438
3139,实体类型组,0,0,0,1|1|1|1,0,0,0,0,0,0,439
3140,对象类型,0,0,0,0,0,440|1|1|1,0,0,0,0,440
3141,道具分类,0,0,0,0,0,441|1|1|1,0,0,0,0,441
3142,行为树属性,0,342|1|1|2,0,0,0,0,0,0,0,0,442
3143,星球对象,0,443|1|1|1,1|1|1|1,0,0,0,0,0,0,0,443
3144,排行榜类型,0,0,0,0,0,444|1|1|1,0,0,0,0,444
3145,标签,0,345|1|1|1,1|1|1|1,1|1|1|1,0,0,0,0,0,0,445
3146,天空盒参数,0,0,0,0,0,446|1|1|1,0,0,0,0,446
3147,全部/任意,0,0,0,0,0,447|1|1|1,0,0,0,0,447
3148,标签组,0,345|1|1|1,1|0|1|1,1|1|1|1,0,0,0,0,0,0,448
3149,标签|组,0,345|1|1|1,1|1|1|1,1|1|1|1,0,0,0,0,448,0,449
3150,类型枚举,0,0,0,0,0,448|1|1|1,0,0,0,0,450
