id,枚举名称,枚举类型,枚举类型名,属性类型（在本表中每新增一个新条目顺序向下加一，枚举名称相同归为一类）,备注
101303,行走,13,玩家体力恢复行为类型,1062,
101304,潜行,13,玩家体力恢复行为类型,1063,
101305,二段跳,13,玩家体力恢复行为类型,1064,
101401,剧烈运动,14,玩家剧烈运动行为类型,1065,
101402,奔跑跳跃,14,玩家剧烈运动行为类型,1068,
101403,挖掘方块,14,玩家剧烈运动行为类型,1069,
101404,使用工具蓄力,14,玩家剧烈运动行为类型,1070,
101405,二段跳,14,玩家剧烈运动行为类型,1071,
101406,攻击,14,玩家剧烈运动行为类型,1072,
101501,低温,15,温度类型,1074,
101502,高温,15,温度类型,1075,
101601,全部,16,液体方块类型,,
101602,水方块,16,液体方块类型,,
101603,流沙方块,16,液体方块类型,,
101604,蜂蜜方块,16,液体方块类型,,
101605,岩浆方块,16,液体方块类型,,
101701,所有,17,食物类型,,
101702,生的,17,食物类型,,
101703,烤的,17,食物类型,,
101704,煮的,17,食物类型,,
101705,药品,17,食物类型,,
101801,所有,18,恢复属性类型,,
101802,生命值,18,恢复属性类型,,
101803,体力值,18,恢复属性类型,,
101804,护盾,18,恢复属性类型,,
101805,毅力,18,恢复属性类型,,
101806,氧气,18,恢复属性类型,,
102001,枪械伤害,20,枪械属性,1083,
102002,击退距离,20,枪械属性,1084,
102003,弹片数量,20,枪械属性,1085,
102004,消耗子弹数,20,枪械属性,1086,
102005,当前弹匣子弹数,20,枪械属性,,
102101,枪械伤害,21,枪械属性,1087,
102102,穿透率,21,枪械属性,1088,
102103,换弹速度,21,枪械属性,1089,
102104,后坐力,21,枪械属性,1090,
102105,垂直后坐力,21,枪械属性,1091,
102106,水平后坐力,21,枪械属性,1092,
102107,精准度,21,枪械属性,1093,
102108,腰射精准度,21,枪械属性,1094,
102109,瞄准精准度,21,枪械属性,1095,
102110,枪械腰射移动速度,21,枪械属性,1096,
102111,枪械瞄准移动速度,21,枪械属性,1097,
102112,枪械头部伤害,21,枪械属性,1098,
102113,瞄准时间,21,枪械属性,1099,
102114,射速,21,枪械属性,1100,
102201,枪械命中buff,22,,1101,
102202,枪械skillid修改,22,,1102,
102203,枪械投掷物id修改,22,,1103,
102401,当前子弹数量,19,枪械属性,,
102301,最大法力值,23,法力值类型,1107,
102501,法力值基础恢复速度,25,法力值基础恢复速度,1108,
102601,施法冷却时间,26,施法冷却时间,1109,
102701,法力消耗,27,法力消耗,1110,
