id,名称,浅海,草原,沙漠,峭壁,森林,针叶林,沼泽,冰原,红土,丛林,草地沙漠,河流,冻洋,冻河,冰山,红土海岸,沙滩,沙漠山丘,森林山丘,针叶林山丘,峭壁边缘,丛林山丘,烈焰星,空岛,盆地,盆地边缘,竹林盆地,桃花盆地,雨林,星球地表,星球山丘,星球地表-祭坛平原区,星球地表-高山,星球地表-丘陵,星球空岛占位,星球空岛,星球空岛子地形,星球空岛子地形2,星球空岛子地形3,星球空岛子地形4,星球空岛边缘,草原空岛地面,草原空岛天空,火山口,火山主峰,火山平原,火山山脉,火山岩浆网,深海,荒岛海岸,荒岛岛心,红土岛海岸,红土岛心,珊瑚岛海岸,珊瑚岛岛心,覆雪针叶林,雪山主峰,雪山副峰,雪山山脉,雪山中部,副峰雪山中部,雪山底部,冻湖,峡谷,峡谷边缘,干旱草原,蒲公英花海,油菜花海,薰衣草花海,狗尾花海,菊花花海,稻田,沼泽河畔,粉蝶花空岛,三角梅峭壁,郁金香岛心,郁金香海岸,迷拉星-丛林-蓝花楹树林,铁穹平原,铁穹舰队,荧菇平原-星尘之境,星辉湖泊-星尘之境,巨菇林-星尘之境,星影森林-星尘之境,碎岛边境-星尘之境,晶簇浮岛-星尘之境,破碎离岛-星尘之境,腐化遗岛-星尘之境,荧菇丘陵-星尘之境,荧菇平原边缘-星尘之境,四叶草溪-星尘之境,符光遗迹-星尘之境,星影森林丘陵-星尘之境,昏暗树林-星尘之境,猫狗村-星尘之境,蘑菇村-星尘之境,虚空-星尘之境
3106,庆典野人,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3108,备用ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3109,爆爆蛋,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,60,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3103,萌眼咻咻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3110,萌眼叮叮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3111,萌眼咚咚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3112,萌眼当当,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3113,萌眼叮叮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3114,萌眼咚咚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3115,萌眼当当,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3116,萌眼叮咚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3117,萌眼叮当,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3118,萌眼咚当,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3501,虚空使徒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3502,远古黑龙,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3130,熔岩巨人,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,,,,,,,,,,,,,,,,,,100,,100,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3131,硫磺弓手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3411,鸵鸟,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3412,冰熊,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3413,迅猛龙,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3414,团子,,,,50,,,,,50,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,,10,10,10,10,10,,,10,10,,,500,,,,,,,,,,,,,,,,,,,
3416,熊猫,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3418,蜜蜂,,,,,,,,,,,,,,,,,,,,,,,,,,,200,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,200,200,200,,,200,200,200,,,,,,,,,,,,,,,,,,,,,
3419,萤火虫,,,,,,,,,,,,,,,,,,,,,,,,,200,200,0,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3424,尖叫鸡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3507,福球,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3508,小恶魔野生,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3120,恶霸屠夫,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3600,灯笼鱼,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3602,鳐鱼,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3604,淡蓝呆呆鱼,500,100,,,100,100,200,100,,100,,500,500,500,,500,500,,,,,,,100,,,,,100,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3605,深蓝呆呆鱼,500,100,,,100,100,200,100,,100,,500,500,500,,500,500,,,,,,,100,,,,,100,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3606,黑色呆呆鱼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3607,淡蓝奇奇鱼,500,100,,,100,100,200,100,,100,,500,500,500,,500,500,,,,,,,100,,,,,100,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3608,粉红丑丑鱼,500,100,,,100,100,200,,,100,,500,500,500,,500,500,,,,,,,100,,,,200,100,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3609,金色呆呆鱼,10,,,,,,10,,,,,,10,,,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,20,5,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3610,金色奇奇鱼,10,,,,,,10,,,,,,10,,,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,20,5,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3611,金色丑丑鱼,10,,,,,,10,,,,,,10,,,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,20,5,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3612,粉色呆呆鱼,500,100,,,100,100,200,,,100,,500,500,500,,500,500,,,,,,,100,,,,200,100,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3613,黄色奇奇鱼,500,100,,,100,100,200,,,100,,500,500,500,,500,500,,,,,,,100,,,200,,100,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3614,紫色丑丑鱼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3615,绿色奇奇鱼,500,100,,,100,100,200,,,100,,500,500,500,,500,500,,,,,,,100,200,,200,,100,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3616,条纹丑丑鱼,500,100,,,100,100,200,,,100,,500,500,500,,500,500,,,,,,,100,200,,200,,100,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3617,红色奇奇鱼,500,100,,,100,100,200,,,100,,500,500,500,,500,500,,,,,,,100,,,,200,100,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3618,红色呆呆鱼,500,100,,,100,100,200,,,100,,500,500,500,,500,500,,,,,,,100,,,,200,100,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3619,橙色丑丑鱼,500,100,,,100,100,200,,,100,,500,500,500,,500,500,,,,,,,100,,,200,,100,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3870,猴子,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3871,猴子（驯服）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3872,豹子,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3873,毒素野人祭司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3874,治疗野人祭司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3875,雷电野人祭司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3876,火焰野人祭司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3877,野人祭司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3878,羽蛇神,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3881,焱焱蟹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,,,,,,,,,,,,,,,,100,,100,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3883,雀莺,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3885,红薇蝶,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,0,0,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3886,兰青蝶,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,100,,,100,,,,,,,,,,,,,,,,,,,,,,,
3887,香粉蝶,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,0,0,,,,100,,100,,,,100,,,,,,,,,,,,,,,,,,,,,,
3888,向阳蝶,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3889,龙信蝶,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,0,0,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3890,舌钟蝶,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,0,0,,,100,,,,100,,100,,,,,,,,,,,,,,,,,,,,,,,
3897,灯谜鸟,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3421,飞鸡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3822,骆驼,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3824,毒尾蝎,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3828,沙漠狼,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3621,螃蟹,30,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,100,,100,,100,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3622,海鸥,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3623,海马,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3624,小海马,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3626,水母,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3627,飞鱼,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
