资源ID,备注,模型路径,模型文件[如果是程序生成的模型，这里需要配置模型的枚举，否则配置模型的文件名字。0.立方体、1.球体、2.圆柱、3.圆锥、4.三角斜面、5.胶囊体、6.多边形],"资源类型[1.程序生成, 2.obj 3.omod 4.Prefab 5.blockmesh 6.png]",名称,图标,一级分类(1.生物 2.),二级分类[1.基础 2.装饰 3.玩法4.方块5.部件],是否合并SUBMESH,材质类型（按照submesh的顺序设置材质是否是透明材质，0是不透明材质1是透明材质2是遮罩材质 ）,模型文件名,贴图文件名,"模型类型[1.静态, 2.动态]"
11000035,X标志,ugcModel,11000035,4,X标志,x_mark,,2,0,0,,,
11000036,粉心,ugcModel,11000036,4,粉心,pink_heart,,2,0,0,,,
11000037,滑梯,ugcModel,11000037,4,滑梯,slide,,2,0,0,,,
11000038,货车,ugcModel,11000038,4,货车,truck,,2,0,0,,,
11000039,拖车,ugcModel,11000039,4,拖车,trailer,,2,0,0,,,
11000040,卡车,ugcModel,11000040,4,卡车,truck1,,2,0,0,,,
11000041,蓝色轿车,ugcModel,11000041,4,蓝色轿车,blue_car,,2,0,0,,,
11000042,面包车,ugcModel,11000042,4,面包车,van,,2,0,0,,,
11000043,雨棚,ugcModel,11000043,4,雨棚,awaning,,2,0,0,,,
11000044,披萨店招牌,ugcModel,11000044,4,披萨店招牌,pizza_sign,,2,0,0,,,
11000045,扶梯,ugcModel,11000045,4,扶梯,escalator,,2,0,0,,,
11000046,吊钩,ugcModel,11000046,4,吊钩,hook,,2,0,0,,,
11000047,通风管,ugcModel,11000047,4,通风管,ventilation,,2,0,0,,,
11000048,拱门,ugcModel,11000048,4,拱门,arch,,2,0,0,,,
11000049,礼盒,ugcModel,11000049,4,礼盒,gift,,2,0,0,,,
11000050,木马,ugcModel,11000050,4,木马,trojan_horse,,2,0,0,,,
11000051,热气球,ugcModel,11000051,4,热气球,balloon,,2,0,0,,,
11000052,电视机,ugcModel,11000052,4,电视机,tv,,2,0,0,,,
11000054,月亮,ugcModel,11000054,4,月亮,moon,,2,0,0,,,
11000055,花洒,ugcModel,11000055,4,花洒,shower,,2,0,0,,,
11000056,勺子,ugcModel,11000056,4,勺子,spoon,,2,0,0,,,
11000057,书本,ugcModel,11000057,4,书本,book,,2,0,0,,,
11000058,小刀,ugcModel,11000058,4,小刀,knife,,2,0,0,,,
11000059,螺丝刀,ugcModel,11000059,4,螺丝刀,screwdriver,,2,0,0,,,
11000060,瓶子,ugcModel,11000060,4,瓶子,bottle,,2,0,0,,,
11000061,钻石,ugcModel,11000061,4,钻石,diamond,,1,0,0,,,
11000062,心形,ugcModel,11000062,4,心形,heart,,1,0,0,,,
11000063,齿轮,ugcModel,11000063,4,齿轮,gear,,1,0,0,,,
11000064,弯箭头,ugcModel,11000064,4,弯箭头,curved_arrow,,1,0,0,,,
11000065,直箭头,ugcModel,11000065,4,直箭头,straight_arrow,,1,0,0,,,
11000066,圆筒,ugcModel,11000066,4,圆筒,tube,,1,0,0,,,
11000067,圆台,ugcModel,11000067,4,圆台,round_platform,,1,0,0,,,
11000068,圆环,ugcModel,11000068,4,圆环,ring,,1,0,0,,,
11000069,圆弧,ugcModel,11000069,4,圆弧,arc,,1,0,0,,,
11000070,拱形,ugcModel,11000070,4,拱形,square_arc,,1,0,0,,,
11000071,方环,ugcModel,11000071,4,方环,square_ring,,1,0,0,,,
11000072,三棱柱,ugcModel,11000072,4,三棱柱,triangular_prism,,1,0,0,,,
11000073,六棱柱,ugcModel,11000073,4,六棱柱,hexagonal_prism,,1,0,0,,,
11000074,扇形柱,ugcModel,11000074,4,扇形柱,fan-shaped_column,,1,0,0,,,
11000075,凸圆柱,ugcModel,11000075,4,凸圆柱,convex_cylinder,,1,0,0,,,
11000076,凹圆柱,ugcModel,11000076,4,凹圆柱,concave_cylinder,,1,0,0,,,
11000077,四棱锥,ugcModel,11000077,4,四棱锥,quad_pyramid,,1,0,0,,,
11000078,六棱锥,ugcModel,11000078,4,六棱锥,hexagonal_pyramid,,1,0,0,,,
11000079,滑道,ugcModel,11000079,4,滑道,slide_base,,1,0,0,,,
11000080,快餐店凳子,ugcModel,11000080,4,快餐店凳子,fast_food_stool,,2,0,0,,,
11000081,快餐店沙发,ugcModel,11000081,4,快餐店沙发,fast_food_sofa,,2,0,0,,,
11000082,快餐店桌子,ugcModel,11000082,4,快餐店桌子,fast_food_table,,2,0,0,,,
11000083,拉力赛车,ugcModel,11000083,4,拉力赛车,rally_car,,2,0,0,,,
11000084,警车,ugcModel,11000084,4,警车,police_car,,2,0,0,,,
11000085,吊车,ugcModel,11000085,4,吊车,crane,,2,0,0,,,
11000086,快餐车,ugcModel,11000086,4,快餐车,food_truck,,2,0,0,,,
11000087,垃圾车,ugcModel,11000087,4,垃圾车,garbage_truck,,2,0,0,,,
11000088,箱型货车,ugcModel,11000088,4,箱型货车,box_truck,,2,0,0,,,
11000089,跑车,ugcModel,11000089,4,跑车,sports_car,,2,0,0,,,
11000090,方程式赛车,ugcModel,11000090,4,方程式赛车,formula_car,,2,0,0,,,
11000091,沙地越野车,ugcModel,11000091,4,沙地越野车,sand_buggy,,2,0,0,,,
11000094,灭火器,ugcModel,11000094,4,灭火器,fire_extinguisher,,2,0,0,,,
11000095,科技风座椅,ugcModel,11000095,4,科技风座椅,tech_chair,,2,0,0,,,
11000096,垃圾桶,ugcModel,11000096,4,垃圾桶,trash_can,,2,0,0,,,
11000097,铸铁壁灯,ugcModel,11000097,4,铸铁壁灯,cast_iron_wall_lamp,,2,0,0,,,
11000098,影院Logo,ugcModel,11000098,4,影院Logo,cinema_logo,,2,0,0,,,
11000099,射灯,ugcModel,11000099,4,射灯,spotlight,,2,0,0,,,
11000100,安检门,ugcModel,11000100,4,安检门,security_gate,,2,0,0,,,
11000101,滑板,ugcModel,11000101,4,滑板,skateboard,,2,0,0,,,
11000102,按摩椅,ugcModel,11000102,4,按摩椅,massage_chair,,2,0,0,,,
11000103,木椅,ugcModel,11000103,4,木椅,wooden_chair,,2,0,0,,,
11000104,[水墨]桃树,ugcModel,11000104,4,[水墨]桃树,icon390068,,2,0,"0,2",,,
11000105,[水墨]松树,ugcModel,11000105,4,[水墨]松树,icon390067,,2,0,"0,2",,,
11000106,[水墨]假山一,ugcModel,11000106,4,[水墨]假山一,icon390060,,2,0,0,,,
11000107,[水墨]竹子,ugcModel,11000107,4,[水墨]竹子,icon390069,,2,0,"0,2",,,
11000108,[水墨]枫树,ugcModel,11000108,4,[水墨]枫树,icon390071,,2,0,"0,2",,,
11000109,[水墨]假山二,ugcModel,11000109,4,[水墨]假山二,icon390061,,2,0,0,,,
11000110,[水墨]假山三,ugcModel,11000110,4,[水墨]假山三,icon390062,,2,0,0,,,
11000111,[水墨]假山四,ugcModel,11000111,4,[水墨]假山四,icon390063,,2,0,0,,,
11000112,[水墨]假山五,ugcModel,11000112,4,[水墨]假山五,icon390064,,2,0,0,,,
11000113,[水墨]山石一,ugcModel,11000113,4,[水墨]山石一,icon11000113,,2,0,0,,,
11000114,[水墨]山石二,ugcModel,11000114,4,[水墨]山石二,icon11000114,,2,0,0,,,
11000115,[水墨]山石三,ugcModel,11000115,4,[水墨]山石三,icon11000115,,2,0,0,,,
11000116,[水墨]山石四,ugcModel,11000116,4,[水墨]山石四,icon11000116,,2,0,0,,,
11000117,[水墨]山石五,ugcModel,11000117,4,[水墨]山石五,icon11000117,,2,0,0,,,
11000118,[水墨]山石六,ugcModel,11000118,4,[水墨]山石六,icon11000118,,2,0,0,,,
11000119,[水墨]山石七,ugcModel,11000119,4,[水墨]山石七,icon11000119,,2,0,0,,,
11000120,[水墨]柳树,ugcModel,11000120,4,[水墨]柳树,icon11000120,,2,0,"0,2",,,
11000121,立方体(6贴图),ugcModel,11000121,4,立方体(6贴图),cube,,4,0,0,,,
11000122,立方体(1贴图),ugcModel,11000122,4,立方体(1贴图),cube,,4,0,0,,,
11000123,立方体(2贴图),ugcModel,11000123,4,立方体(2贴图),cube,,4,0,0,,,
11000124,立方体(3贴图),ugcModel,11000124,4,立方体(3贴图),cube,,4,0,0,,,
11000130,枪模板,ugcModel,11000130,4,枪械模板,icon15000,,2,0,0,,,
,【暂不投放】1/2方块,ugcModel,11000125,4,1/2方块,cube,,4,0,0,,,
,【暂不投放】1/4方块,ugcModel,11000126,4,1/4方块,cube,,4,0,0,,,
,【暂不投放】竖1/2方块,ugcModel,11000127,4,竖1/2方块,cube,,4,0,0,,,
,【暂不投放】竖1/4方块,ugcModel,11000128,4,竖1/4方块,cube,,4,0,0,,,
,【暂不投放】45度斜面,ugcModel,11000129,4,六面立方体,cube,,4,0,0,,,
11000176,精英机械兵左手,ugcModel,11000176,4,精英机械兵左手,,,0,0,0,,,
11000177,精英机械兵右手,ugcModel,11000177,4,精英机械兵右手,,,0,0,0,,,
11000178,精英炮兵左手,ugcModel,11000178,4,精英炮兵左手,,,0,0,0,,,
11000179,精英炮兵右手,ugcModel,11000179,4,精英炮兵右手,,,0,0,0,,,
11000180,机械boss左手,ugcModel,11000180,4,机械boss左手,,,0,0,0,,,
11000181,机械boss右手,ugcModel,11000181,4,机械boss右手,,,0,0,0,,,
11000182,机械boss头,ugcModel,11000182,4,机械boss头,,,0,0,0,,,
11000183,测试obj,ugcModel,11000182,2,测试obj,cube,,0,0,0,,,
11000184,测试perfab,ugcModel,11000130,4,测试perfab,cube,,0,0,0,,,
11000391,饺子,blocks,,5,饺子,cube,,,0,0,food_dumpling,,
11000392,汤圆,blocks,,5,汤圆,cube,,,0,0,food_sweetdumpling,,
11000393,餐点展示柜,blocks,,5,餐点展示柜,cube,,,0,0,food_displaycase,,
11000394,高脚餐盘,blocks,,5,高脚餐盘,cube,,,0,0,stemmedtray,,
11000395,木餐盘,blocks,,5,木餐盘,cube,,,0,0,woodentray,,
11000396,野餐篮,blocks,,5,野餐篮,cube,,,0,0,picnicbasket,,
11000397,低级作物种子手持,ugcModel,11680,4,低级作物种子手持,,,,0,0,11680.prefab,,
11000398,中级作物种子手持,ugcModel,11681,4,中级作物种子手持,,,,0,0,11681.prefab,,
11000399,高级作物种子手持,ugcModel,11694,4,高级作物种子手持,,,,0,0,11694.prefab,,
11000400,攀藤架,blocks,,5,攀藤架,cube,,,0,0,climbingframe,,
11000401,西瓜作物,blocks,,5,西瓜作物,cube,,,0,0,plant_watermelon,,
11000402,丰硕西瓜作物,blocks,,5,丰硕西瓜作物,cube,,,0,0,plant_fruitful_watermelon,plant_watermelon,
11000403,番茄果实,blocks,,5,番茄果实,cube,,,0,0,fruit_tomato,plant_tomato,
11000404,丰硕番茄果实,blocks,,5,丰硕番茄果实,cube,,,0,0,fruit_tomato_fruitful,plant_tomato,
11000405,西瓜果实,blocks,,5,西瓜果实,cube,,,0,0,fruit_watermelon,plant_watermelon,
11000406,丰硕西瓜果实,blocks,,5,丰硕西瓜果实,cube,,,0,0,fruit_watermelon_fruitful,plant_watermelon,
11000407,番茄作物,blocks,,5,番茄作物,cube,,,0,0,plant_tomato,,
11000408,浆果丛作物,blocks,,5,浆果丛作物,cube,,,0,0,plant_berrypatch,,
11000409,浆果果实,blocks,,5,浆果果实,cube,,,0,0,fruit_berrypatch,plant_berrypatch,
11000410,丰硕浆果果实,blocks,,5,丰硕浆果果实,cube,,,0,0,fruit_berrypatch_fruitful,plant_berrypatch,
11000411,胡萝卜作物,blocks,,5,胡萝卜作物,cube,,,0,0,plant_carrot,,
11000412,胡萝卜果实,blocks,,5,胡萝卜果实,cube,,,0,0,fruit_carrot,plant_carrot,
11000413,丰硕胡萝卜果实,blocks,,5,丰硕胡萝卜果实,cube,,,0,0,fruit_carrot_fruitful,plant_carrot,
11000414,南瓜作物,blocks,,5,南瓜作物,cube,,,0,0,plant_pumpkin,,
11000415,南瓜果实,blocks,,5,南瓜果实,cube,,,0,0,fruit_pumpkin,plant_pumpkin,
11000416,丰硕南瓜果实,blocks,,5,丰硕南瓜果实,cube,,,0,0,fruit_pumpkin_fruitful,plant_pumpkin,
11000417,丰硕南瓜作物,blocks,,5,丰硕南瓜作物,cube,,,0,0,plant_fruitful_pumpkin,plant_pumpkin,
11000418,草莓作物,blocks,,5,草莓作物,cube,,,0,0,plant_strawberry,,
11000419,草莓果实,blocks,,5,草莓果实,cube,,,0,0,fruit_strawberry,plant_strawberry,
11000420,丰硕草莓果实,blocks,,5,丰硕草莓果实,cube,,,0,0,fruit_strawberry_fruitful,plant_strawberry,
11000421,莲藕作物,blocks,,5,莲藕作物,cube,,,0,0,plant_lotusroot,,
11000422,莲藕果实,blocks,,5,莲藕果实,cube,,,0,0,fruit_lotusroot,plant_lotusroot,
11000423,丰硕莲藕果实,blocks,,5,丰硕莲藕果实,cube,,,0,0,fruit_lotusroot_fruitful,plant_lotusroot,
11000424,沙棘作物,blocks,,5,沙棘作物,cube,,,0,0,plant_seabuckthorn,,
11000425,沙棘果实,blocks,,5,沙棘果实,cube,,,0,0,fruit_seabuckthorn,plant_seabuckthorn,
11000426,丰硕沙棘果实,blocks,,5,丰硕沙棘果实,cube,,,0,0,fruit_seabuckthorn_fruitful,plant_seabuckthorn,
11000427,葡萄作物,blocks,,5,葡萄作物,cube,,,0,0,plant_grape,,
11000428,葡萄果实,blocks,,5,葡萄果实,cube,,,0,0,fruit_grape,plant_grape,
11000429,丰硕葡萄果实,blocks,,5,丰硕葡萄果实,cube,,,0,0,fruit_grape_fruitful,plant_grape,
11000430,玉米作物,blocks,,5,玉米作物,cube,,,0,0,corn,,
11000431,玉米果实,blocks,,5,玉米果实,cube,,,0,0,fruit_corn,fruit_corn,
11000432,丰硕玉米果实,blocks,,5,丰硕玉米果实,cube,,,0,0,fruit_corn_fruitful,fruit_corn,
11000433,青瓜作物,blocks,,5,青瓜作物,cube,,,0,0,plant_cucumber,,
11000434,青瓜果实,blocks,,5,青瓜果实,cube,,,0,0,fruit_cucumber,plant_cucumber,
11000435,丰硕青瓜果实,blocks,,5,丰硕青瓜果实,cube,,,0,0,fruit_cucumber_fruitful,plant_cucumber,
11000436,番薯作物,blocks,,5,番薯作物,cube,,,0,0,plant_yams,,
11000437,番薯果实,blocks,,5,番薯果实,cube,,,0,0,fruit_yams,plant_yams,
11000438,丰硕番薯果实,blocks,,5,丰硕番薯果实,cube,,,0,0,fruit_yams_fruitful,plant_yams,
11000439,水稻作物,blocks,,5,水稻作物,cube,,,0,0,plant_rice,,
11000440,水稻果实,blocks,,5,水稻果实,cube,,,0,0,fruit_rice,plant_rice,
11000441,丰硕水稻果实,blocks,,5,丰硕水稻果实,cube,,,0,0,fruit_rice_fruitful,plant_rice,
11000442,独葵作物,blocks,,5,独葵作物,cube,,,0,0,plant_sugarcane,,
11000443,独葵果实,blocks,,5,独葵果实,cube,,,0,0,fruit_sugarcane,plant_sugarcane,
11000444,丰硕独葵果实,blocks,,5,丰硕独葵果实,cube,,,0,0,fruit_sugarcane_fruitful,plant_sugarcane,
11000445,萝卜王作物,blocks,,5,萝卜王作物,cube,,,0,0,plant_kingradish,,
11000446,萝卜王果实,blocks,,5,萝卜王果实,cube,,,0,0,fruit_kingradish,plant_kingradish,
11000447,丰硕萝卜王果实,blocks,,5,丰硕萝卜王果实,cube,,,0,0,fruit_kingradish_fruitful,plant_kingradish,
11000448,日光番茄作物,blocks,,5,日光番茄作物,cube,,,0,0,plant_suntomato,,
11000449,日光番茄果实,blocks,,5,日光番茄果实,cube,,,0,0,fruit_suntomato,plant_suntomato,
11000450,丰硕日光番茄果实,blocks,,5,丰硕日光番茄果实,cube,,,0,0,fruit_suntomato_fruitful,plant_suntomato,
11000451,超级杂交水稻作物,blocks,,5,超级杂交水稻作物,cube,,,0,0,plant_hybridrice,,
11000452,超级杂交水稻果实,blocks,,5,超级杂交水稻果实,cube,,,0,0,fruit_hybridrice,plant_hybridrice,
11000453,丰硕超级杂交水稻果实,blocks,,5,丰硕超级杂交水稻果实,cube,,,0,0,fruit_hybridrice_fruitful,plant_hybridrice,
11000454,彩虹草莓作物,blocks,,5,彩虹草莓作物,cube,,,0,0,plant_rainbowstrawberry,,
11000455,彩虹草莓果实,blocks,,5,彩虹草莓果实,cube,,,0,0,fruit_rainbowstrawberry,plant_rainbowstrawberry,
11000456,丰硕彩虹草莓果实,blocks,,5,丰硕彩虹草莓果实,cube,,,0,0,fruit_rainbowstrawberry_fruitful,plant_rainbowstrawberry,
11000457,水晶西瓜作物,blocks,,5,水晶西瓜作物,cube,,,0,0,plant_crystalwatermelon,,
11000458,水晶西瓜果实,blocks,,5,水晶西瓜果实,cube,,,0,0,fruit_crystalwatermelon,plant_crystalwatermelon,
11000459,丰硕水晶西瓜果实,blocks,,5,丰硕水晶西瓜果实,cube,,,0,0,fruit_crystalwatermelon_fruitful,plant_crystalwatermelon,
11000460,丰硕水晶西瓜作物,blocks,,5,丰硕水晶西瓜作物,cube,,,0,0,plant_fruitful_crystalwatermelon,plant_crystalwatermelon,
11000461,阳光青提作物,blocks,,5,阳光青提作物,cube,,,0,0,plant_sunshinegreengrape,,
11000462,阳光青提果实,blocks,,5,阳光青提果实,cube,,,0,0,fruit_sunshinegreengrape,plant_sunshinegreengrape,
11000463,丰硕阳光青提果实,blocks,,5,丰硕阳光青提果实,cube,,,0,0,fruit_sunshinegreengrape_fruitful,plant_sunshinegreengrape,
11000464,精致玉米作物,blocks,,5,精致玉米作物,cube,,,0,0,plant_finecorn,,
11000465,精致玉米果实,blocks,,5,精致玉米果实,cube,,,0,0,fruit_finecorn,plant_finecorn,
11000466,丰硕精致玉米果实,blocks,,5,丰硕精致玉米果实,cube,,,0,0,fruit_finecorn_fruitful,plant_finecorn,
11000467,冰果作物,blocks,,5,冰果作物,cube,,,0,0,plant_icefruit,,
11000468,冰果果实,blocks,,5,冰果果实,cube,,,0,0,fruit_icefruit,plant_icefruit,
11000469,丰硕冰果果实,blocks,,5,丰硕冰果果实,cube,,,0,0,fruit_icefruit_fruitful,plant_icefruit,
11000470,丰硕冰果作物,blocks,,5,丰硕冰果作物,cube,,,0,0,plant_fruitful_icefruit,plant_icefruit,
11000471,烈焰瓜作物,blocks,,5,烈焰瓜作物,cube,,,0,0,plant_flamemelon,,
11000472,烈焰瓜果实,blocks,,5,烈焰瓜果实,cube,,,0,0,fruit_flamemelon,plant_flamemelon,
11000473,丰硕烈焰瓜果实,blocks,,5,丰硕烈焰瓜果实,cube,,,0,0,fruit_flamemelon_fruitful,plant_flamemelon,
11000474,丰硕烈焰瓜作物,blocks,,5,丰硕烈焰瓜作物,cube,,,0,0,plant_fruitful_flamemelon,plant_flamemelon,
11000475,冰焰双果披萨,blocks,,5,冰焰双果披萨,cube,,,0,0,food_iceflamepizza,,
11000476,水晶西瓜沙棘慕斯,blocks,,5,水晶西瓜沙棘慕斯,cube,,,0,0,food_crystalwatermelon,,
11000477,阳光青提舒芙蕾,blocks,,5,阳光青提舒芙蕾,cube,,,0,0,food_sunshinegrape,,
11000478,彩虹草莓千层,blocks,,5,彩虹草莓千层,cube,,,0,0,food_rainbowstrawberry,,
11000479,汉堡,blocks,,5,汉堡,cube,,,0,0,food_hamburger,,
11000480,青瓜鸡蛋饼,blocks,,5,青瓜鸡蛋饼,cube,,,0,0,food_cucumberegg,,
11000481,浆果松饼,blocks,,5,浆果松饼,cube,,,0,0,food_berrymuffin,,
11000482,独葵蜂蜜饼干,blocks,,5,独葵蜂蜜饼干,cube,,,0,0,food_daisyhoney,,
11000483,葡萄干土司,blocks,,5,葡萄干土司,cube,,,0,0,food_raisintoast,,
11000484,草莓蛋糕,blocks,,5,草莓蛋糕,cube,,,0,0,food_strawberrycake,,
11000485,牛角包,blocks,,5,牛角包,cube,,,0,0,food_croissant,,
11000486,面包,blocks,,5,面包,cube,,,0,0,food_bread,,
11000487,超级米发糕,blocks,,5,超级米发糕,cube,,,0,0,food_superrice,,
11000488,日光番茄佛卡夏,blocks,,5,日光番茄佛卡夏,cube,,,0,0,food_sunlighttomato,,
11000489,胡萝卜南瓜盅,blocks,,5,胡萝卜南瓜盅,cube,,,0,0,food_carrotpumpkin,,
11000490,莲藕核桃糕,blocks,,5,莲藕核桃糕,cube,,,0,0,food_lotusrootwalnut,,
11000491,餐盘,blocks,,5,餐盘,cube,,,0,0,basictray,,
11000492,粗制洒水器,ugcModel,200163,4,粗制洒水器,cube,,,0,0,,,
11000493,标准洒水器,ugcModel,200164,4,标准洒水器,cube,,,0,0,,,
11000494,加强洒水器,ugcModel,200165,4,加强洒水器,cube,,,0,0,,,
11000495,玉米垛,blocks,,5,玉米垛,cube,,,0,0,corn_stack,,
11000496,囤积箱,blocks,,5,囤积箱,cube,,,0,0,storage_bin,,
11000497,囤积桶,blocks,,5,囤积桶,cube,,,0,0,storage_bucket,,
11000498,新版窗(测试）,ugcModel,201504,4,窗户,cube,,,0,0,,,
11000499,储物格,ugcModel,201643,4,储物格,cube,,,0,0,,,
11000500,人形模型,ugcModel,11000500,4,人形模型,cube,,,0,0,,,
11000501,野人伙伴发型1,ugcModel,11000501,4,野人伙伴发型1,cube,,5,0,0,11000501.prefab,,
11000502,野人伙伴发型2,ugcModel,11000502,4,野人伙伴发型2,cube,,5,0,,11000502.prefab,,
11000503,野人伙伴发型3,ugcModel,11000503,4,野人伙伴发型3,cube,,5,0,,11000503.prefab,,
11000504,猎手伙伴发型1,ugcModel,11000504,4,猎手伙伴发型1,cube,,5,0,,11000504.prefab,,
11000505,猎手伙伴发型2,ugcModel,11000505,4,猎手伙伴发型2,cube,,5,0,,11000505.prefab,,
11000506,猎手伙伴发型3,ugcModel,11000506,4,猎手伙伴发型3,cube,,5,0,,11000506.prefab,,
11000507,冰原村民头1,ugcModel,11000507,4,冰原村民头1,cube,,5,0,,11000507.prefab,,
11000508,冰原村民头2,ugcModel,11000508,4,冰原村民头2,cube,,5,0,,11000508.prefab,,
11000520,野人伙伴脸1,ugcModel,11000520,6,野人伙伴脸1,cube,,5,0,0,11000520.png,,
11000521,野人伙伴脸2,ugcModel,11000521,6,野人伙伴脸2,cube,,5,0,0,11000521.png,,
11000522,野人伙伴脸3,ugcModel,11000522,6,野人伙伴脸3,cube,,5,0,0,11000522.png,,
11000523,野人伙伴脸4,ugcModel,11000523,6,野人伙伴脸4,cube,,5,0,0,11000523.png,,
11000524,野人伙伴脸5,ugcModel,11000524,6,野人伙伴脸5,cube,,5,0,0,11000524.png,,
11000525,野人伙伴脸6,ugcModel,11000525,6,野人伙伴脸6,cube,,5,0,0,11000525.png,,
11000526,冰原男村民脸,ugcModel,11000526,6,冰原男村民脸,cube,,5,0,0,11000526.png,,
11000527,冰原女村民脸,ugcModel,11000527,6,冰原女村民脸,cube,,5,0,0,11000527.png,,
11000540,野人伙伴肤色1,ugcModel,11000540,6,野人伙伴肤色1,cube,,5,0,0,11000540.png,,
11000550,野人伙伴上衣,ugcModel,11000550,4,野人伙伴上衣,cube,,5,0,,11000550.prefab,,
11000551,猎手伙伴上衣,ugcModel,11000551,4,猎手伙伴上衣,cube,,5,0,,11000551.prefab,,
11000552,冰原村民上衣,ugcModel,11000552,4,冰原村民上衣,cube,,5,0,,11000552.prefab,,
11000570,野人伙伴裤子,ugcModel,11000570,4,野人伙伴裤子,cube,,5,0,,11000570.prefab,,
11000571,猎手伙伴裤子,ugcModel,11000571,4,猎手伙伴裤子,cube,,5,0,,11000571.prefab,,
11000590,野人伙伴鞋子,ugcModel,11000590,4,野人伙伴鞋子,cube,,5,0,,11000590.prefab,,
11000591,猎手伙伴鞋子,ugcModel,11000591,4,猎手伙伴鞋子,cube,,5,0,,11000591.prefab,,
11000610,野人伙伴手饰,ugcModel,11000610,4,野人伙伴手饰,cube,,5,0,,11000610.prefab,,
11000611,猎手伙伴手饰,ugcModel,11000611,4,猎手伙伴手饰,cube,,5,0,,11000611.prefab,,
11000630,战士背饰,ugcModel,11000630,4,战士背饰,cube,,5,0,,11000630.prefab,,
11000631,猎人背饰,ugcModel,11000631,4,猎人背饰,cube,,5,0,,11000631.prefab,,
11000632,樵夫背饰,ugcModel,11000632,4,樵夫背饰,cube,,5,0,,11000632.prefab,,
11000633,农夫背饰,ugcModel,11000633,4,农夫背饰,cube,,5,0,,11000633.prefab,,
11000634,助手背饰,ugcModel,11000634,4,助手背饰,cube,,5,0,,11000634.prefab,,
11000635,建筑工背饰,ugcModel,11000635,4,建筑工背饰,cube,,5,0,,11000635.prefab,,
