道具ID,名称,食材类型（0=食材，1=非食材）,食物类型（0=生的，1=篝火烹饪的，2=锅烹饪的，3=加工的）,使用时间,增加饥饿度,增加饥饿耐力,增加治疗血量,动物治疗血量,增加治疗血量（溢出）,恢复体力值,恢复温度,获取护盾,获取毅力,获得氧气值,恢复法力,附加状态1ID,状态1等级,状态1获得概率,附加状态2ID,状态2等级,状态2获得概率,附加状态3ID,状态3等级,状态3获得概率,保留容器,是否投掷（无效）,影响范围半径（无效）,随机状态(1:是否随机获得状态),"清除状态(1:清除随机状态, 2:清除随机有害状态)",食物效果,野人选择优先级（0不选择，1最高优先级，数字越大优先级越低）,烧烤类型（1=生肉，2=熟肉，3=糊肉）
686,巧克力砖,1,0,30,30,10,30,,,0,,,,,,6,3,10000,,,,,,,,,,,,,,
830,烤肉披萨,1,2,30,15,0,0,,0,60,,,,,,,,,,,,,,,,,,,,,,
831,蔬果披萨,1,2,30,15,0,0,,20,30,,30,,,,50,1,10000,,,,,,,,,,,,,,
980,周年生日蛋糕,1,0,30,15,0,15,,15,0,,,,,,1006,1,10000,,,,,,,,,,,,,,
10100,,,0,30,20,12,0,,,0,,,,,,,,,,,,,,,,,,,,,,
10110,食物模板,,0,30,10,10,0,,,0,,,,,,,,,,,,,,,,,,,,,,
10115,动作饼干,,0,30,0,0,0,0,,0,,,,,,72003,1,10000,,,,,,,,,,,,播放动作buff,,
11059,拐杖糖镐,1,0,30,30,10,30,,,0,,,,,,40,1,10000,,,,,,,,,,,,,,
11060,棒棒糖斧,1,0,30,30,10,30,,,0,,,,,,41,1,10000,,,,,,,,,,,,,,
11211,火种,1,0,30,,,0,20,,0,,,,,,,,,,,,,,,,,,,,麒麟的食物,,
11226,一把杂草,1,3,30,0,0,0,5,,0,,,,,,,,,,,,,,,,,,,,沃沃兽回血食物,,
11229,笋尖串串香,1,2,30,0,0,0,0,,20,,30,,,,,,,,,,,,,,,,,,,,
11302,兽骨,1,0,30,,,0,20,,0,,,,,,,,,,,,,,,,,,,,,,
11310,焦油,1,0,30,,,0,20,,0,,,,,,,,,,,,,,,,,,,,缤纷幻想食物,,
11311,便便,1,3,30,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,
11321,巨鳞羽果汁,1,3,30,20,12,25,25,,0,,,,,,29,1,10000,,,,,,,,,,,,火焰抗性1,4,
11326,瓶装果糖浆,1,3,30,20,10,20,20,,0,,,,,,50,1,10000,,,,,,,11320,,,,,恢复生命值,,
11329,黄铜,1,3,30,,,0,30,,0,,,,,,,,,,,,,,,,,,,,竹蜻蜓坐骑食物,,
11403,红杉果,,0,30,10,5,10,20,,0,,,,,,,,,,,,,,,,,,,,,5,
11404,水稻的种子,1,0,30,10,9,0,10,,0,,,,,,,,,,,,,,,,,,,,,,
11599,香蕉,,0,30,10,10,10,20,,0,,,,,,,,,,,,,,,,,,,,,,
11600,星光香蕉,,3,30,30,30,50,20,,0,,,,,,,,,,,,,,,,,,,,,,
11711,小星影果,,0,30,25,12,15,20,,0,,,,,10,,,,,,,,,,11705,,,,,,4,
11712,星影果,,0,30,25,12,25,30,,0,,,,,20,,,,,,,,,,11706,,,,,,4,
11715,星辉果,,0,30,25,12,30,30,,30,,,,,30,,,,,,,,,,,,,,,,4,
12497,烤糊的肉,,1,30,5,0,0,,,10,,,,,,76,1,2500,,,,,,,,,,,,,6,3
12498,夜视孢子,1,0,30,30,0,0,,,0,,,,,,16,4,10000,,,,,,,,,,,,,3,
12499,疾跑烤嘟嘟鸟,1,0,30,30,0,0,,,0,,,,,,4,4,10000,,,,,,,,,,,,,3,
12500,樱桃,,0,30,25,12,10,30,,0,,,,,,,,,,,,,,,11405,,,,,莲花坐骑食物,4,
12501,水果拼盘,1,3,30,35,33,30,,,0,,,,,,,,,,,,,,,,,,,,近战防御1,3,
12502,面条,1,2,30,30,25,10,,,20,,,,,,,,,,,,,,,,,,,,,3,
12503,松果,,0,30,20,12,10,20,,0,,,,,,,,,,,,,,,11406,,,,,,4,
12504,蜂巢碎片,,0,30,10,5,10,,,0,,,,,,,,,,,,,,,,,,,,,5,
12505,凉拌青瓜,1,3,30,25,36,15,,,15,,,,,,,,,,,,,,,,,,,,远程防御1,4,
12506,游戏版本过低,,0,30,5,1,0,,,0,,,,,,,,,,,,,,,,,,,,,6,
12507,玉米点心,1,2,30,15,0,0,,,30,,,,,,7,1,10000,,,,,,,,,,,,疯狂挖掘1,5,
12508,巨鳞羽果片,,3,30,15,0,10,20,,0,,,,,,,,,,,,,,,11402,,,,,,5,
12509,瓶装鲜奶,,0,30,10,0,15,,,0,,,,,,,,,,,,,,,11320,,,,1,,5,
12510,嘟嘟鸟炖土笋,1,2,30,25,36,0,50,,10,,40,,,,,,,,,,,,,,,,,,,,
12511,瓶装蜂蜜,,3,30,10,5,20,,,0,,,,,,50,2,10000,,,,,,,11320,,,,,,5,
12512,番薯泥,1,2,30,30,25,0,,,25,,,,,,,,,,,,,,,,,,,,,3,
12513,生肉,,0,30,20,4,0,15,,15,,,,,,76,1,1000,,,,,,,,,,,,,6,
12514,烤肉,,1,30,45,59,0,40,,25,,,,,,,,,,,,,,,,,,,,,6,
12515,巨布鲁果条,1,2,30,45,20,20,30,,20,,,,,,,,,,,,,,,,,,,,爆炸防御1,2,
12516,沃沃兽肉,,0,30,20,4,0,15,,15,,,,,,76,1,1000,,,,,,,,,,,,,4,1
12517,烤沃沃兽肉,,1,30,45,59,0,40,,25,1,,,,,,,,,,,,,,,,,,,,2,2
12518,嘟嘟鸟肉,,0,30,15,1,0,10,,15,,,,,,76,1,1000,,,,,,,,,,,,,5,1
12519,烤嘟嘟鸟肉,,1,30,35,31,0,30,,25,1,,,,,,,,,,,,,,,,,,,,3,2
12520,鲜呆呆鱼,,0,30,15,0,0,20,,15,,,,,,76,1,1000,,,,,,,,,,,,,5,
12521,烤呆呆鱼,,1,30,25,15,0,30,,25,1,,,,,,,,,,,,,,,,,,,巨鲸坐骑食物,2,
12522,墩墩肉,,0,30,20,4,0,15,,15,,,,,,76,1,1000,,,,,,,,,,,,,4,1
12523,熟墩墩肉,,1,30,45,59,0,40,,25,1,,,,,,,,,,,,,,,,,,,,2,2
12524,三文鱼,,0,30,15,0,0,10,,15,,,,,,76,1,1000,,,,,,,,,,,,,5,
12525,烤三文鱼,,1,30,40,64,0,30,,25,1,,,,,,,,,,,,,,,,,,,,2,
12526,奇怪的肘子,1,0,30,25,0,0,20,,20,,,,,,76,1,10000,,,,,,,,,,,,,4,
12529,一碗熟米饭,1,2,30,50,50,25,,,,,,,,,,,,,,,,,,,,,,,,1,
12530,角鹿肉,1,0,30,15,1,0,,,15,,,,,,76,1,1000,,,,,,,,,,,,,5,1
12531,烤角鹿肉,1,1,30,40,38,0,,,25,1,,,,,,,,,,,,,,,,,,,,2,2
12540,煎蛋面条,1,2,30,30,25,0,,,25,,,,,,2013,1,10000,,,,,,,,,,,,长面包回血1,3,
12541,烤薯条,1,2,30,30,36,0,,,45,,,,,,32,1,10000,,,,,,,,,,,,摔落抗性1,3,
12542,蔬菜煲,1,2,30,30,36,0,,,60,,,,,,,,,,,,,,,,,,,,毒素抗性1,3,
12543,烤嘟嘟鸟全家桶,1,2,30,35,36,0,30,,60,1,,,,,4,1,10000,,,,,,,,,,,,疾跑1,3,
12544,烤肉面条,1,2,30,45,64,0,,,25,,,,,,2013,1,10000,,,,,,,,,,,,强力攻击1,2,
12545,角鹿肉煲,1,2,30,40,48,0,,,30,1,20,,,,,,,,,,,,,,,,,,强力射击1,2,
12546,火腿,1,2,30,45,64,0,40,,30,,,,,,87,1,10000,,,,,,,,,,,,动物猎手1,2,
12547,异味火腿,1,2,30,45,64,0,,,30,,,,,,88,1,10000,,,,,,,,,,,,亡灵猎手1,2,
12548,‘蟹棒’火腿,1,2,30,45,64,0,,,30,,,,,,89,1,10000,,,,,,,,,,,,人类猎手1,2,
12549,浓缩奶糖,1,2,30,15,0,0,30,,30,,,,,,,,,,,,,,,,,,,2,,,
12550,香溢煎蛋面条,1,2,30,30,25,20,,,25,,,,,,50,2,10000,,,,,,,,,,,,长面包回血2,3,
12551,香溢薯条,1,2,30,30,36,0,,,60,,,,,,32,2,10000,,,,,,,,,,,,摔落抗性2,3,
12552,香溢巨布鲁果派,1,2,30,45,20,15,,,20,,20,,,,,,,,,,,,,,,,,,爆炸防御2,2,
12553,香溢玉米点心,1,2,30,15,0,0,,,30,,,,,,7,2,10000,,,,,,,,,,,,疯狂挖掘2,5,
12554,香溢蔬菜煲,1,2,30,30,36,0,,,65,,,,,,,,,,,,,,,,,,,,毒素抗性2,3,
12555,香溢青瓜,1,3,30,25,36,25,,,25,,,,,,,,,,,,,,,,,,,,远程防御2,4,
12556,香溢巨鳞羽果汁,1,3,30,20,12,30,,,0,,,,,,29,2,10000,,,,,,,,,,,,火焰抗性2,4,
12557,香溢水果拼盘,1,3,30,35,33,45,,,0,,,,,,,,,,,,,,,,,,,,近战防御2,3,
12558,香溢烤嘟嘟鸟,1,2,30,35,36,0,30,,60,1,,,,,4,2,10000,,,,,,,,,,,,疾跑2,3,
12559,香溢烤肉面条,1,2,30,45,64,0,,,25,1,,,,,2013,2,10000,,,,,,,,,,,,强力攻击2,2,
12560,香溢角鹿煲,1,2,30,40,48,0,,,30,1,20,,,,,,,,,,,,,,,,,,强力射击2,2,
12561,香溢火腿,1,2,30,45,64,0,,,30,,,,,,87,2,10000,,,,,,,,,,,,动物猎手2,2,
12562,香溢异味腿,1,2,30,45,64,0,,,30,,,,,,88,2,10000,,,,,,,,,,,,亡灵猎手2,2,
12563,香溢‘蟹棒’腿,1,2,30,45,64,0,,,30,,,,,,89,2,10000,,,,,,,,,,,,人类猎手2,2,
12564,元旦饺子,1,0,30,50,50,0,,,15,,,,,,40,1,10000,,,,,,,,,,,,,,
12565,怪味的糖果,1,0,30,10,2.5,0,30,,15,,,,,,38,1,10000,,,,,,,,,,,,圣诞惩罚,,
12566,坏掉的饺子,1,0,30,10,2.5,0,,,15,,,,,,39,1,10000,,,,,,,,,,,,元旦惩罚,,
12567,新春饺子,1,0,30,50,50,0,,,15,,,,,,40,1,10000,,,,,,,,,,,,,,
12568,年糕,1,0,30,50,50,0,,,15,,,,,,41,1,10000,,,,,,,,,,,,,,
12569,黑馅元宵,1,0,30,50,50,0,,,15,,,,,,1003,2,10000,,,,,,,,,,,,,,
12570,紫馅元宵,1,0,30,50,50,0,,,15,,,,,,1004,2,10000,,,,,,,,,,,,,,
12571,黄馅元宵,1,0,30,50,50,0,,,15,,,,,,1005,2,10000,,,,,,,,,,,,晕头转向,,
12572,樱桃汁,1,0,30,50,50,0,,,15,,,,,,38,2,10000,,,,,,,,,,,,跳高高,,
12573,气泡果汁,1,0,30,50,50,0,,,15,,,,,,6,3,10000,,,,,,,,,,,,变身小恶魔,,
12574,恶魔果汁,1,0,30,50,50,0,30,,15,,,,,,1006,2,10000,,,,,,,,,,,,,,
12575,粽子,1,0,30,50,50,0,,,15,,,,,,1008,2,10000,,,,,,,,,,,,,,
12576,泡泡糖,,0,30,50,50,10,,,0,,15,,,,42,2,10000,,,,,,,,,,,,,,
12581,蟹棒,,3,30,15,10,0,,,15,,,,,,76,1,1000,,,,,,,,,,,,,5,
12583,氧气果,1,0,30,0,0,0,,,0,,,,,,66,1,10000,,,,,,,11408,,,,,增加氧气、饥饿状态。,,
12584,星光孢子,1,0,30,0,0,0,,,0,,,,,,66,1,10000,,,,,,,,,,,,增加氧气、饥饿状态。,,
12585,变异土笋,,0,30,0,0,0,,,0,,,,,,66,1,10000,,,,,,,,,,,,增加氧气、饥饿状态。,,
12586,变异小红菇,,0,30,0,0,0,,,0,,,,,,66,1,10000,,,,,,,,,,,,增加氧气、饥饿状态。,,
12594,急救包,1,3,30,0,0,30,,,0,,,,,,,,,,,,,,,,,,,,,,
12601,桃子,,0,30,30,10,10,30,,0,,,,,,,,,,,,,,,11409,,,,,,,
12602,红杉果,,0,30,30,10,10,,,0,,,,,,,,,,,,,,,11412,,,,,,,
12615,生海带,,0,30,5,0,0,,,5,,,,1,,76,1,1000,,,,,,,,,,,,,,
12603,核桃,,0,30,30,10,10,,,0,,,,,,,,,,,,,,,11411,,,,,,,
12715,红藻力量药剂,1,3,30,0,0,0,,,0,,,,,,12,2,10000,,,,,,,11320,,,,,,,
12716,深海呼吸药剂,1,3,30,0,0,0,,,0,,,,,,37,3,10000,,,,,,,11320,,,,,,,
587,神圣果实,,0,60,0,0,100,,,100,,100,100,,,,,,,,,,,,,,,,,,,
12604,白杨果,,0,30,30,10,10,,,0,,,,,,,,,,,,,,,11410,,,,,,,
11901,庆典月饼,1,0,30,30,10,0,,,30,,,,,,,,,,,,,,,,,,,,,,
12527,蟹腿,,0,30,0,0,0,30,,0,,,,,,,,,,,,,,,,,,,,,,
12606,止血药剂,1,3,30,0,0,25,,,0,,15,,,,1014,1,10000,,,,,,,11320,,,,3|77001,,,
12607,生鸵鸟腿,,0,30,20,0,0,,,15,,,,,,76,1,3000,,,,,,,,,,,,,,
12608,烤鸵鸟腿,,1,30,30,0,0,,,25,1,,,,,,,,,,,,,,,,,,,,,
12609,煎鸵鸟蛋,,2,30,25,0,0,,,30,,,,,,,,,,,,,,,,,,,,,,
12610,胡杨花,,0,30,0,0,10,20,,0,,5,,,,,,,,,,,,,,,,,3|77001,,,
12613,仙人掌果实,,0,30,20,0,0,30,,20,,,,,,,,,,,,,,,11420,,,,,,,
11659,晒干的呆呆鱼,,0,30,20,,,,,25,,,,,,,,,,,,,,,,,,,,,3,
12703,鲜丑丑鱼,,0,30,15,0,0,20,,10,,,,,,76,1,1000,,,,,,,,,,,,,5,
12704,鲜奇奇鱼,,0,30,15,0,0,20,,10,,,,,,76,1,1000,,,,,,,,,,,,,5,
12705,烤丑丑鱼,,1,30,25,15,0,30,,25,1,,,,,,,,,,,,,,,,,,,巨鲸坐骑食物,2,
12706,烤奇奇鱼,,1,30,25,15,0,30,,25,1,,,,,,,,,,,,,,,,,,,巨鲸坐骑食物,2,
12707,晒干的丑丑鱼,,0,30,20,,,,,25,,,,,,,,,,,,,,,,,,,,,3,
12708,晒干的奇奇鱼,,0,30,20,,,,,25,,,,,,,,,,,,,,,,,,,,,3,
12741,生鸡肉,1,0,30,0,0,0,0,,15,,,,,,76,1,1000,,,,,,,,,,,,,5,1
12742,烤鸡,,1,30,0,0,0,0,,25,1,,,,,,,,,,,,,,,,,,,,5,2
12744,荷包蛋,,2,30,0,0,0,0,,20,,,,,,,,,,,,,,,,,,,,,5,
12746,生猪肉,,0,30,20,4,0,15,,15,,,,,,76,1,1000,,,,,,,,,,,,,4,1
12747,烤猪肉,1,1,30,45,59,0,40,,25,1,,,,,,,,,,,,,,,,,,,,2,2
14012,生牛肉,,0,30,20,4,0,15,,15,,,,,,76,1,1000,,,,,,,,,,,,,4,1
14013,烤牛肉,1,1,30,45,59,0,40,,25,1,,,,,,,,,,,,,,,,,,,,2,2
14014,生羊肉,,0,30,20,4,0,15,,15,,,,,,76,1,1000,,,,,,,,,,,,,4,1
14015,烤羊肉,1,1,30,45,59,0,40,,25,1,,,,,,,,,,,,,,,,,,,,2,2
14011,彩虹奶,,0,30,10,0,30,,,30,,,,,,1077,1,10000,,,,,,,11320,,,,,,5,
11329,黄铜,1,3,30,,,0,20,,0,,,,,,,,,,,,,,,,,,,,,,
12532,兔肉,,0,30,15,1,0,10,,10,,,,,,76,1,1000,,,,,,,,,,,,,5,1
12533,烤兔肉,,1,30,35,31,0,30,,25,3,,,,,,,,,,,,,,,,,,,,3,2
12534,香煎兔肉,,2,30,35,31,,,,30,4,,,,,1039,1,10000,,,,,,,,,,,,,5,
12535,牦牛肉,,0,30,20,4,0,15,,15,,,,,,76,1,1000,,,,,,,,,,,,,4,1
12536,烤牦牛肉,,1,30,45,59,0,40,,25,3,,,,,,,,,,,,,,,,,,,,2,2
12537,牦牛干,1,0,30,45,59,,,,25,,,,,,,,,,,,,,,,,,,,,3,
12538,水果冰沙,1,3,30,30,10,20,,,,-3,,,,,,,,,,,,,,,,,,,,5,
12539,冰蕨奶冻,1,3,30,30,10,25,,,,-4,,,,,1040,1,10000,,,,,,,,,,,,,6,
12626,绷带,1,3,30,0,0,0,,,0,,10,,,,,,,,,,,,,,,,,,,,
12494,烤番薯,1,1,30,45,59,0,40,,25,1,,,,,,,,,,,,,,,,,,,,2,2
12495,烤玉米,1,1,30,45,59,0,40,,25,1,,,,,,,,,,,,,,,,,,,,2,2
229,玉米,,0,30,45,59,0,,,15,,,,,,76,1,1000,,,,,,,,,,,,,,1
150101,小份水果拼盘,1,2,30,0,0,25,,,,,,,,,,,,,,,,,,,,,,,,,
150102,小份炒蔬菜,1,2,30,0,0,,,,,,15,,,,,,,,,,,,,,,,,,,,
150103,小份煎肉排,1,2,30,0,0,,,,20,,,,,,,,,,,,,,,,,,,,,,
150104,小份煎鱼,1,2,30,0,0,,,,20,,,,,,,,,,,,,,,,,,,,,,
150105,小份蒸玉米,1,2,30,0,0,,,,20,,,,,,,,,,,,,,,,,,,,,,
150106,小份蒸番薯,1,2,30,0,0,,,,20,,,,,,,,,,,,,,,,,,,,,,
150107,小份一碗饭,1,2,30,0,0,,,,,,,,,,2013,1,10000,,,,,,,,,,,,,,
150108,小份奇怪味道的食物,1,2,30,0,0,,,,5,,,,,,76,1,3000,6,1,500,,,,,,,,,,,
150109,小份不可名状的东西,1,2,30,0,0,,,,5,,,,,,76,1,3000,2014,1,3000,4,1,500,,,,,,,,
150110,煎肉排,1,2,30,0,0,,,,30,,,,,,,,,,,,,,,,,,,,,,
150111,鲜肉沙拉,1,2,30,0,0,15,,,15,,,,,,,,,,,,,,,,,,,,,,
150112,蔬菜炒肉,1,2,30,0,0,,,,15,,15,,,,,,,,,,,,,,,,,,,,
150113,海陆大餐,1,2,30,0,0,,,,30,,,,,,,,,,,,,,,,,,,,,,
150114,鲜肉炒饭,1,2,30,0,0,15,,,15,,,,,,,,,,,,,,,,,,,,,,
150115,果蔬沙拉,1,2,30,0,0,15,,,,,15,,,,,,,,,,,,,,,,,,,,
150116,海鲜沙拉,1,2,30,0,0,15,,,15,,,,,,,,,,,,,,,,,,,,,,
150117,水果饭团,1,2,30,0,0,30,,,,,,,,,,,,,,,,,,,,,,,,,
150118,炒蔬菜,1,2,30,0,0,,,,,,30,,,,,,,,,,,,,,,,,,,,
150119,蔬菜炒海鲜,1,2,30,0,0,,,,15,,15,,,,,,,,,,,,,,,,,,,,
150120,蔬菜饭团,1,2,30,0,0,15,,,,,15,,,,,,,,,,,,,,,,,,,,
150121,煎鱼,1,2,30,0,0,,,,30,,,,,,,,,,,,,,,,,,,,,,
150122,海鲜炒饭,1,2,30,0,0,15,,,15,,,,,,,,,,,,,,,,,,,,,,
150123,蒸玉米,1,2,30,0,0,,,,30,,,,,,,,,,,,,,,,,,,,,,
150124,蒸番薯,1,2,30,0,0,,,,30,,,,,,,,,,,,,,,,,,,,,,
150125,奇怪味道的食物,1,2,30,0,0,,,,5,,,,,,76,1,3000,6,2,500,,,,,,,,,,,
150126,不可名状的东西,1,2,30,0,0,,,,5,,,,,,76,1,3000,2014,2,3000,4,2,500,,,,,,,,
150127,大份煎肉排,1,2,30,0,0,,,,45,,,,,,,,,,,,,,,,,,,,,,
150128,大份鲜肉沙拉,1,2,30,0,0,20,,,25,,,,,,,,,,,,,,,,,,,,,,
150129,大份蔬菜炒肉,1,2,30,0,0,,,,25,,20,,,,,,,,,,,,,,,,,,,,
150130,大份海陆大餐,1,2,30,0,0,,,,45,,,,,,,,,,,,,,,,,,,,,,
150131,大份鲜肉炒饭,1,2,30,0,0,20,,,25,,,,,,,,,,,,,,,,,,,,,,
150132,果蔬鲜肉拼盘,1,2,30,0,0,15,,,15,,15,,,,,,,,,,,,,,,,,,,,
150133,海陆水果沙拉,1,2,30,0,0,20,,,25,,,,,,,,,,,,,,,,,,,,,,
150134,鲜肉水果饭团,1,2,30,0,0,20,,,25,,,,,,,,,,,,,,,,,,,,,,
150135,海陆菜包,1,2,30,0,0,,,,20,,25,,,,,,,,,,,,,,,,,,,,
150136,鲜肉蔬菜炒饭,1,2,30,0,0,15,,,15,,15,,,,,,,,,,,,,,,,,,,,
150137,海陆炒饭,1,2,30,0,0,20,,,25,,,,,,,,,,,,,,,,,,,,,,
150138,大份水果拼盘,1,2,30,0,0,45,,,,,,,,,,,,,,,,,,,,,,,,,
150139,大份果蔬沙拉,1,2,30,0,0,30,,,,,15,,,,,,,,,,,,,,,,,,,,
150140,大份海鲜沙拉,1,2,30,0,0,20,,,25,,,,,,,,,,,,,,,,,,,,,,
150141,大份水果饭团,1,2,30,0,0,45,,,,,,,,,,,,,,,,,,,,,,,,,
150142,果蔬烤鱼拼盘,1,2,30,0,0,15,,,15,,15,,,,,,,,,,,,,,,,,,,,
150143,果蔬饭团,1,2,30,0,0,20,,,,,25,,,,,,,,,,,,,,,,,,,,
150144,海鲜水果饭团,1,2,30,0,0,20,,,25,,,,,,,,,,,,,,,,,,,,,,
150145,大份炒蔬菜,1,2,30,0,0,,,,,,45,,,,,,,,,,,,,,,,,,,,
150146,大份蔬菜炒海鲜,1,2,30,0,0,,,,30,,15,,,,,,,,,,,,,,,,,,,,
150147,大份蔬菜饭团,1,2,30,0,0,25,,,,,20,,,,,,,,,,,,,,,,,,,,
150148,鲜鱼蔬菜炒饭,1,2,30,0,0,20,,,,,25,,,,,,,,,,,,,,,,,,,,
150149,大份煎鱼,1,2,30,0,0,,,,45,,,,,,,,,,,,,,,,,,,,,,
150150,大份海鲜炒饭,1,2,30,0,0,20,,,25,,,,,,,,,,,,,,,,,,,,,,
150151,大碗饭,1,2,30,0,0,45,,,,,,,,,,,,,,,,,,,,,,,,,
150152,大份蒸玉米,1,2,30,0,0,,,,45,,,,,,,,,,,,,,,,,,,,,,
150153,大份蒸番薯,1,2,30,0,0,,,,45,,,,,,,,,,,,,,,,,,,,,,
150154,大份奇怪味道的食物,1,2,30,0,0,,,,5,,,,,,76,1,3000,6,3,500,,,,,,,,,,,
150155,大份不可名状的东西,1,2,30,0,0,,,,5,,,,,,76,1,3000,2014,3,3000,4,3,500,,,,,,,,
150156,豪华鲜肉沙拉,1,2,30,0,0,25,,,35,,,,,,,,,,,,,,,,,,,,,,
150157,豪华蔬菜炒肉,1,2,30,0,0,,,,35,,30,,,,,,,,,,,,,,,,,,,,
150158,豪华海陆大餐,1,2,30,0,0,,,,65,,,,,,,,,,,,,,,,,,,,,,
150159,豪华鲜肉炒饭,1,2,30,0,0,20,,,40,,,,,,,,,,,,,,,,,,,,,,
150160,豪华果蔬鲜肉拼盘,1,2,30,0,0,15,,,25,,20,,,,,,,,,,,,,,,,,,,,
150161,豪华海陆水果沙拉,1,2,30,0,0,15,,,30,,15,,,,,,,,,,,,,,,,,,,,
150162,豪华鲜肉水果饭团,1,2,30,0,0,25,,,35,,,,,,,,,,,,,,,,,,,,,,
150163,豪华海陆菜包,1,2,30,0,0,,,,40,,25,,,,,,,,,,,,,,,,,,,,
150164,豪华鲜肉蔬菜炒饭,1,2,30,0,0,20,,,25,,15,,,,,,,,,,,,,,,,,,,,
150165,豪华海陆炒饭,1,2,30,0,0,35,,,25,,,,,,,,,,,,,,,,,,,,,,
150166,豪华海陆果蔬拼盘,1,2,30,0,0,20,,,20,,20,,,,,,,,,,,,,,,,,,,,
