熔炼ID,熔炼材料ID,物品名字,英文名称/必填/插件用,插件用名称,插件编辑模板[0=不是模板，1=作为模板],插件编辑[大于0开放插件编辑，1=作物，2=工具，3=杂物，4=方块],"熔炉类型(0熔炉,1氧气提炼装置,2篝火)",氧气值,热量（燃烧时间单位tick，20tick=1s）,燃烧值（篝火，0-100）,熔炉产出（石炉产出）,产出数量,（废弃）熔炉产出2（铜炉产出）,（废弃）产出数量2,（废弃）熔炉产出3（铁炉产出）,（废弃）产出数量3,经验产出,掉落几率,掉落的星星数量（数组，两个值随机）,保留容器ID,分数,提供热量（每个tick提供的热量）,熔炼时间,标签
20,11099,燃油,Mechanicalfuel,Mechanicalfuel,0,3,0,,3600,50,,,,,,,,,,,,10,,
21,217,核桃树苗,WalnutSapling,WalnutSapling,0,1,0,,160,16,0,0,,,,,,,,,,2,,
24,401,铁矿,MithsilverOre,MithsilverOre,0,4,0,,0,0,11209,1,11209,1,11209,1,8,10000,"1,1",,8,,2000,
27,404,钨矿,TungstenGoldOre,TungstenGoldOre,0,4,0,,0,0,11203,1,11203,1,11203,1,44,10000,"5,7",,44,,3600,
31,416,凝能块,GasHydrateBlock,GasHydrateBlock,0,4,0,,18000,100,0,0,,,,,,,,,,14,,
33,514,薄板,WoodStep,WoodStep,0,4,0,,160,16,0,0,,,,,,,,,,3,,
34,515,秋叶橙薄板,YellowOrangeStep,YellowOrangeStep,0,4,0,,160,16,0,0,,,,,,,,,,3,,
35,516,象牙白薄板,WhiteStep,WhiteStep,0,4,0,,160,16,0,0,,,,,,,,,,3,,
36,517,海棠红薄板,LightRedStep,LightRedStep,0,4,0,,160,16,0,0,,,,,,,,,,3,,
37,518,落日橙薄板,RedOrangeStep,RedOrangeStep,0,4,0,,160,16,0,0,,,,,,,,,,3,,
38,519,深栗红薄板,DeepRedStep,DeepRedStep,0,4,0,,160,16,0,0,,,,,,,,,,3,,
39,520,楼梯,WoodStair,WoodStair,0,4,0,,180,18,0,0,,,,,,,,,,3,,
40,521,秋叶橙楼梯,YellowOrangeStair,YellowOrangeStair,0,4,0,,180,18,0,0,,,,,,,,,,3,,
41,522,象牙白楼梯,WhiteStair,WhiteStair,0,4,0,,180,18,0,0,,,,,,,,,,3,,
42,523,海棠红楼梯,LightRedStair,LightRedStair,0,4,0,,180,18,0,0,,,,,,,,,,3,,
43,524,落日橙楼梯,RedOrangeStair,RedOrangeStair,0,4,0,,180,18,0,0,,,,,,,,,,3,,
44,525,深栗红楼梯,DeepRedStair,DeepRedStair,0,4,0,,180,18,0,0,,,,,,,,,,3,,
45,534,木围栏,Fence,Fence,0,2,0,,320,30,0,0,,,,,,,,,,3,,
46,535,木围栏门,FenceGate,FenceGate,0,2,0,,400,30,0,0,,,,,,,,,,3,,
47,229,玉米,,,0,0,2,,0,0,12495,1,,,,,,,,,,,,
48,562,胭脂红木板,RedPurpleBoard,RedPurpleBoard,0,4,0,,320,32,0,0,,,,,,,,,0.1,3,,
49,241,番薯,,,0,0,2,,0,0,12494,1,,,,,,,,,,,,
50,553,薄木围栏,,,0,2,0,,320,30,0,0,,,,,,,,,,3,,
51,568,竹围栏,,,0,2,0,,400,30,0,0,,,,,,,,,,3,,
54,812,轻木门,WoodDoor,WoodDoor,0,2,0,,1000,30,0,0,,,,,,,,,,2,,
59,294,巨大椰叶,0,0,0,,0,,400,50,0,0,,,,,,,,,,5,,
60,296,异化巨大椰叶,0,0,0,,0,,600,50,0,0,,,,,,,,,,5,,
61,11422,巨大椰叶,0,0,0,,0,,400,50,0,0,,,,,,,,,,5,,
62,11423,异化巨大椰叶,0,0,0,,0,,600,50,0,0,,,,,,,,,,5,,
63,11201,凝能晶,GasHydrate,GasHydrate,1,3,0,,1800,50,0,0,,,,,,,,,,10,,
66,12001,木棒,Stick,Stick,0,0,0,,320,30,0,0,,,,,,,,,,2,,
67,11323,木料,Wood,Wood,0,0,0,,200,20,,,,,,,,,,,0.1,3,,
74,245,水草,Waterweed,Waterweed,0,0,1,10,,,0,0,,,,,,,,,,,,
77,448,石油块,SolidOil,SolidOil,0,4,0,,0,0,11099,1,,,,,3,10000,"1,1",,3,,900,
78,218,樱桃木树叶,CherryWoodLeaves,CherryWoodLeaves,0,0,1,10,100,10,0,0,,,,,,,,,,1,,
79,219,落叶松树叶,LarchLeaves,LarchLeaves,0,0,1,10,100,10,0,0,,,,,,,,,,1,,
80,220,白杨树叶,PoplarLeaves,PoplarLeaves,0,0,1,10,100,10,0,0,,,,,,,,,,1,,
81,221,红杉树叶,RedwoodLeaves,RedwoodLeaves,0,0,1,10,100,10,0,0,,,,,,,,,,1,,
83,223,核桃树叶,WalnutLeaves,WalnutLeaves,0,0,1,10,100,10,0,0,,,,,,,,,,1,,
84,255,桃花树叶,PeachLeaves,PeachLeaves,0,0,1,10,100,10,0,0,,,,,,,,,,1,,
85,12583,氧气果,Oxy1,Oxy1,0,0,1,60,,,0,0,,,,,,,,,,,,
86,264,苍石灰木板,GreyBoard,GreyBoard,0,4,0,,320,32,0,0,,,,,,,,,,3,,
87,574,苍石灰薄板,Genwoodstep,Genwoodstep,0,4,0,,160,16,0,0,,,,,,,,,,3,,
88,575,苍石灰楼梯,Genwoodstair,Genwoodstair,0,4,0,,180,18,0,0,,,,,,,,,,3,,
89,576,苍石灰围栏,Greyfence,Greyfence,0,2,0,,160,16,0,0,,,,,,,,,,3,,
90,254,桃花木,Peachwood,Peachwood,0,4,0,,400,40,,,,,,,,,,,0.1,6,,
91,11595,苔藓球,0,0,0,0,0,,0,0,11598,1,11598,1,11598,1,,,,,,,600,
92,375,柠檬黄木板,YellowPlank,YellowPlank,0,4,0,,320,32,,,,,,,,,,,,4,,
93,579,雨林乔木,RainforestWood,RainforestWood,0,4,0,,400,40,,,,,,,,,,,0.1,6,,
94,377,柠檬黄薄板,YellowStep,YellowStep,0,4,0,,160,16,,,,,,,,,,,,3,,
95,376,柠檬黄楼梯,YellowStair,YellowStair,0,4,0,,180,18,,,,,,,,,,,,3,,
96,451,铜矿,BrassOre,BrassOre,0,4,0,,0,0,11329,1,11329,1,11329,1,5,10000,"1,1",,5,,1600,
97,452,钛矿,TitaniumOre,TitaniumOre,0,4,0,,0,0,11330,1,11330,1,11330,1,22,10000,"3,4",,22,,2800,
98,12516,沃沃兽肉,RawWowo,RawWowo,0,0,2,,0,0,12517,1,,,,,,,,,,,,
99,12518,嘟嘟鸟肉,RawChickenLeg,RawChickenLeg,0,0,2,,0,0,12519,1,,,,,,,,,,,,
100,451,铜矿,BrassOre,BrassOre,0,4,0,,0,0,11329,1,11329,1,11329,1,5,10000,"1,1",,5,,1600,
101,12520,鲜呆呆鱼,RawFish,RawFish,0,0,2,,0,0,12521,1,,,,,,,,,,,,
102,12522,墩墩肉,RawPork,RawPork,0,0,2,,0,0,12523,1,,,,,,,,,,,,
104,12530,角鹿肉,RawVenison,RawVenison,0,0,2,,0,0,12531,1,,,,,,,,,,,,
105,332,粗樱桃木树枝,CoarseCherryTreeBranch,CoarseCherryTreeBranch,0,0,0,,200,20,,,,,,,,,,,0.1,3,,
106,333,细樱桃木树枝,FineCherryTreeBranch,FineCherryTreeBranch,0,0,0,,100,10,,,,,,,,,,,0.1,2,,
107,334,粗落叶松树枝,ThickLarchTreeBranch,ThickLarchTreeBranch,0,0,0,,200,20,,,,,,,,,,,0.1,3,,
108,335,细落叶松树枝,FineLarchTreeBranch,FineLarchTreeBranch,0,0,0,,100,10,,,,,,,,,,,0.1,2,,
109,336,粗珍木树枝,ThickRareTreeBranch,ThickRareTreeBranch,0,0,0,,200,20,,,,,,,,,,,0.1,3,,
110,337,细珍木树枝,ThinRareTreeBranch,ThinRareTreeBranch,0,0,0,,100,10,,,,,,,,,,,0.1,2,,
111,338,粗核桃树树枝,ThickWalnutTreeBranch,ThickWalnutTreeBranch,0,0,0,,200,20,,,,,,,,,,,0.1,3,,
112,339,细核桃树树枝,ThinWalnutTreeBranch,ThinWalnutTreeBranch,0,0,0,,100,10,,,,,,,,,,,0.1,2,,
113,340,粗桃花树树枝,ThickPeachTreeBranch,ThickPeachTreeBranch,0,0,0,,200,20,,,,,,,,,,,0.1,3,,
114,341,细桃花树树枝,ThinPeachTreeBranch,ThinPeachTreeBranch,0,0,0,,100,20,,,,,,,,,,,0.1,2,,
115,342,粗白杨木树枝,ThickPoplarTreeBranch,ThickPoplarTreeBranch,0,0,0,,200,20,,,,,,,,,,,0.1,3,,
116,343,细白杨木树枝,ThinPoplarTreeBranch,ThinPoplarTreeBranch,0,0,0,,100,10,,,,,,,,,,,0.1,2,,
117,395,雨林乔木树叶,RainforestTreeLeaf,RainforestTreeLeaf,0,0,1,10,100,10,,,,,,,,,,,,1,,
118,258,珍木树叶,Genleaves,Genleaves,0,0,1,10,100,10,,,,,,,,,,,,1,,
119,257,珍木,Genwood,Genwood,0,0,0,,400,40,,,,,,,,,,,0.1,6,,
121,1758,黑凝浆块,0,0,0,0,0,,500,50,,,,,,,,,,,,5,,
122,12607,生鸵鸟腿,RawOstrichLeg,RawOstrichLeg,0,0,2,,0,0,12608,1,,,,,,,,,,,,
123,477,胡杨木,PopulusEuphraticaLogs,PopulusEuphraticaLogs,0,0,0,,400,40,,,,,,,,,,,0.1,6,,
124,478,粗胡杨树枝,PopulusEuphraticaBranches,PopulusEuphraticaBranches,0,0,0,,200,20,,,,,,,,,,,0.1,3,,
125,479,细胡杨树枝,PopulusEuphraticaBranches,PopulusEuphraticaBranches,0,0,0,,100,10,,,,,,,,,,,0.1,2,,
126,480,胡杨叶,PopulusEuphraticaLeaves,PopulusEuphraticaLeaves,0,0,1,10,100,10,0,0,,,,,,,,,,1,,
127,858,海棠红门,LightRedDoor,LightRedDoor,0,0,0,,160,16,,,,,,,,,,,,3,,
128,1260,海棠红斜板,0,0,0,0,0,,160,16,,,,,,,,,,,,3,,
129,1299,海棠红薄斜板,0,0,0,0,0,,120,12,,,,,,,,,,,,2,,
130,1343,海棠红竖薄斜板,0,0,0,0,0,,120,12,,,,,,,,,,,,2,,
131,1371,海棠红竖板,0,0,0,0,0,,160,16,,,,,,,,,,,,3,,
132,420,海棠红地板,LightRedFloor,LightRedFloor,0,0,0,,320,32,,,,,,,,,,,,4,,
133,539,象牙白栅栏,WhiteFence,WhiteFence,0,0,0,,160,16,,,,,,,,,,,,3,,
134,552,象牙白细围栏,WhiteFence1,WhiteFence1,0,0,0,,160,16,,,,,,,,,,,,3,,
135,856,象牙白门,WhiteDoor,WhiteDoor,0,0,0,,160,16,,,,,,,,,,,,3,,
136,970,象牙白椅子,WhiteChair,WhiteChair,0,0,0,,160,16,,,,,,,,,,,,3,,
137,971,象牙白桌子,WhiteTable,WhiteTable,0,0,0,,160,16,,,,,,,,,,,,3,,
138,972,象牙白沙发,WhiteSofa,WhiteSofa,0,0,0,,160,16,,,,,,,,,,,,3,,
139,974,象牙白柜子,WhiteCabinet,WhiteCabinet,0,0,0,,160,16,,,,,,,,,,,,3,,
140,1261,象牙白斜板,0,0,0,0,0,,160,16,,,,,,,,,,,,3,,
141,1301,象牙白薄斜板,0,0,0,0,0,,120,12,,,,,,,,,,,,2,,
142,1345,象牙白竖薄斜板,0,0,0,0,0,,120,12,,,,,,,,,,,,2,,
143,1372,象牙白竖板,0,0,0,0,0,,160,16,,,,,,,,,,,,3,,
144,418,地板,WoodFloor,WoodFloor,0,0,0,,320,32,,,,,,,,,,,,4,,
145,859,琥珀黄门,FruitwoodDoor,FruitwoodDoor,0,0,0,,160,16,,,,,,,,,,,,3,,
146,965,椅子,WoodChair,WoodChair,0,0,0,,160,16,,,,,,,,,,,,3,,
147,966,桌子,WoodTable,WoodTable,0,0,0,,160,16,,,,,,,,,,,,3,,
148,967,沙发,WoodSofa,WoodSofa,0,0,0,,160,16,,,,,,,,,,,,3,,
149,969,柜子,WoodCabinet,WoodCabinet,0,0,0,,160,16,,,,,,,,,,,,3,,
150,1263,斜板,0,0,0,0,0,,160,16,,,,,,,,,,,,3,,
151,1305,薄斜板,0,0,0,0,0,,120,12,,,,,,,,,,,,2,,
152,1349,竖薄斜板,0,0,0,0,0,,120,12,,,,,,,,,,,,2,,
153,1374,竖板,0,0,0,0,0,,160,16,,,,,,,,,,,,3,,
154,855,深栗红门,DeepRedDoor,DeepRedDoor,0,0,0,,160,16,,,,,,,,,,,,3,,
155,1258,深栗红斜板,0,0,0,0,0,,160,16,,,,,,,,,,,,3,,
156,1295,深栗红薄斜板,0,0,0,0,0,,120,12,,,,,,,,,,,,2,,
157,1339,深栗红竖薄斜板,0,0,0,0,0,,120,12,,,,,,,,,,,,2,,
158,1369,深栗红竖板,0,0,0,0,0,,160,16,,,,,,,,,,,,3,,
159,476,胡杨苗,PopulusEuphraticaSeedlings,PopulusEuphraticaSeedlings,0,0,0,,160,16,,,,,,,,,,,,2,,
160,481,胡杨花,PopulusEuphratica,PopulusEuphratica,0,0,0,,100,10,,,,,,,,,,,,1,,
161,419,秋叶橙地板,YellowOrangeFloor,YellowOrangeFloor,0,0,0,,320,32,,,,,,,,,,,,4,,
162,860,秋叶橙门,YellowOrangeDoor,YellowOrangeDoor,0,0,0,,160,16,,,,,,,,,,,,3,,
163,1262,秋叶橙斜板,0,0,0,0,0,,160,16,,,,,,,,,,,,3,,
164,1303,秋叶橙薄斜板,0,0,0,0,0,,120,12,,,,,,,,,,,,2,,
165,1347,秋叶橙竖薄斜板,0,0,0,0,0,,120,12,,,,,,,,,,,,2,,
166,1373,秋叶橙竖板,0,0,0,0,0,,160,16,,,,,,,,,,,,3,,
167,854,落日橙门,RedOrangeDoor,RedOrangeDoor,0,0,0,,160,16,,,,,,,,,,,,3,,
168,1259,落日橙斜板,0,0,0,0,0,,160,16,,,,,,,,,,,,3,,
169,1297,落日橙薄斜板,0,0,0,0,0,,120,12,,,,,,,,,,,,2,,
170,1341,落日橙竖薄斜板,0,0,0,0,0,,120,12,,,,,,,,,,,,2,,
171,1370,落日橙竖板,0,0,0,0,0,,160,16,,,,,,,,,,,,3,,
172,382,雨林乔木树苗,RainforestTreeSapling,RainforestTreeSapling,.,0,0,,160,16,,,,,,,,,,,,3,,
173,396,雨林之芯乔木,RainforestCoreWood,RainforestCoreWood,0,0,0,,400,40,,,,,,,,,,,,4,,
174,1256,柠檬黄斜板,0,0,0,0,0,,160,16,,,,,,,,,,,,3,,
175,1291,柠檬黄薄斜板,0,0,0,0,0,,120,12,,,,,,,,,,,,2,,
176,1335,柠檬黄竖薄斜板,0,0,0,0,0,,120,12,,,,,,,,,,,,2,,
177,1367,柠檬黄竖板,0,0,0,0,0,,160,16,,,,,,,,,,,,3,,
178,256,桃花树苗,PeachSapling,PeachSapling,0,0,0,,160,16,,,,,,,,,,,,2,,
179,321,桃花堆,PeachBlossom,PeachBlossom,0,0,0,,100,10,,,,,,,,,,,,1,,
180,564,胭脂红薄板,RedPurpleStep,RedPurpleStep,0,0,0,,160,16,,,,,,,,,,,,3,,
181,566,胭脂红楼梯,RedPurpleStair,RedPurpleStair,0,0,0,,180,18,,,,,,,,,,,,3,,
182,1246,胭脂红斜板,0,0,0,0,0,,160,16,,,,,,,,,,,,3,,
183,1271,胭脂红薄斜板,0,0,0,0,0,,120,12,,,,,,,,,,,,2,,
184,1315,胭脂红竖薄斜板,0,0,0,0,0,,120,12,,,,,,,,,,,,2,,
185,1357,胭脂红竖板,0,0,0,0,0,,160,16,,,,,,,,,,,,3,,
186,259,珍木树苗,Gensapling,Gensapling,0,0,0,,160,16,,,,,,,,,,,,2,,
187,260,无叶珍木,BaldGenwood,BaldGenwood,0,0,0,,400,40,,,,,,,,,,,,4,,
188,265,无叶珍木木板,BaldGenwooddeck,BaldGenwooddeck,0,0,0,,320,32,,,,,,,,,,,,4,,
189,1257,苍石灰斜板,0,0,0,0,0,,160,16,,,,,,,,,,,,3,,
190,1293,苍石灰薄斜板,0,0,0,0,0,,120,12,,,,,,,,,,,,2,,
191,1337,苍石灰竖薄斜板,0,0,0,0,0,,120,12,,,,,,,,,,,,2,,
192,1368,苍石灰竖板,0,0,0,0,0,,160,16,,,,,,,,,,,,3,,
193,12703,鲜丑丑鱼,0,0,0,0,2,,0,0,12705,1,,,,,,,,,,,,
194,12704,鲜奇奇鱼,0,0,0,0,2,,0,0,12706,1,,,,,,,,,,,,
198,29,黄沙,Sand1,Sand1,0,0,0,,0,0,11305,1,11305,1,11305,1,,,,,,,1200,
199,405,星能矿,,,0,0,0,,0,0,11664,1,11664,1,11664,1,5,10000,"1,1",,5,,1800,
200,12532,兔肉,RabbitMeat,RabbitMeat,0,0,2,,0,0,12533,1,,,,,,,,,,,,
201,12535,牦牛肉,YakMeat,YakMeat,0,0,2,,0,0,12536,1,,,,,,,,,,,,
202,101,土块,Soil,Soil,0,0,0,,0,0,11200,1,,,,,,,,,0.1,,1200,
203,175,铝矿,AluminiumOre,AluminiumOre,0,4,0,,0,0,12758,1,,,,,11,10000,"1,1",,11,,2400,
204,176,锂矿,LithiumOre,LithiumOre,0,4,0,,0,0,12760,1,,,,,,,,,,,2400,
205,177,钴矿,CobaltOre,CobaltOre,0,4,0,,0,0,12759,1,,,,,33,10000,"3,4",,33,,3200,
206,11210,硅石,Silica,Silica,0,0,0,,0,0,12756,1,,,,,,,,,,,600,
207,252,竹叶,,,0,0,1,10,100,10,0,0,,,,,,,,,,1,,
208,323,落叶堆,,,0,0,1,10,100,10,0,0,,,,,,,,,,1,,
209,394,星光粉尘树叶,,,0,0,1,10,100,10,0,0,,,,,,,,,,1,,
210,592,神圣树叶,,,0,0,1,20,150,20,0,0,,,,,,,,,,1,,
211,150058,荧光落叶,,,0,0,1,10,100,10,0,0,,,,,,,,,,1,,
212,150065,三叶草,,,0,0,1,10,100,10,0,0,,,,,,,,,,1,,
213,150066,荷叶,,,0,0,1,10,100,10,0,0,,,,,,,,,,1,,
214,150073,发光树叶,,,0,0,1,10,100,10,0,0,,,,,,,,,,1,,
215,151016,金合欢树叶,,,0,0,1,10,100,10,0,0,,,,,,,,,,1,,
216,151018,猴面包树叶,,,0,0,1,10,100,10,0,0,,,,,,,,,,1,,
217,151020,银杏叶堆,,,0,0,1,10,100,10,0,0,,,,,,,,,,1,,
218,151021,枫叶堆,,,0,0,1,10,100,10,0,0,,,,,,,,,,1,,
219,151022,蓝花楹叶堆,,,0,0,1,10,100,10,0,0,,,,,,,,,,1,,
220,151023,秋胡杨叶堆,,,0,0,1,10,100,10,0,0,,,,,,,,,,1,,
221,151301,银杏树叶,,,0,0,1,10,100,10,0,0,,,,,,,,,,1,,
222,151302,枫香树叶,,,0,0,1,10,100,10,0,0,,,,,,,,,,1,,
223,151303,蓝花楹树叶,,,0,0,1,10,100,10,0,0,,,,,,,,,,1,,
224,151304,秋胡杨树叶,,,0,0,1,10,100,10,0,0,,,,,,,,,,1,,
225,200391,虚空果木树叶,,,0,0,1,10,100,10,0,0,,,,,,,,,,1,,
226,150074,发光树干,,,0,0,0,,400,40,,,,,,,,,,,0.1,6,,
227,12741,生鸡肉,ChickenMeat,ChickenMeat,0,0,2,,0,0,12742,1,,,,,,,,,,,,
228,12746,生猪肉,Pork,Pork,0,0,2,,0,0,12747,1,,,,,,,,,,,,
229,14012,生牛肉,RawBeef,RawBeef,0,0,2,,0,0,14013,1,,,,,,,,,,,,
230,14014,生羊肉,RawMutton,RawMutton,0,0,2,,0,0,14015,1,,,,,,,,,,,,
231,150932,牛粪,CowDung,CowDung,0,0,0,,800,80,,,,,,,,,,,,6,,
232,1266,椰树原木,,,0,4,0,,400,40,,,,,,,,,,,0.1,6,,
233,200141,玉米,,,0,0,2,,0,0,12495,1,,,,,,,,,,,,
234,200147,番薯,,,0,0,2,,0,0,12494,1,,,,,,,,,,,,
235,201907,蘑晶石矿,MoguMine,MoguMine,0,0,0,,0,0,12014,1,,,,,30,10000,"3,4",,30,,2000,
236,201908,大蘑晶石矿,MoguBigMine,MoguBigMine,0,0,0,,0,0,12014,2,,,,,50,10000,"4,5",,50,,3000,
237,43,蘑古沙,MoguSand,MoguSand,0,0,0,,0,0,11305,1,11305,1,11305,1,,,,,,,1200,
238,550102,星斑野猪肉,StarSpottedBoarMeat,StarSpottedBoarMeat,0,0,2,,0,0,200263,1,,,,,,,,,,,,
239,200247,蘑古土块,,,0,0,0,,0,0,11200,1,,,,,,,,,0.1,,1200,
240,550104,鲜幻彩霓虹,0,0,0,0,2,,0,0,550112,1,,,,,,,,,,,,
241,550105,鲜幽兰刺龟,0,0,0,0,2,,0,0,550112,1,,,,,,,,,,,,
242,550106,鲜冰雪明珠,0,0,0,0,2,,0,0,550112,1,,,,,,,,,,,,
243,550107,鲜冰晶玉壶,0,0,0,0,2,,0,0,550112,1,,,,,,,,,,,,
244,550108,鲜星夜光纹,0,0,0,0,2,,0,0,550112,1,,,,,,,,,,,,
245,550109,鲜长颌白鲑,0,0,0,0,2,,0,0,550112,1,,,,,,,,,,,,
246,550110,鲜浪里白条,0,0,0,0,2,,0,0,550112,1,,,,,,,,,,,,
247,550111,鲜炫彩灵锤,0,0,0,0,2,,0,0,550112,1,,,,,,,,,,,,
248,767,星辉古树干,CherryWood,CherryWood,0,4,0,,400,40,,,,,,,,,,,0.1,6,,
249,201901,巨大荧菇柄,CherryWood,CherryWood,0,4,0,,400,40,,,,,,,,,,,0.1,6,,
250,151405,昏暗星影树干,CherryWood,CherryWood,0,4,0,,400,40,,,,,,,,,,,0.1,6,,
251,151406,白化星影树干,CherryWood,CherryWood,0,4,0,,400,40,,,,,,,,,,,0.1,6,,
252,151407,星影树干,CherryWood,CherryWood,0,4,0,,400,40,,,,,,,,,,,0.1,6,,
253,151505,昏暗星影粗树枝,CoarseCherryTreeBranch,CoarseCherryTreeBranch,0,0,0,,200,20,,,,,,,,,,,0.1,3,,
254,151506,巨大荧菇粗柄,CoarseCherryTreeBranch,CoarseCherryTreeBranch,0,0,0,,200,20,,,,,,,,,,,0.1,3,,
255,151605,昏暗星影细树枝,FineCherryTreeBranch,FineCherryTreeBranch,0,0,0,,100,10,,,,,,,,,,,0.1,2,,
256,766,星辉古树叶,CherryWoodLeaves,CherryWoodLeaves,0,0,1,10,100,10,0,0,,,,,,,,,,1,,
257,768,星辉古树柳叶,CherryWoodLeaves,CherryWoodLeaves,0,0,1,10,100,10,0,0,,,,,,,,,,1,,
258,150077,垂藤,CherryWoodLeaves,CherryWoodLeaves,0,0,1,10,100,10,0,0,,,,,,,,,,1,,
259,151305,星影树叶,CherryWoodLeaves,CherryWoodLeaves,0,0,1,10,100,10,0,0,,,,,,,,,,1,,
260,151029,星辉落叶堆,,,0,0,1,10,100,10,0,0,,,,,,,,,,1,,
261,151030,星影落叶堆,,,0,0,1,10,100,10,0,0,,,,,,,,,,1,,
262,151205,小星影树苗,CherryWoodSapling,CherryWoodSapling,0,0,0,,160,16,0,0,,,,,,,,,,2,,
263,151206,星影树苗,CherryWoodSapling,CherryWoodSapling,0,0,0,,160,16,0,0,,,,,,,,,,2,,
264,151207,巨大荧菇苗,CherryWoodSapling,CherryWoodSapling,0,0,0,,160,16,0,0,,,,,,,,,,2,,
266,160030,宝石蓝木板,WoodBoard,WoodBoard,0,4,0,,320,32,0,0,,,,,,,,,,4,,
267,160031,花青紫木板,WoodBoard,WoodBoard,0,4,0,,320,32,0,0,,,,,,,,,,4,,
268,160034,菌菇板,WoodBoard,WoodBoard,0,4,0,,320,32,0,0,,,,,,,,,,4,,
269,169021,菌菇板楼梯,YellowOrangeStair,YellowOrangeStair,0,4,0,,180,18,0,0,,,,,,,,,,3,,
270,163023,菌菇板斜板,YellowOrangeStair,YellowOrangeStair,0,4,0,,180,18,0,0,,,,,,,,,,3,,
271,171045,菌菇板弧板,YellowOrangeStair,YellowOrangeStair,0,4,0,,180,18,0,0,,,,,,,,,,3,,
272,170045,菌菇板三棱柱,YellowOrangeStair,YellowOrangeStair,0,4,0,,180,18,0,0,,,,,,,,,,3,,
273,169017,宝石蓝楼梯,YellowOrangeStair,YellowOrangeStair,0,4,0,,180,18,0,0,,,,,,,,,,3,,
274,163019,宝石蓝斜板,YellowOrangeStair,YellowOrangeStair,0,4,0,,180,18,0,0,,,,,,,,,,3,,
275,171041,宝石蓝弧板,YellowOrangeStair,YellowOrangeStair,0,4,0,,180,18,0,0,,,,,,,,,,3,,
276,170041,宝石蓝三棱柱,YellowOrangeStair,YellowOrangeStair,0,4,0,,180,18,0,0,,,,,,,,,,3,,
277,169018,花青紫楼梯,YellowOrangeStair,YellowOrangeStair,0,4,0,,180,18,0,0,,,,,,,,,,3,,
278,163020,花青紫斜板,YellowOrangeStair,YellowOrangeStair,0,4,0,,180,18,0,0,,,,,,,,,,3,,
279,171042,花青紫弧板,YellowOrangeStair,YellowOrangeStair,0,4,0,,180,18,0,0,,,,,,,,,,3,,
280,170042,花青紫三棱柱,YellowOrangeStair,YellowOrangeStair,0,4,0,,180,18,0,0,,,,,,,,,,3,,
281,161021,菌菇板薄板,WoodStep,WoodStep,0,4,0,,160,16,0,0,,,,,,,,,,3,,
282,161022,精制花横纹石薄板,WoodStep,WoodStep,0,4,0,,160,16,0,0,,,,,,,,,,3,,
