id,名称,预制文件名,必填/插件用/不能有空格,英文名字,备注,海外开放（0和空为在国内海外都开放，1为只在国内开放，2为只在海外开放）,描述,名称显示,描述显示,背包容量,饥饿度,饥饿度消耗速率,模型名字,模型贴图ID,ICON,幼年ID,创建ID（大生物生成时创建小生物的ID）,创建概率,"类型: 0-怪物, 1-动物, 2-稀有动物, 3-水生物, 4-移动工具，5-村民（商人）, 6-boss, 7-Npc，8-飞行生物， 9球，10-村民（新野人），11-三栖生物",编辑类型（1生物，2怪物）,编辑模板(0不是模板1是模板),触发器类型（1是动物 2是怪物 3是坐骑 4是村民-人形生物 5是载具）,"怪物属性(0-玩家和npc, 1-野兽,  2-野人,  3-精英,  4-虚空， 5-机械 ，6-外星 ，7-水生 ，8-飞行)",Tick周期,Tick脚本,生命,韧性,韧性恢复（每秒恢复量）,击退抗性,生命加强系数,物理防御,近程物理防御,远程物理防御,爆炸防御,元素防御,燃烧防御,毒素防御,混乱防御,冰冻防御,防御加强系数,"攻击类型:0近程,1:远程,2:爆炸",攻击,削韧值（默认5）,攻击附带buff,元素攻击,燃烧攻击,毒素攻击,混乱攻击,闪电攻击,冰冻攻击,攻击buff（近战）,攻击加强系数,攻击动作时间1/20秒,攻击范围/通用近战范围=1.6,视野范围,质量,高度,宽度,厚度,受击高度,受击宽度,受击厚度,转身速度（默认值30角度，每个tick转多少度）,移动速度,出生灯光上限,出生需要阳光,出生最低高度,出生最高高度,出生最低时间,出生最高时间,出生最低温度,出生最高温度,刷新数量上限,怪物群数量,拾取物品几率,怪物装备组id,怪物装备的几率,掉落1组,掉落1组几率,掉落2组,掉落2组几率,掉落id1,掉落1几率,掉落1数量,掉落id2,掉落2几率,掉落2数量,掉落id3,掉落3几率,掉落3数量,燃烧掉落,燃烧掉落概率,掉落经验,掉落经验概率,掉落的星星数量（数组，两个值随机）,掉落等级经验,主动攻击（1受伤后一起逃跑）,喂养物品id（弃用）,喂养成功几率（弃用）,可否驯养,可否繁殖（弃用）,成长时间（弃用）,可否骑乘（弃用）,是否可对话,受伤声音,死亡声音,说话声音,走路声音,攻击声音1,攻击冷却声音1,攻击声音2,攻击冷却声音2,携带特效,受击特效,死亡特效,模型放缩,模型随机缩放范围下限,击杀分数,繁殖分数,驯服分数,队伍（0= 无队伍， 1 = 队伍1，2=队伍2，99 = 队伍99  ， 101=村落1，102=村落2，199=村落99， 201 = 中立敌对， 202=中立被动）,默认对白,开发者脚本屏蔽召唤（0允许 1禁止）,备注,预缩放(触发器),繁殖类型（1哺乳、2鸟纲，没有填则无法繁殖，哺乳需要草垛，鸟纲需要窝）,"饲料类型（1,1草食消耗1次、1,2草食消耗2次、1,3草食消耗3次、2,1肉食消耗1次、2,2肉食消耗2次、2,3肉食消耗3次、3,1杂食消耗1次、3,2杂食消耗2次、3,3杂食消耗3次）",变蛋枪可否变蛋,温度防御,出生自带buff,出生自带buff组（用|隔开）,初始好感度,好感度上限,AI配置,移动能力 [行走， 游泳，飞行，爬行(暂时不支持)],标签
3010,游商,,Travelingmerchant,Travelingmerchant,,,,,,,,,130002,,3010,,,,5,,,4,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,5000,200,95,100,220,120,120,,200,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
3011,沙漠商人,3011,Desertmerchant,Desertmerchant,,,对目标地点使用，生成一个#c0aba1d沙漠商人#n,,,,,,130001,,3011,,,,5,,,4,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,5000,180,95,100,220,120,120,,200,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,
3012,冰原商人,3012,IceFieldMerchant,IceFieldMerchant,,,对目标地点使用，生成一个#c0aba1d冰原商人#n,,,,,,130003,,3012,,,,10,,,4,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,5000,180,95,100,220,120,120,,200,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,
3013,圣诞商人,,Christmasmerchant,Christmasmerchant,节日商人,,,,,,,,130002,1,3013,,,,5,,,4,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,5000,200,95,100,220,120,120,,200,15,1,0,255,,,,,,1,,,,,,,,12565,10000,,,,,,,,,,,,,,0,0,0,0,1,,,1,,,ent.3013.idle,,,,,,,,,1,,,,,,,,备用的ID,,,,,,,,,,,,
3014,元旦商人,,NewYearmerchant,NewYearmerchant,节日商人,,,,,,,,130002,2,3014,,,,5,,,4,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,5000,200,95,100,220,120,120,,200,15,1,0,255,,,,,,1,,,,,,,,12566,10000,,,,,,,,,,,,,,0,0,0,0,1,,,1,,,ent.3014.idle,,,,,,,,,1,,,,,,,,备用的ID,,,,,,,,,,,,
3015,春节商人,,SpringFestivalmerchant,SpringFestivalmerchant,节日商人,,,,,,,,130002,3,3015,,,,5,,,4,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,5000,200,95,100,220,120,120,,200,15,1,0,255,,,,,,1,,,,,,,,12569,10000,,,,,,,,,,,,,,0,0,0,0,1,,,1,,,ent.3015.idle,,,,,,,,,1,,,,,,,,备用的ID,,,,,,,,,,,,
3016,周年商人,3016,AnniversaryMerchant,AnniversaryMerchant,节日商人,,对目标地点使用，生成一个#c0aba1d周年商人#n,,,,,,130002,4,3016,,,,5,,,4,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,5000,200,95,100,220,120,120,,200,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,1,,,ent.3016.idle,,,,,,,,,1,,,,,,,,备用的ID,,,,,,,,,,,,
3017,六一商人,3017,June1Merchant,June1Merchant,节日商人,,,,,,,,130004,,3017,,,,5,,,4,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,5000,160,95,100,220,120,120,,200,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,1,,,ent.3016.idle,,,,,,,,,1,,,,,,,,备用的ID,,,,,,,,,,,,
3018,宇宙商人,3018,HorasMerchant,Horas Merchant,,,对目标地点使用，生成一个#c0aba1d宇宙商人#n,,,,,,130005,,3018,,,,10,,,4,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,,200,95,100,220,120,120,,200,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,ent.3018.hit,ent.3018.die,ent.3018.idle,ent.3018.foot,,,,,,,,1,,,,,,,,备用的ID,0.8,,,1,,,,,,,,
3019,空岛商人,3019,,,,,对目标地点使用，生成一个#c0aba1d空岛商人#n,,,,,,130012,,3019,,,,10,,,4,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,3000,200,95,100,220,120,120,,500,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ent.3019.idle,ent.3019.foot,,,,,,,,1,,,,,,,,备用的ID,,,,1,,,,,,,,
3020,心愿商人,,,,,,,,,,,,130013,,3020,,,,10,,,,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,3000,180,95,100,220,120,120,,500,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,备用的ID,,,,,,,,,,,,
3021,爱心大使,,,,,,,,,,,,140037,,3021,,,,5,,,,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,,200,95,100,220,120,120,,500,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,备用的ID,,,,,,,,,,,,
3022,游商,,TravelingMerchant,TravelingMerchant,,,,,,,,,130051,,3022,,,,5,,1,4,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,,200,95,100,220,120,120,,500,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,备用的ID,,,,,,,,,,,,
3023,备用ID,,,,,,,,,,,,130002,,3023,,,,5,,,,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,,200,95,100,220,120,120,,500,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,备用的ID,,,,,,,,,,,,
3024,备用ID,,,,,,,,,,,,130002,,3024,,,,5,,,,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,,200,95,100,220,120,120,,500,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,备用的ID,,,,,,,,,,,,
3025,备用ID,,,,,,,,,,,,130002,,3025,,,,5,,,,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,,200,95,100,220,120,120,,500,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,备用的ID,,,,,,,,,,,,
3026,备用ID,,,,,,,,,,,,130002,,3026,,,,5,,,,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,,200,95,100,220,120,120,,500,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,备用的ID,,,,,,,,,,,,
3027,备用ID,,,,,,,,,,,,130002,,3027,,,,5,,,,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,,200,95,100,220,120,120,,500,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,备用的ID,,,,,,,,,,,,
3028,备用ID,,,,,,,,,,,,130002,,3028,,,,5,,,,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,,200,95,100,220,120,120,,500,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,备用的ID,,,,,,,,,,,,
3029,备用ID,,,,,,,,,,,,130002,,3029,,,,5,,,,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,,200,95,100,220,120,120,,500,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,备用的ID,,,,,,,,,,,,
3030,备用ID,,,,,,,,,,,,130002,,3030,,,,5,,,,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,,200,95,100,220,120,120,,500,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,备用的ID,,,,,,,,,,,,
3031,备用ID,,,,,,,,,,,,130002,,3031,,,,5,,,,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,,200,95,100,220,120,120,,500,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,备用的ID,,,,,,,,,,,,
3032,备用ID,,,,,,,,,,,,130002,,3032,,,,5,,,,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,,200,95,100,220,120,120,,500,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,备用的ID,,,,,,,,,,,,
3033,备用ID,,,,,,,,,,,,130002,,3033,,,,5,,,,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,,200,95,100,220,120,120,,500,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,备用的ID,,,,,,,,,,,,
3034,备用ID,,,,,,,,,,,,130002,,3034,,,,5,,,,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,,200,95,100,220,120,120,,500,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,备用的ID,,,,,,,,,,,,
3035,备用ID,,,,,,,,,,,,130002,,3035,,,,5,,,,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,,200,95,100,220,120,120,,500,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,备用的ID,,,,,,,,,,,,
3036,备用ID,,,,,,,,,,,,130002,,3036,,,,5,,,,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,,200,95,100,220,120,120,,500,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,备用的ID,,,,,,,,,,,,
3037,备用ID,,,,,,,,,,,,130002,,3037,,,,5,,,,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,,200,95,100,220,120,120,,500,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,备用的ID,,,,,,,,,,,,
3038,备用ID,,,,,,,,,,,,130002,,3038,,,,5,,,,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,,200,95,100,220,120,120,,500,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,备用的ID,,,,,,,,,,,,
3039,备用ID,,,,,,,,,,,,130002,,3039,,,,5,,,,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,,200,95,100,220,120,120,,500,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,备用的ID,,,,,,,,,,,,
3040,备用ID,,,,,,,,,,,,130002,,3040,,,,5,,,,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,,200,95,100,220,120,120,,500,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,备用的ID,,,,,,,,,,,,
3095,卡卡,,kaka,Kaka,,,,,,5,100,0,p2,,2,,,,5,1,,4,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,16,5000,200,95,100,220,120,120,,200,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,工具NPC,,,,,,,,,,,,
3096,妮妮,,nini,Nini,,,,,,5,100,0,p8,,8,,,,5,1,,4,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,16,5000,200,95,100,220,120,120,,200,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,工具NPC,,,,,,,,,,,,
3097,大山,,Big Sam,Big Sam,,,,,,5,100,0,130011,,3097,,,,5,1,,4,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,16,5000,200,95,100,220,120,120,,200,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,工具NPC,,,,,,,,,,,,
3098,斯科特·李,,Scott Lee,Scott Lee,,,,,,5,100,0,130006,,3098,,,,5,1,,4,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,16,5000,200,95,100,220,120,120,,200,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,工具NPC,,,,,,,,,,,,
3099,达尔文·李,,Darwin Lee,Darwin Lee,,,,,,5,100,0,130010,,3099,,,,5,1,,4,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,16,5000,200,95,100,220,120,120,,200,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,工具NPC,,,,,,,,,,,,
3100,生物模型,,,,,,,,,5,100,0,100026,,3101,,,,0,,,,,,,100,,,,,,,,,,,,,,,0,25,15,,,,,,,,,,7,1.6,24,5000,195,95,100,220,110,110,,200,15,0,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,ent.3101.hit,ent.3101.die,ent.3101.idle,ent.3101.foot,,,,,,,,1,,,,,,,,,,,,,,,,,,,,official_CreatureType.Monster
3101,野人战士,,Savage,Boarman,,,,,,5,100,0,100113,,3101,,,,0,2,1,2,2,,,120,,,1500,,,,,,,,,,,,0,20,20,,,,,,,,,0.75,7,1.6,24,5000,180,80,100,230,170,180,,250,5,0,0,255,,,,,,1,,,,,,,,12526,2000,1,12508,2500,1,11209,250,1,,,13,10000,"1,3",130,2,0,0,0,0,,,0,ent.3101.hit,ent.3101.die,ent.3101.idle,ent.3101.foot,,,,,,,,1,0.8,5,,,201,@10836,,,,,,,,,,,,,,official_CreatureType.Monster
3102,野萌宝,,Cutebaby,Jockey,,,,,,5,100,0,100027,,3102,,,,0,2,1,2,2,,,120,,,3000,,10,,,,5,10,,,,,0,30,20,,,,,,,,,0.75,7,2,16,3000,70,70,70,100,100,100,,250,5,0,0,255,,,,,,1,,,,,,,,227,500,,241,2500,,11609,500,1,,,17,10000,"2,4",210,2,0,0,0,0,,,0,ent.3102.hit,ent.3102.die,ent.3102.idle,ent.3102.foot,,,,,,,,1,,25,,,201,@10836,,,,,,,,,,,,,,official_CreatureType.Monster
3103,萌眼咻咻,,Graviti,Graviti,,,,,,,,,100049,,3103,,,,8,2,1,2,6,,,400,,,3500,0.8,20,,10,,10,,,,,,1,75,50,,,,,,,,,,18,11,24,4000,195,95,100,250,170,110,,200,5,0,64,100,,,,,5,1,,,,,,,,11080,10000,,,,,,,,,,32,10000,"2,4",210,2,,,,,,,,ent.3103.hit,ent.3103.die,ent.3103.idle,,,,,,mob_3103_body,,,1,0.8,15,,,,,,,,,,,,,,,,,"0,0,1,0",
3104,神秘星球人,,,,,,,,,,,,130002,,3040,,,,5,,,,,,,100,,,,,,,,,,,,,,,0,5,5,,,,,,,,,,7,1.6,10,,200,95,100,220,120,120,,500,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,备用的ID,,,,,,,,,,,,
3105,野人投矛手,,SpearGoblin,SpearGoblin,,,,,,5,100,0,100117,,3105,,,,0,2,1,2,2,,,100,,,1000,0.8,,,,,,,,,,,1,15,10,,,,,,,,,,18,11,16,4000,195,95,100,200,110,110,,200,5,0,0,255,,,,,,1,,,,,,,,710,7500,1,236,1000,1,11209,250,1,,,13,10000,"1,3",130,2,,,,,,,,ent.3105.hit,ent.3105.die,ent.3105.idle,ent.3105.foot,,,,,31051,,,1,0.8,5,,,,@10836,,,,,,,,,,,,,,official_CreatureType.Monster
