ID,名称,文件名称,类别【1=图标|2=标签|3=按钮4=底板|5=背景图|6=文字|7=边框 8 = 天空盒 9=滤镜 10=方块贴图 11=特效贴图】,上级,文件夹,开关(0:关 1:开),排序,选择器类型（0不开放  1图片通用选择器 2贴图选择器 3天空盒贴图选择器 4太阳月亮选择器 5银河贴图选择器）,一级分类（1基础图片 2贴图）
10145,按钮12,btn_safe_up,3,common,,1,50,1,1
10146,按钮13,btn_trending_yellow,3,common,,1,51,1,1
10147,按钮49,img_arrow_arrowhead_n,3,common,,1,244,1,1
10148,标签63,img_develop_level,2,common,,1,550,1,1
10149,标签64,img_num_tips,2,common,,1,551,1,1
10150,按钮50,img_page_arrow,3,common,,1,245,1,1
10151,按钮51,icon_use,3,c_ingame,,1,246,1,1
10152,按钮52,icon_sneak,3,c_ingame,,1,247,1,1
10153,按钮53,icon_up_down,3,c_ingame,,1,248,1,1
10154,底板71,img_board_res,4,c_ingame,,1,143,1,1
10155,按钮67,icon_rocker,3,c_ingame,,1,263,1,1
10156,按钮68,icon_obstruct,3,c_ingame,,1,264,1,1
10157,按钮69,icon_position,3,c_ingame,,1,265,1,1
10158,按钮70,icon_creature,3,c_ingame,,1,266,1,1
10159,按钮71,btn_circle_yellow_tick,3,common,,1,267,1,1
10160,按钮72,icon_add_sink,3,common,,1,268,1,1
10161,按钮14,btn_big_blue,3,common,,1,52,1,1
10162,底板60,btn_huge_circle_yellow,4,common,,1,132,1,1
10163,按钮15,btn_big_orange,3,common,,1,53,1,1
10164,按钮16,btn_big_empty,3,common,,1,54,1,1
10165,按钮17,btn_big_yellow,3,common,,1,55,1,1
10166,按钮73,btn_close,3,common,,1,269,1,1
10167,按钮74,btn_return,3,common,,1,270,1,1
10168,按钮75,btn_return_white,3,common,,1,271,1,1
10169,按钮18,btn_middle_empty,3,common,,1,56,1,1
10170,按钮76,icon_pull,3,common,,1,272,1,1
10171,按钮77,icon_maximum_orange,3,common,,1,273,1,1
10172,按钮78,icon_lock_green,3,common,,1,274,1,1
10173,按钮39,btn_superbig_empty,3,common,,1,124,1,1
10174,底板90,img_blood_blue,4,common,,1,275,1,1
10175,底板91,img_blood_green,4,common,,1,276,1,1
10176,底板92,img_blood_red,4,common,,1,277,1,1
10177,底板93,img_blood_strip_board_b,4,common,,1,278,1,1
10178,底板94,img_blood_white,4,common,,1,279,1,1
10179,标签36,img_board_chat_b,2,common,,1,280,1,1
10180,标签37,img_board_chat_p,2,common,,1,281,1,1
10181,底板72,img_board_scoring,4,c_ingame,,1,144,1,1
10182,底板73,img_board_scoring_s,4,c_ingame,,1,145,1,1
10183,底板74,img_icon_board,4,c_ingame,,1,146,1,1
10184,底板8,img_item__box,4,c_ingame,,1,79,1,1
10185,底板75,img_item_box_circle,4,c_ingame,,1,147,1,1
10186,底板9,img_operating_board_s,4,c_ingame,,1,80,1,1
10187,底板76,img_steering_wheel,4,c_ingame,,1,148,1,1
10188,底板77,operating_board_l,4,c_ingame,,1,149,1,1
10189,底板10,operating_board_square,4,c_ingame,,1,81,1,1
10190,底板11,operating_special_open_b,4,c_ingame,,1,82,1,1
10191,底板78,operating_special_open_r,4,c_ingame,,1,150,1,1
10192,底板95,board_clip_title_y,4,common,,1,282,1,1
10193,底板96,board_clip_title,4,common,,1,283,1,1
10194,底板12,hdfl_diban06,4,common,,1,83,1,1
10195,底板13,img_icon_head,4,common,,1,84,1,1
10196,底板14,img_icon_lignt_b,4,common,,1,85,1,1
10197,底板15,img_icon_lignt_dark,4,common,,1,86,1,1
10198,底板16,img_icon_lignt_o,4,common,,1,87,1,1
10199,底板17,img_icon_lignt_v,4,common,,1,88,1,1
10200,底板18,img_icon_lignt_y,4,common,,1,89,1,1
10201,背景图7,img_board_load_orange,5,common,,1,284,1,1
10202,背景图8,img_board_load_purple,5,common,,1,285,1,1
10203,背景图9,img_board_load_disable,5,common,,1,286,1,1
10204,背景图10,board_tips_countdown_yellow,5,common,,1,287,1,1
10205,背景图11,board_tips_countdown_red,5,common,,1,288,1,1
10206,背景图12,board_sink_y,5,common,,1,289,1,1
10207,背景图13,board_switch_open,5,common,,1,290,1,1
10208,背景图14,board_tips_countdown_blue,5,common,,1,291,1,1
10209,背景图15,board_tips_countdown_green,5,common,,1,292,1,1
10210,背景图16,board_tips_countdown_orange,5,common,,1,293,1,1
10211,背景图17,img_board_white50_r,5,common,,1,294,1,1
10212,背景图18,img_board_white100_,5,common,,1,295,1,1
10213,背景图19,img_board_using,5,common,,1,296,1,1
10214,背景图20,img_board_tips_white,5,common,,1,297,1,1
10215,背景图21,img_board_tips_flag,5,common,,1,298,1,1
10216,背景图22,img_board_set_g,5,common,,1,299,1,1
10217,背景图23,img_board_set,5,common,,1,300,1,1
10218,背景图24,img_board_resource,5,common,,1,301,1,1
10219,背景图25,img_board_receive,5,common,,1,302,1,1
10220,背景图26,img_board_qqfriend,5,common,,1,303,1,1
10221,背景图27,img_board_more_glass,5,common,,1,304,1,1
10222,背景图28,img_board_login,5,common,,1,305,1,1
10223,背景图29,img_board_load_top_y,5,common,,1,306,1,1
10224,背景图30,img_board_load_top_g,5,common,,1,307,1,1
10225,背景图31,img_board_load_top,5,common,,1,308,1,1
10226,背景图32,img_board_load_gray,5,common,,1,309,1,1
10227,背景图33,img_board_load_blue,5,common,,1,310,1,1
10228,背景图34,img_board_fadeout,5,common,,1,311,1,1
10229,背景图35,img_board_delete,5,common,,1,312,1,1
10230,背景图36,img_board_custom_title,5,common,,1,313,1,1
10231,背景图37,img_board_bar,5,common,,1,314,1,1
10232,背景图38,img_board_Second_floor,5,common,,1,315,1,1
10233,背景图39,board_title_countdown_yellow,5,common,,1,316,1,1
10234,背景图40,board_title_countdown_red,5,common,,1,317,1,1
10235,背景图41,board_title_countdown_purple,5,common,,1,318,1,1
10236,背景图42,board_title_countdown_orange,5,common,,1,319,1,1
10237,背景图43,board_title_countdown_green,5,common,,1,320,1,1
10238,背景图44,board_title_countdown_blue,5,common,,1,321,1,1
10239,背景图45,board_tips_price,5,common,,1,322,1,1
10240,背景图46,board_tips_icon_v,5,common,,1,323,1,1
10241,背景图47,board_tips_icon_o,5,common,,1,324,1,1
10242,背景图48,board_tips_icon_b,5,common,,1,325,1,1
10243,背景图49,board_tips_countdown_purple,5,common,,1,326,1,1
10244,背景图50,board_schedule_countdown_yellow,5,common,,1,327,1,1
10245,背景图51,board_schedule_countdown_red,5,common,,1,328,1,1
10246,背景图52,board_schedule_countdown_purple,5,common,,1,329,1,1
10247,背景图53,board_schedule_countdown_orange,5,common,,1,330,1,1
10248,背景图54,board_schedule_countdown_green,5,common,,1,331,1,1
10249,背景图55,board_schedule_countdown_blue,5,common,,1,332,1,1
10250,背景图56,board_npcchat,5,common,,1,333,1,1
10251,背景图57,board_map_pic_g,5,common,,1,334,1,1
10252,背景图58,board_map_pic_b,5,common,,1,335,1,1
10253,背景图59,board_map_page_r,5,common,,1,336,1,1
10254,背景图60,board_map_info_self,5,common,,1,337,1,1
10255,背景图61,board_map_create,5,common,,1,338,1,1
10256,背景图62,board_ingame_word,5,common,,1,339,1,1
10257,背景图63,board_darkgray,5,common,,1,340,1,1
10258,背景图64,board_bar_mounts,5,common,,1,341,1,1
10259,背景图65,board_activity_info,5,common,,1,343,1,1
10260,按钮81,icon_sprint,3,c_ingame,,1,345,1,1
10261,按钮82,icon_up,3,c_ingame,,1,346,1,1
10262,按钮88,icon_wtb,3,c_ingame,,1,352,1,1
10263,按钮89,icon_kaijing,3,c_ingame,,1,353,1,1
10264,按钮90,icon_shooting,3,c_ingame,,1,354,1,1
10265,按钮100,icon_rocket,3,c_ingame,,1,364,1,1
10266,文字6,ar_font_0,6,c_shop,,1,365,1,1
10267,文字7,ar_font_1,6,c_shop,,1,366,1,1
10268,文字8,ar_font_2,6,c_shop,,1,367,1,1
10269,文字9,ar_font_3,6,c_shop,,1,368,1,1
10270,文字10,ar_font_4,6,c_shop,,1,369,1,1
10271,文字11,ar_font_5,6,c_shop,,1,370,1,1
10272,文字12,ar_font_6,6,c_shop,,1,371,1,1
10273,文字13,ar_font_7,6,c_shop,,1,372,1,1
10274,文字14,ar_font_8,6,c_shop,,1,373,1,1
10275,文字15,ar_font_9,6,c_shop,,1,374,1,1
10276,底板105,img_stamp_green,4,c_shop,,1,540,1,1
10277,底板79,btn_blue_suourbig_r_,4,c_shop,,1,151,1,1
10278,底板80,btn_blue_big_circle,4,c_shop,,1,152,1,1
10279,底板19,btn_blue_big,4,c_shop,,1,90,1,1
10280,底板20,btn_purple_big,4,c_shop,,1,91,1,1
10281,底板21,board_role_ar,4,c_shop,,1,92,1,1
10282,底板22,board_trans_blue,4,c_shop,,1,93,1,1
10283,底板81,btn_trans_blue_r,4,c_shop,,1,153,1,1
10284,底板97,btn_white_big,4,c_shop,,1,375,1,1
10285,底板82,btn_white_suourbig_r,4,c_shop,,1,154,1,1
10286,底板89,btn_yellow_avt,4,c_shop,,1,205,1,1
10287,图标62,icon_tobeupdate,1,c_shop,,1,376,1,1
10288,底板98,img_enter_ar,4,c_shop,,1,377,1,1
10289,底板99,img_enter_ar_g,4,c_shop,,1,378,1,1
10290,底板100,img_enter_ar_under,4,c_shop,,1,379,1,1
10291,底板101,img_enter_ar_under_g,4,c_shop,,1,380,1,1
10292,底板23,img_icon_act_award,4,c_shop,,1,94,1,1
10293,底板24,img_icon_custom_b,4,c_shop,,1,95,1,1
10294,底板25,img_icon_custom_v,4,c_shop,,1,96,1,1
10295,底板26,img_icon_act,4,c_shop,,1,97,1,1
10296,底板27,img_icon_act_award,4,c_shop,,1,98,1,1
10297,底板28,img_icon_custom_g,4,c_shop,,1,99,1,1
10298,底板29,img_icon_custom_gold,4,c_shop,,1,100,1,1
10299,标签38,img_label_give,2,c_shop,,1,383,1,1
10300,标签42,img_noroom_ar,2,c_shop,,1,387,1,1
10301,底板106,img_shadow_role1,4,c_shop,,1,541,1,1
10302,标签43,label_shop_collection,2,c_shop,,1,388,1,1
10303,标签44,label_shop_green,2,c_shop,,1,389,1,1
10304,标签45,label_shop_hot,2,c_shop,,1,390,1,1
10305,标签46,label_shop_new,2,c_shop,,1,391,1,1
10306,标签47,label_shop_num,2,c_shop,,1,392,1,1
10307,标签48,label_shop_red,2,c_shop,,1,393,1,1
10308,标签49,label_shop_sale,2,c_shop,,1,394,1,1
10309,标签50,label_shop_set_commend,2,c_shop,,1,395,1,1
10310,标签51,label_shop_set_hot,2,c_shop,,1,396,1,1
10311,标签52,label_shop_set_new,2,c_shop,,1,397,1,1
10312,标签53,label_shop_set_rage,2,c_shop,,1,398,1,1
10313,标签54,label_shop_set_sale,2,c_shop,,1,399,1,1
10314,标签55,label_shop_set_time,2,c_shop,,1,400,1,1
10315,标签56,label_shop_time,2,c_shop,,1,401,1,1
10316,标签57,lable_soldout,2,c_shop,,1,402,1,1
10317,按钮101,btn_arrow_left,3,c_shop,,1,403,1,1
10318,按钮102,btn_yes_ar,3,c_shop,,1,404,1,1
10319,按钮103,icon_add_upload_y,3,c_shop,,1,405,1,1
10320,按钮104,icon_lock_add_y,3,c_shop,,1,406,1,1
10321,按钮105,icon_custom_record,3,c_shop,,1,407,1,1
10322,按钮106,icon_stop,3,c_shop,,1,408,1,1
10323,按钮107,icon_set_ar,3,c_shop,,1,409,1,1
10324,按钮108,icon_draw,3,c_shop,,1,410,1,1
10325,边框4,img_loading_ar_record,7,c_shop,,1,151,1,1
10326,边框16,sdjm_icon_color_h,7,c_shop,,1,412,1,1
10327,边框17,sel_role_ar,7,c_shop,,1,413,1,1
10328,图标169,icon_custom_mask,1,c_shop,,1,570,1,1
10329,图标172,icon_workshop,1,c_shop,,1,573,1,1
10330,图标173,icon_worldfactory,1,c_shop,,1,574,1,1
10331,图标63,cj_avtnum,1,c_playercenter,,1,414,1,1
10332,图标64,cj_baozangnum,1,c_playercenter,,1,415,1,1
10333,图标65,cj_bosskiller,1,c_playercenter,,1,416,1,1
10334,图标66,cj_chixudenglu,1,c_playercenter,,1,417,1,1
10335,图标67,cj_chuchong,1,c_playercenter,,1,418,1,1
10336,图标68,cj_dianzan,1,c_playercenter,,1,419,1,1
10337,图标69,cj_fangzhapian,1,c_playercenter,,1,420,1,1
10338,图标70,cj_fensinum,1,c_playercenter,,1,421,1,1
10339,图标71,cj_guoshilv,1,c_playercenter,,1,422,1,1
10340,图标72,cj_haoyounum,1,c_playercenter,,1,423,1,1
10341,图标73,cj_hotmapnum,1,c_playercenter,,1,424,1,1
10342,图标74,cj_jianshangjia,1,c_playercenter,,1,425,1,1
10343,图标75,cj_jiaohua,1,c_playercenter,,1,426,1,1
10344,图标76,cj_jixianbosskiller,1,c_playercenter,,1,427,1,1
10345,图标77,cj_jueselv,1,c_playercenter,,1,428,1,1
10346,图标78,cj_juesenum,1,c_playercenter,,1,429,1,1
10347,图标79,cj_pifunum,1,c_playercenter,,1,430,1,1
10348,图标80,cj_shengcuntianshu,1,c_playercenter,,1,431,1,1
10349,图标81,cj_shenmiliwu,1,c_playercenter,,1,432,1,1
10350,图标82,cj_shimingzhi,1,c_playercenter,,1,433,1,1
10351,图标83,cj_shouhuonum,1,c_playercenter,,1,434,1,1
10352,图标84,cj_tujiannum,1,c_playercenter,,1,435,1,1
10353,图标85,cj_zuojinum,1,c_playercenter,,1,436,1,1
10354,边框5,cj_diamond,7,c_playercenter,,1,151,1,1
10355,边框6,cj_gold,7,c_playercenter,,1,151,1,1
10356,边框7,cj_iron,7,c_playercenter,,1,151,1,1
10357,边框8,cj_stone,7,c_playercenter,,1,151,1,1
10358,边框9,cj_wood,7,c_playercenter,,1,151,1,1
10359,图标86,baimu,1,c_playercenter,,1,442,1,1
10360,图标87,bye,1,c_playercenter,,1,443,1,1
10361,图标88,daku,1,c_playercenter,,1,444,1,1
10362,图标89,dianzan,1,c_playercenter,,1,445,1,1
10363,图标90,haixiu,1,c_playercenter,,1,446,1,1
10364,图标91,jingya,1,c_playercenter,,1,447,1,1
10365,图标92,keai,1,c_playercenter,,1,448,1,1
10366,图标93,kun,1,c_playercenter,,1,449,1,1
10367,图标94,liulei,1,c_playercenter,,1,450,1,1
10368,图标95,qinqin,1,c_playercenter,,1,451,1,1
10369,图标96,shaojiao,1,c_playercenter,,1,452,1,1
10370,图标97,shengqi,1,c_playercenter,,1,453,1,1
10371,图标98,shouqibao,1,c_playercenter,,1,454,1,1
10372,图标99,wabikong,1,c_playercenter,,1,455,1,1
10373,图标100,xianqi,1,c_playercenter,,1,456,1,1
10374,图标101,xieyanxiao,1,c_playercenter,,1,457,1,1
10375,图标102,xieyanxiao,1,c_playercenter,,1,458,1,1
10376,图标103,yun,1,c_playercenter,,1,459,1,1
10377,按钮109,btn_slide_ther,3,c_ingame,,1,460,1,1
10378,按钮110,icon_area,3,c_ingame,,1,461,1,1
10379,按钮111,icon_area_edit,3,c_ingame,,1,462,1,1
10380,按钮112,icon_brush,3,c_ingame,,1,463,1,1
10381,按钮113,icon_cancel,3,c_ingame,,1,464,1,1
10382,按钮114,icon_coloring,3,c_ingame,,1,465,1,1
10383,按钮115,icon_copy_edit,3,c_ingame,,1,466,1,1
10384,按钮116,icon_creature,3,c_ingame,,1,467,1,1
10385,按钮117,icon_delete_edit,3,c_ingame,,1,468,1,1
10386,按钮118,icon_move_edit,3,c_ingame,,1,469,1,1
10387,按钮119,icon_narrow_block,3,c_ingame,,1,470,1,1
10388,按钮120,icon_narrow_compose,3,c_ingame,,1,471,1,1
10389,按钮121,icon_object_library,3,c_ingame,,1,472,1,1
10390,按钮122,icon_paste,3,c_ingame,,1,473,1,1
10391,按钮123,icon_pile,3,c_ingame,,1,474,1,1
10392,按钮124,icon_return,3,c_ingame,,1,475,1,1
10393,按钮125,icon_smooth,3,c_ingame,,1,476,1,1
10394,按钮126,icon_swap_edit,3,c_ingame,,1,477,1,1
10395,按钮127,icon_track_edit,3,c_ingame,,1,478,1,1
10396,按钮128,jsxz_mingzi01,3,c_ingame,,1,479,1,1
10397,按钮129,jsxz_mingzi02,3,c_ingame,,1,480,1,1
10398,按钮130,img_bar_board_ther,3,c_ingame,,1,481,1,1
10399,按钮131,img_bar_ther,3,c_ingame,,1,482,1,1
10400,底板83,img_board_scoring_sel,4,c_ingame,,1,155,1,1
10401,底板61,img_icon_board_orange,4,c_ingame,,1,133,1,1
10402,按钮132,icon_adventure_notes,3,c_ingame,,1,483,1,1
10403,底板84,icon_ball,4,c_ingame,,1,156,1,1
10404,按钮91,icon_blocking,3,c_ingame,,1,355,1,1
10405,按钮133,icon_bullet,3,c_ingame,,1,484,1,1
10406,按钮134,icon_bullet_install,3,c_ingame,,1,485,1,1
10407,按钮135,icon_chat,3,c_ingame,,1,486,1,1
10408,按钮80,icon_down,3,c_ingame,,1,344,1,1
10409,按钮136,icon_expression,3,c_ingame,,1,487,1,1
10410,按钮92,icon_football1,3,c_ingame,,1,356,1,1
10411,按钮94,icon_football2,3,c_ingame,,1,358,1,1
10412,按钮83,icon_jump,3,c_ingame,,1,347,1,1
10413,按钮84,icon_last,3,c_ingame,,1,348,1,1
10414,按钮85,icon_mount,3,c_ingame,,1,349,1,1
10415,按钮86,icon_mount_down,3,c_ingame,,1,350,1,1
10416,按钮87,icon_next,3,c_ingame,,1,351,1,1
10417,按钮151,icon_night,3,c_ingame,,1,607,1,1
10418,按钮93,icon_pass,3,c_ingame,,1,357,1,1
10419,按钮95,icon_rocker_circle,3,c_ingame,,1,359,1,1
10420,按钮96,icon_shoot,3,c_ingame,,1,360,1,1
10421,按钮97,icon_steals,3,c_ingame,,1,361,1,1
10422,按钮98,icon_swap_operat,3,c_ingame,,1,362,1,1
10423,按钮99,icon_tackle,3,c_ingame,,1,363,1,1
10424,按钮79,operating_steering_wheel,3,c_ingame,,1,342,1,1
10425,图标106,npchat_icon_jrw_d,1,c_ingame,,1,490,1,1
10426,图标107,npchat_icon_jrw,1,c_ingame,,1,491,1,1
10427,图标108,npchat_icon_jiaoyi,1,c_ingame,,1,492,1,1
10428,图标109,juese_xingxing02,1,c_ingame,,1,493,1,1
10429,图标110,juese_xingxing03,1,c_ingame,,1,494,1,1
10430,图标111,juese_xingxing04,1,c_ingame,,1,495,1,1
10431,图标112,juese_xingxing05,1,c_ingame,,1,496,1,1
10432,图标113,juese_xingxing06,1,c_ingame,,1,497,1,1
10433,图标174,icon_trophy,1,c_ingame,,1,575,1,1
10434,图标175,icon_voice,1,c_ingame,,1,576,1,1
10435,图标114,lzy_23,1,c_ingame,,1,498,1,1
10436,图标115,lzy_23_green,1,c_ingame,,1,499,1,1
10437,图标116,lzy_24,1,c_ingame,,1,500,1,1
10438,图标117,lzy_31,1,c_ingame,,1,501,1,1
10439,图标176,icon_map_white,1,c_ingame,,1,577,1,1
10440,图标177,icon_read_white,1,c_miniwork,,1,578,1,1
10441,图标118,icon_revise,1,c_miniwork,,1,502,1,1
10442,图标119,icon_setup,1,c_miniwork,,1,503,1,1
10443,图标120,icon_standard,1,c_miniwork,,1,504,1,1
10444,图标121,icon_form_pluginpack,1,c_miniwork,,1,505,1,1
