组件ID,组件名字,备注,组件图标,组件所属类型（持续效果 1001 ， 瞬时效果1002）,组件一级分类(1 属性， 2 触发， 3 其它，0为不显示到外部）,组件LUA文件,排序ID,组件编辑类型（1=官方内部触发器，2=官方内部脚本，3=官方外部脚本 ，4=官方外部触发器，101=开发者脚本，102，开发者触发器，103=开发者lua）,选择器开关（0=关闭 1=打开   仅影响选择器，实际运行时是可以动态添加）,组件支持运行的环境：第一位代表编辑模式，第二位代表运行模式（创造、冒险都属于运行模式）
77000025,9408524,石墙术2,icons_component/effect,1002,0,StoneWallStatus2,0,2,0,
77000026,9408525,石墙术3,icons_component/effect,1002,0,StoneWallStatus3,0,2,0,
77000027,9408526,石墙术4,icons_component/effect,1002,0,StoneWallStatus4,0,2,0,
77000028,9408527,石墙术7,icons_component/effect,1002,0,StoneWallStatus7,0,2,0,
77000029,9408528,石墙术8,icons_component/effect,1002,0,StoneWallStatus8,0,2,0,
77000030,9408529,蓄力魔弓1,icons_component/effect,1002,0,MagicBowStatus1,0,2,0,
77000031,9408530,蓄力魔弓2,icons_component/effect,1002,0,MagicBowStatus2,0,2,0,
77000032,9408531,蓄力魔弓3,icons_component/effect,1002,0,MagicBowStatus3,0,2,0,
77000033,9408532,蓄力魔弓4,icons_component/effect,1002,0,MagicBowStatus4,0,2,0,
77000034,9408533,蓄力魔弓5,icons_component/effect,1002,0,MagicBowStatus5,0,2,0,
77000035,9408534,追踪箭1,icons_component/effect,1002,0,TrackingStatus1,0,2,0,
77000036,9408535,追踪箭2,icons_component/effect,1002,0,TrackingStatus2,0,2,0,
77000037,9408536,追踪箭3,icons_component/effect,1002,0,TrackingStatus3,0,2,0,
77000038,9408537,追踪箭4,icons_component/effect,1002,0,TrackingStatus4,0,2,0,
77000039,9408538,追踪箭5,icons_component/effect,1002,0,TrackingStatus5,0,2,0,
77000040,9408539,火焰箭1,icons_component/effect,1002,0,FireArrowStatus1,0,2,0,
77000041,9408540,火焰箭2,icons_component/effect,1002,0,FireArrowStatus2,0,2,0,
77000043,9408542,火焰箭4,icons_component/effect,1002,0,FireArrowStatus4,0,2,0,
77000044,9408543,火焰箭5,icons_component/effect,1002,0,FireArrowStatus5,0,2,0,
77000047,9408546,火焰箭8,icons_component/effect,1002,0,FireArrowStatus8,0,2,0,
77000048,9408547,雷电箭1,icons_component/effect,1002,0,LightningStatus1,0,2,0,
77000049,9408548,雷电箭2,icons_component/effect,1002,0,LightningStatus2,0,2,0,
77000050,9408549,雷电箭3,icons_component/effect,1002,0,LightningStatus3,0,2,0,
77000051,9408550,雷电箭4,icons_component/effect,1002,0,LightningStatus4,0,2,0,
77000052,9408551,雷电箭5,icons_component/effect,1002,0,LightningStatus5,0,2,0,
77000053,9408552,雷电箭6,icons_component/effect,1002,0,LightningStatus6,0,2,0,
77000055,9408554,血浪生命偷取,icons_component/effect,1002,0,BloodWaveLifesteal,0,2,0,
77000056,9408555,分裂箭1,icons_component/effect,1002,0,SplitArrowStatus1,0,2,0,
77000057,9408556,分裂箭2,icons_component/effect,1002,0,SplitArrowStatus2,0,2,0,
77000058,9408557,冰球术1,icons_component/effect,1002,0,IceBallStatus1,0,2,0,
77000059,9408558,冰球术2,icons_component/effect,1002,0,IceBallStatus2,0,2,0,
77000060,9408559,冰球术3,icons_component/effect,1002,0,IceBallStatus3,0,2,0,
77000061,9408560,冰球术4,icons_component/effect,1002,0,IceBallStatus4,0,2,0,
77000062,9408610,召唤术表演,icons_component/effect,1002,0,SummonPerformance,0,2,1,
77000063,9408562,火球术1,icons_component/effect,1002,0,FireBallStatus1,0,2,0,
77000064,9408614,Boss旋转效果,icons_component/effect,1002,0,BossRotateEffect,0,2,1,
77000065,9408564,火球术3,icons_component/effect,1002,0,FireBallStatus3,0,2,0,
77000066,9408615,虚空黑洞吸附,icons_component/effect,1002,0,VoidBlackHoleStatus,0,2,1,
77000067,9408566,火球术5,icons_component/effect,1002,0,FireBallStatus5,0,2,0,
77000068,9408567,雷球术1,icons_component/effect,1002,0,ThunderBallStatus1,0,2,0,
77000069,9408568,雷球术2,icons_component/effect,1002,0,ThunderBallStatus2,0,2,0,
77000070,9408569,雷球术3,icons_component/effect,1002,0,ThunderBallStatus3,0,2,0,
77000072,9408571,符能机关枪1,icons_component/effect,1002,0,MagicGunStatus1,0,2,0,
77000073,9408572,符能机关枪2,icons_component/effect,1002,0,MagicGunStatus2,0,2,0,
77000074,9408573,符能机关枪3,icons_component/effect,1002,0,MagicGunStatus3,0,2,0,
77000076,9408575,连锁闪电1,icons_component/effect,1002,0,ChainLightningStatus1,0,2,0,
77000077,9408576,连锁闪电2,icons_component/effect,1002,0,ChainLightningStatus2,0,2,0,
77000078,9408577,连锁闪电3,icons_component/effect,1002,0,ChainLightningStatus3,0,2,0,
77000080,9408579,控石术命中效果,icons_component/effect,1002,0,ControlStoneHit,0,2,0,
77000081,9408580,控石术伤害强化,icons_component/effect,1002,0,ControlStoneDamageUp,0,2,0,
77000082,9408581,控石术石块爆炸,icons_component/effect,1002,0,ControlStoneExplosion,0,2,0,
77000083,9408582,控石术击飞强化,icons_component/effect,1002,0,ControlStoneKnockUp,0,2,0,
77000084,9408583,控石术击退强化,icons_component/effect,1002,0,ControlStoneKnockBack,0,2,0,
77000085,9408584,跟踪飞弹1,icons_component/effect,1002,0,HomingMissileStatus1,0,2,0,
77000086,9408585,跟踪飞弹2,icons_component/effect,1002,0,HomingMissileStatus2,0,2,0,
77000087,9408586,跟踪飞弹3,icons_component/effect,1002,0,HomingMissileStatus3,0,2,0,
77000089,9408589,降低重力,icons_component/effect,1002,0,ReduceGravityEffect,0,2,0,
77000090,9408590,草精灵倒计时,icons_component/effect,1002,0,GrassSpiritCountdownEffect,0,2,0,
77000091,9408591,冻魂叠伤,icons_component/effect,1002,0,FrozenSoulStackDamageEffect,0,2,0,
77000092,9408592,火焰溅射,icons_component/effect,1002,0,FlameSplashEffect,0,2,0,
77000093,9408593,点燃引爆,icons_component/effect,1002,0,IgniteDetonateEffect,0,2,0,
77000094,9408594,冰域辐射,icons_component/effect,1002,0,IceFieldRadiationEffect,0,2,0,
77000095,9408595,感电,icons_component/effect,1002,0,ElectrifiedEffect,0,2,0,
77000096,9408596,感电2,icons_component/effect,1002,0,ElectrifiedEffect2,0,2,0,
77000097,9408597,麻痹,icons_component/effect,1002,0,ParalyzeEffect,0,2,0,
77000098,9408598,雷霆漫步,icons_component/effect,1002,0,ThunderWalkEffect,0,2,0,
77000099,9408599,雷神箭,icons_component/effect,1002,0,ThunderGodArrowEffect,0,2,0,
77000100,9408600,冰魂净化,icons_component/effect,1002,0,IceSoulPurifyEffect,0,2,0,
77000101,9408601,燎原爆轰,icons_component/effect,1002,0,PrairieFireBlastEffect,0,2,0,
77000102,9408602,焚心绝效,icons_component/effect,1002,0,BurningHeartFinalEffect,0,2,0,
77000103,9408603,焚烬余火,icons_component/effect,1002,0,AshenEmberEffect,0,2,0,
77000104,9408604,麻痹扩散,icons_component/effect,1002,0,ParalyzeSpreadEffect,0,2,0,
77000105,9408605,符能护盾,icons_component/effect,1002,0,RuneShieldEffect,0,2,0,
77000106,9408606,感电传导,icons_component/effect,1002,0,ElectrifiedConductionEffect,0,2,0,
77000107,9408607,靶向放大,icons_component/effect,1002,0,ElementReactionEffect,0,2,0,
77000108,9408608,控石术燃烧强化,icons_component/effect,1002,0,ControlStoneBurn,0,2,0,
77000109,9408553,捕获生物,icons_component/effect,1002,0,CaptureCreatureStatus,0,2,1,
77000110,9408618,迷幻视觉,icons_component/effect,1002,0,PsychedelicVisionStatus,0,2,1,
77000111,9408618,迷幻视觉,icons_component/effect,1002,0,PsychedelicVisionStatus,0,2,1,
77000112,9408554,拳套效果,icons_component/effect,1002,0,GauntletStatus,0,2,1,
77000113,9408620,流星命中生成方块,icons_component/effect,1002,0,MeteorBlockOnHit,0,2,1,1|1
77000114,9408609,锁血触发保护,icons_component/effect,1002,0,LockHPStatus,0,2,1,
77000115,9408622,定时扣除耐久,icons_component/effect,1002,0,TimedDurabilityConsumeStatus,0,2,1,
77000116,9408623,提灯开关,icons_component/effect,1002,0,LanternToggleStatus,0,2,1,
77000117,9408624,播撒孢子,icons_component/effect,1002,0,SporeScatterStatus,0,2,1,
77000118,9408625,凝胶禁锢,icons_component/effect,1002,0,GelImmobilizeStatus,0,2,1,
77000119,9408626,致盲视觉,icons_component/effect,1002,0,BlindnessVisionStatus,0,2,1,
77000120,9408611,召唤术,icons_component/effect,1002,0,Summon,0,2,1,
77000121,9408612,虚空吸附,icons_component/effect,1002,0,VoidPull,0,2,1,
77000122,9408613,Boss伤害效果,icons_component/effect,1002,0,BossDamageEffect,0,2,1,
77000123,9408616,通用方块放置(新),icons_component/effect,1002,0,NewCommonBlockPlace,0,2,1,1|1
77000124,9408627,随机传送,icons_component/effect,1002,0,RandomTeleportStatus,0,2,1,
77000125,9408628,迷糊花粉瓶,icons_component/effect,1002,0,ConfusedPollenBottle,0,2,1,
77000126,9408617,城堡传送,icons_component/effect,1002,0,TransToPos,0,2,1,
77000126,9408629,定点传送,icons_component/effect,1002,0,SpaceShiftTeleport,0,2,1,
77000127,9408630,虚空冲击波伤害,icons_component/effect,1002,0,VoidShockWaveDamageStatus,0,2,0,
77000128,9408631,虚空冲击波减速,icons_component/effect,1002,0,VoidShockWaveSlow,0,2,0,
77000129,9408632,虚空冲击波伤害强化,icons_component/effect,1002,0,VoidShockWaveDamageUp,0,2,0,
77000130,9408633,虚空冲击波生命偷取,icons_component/effect,1002,0,VoidShockWaveLifeSteal,0,2,0,
77000131,9408634,虚空冲击波击飞,icons_component/effect,1002,0,VoidShockWaveKnockUp,0,2,0,
77000132,9408635,虚空激光球头顶特效,icons_component/effect,1002,0,VoidLaserBallStatus,0,2,0,
77000133,9408640,虚空激光球伤害,icons_component/effect,1002,0,VoidLaserBallDamageStatus,0,2,0,
77000134,9408637,虚空法术法球,icons_component/effect,1002,0,VoidMagicOrbStatus,0,2,0,
77000135,9408637,虚空激光球伤害强化,icons_component/effect,1002,0,VoidLaserBallDamageUp,0,2,0,
77000136,9408638,虚空激光球流血,icons_component/effect,1002,0,VoidLaserBallBleed,0,2,0,
77000137,9408639,虚空法术法球1,icons_component/effect,1002,0,VoidMagicOrbStatus,0,2,0,
77000138,9408640,虚空法术法球2,icons_component/effect,1002,0,VoidMagicOrbStatus2,0,2,0,
77000139,9408641,虚空法术法球3,icons_component/effect,1002,0,VoidMagicOrbStatus3,0,2,0,
77000140,9408642,虚空法术法球4,icons_component/effect,1002,0,VoidMagicOrbStatus4,0,2,0,
77000141,9408643,虚空法术法球5,icons_component/effect,1002,0,VoidMagicOrbStatus5,0,2,0,
77000142,9408644,虚空扇形激光1,icons_component/effect,1002,0,VoidMagicLaserStatus,0,2,0,
77000143,9408645,虚空扇形激光2,icons_component/effect,1002,0,VoidMagicLaserStatus2,0,2,0,
77000144,9408646,虚空扇形激光3,icons_component/effect,1002,0,VoidMagicLaserStatus3,0,2,0,
77000145,9408647,虚空扇形激光4,icons_component/effect,1002,0,VoidMagicLaserStatus4,0,2,0,
77000146,9408648,虚空扇形激光5,icons_component/effect,1002,0,VoidMagicLaserStatus5,0,2,0,
77000147,9408649,虚空扇形激光6,icons_component/effect,1002,0,VoidMagicLaserStatus6,0,2,0,
77000148,9408650,虚空陨石雨伤害,icons_component/effect,1002,0,VoidMeteorRainDamageStatus,0,2,0,
77000149,9408651,虚空陨石雨爆炸,icons_component/effect,1002,0,VoidMeteorRainKnockUp,0,2,0,
77000150,9408652,虚空陨石雨伤害强化,icons_component/effect,1002,0,VoidMeteorRainDamageUp,0,2,0,
77000151,9408653,虚空陨石雨减速,icons_component/effect,1002,0,VoidMeteorRainSlow,0,2,0,
77000152,9408645,虚空召唤物自毁,icons_component/effect,1002,0,VoidSummonMinionStatus,0,2,1,
77000153,9408654,虚空环绕球伤害,icons_component/effect,1002,0,VoidOrbitBallStatus,0,2,0,
77000154,9408654,虚空环绕球伤害强化,icons_component/effect,1002,0,VoidOrbitBallStatus2,0,2,0,
77000155,9408654,虚空环绕球减速,icons_component/effect,1002,0,VoidOrbitBallSlow,0,2,0,
77000156,9408655,混乱,icons_component/effect,1002,0,ConfusionStatus,0,2,1,
77000157,9408656,蘑菇召唤倒计时,icons_component/effect,1002,0,MashroomCountdownEffect,0,2,1,
77000158,0,白袍老道法球伤害,icons_component/effect,1002,0,OldChiefWhiteOrbStatus,0,2,0,
77000159,9408657,国王的王冠触发,icons_component/effect,1002,0,KingCrownTrigger,0,2,1,
77000160,9408658,传送到目标位置,icons_component/effect,1002,0,SpaceShiftTeleportRay,0,2,1,
