id,坐骑名称备注,坐骑ID/真实ID=3430+1/2,头像ID,等级,真实ID,解锁方式/1道具可用迷你币补2只迷你币3只道具,解锁消耗道具ID,解锁数量（改读服务器）,解锁道具跟迷你币比例（改读服务器）,音效,购买提示类型（1前往家园和取消 2只有确定 3前往礼包和取消 4-前往迷你点抽奖和取消 5-前往扭蛋和取消 6-前往坐骑抽奖&取消）,购买提示,能力1,能力2,能力3,能力4,能力5,能力6,商城显示(填1=不显示，不填=显示),品质标签（1稀有/2珍贵/3传说/4典藏）,IP动态标签,道具ID,道具数量,坐骑类型（1=普通，2=高级，3=不能用通用碎片解锁，可以兑换为普通通用，4=不能用通用碎片解锁，可以兑换为高级通用）,同一碎片的最高级（1=是）,坐骑品质（1灰/2绿/3蓝/4紫/5橙/6钻，数字越大，品质越高，对应坐骑橱窗背景）,背景图,橱窗位置调整1|2|3|4 X坐标|Y坐标|缩放|角度,侧边栏背景色,变形坐骑是否可以左右移动（0=不可以，1=可以）,背景动画文件
60,猫咪6级,3454,3455,6,34546,3,10069,999,1,horse9,,,1,18,,,,,,,,,,,,7,horse_img_bg_04.png,30|20|1.3|45,1,,110186
61,猫咪7级,3454,3455,7,34547,3,10069,999,1,horse9,,,1,18,,,,,,,,,,,,7,horse_img_bg_04.png,30|20|1.3|45,1,,110186
62,猫咪8级,3454,3455,8,34548,3,10069,999,1,horse9,,,1,18,,,,,,,,,,,,7,horse_img_bg_04.png,30|20|1.3|45,1,,110186
63,猫咪9级,3454,3455,9,34549,3,10069,999,1,horse9,,,1,18,,,,,,,,,,,,7,horse_img_bg_04.png,30|20|1.3|45,1,,110186
64,猫咪10级,3454,3456,10,34550,3,10069,999,1,horse9,,,1,18,19,248,,,,,,,,2,1,7,horse_img_bg_04.png,30|20|1.3|45,1,,110186
65,天马1级,3457,3458,1,3458,3,25554,300,1,horse10,2,解锁道具可通过运营活动获得。,1,20,,,,,,,,,,2,,7,horse_img_bg_03.png,30|20|1.2|45,1,,110186
66,天马2级,3457,3458,2,3459,3,10069,999,1,horse10,,,1,20,,,,,,,,,,,,7,horse_img_bg_03.png,30|20|1.2|45,1,,110186
67,天马3级,3457,3458,3,34573,3,10069,999,1,horse10,,,1,20,,,,,,,,,,,,7,horse_img_bg_03.png,30|20|1.2|45,1,,110186
68,天马4级,3457,3458,4,34574,3,10069,999,1,horse10,,,1,20,,,,,,,,,,,,7,horse_img_bg_03.png,30|20|1.2|45,1,,110186
69,天马5级,3457,3458,5,34575,3,10069,999,1,horse10,,,1,20,,,,,,,,,,,,7,horse_img_bg_03.png,30|20|1.2|45,1,,110186
70,天马6级,3457,3458,6,34576,3,10069,999,1,horse10,,,1,20,,,,,,,,,,,,7,horse_img_bg_03.png,30|20|1.2|45,1,,110186
71,天马7级,3457,3458,7,34577,3,10069,999,1,horse10,,,1,20,,,,,,,,,,,,7,horse_img_bg_03.png,30|20|1.2|45,1,,110186
72,天马8级,3457,3458,8,34578,3,10069,999,1,horse10,,,1,20,,,,,,,,,,,,7,horse_img_bg_03.png,30|20|1.2|45,1,,110186
73,天马9级,3457,3458,9,34579,3,10069,999,1,horse10,,,1,20,,,,,,,,,,,,7,horse_img_bg_03.png,30|20|1.2|45,1,,110186
74,天马10级,3457,3459,10,34580,3,10069,999,1,horse10,,,1,241,,,,,,,,,,2,1,7,horse_img_bg_03.png,30|20|1.2|45,1,,110186
75,镶金轿子,3460,3461,1,3461,3,25555,300,1,horse11,2,解锁道具可通过运营活动获得。,1,22,,,,,,,,,,2,,7,horse_img_bg_04.png,0|50|0|45,1,,110186
76,镶金轿子,3460,3461,2,3462,3,10069,999,1,horse11,,,1,22,,,,,,,,,,,,7,horse_img_bg_04.png,0|50|0|45,1,,110186
77,镶金轿子,3460,3461,3,34603,3,10069,999,1,horse11,,,1,22,,,,,,,,,,,,7,horse_img_bg_04.png,0|50|0|45,1,,110186
78,镶金轿子,3460,3461,4,34604,3,10069,999,1,horse11,,,1,22,,,,,,,,,,,,7,horse_img_bg_04.png,0|50|0|45,1,,110186
79,镶金轿子,3460,3461,5,34605,3,10069,999,1,horse11,,,1,22,,,,,,,,,,,,7,horse_img_bg_04.png,0|50|0|45,1,,110186
80,镶金轿子,3460,3461,6,34606,3,10069,999,1,horse11,,,1,22,,,,,,,,,,,,7,horse_img_bg_04.png,0|50|0|45,1,,110186
81,镶金轿子,3460,3461,7,34607,3,10069,999,1,horse11,,,1,22,,,,,,,,,,,,7,horse_img_bg_04.png,0|50|0|45,1,,110186
82,镶金轿子,3460,3461,8,34608,3,10069,999,1,horse11,,,1,22,,,,,,,,,,,,7,horse_img_bg_04.png,0|50|0|45,1,,110186
83,镶金轿子,3460,3461,9,34609,3,10069,999,1,horse11,,,1,22,,,,,,,,,,,,7,horse_img_bg_04.png,0|50|0|45,1,,110186
84,桃花轿子,3460,3462,10,34610,3,10069,999,1,horse11,,,1,22,23,248,,,,,,,,2,1,7,horse_img_bg_04.png,0|50|0|45,1,,110186
85,,3463,3464,1,3464,3,,600,1,horse8,2,,,25,,,,,1,,,,,,,,,,1,,
86,,3465,3466,1,3466,3,,600,1,horse7,2,,,26,,,,,1,,,,,,,,,,1,,
87,,3467,3468,1,3468,3,,600,1,horse8,2,,,27,,,,,1,,,,,,,,,,1,,
88,魔龙1级,3469,3470,1,3470,3,25556,300,1,horse12,2,解锁道具可通过运营活动获得。,1,28,30,,,,,,,,,2,,7,horse_img_bg_04.png,0|0|1.2|45,1,,110186
89,魔龙2级,3469,3470,2,3471,3,10069,999,1,horse12,,,1,28,30,,,,,,,,,,,7,horse_img_bg_04.png,0|0|1.2|45,1,,110186
90,魔龙3级,3469,3470,3,34693,3,10069,999,1,horse12,,,1,28,30,,,,,,,,,,,7,horse_img_bg_04.png,0|0|1.2|45,1,,110186
91,魔龙4级,3469,3470,4,34694,3,10069,999,1,horse12,,,1,28,30,,,,,,,,,,,7,horse_img_bg_04.png,0|0|1.2|45,1,,110186
92,魔龙5级,3469,3470,5,34695,3,10069,999,1,horse12,,,1,28,30,,,,,,,,,,,7,horse_img_bg_04.png,0|0|1.2|45,1,,110186
93,魔龙6级,3469,3470,6,34696,3,10069,999,1,horse12,,,1,28,30,,,,,,,,,,,7,horse_img_bg_04.png,0|0|1.2|45,1,,110186
94,魔龙7级,3469,3470,7,34697,3,10069,999,1,horse12,,,1,28,30,,,,,,,,,,,7,horse_img_bg_04.png,0|0|1.2|45,1,,110186
95,魔龙8级,3469,3470,8,34698,3,10069,999,1,horse12,,,1,28,30,,,,,,,,,,,7,horse_img_bg_04.png,0|0|1.2|45,1,,110186
96,魔龙9级,3469,3470,9,34699,3,10069,999,1,horse12,,,1,28,30,,,,,,,,,,,7,horse_img_bg_04.png,0|0|1.2|45,1,,110186
97,魔龙10级,3469,3471,10,34700,3,10069,999,1,horse12,,,1,29,241,,,,,,,,,2,1,7,horse_img_bg_04.png,0|0|1.2|45,1,,110186
98,,3472,3473,1,3473,3,,600,1,horse8,2,,,32,,,,,1,,,,,,,,,,1,,
99,,3474,3475,1,3475,3,,600,1,horse7,2,,,33,,,,,1,,,,,,,,,,1,,
100,,3476,3477,1,3477,3,,600,1,horse8,2,,,34,,,,,1,,,,,,,,,,1,,
101,玉兔桃花,3478,3479,1,3479,3,25557,300,1,horse13,2,解锁道具可通过运营活动获得。,1,35,,,,,,,,,,2,,7,horse_img_bg_03.png,0|0|0.9|45,1,,110186
102,玉兔桃花,3478,3479,2,3480,3,10069,999,1,horse13,,,1,35,,,,,,,,,,,,7,horse_img_bg_03.png,0|0|0.9|45,1,,110186
103,玉兔桃花,3478,3479,3,34783,3,10069,999,1,horse13,,,1,35,,,,,,,,,,,,7,horse_img_bg_03.png,0|0|0.9|45,1,,110186
104,玉兔桃花,3478,3479,4,34784,3,10069,999,1,horse13,,,1,35,,,,,,,,,,,,7,horse_img_bg_03.png,0|0|0.9|45,1,,110186
105,玉兔桃花,3478,3479,5,34785,3,10069,999,1,horse13,,,1,35,,,,,,,,,,,,7,horse_img_bg_03.png,0|0|0.9|45,1,,110186
106,玉兔桃花,3478,3479,6,34786,3,10069,999,1,horse13,,,1,35,,,,,,,,,,,,7,horse_img_bg_03.png,0|0|0.9|45,1,,110186
107,玉兔桃花,3478,3479,7,34787,3,10069,999,1,horse13,,,1,35,,,,,,,,,,,,7,horse_img_bg_03.png,0|0|0.9|45,1,,110186
108,玉兔桃花,3478,3479,8,34788,3,10069,999,1,horse13,,,1,35,,,,,,,,,,,,7,horse_img_bg_03.png,0|0|0.9|45,1,,110186
109,玉兔桃花,3478,3479,9,34789,3,10069,999,1,horse13,,,1,35,,,,,,,,,,,,7,horse_img_bg_03.png,0|0|0.9|45,1,,110186
110,皎月仙宫,3478,3480,10,34790,3,10069,999,1,horse13,,,1,35,241,,,,,,,,,2,1,7,horse_img_bg_03.png,0|0|0.9|45,1,,110186
111,,3481,3482,1,3482,3,,600,1,horse14,2,,,37,,,,,1,,,,,,,,,,1,,
112,圣诞坐骑1级圣夜惊喜,3483,3484,1,3484,3,25558,300,1,horse3485,2,解锁道具可通过运营活动获得。,1,38,,,,,,,,,,2,,7,horse_img_bg_03.png,40|20|0|45,1,,110186
113,圣诞坐骑2级圣夜惊喜,3483,3484,2,3485,3,10069,999,1,horse3485,,,1,38,,,,,,,,,,,,7,horse_img_bg_03.png,40|20|0|45,1,,110186
114,圣诞坐骑3级圣夜惊喜,3483,3484,3,34833,3,10069,999,1,horse3485,,,1,38,,,,,,,,,,,,7,horse_img_bg_03.png,40|20|0|45,1,,110186
115,圣诞坐骑4级圣夜惊喜,3483,3484,4,34834,3,10069,999,1,horse3485,,,1,38,,,,,,,,,,,,7,horse_img_bg_03.png,40|20|0|45,1,,110186
116,圣诞坐骑5级圣夜惊喜,3483,3484,5,34835,3,10069,999,1,horse3485,,,1,38,,,,,,,,,,,,7,horse_img_bg_03.png,40|20|0|45,1,,110186
117,圣诞坐骑6级圣夜惊喜,3483,3484,6,34836,3,10069,999,1,horse3485,,,1,38,,,,,,,,,,,,7,horse_img_bg_03.png,40|20|0|45,1,,110186
118,圣诞坐骑7级圣夜惊喜,3483,3484,7,34837,3,10069,999,1,horse3485,,,1,38,,,,,,,,,,,,7,horse_img_bg_03.png,40|20|0|45,1,,110186
119,圣诞坐骑8级圣夜惊喜,3483,3484,8,34838,3,10069,999,1,horse3485,,,1,38,,,,,,,,,,,,7,horse_img_bg_03.png,40|20|0|45,1,,110186
120,圣诞坐骑9级圣夜惊喜,3483,3484,9,34839,3,10069,999,1,horse3485,,,1,38,,,,,,,,,,,,7,horse_img_bg_03.png,40|20|0|45,1,,110186
121,圣诞坐骑10级冰雪传说,3483,3485,10,34840,3,10069,999,1,horse3485,,,1,38,39,248,,,,,,,,2,1,7,horse_img_bg_03.png,40|20|0|45,1,,110186
122,缤纷幻想,3486,3487,1,3487,3,24816,300,1,horse3487,2,解锁道具可在福利商店兑换获得,40,,,,,,,,,,,1,1,4,horse_img_bg_04.png,0|20|1.3|45,1,,
123,福运哞哞,3488,3489,1,3489,3,24817,300,1,horse3489,2,解锁道具可在福利商店兑换获得,41,,,,,,,,,,,1,1,4,horse_img_bg_04.png,20|20|1.3|45,1,,
124,北辰荧火,3490,3491,1,3491,3,25559,300,298,horse3492,2,解锁道具可通过运营活动获得。,1,42,44,,,,,,,,,2,,7,horse_img_bg_03.png,0|40|1.3|45,1,,110186
125,北辰荧火,3490,3491,2,3492,3,10069,999,1,horse3492,,,1,42,44,,,,,,,,,,,7,horse_img_bg_03.png,0|40|1.3|45,1,,110186
126,北辰荧火,3490,3491,3,34903,3,10069,999,1,horse3492,,,1,42,44,,,,,,,,,,,7,horse_img_bg_03.png,0|40|1.3|45,1,,110186
127,北辰荧火,3490,3491,4,34904,3,10069,999,1,horse3492,,,1,42,44,,,,,,,,,,,7,horse_img_bg_03.png,0|40|1.3|45,1,,110186
128,北辰荧火,3490,3491,5,34905,3,10069,999,1,horse3492,,,1,42,44,,,,,,,,,,,7,horse_img_bg_03.png,0|40|1.3|45,1,,110186
129,北辰荧火,3490,3491,6,34906,3,10069,999,1,horse3492,,,1,42,44,,,,,,,,,,,7,horse_img_bg_03.png,0|40|1.3|45,1,,110186
130,北辰荧火,3490,3491,7,34907,3,10069,999,1,horse3492,,,1,42,44,,,,,,,,,,,7,horse_img_bg_03.png,0|40|1.3|45,1,,110186
131,北辰荧火,3490,3491,8,34908,3,10069,999,1,horse3492,,,1,42,44,,,,,,,,,,,7,horse_img_bg_03.png,0|40|1.3|45,1,,110186
132,北辰荧火,3490,3491,9,34909,3,10069,999,1,horse3492,,,1,42,44,,,,,,,,,,,7,horse_img_bg_03.png,0|40|1.3|45,1,,110186
133,浮游山海,3490,3492,10,34910,3,10069,999,1,horse3492,,,1,42,44,241,,,,,,,,2,1,7,horse_img_bg_03.png,0|40|1.3|45,1,,110186
135,莲花1级,3495,3496,1,3496,3,25560,300,1,horse3497,2,解锁道具可通过运营活动获得。,1,47,,,,,,,,,,2,,7,horse_img_bg_04.png,-40|20|1.2|45,1,,110186
136,莲花2级,3495,3496,2,3497,3,10069,999,1,horse3497,,,1,47,,,,,,,,,,,,7,horse_img_bg_04.png,-40|20|1.2|45,1,,110186
137,莲花3级,3495,3496,3,34953,3,10069,999,1,horse3497,,,1,47,,,,,,,,,,,,7,horse_img_bg_04.png,-40|20|1.2|45,1,,110186
138,莲花4级,3495,3496,4,34954,3,10069,999,1,horse3497,,,1,47,,,,,,,,,,,,7,horse_img_bg_04.png,-40|20|1.2|45,1,,110186
139,莲花5级,3495,3496,5,34955,3,10069,999,1,horse3497,,,1,47,,,,,,,,,,,,7,horse_img_bg_04.png,-40|20|1.2|45,1,,110186
140,莲花6级,3495,3496,6,34956,3,10069,999,1,horse3497,,,1,47,,,,,,,,,,,,7,horse_img_bg_04.png,-40|20|1.2|45,1,,110186
141,莲花7级,3495,3496,7,34957,3,10069,999,1,horse3497,,,1,47,,,,,,,,,,,,7,horse_img_bg_04.png,-40|20|1.2|45,1,,110186
142,莲花8级,3495,3496,8,34958,3,10069,999,1,horse3497,,,1,47,,,,,,,,,,,,7,horse_img_bg_04.png,-40|20|1.2|45,1,,110186
143,莲花9级,3495,3496,9,34959,3,10069,999,1,horse3497,,,1,47,,,,,,,,,,,,7,horse_img_bg_04.png,-40|20|1.2|45,1,,110186
144,莲花10级,3495,3497,10,34960,3,10069,999,1,horse3497,,,1,241,,,,,,,,,,2,1,7,horse_img_bg_04.png,0|0|1.2|45,1,,110186
145,九色鹿1级,4500,4501,1,4501,2,10002,30000,298,horse4503,1,解锁道具可在家园活动果实中获得，金果实及普通果实中不投放（适度娱乐理性消费）,,49,,,,,,,,20489,1,,,7,horse_img_bg_04.png,0|-40|1.3|45,1,,110186
146,九色鹿2级,4500,4501,2,4502,3,10069,999,1,horse4503,,,,49,,,,,,,,,,,,7,horse_img_bg_04.png,0|-40|1.3|45,1,,110186
147,九色鹿3级,4500,4501,3,4503,3,10069,999,1,horse4503,,,,49,,,,,,,,,,,,7,horse_img_bg_04.png,0|-40|1.3|45,1,,110186
148,九色鹿4级,4500,4501,4,45004,3,10069,999,1,horse4503,,,,49,,,,,,,,,,,,7,horse_img_bg_04.png,0|-40|1.3|45,1,,110186
149,九色鹿5级,4500,4502,5,45005,3,10069,999,1,horse4503,,,,50,,,,,,,,,,,,7,horse_img_bg_04.png,0|-40|1.3|45,1,,110186
150,九色鹿6级,4500,4502,6,45006,3,10069,999,1,horse4503,,,,50,,,,,,,,,,,,7,horse_img_bg_04.png,0|-40|1.3|45,1,,110186
151,九色鹿7级,4500,4502,7,45007,3,10069,999,1,horse4503,,,,50,,,,,,,,,,,,7,horse_img_bg_04.png,0|-40|1.3|45,1,,110186
152,九色鹿8级,4500,4502,8,45008,3,10069,999,1,horse4503,,,,50,,,,,,,,,,,,7,horse_img_bg_04.png,0|-40|1.3|45,1,,110186
153,九色鹿9级,4500,4502,9,45009,3,10069,999,1,horse4503,,,,50,,,,,,,,,,2,,7,horse_img_bg_04.png,0|-40|1.3|45,1,,110186
154,九色鹿10级,4500,4503,10,45010,3,10069,999,1,horse4503,,,,50,51,248,,,,,,,,2,1,7,horse_img_bg_04.png,0|-40|1.3|45,1,,110186
155,竹蜻蜓1级,4508,4509,1,4509,3,25003,300,1,horse4510,2,解锁道具可在迷你星工场app通过积木块兑换获得,,56,57,,,,,,,,,,1,4,horse_img_bg_04.png,0|-100|1.5|45,1,,
156,南瓜车1级,4504,4505,1,4505,2,10002,30000,498,horse4507,1,购买解锁（适度娱乐理性消费）,,52,,,,,,,,25507,1,,,7,horse_img_bg_04.png,0|40|0|45,1,,110186
157,南瓜车2级,4504,4505,2,4506,3,10069,999,1,horse4507,,,,52,,,,,,,,,,,,7,horse_img_bg_04.png,0|40|0|45,1,,110186
158,南瓜车3级,4504,4505,3,4507,3,10069,999,1,horse4507,,,,52,,,,,,,,,,,,7,horse_img_bg_04.png,0|40|0|45,1,,110186
