任务线id,分类（0=主线，1=支线，2=成就）,名称（成就必填，其他类型当备注，7个中文限定）,描述（成就必填，其他类型当备注）,任务线等级（成就必填，0=无等级，1=铜，2=银，3=金）,"任务列表（任务线包含的任务，索引NewSurviveTaskDef,成就里的所有任务并行）",自动追踪（当前任务线完成时自动追踪的任务线id，多个时按数组依次查找可追踪任务）,默认解锁（0=解锁，1锁定）,解锁类型（0=且，1=或）（默认解锁则该字段无效）,解锁前置任务列表(完成其中任务解锁当前任务线）,默认发现（0=发现，1隐藏）,发现类型（0=且，1=或）（默认发现则该字段无效）,发现前置任务列表（完成其中任务发现当前任务线）
2027,1,野人伙伴支线2,做棒槌,0,[202701],"[2028,2029,2030,2031,2032,2033,1007,1001]",1,0,[203401],1,0,[203401]
2028,1,野人伙伴支线3,救野人,0,"[202801,202802,202803]","[2031,2029,2030,2032,2033,1007,1001]",1,0,[202701],1,0,[202701]
2029,1,野人伙伴支线4,救猎手,0,"[202901,202902,202903]","[2032,2028,,2030,2031,2033,1007,1001]",1,0,[202701],1,0,[202701]
2030,1,野人伙伴支线5,救萌宝,0,"[203001,203002]","[2028,2029,2031,2032,2033,1007,1001]",1,0,[202701],1,0,[202701]
2031,1,野人伙伴支线6,野人守卫分支,0,[203101],"[2029,2032,2033,2028,2030,1007,1001]",1,0,[202801],1,0,[202801]
2032,1,野人伙伴支线7,猎人弓手分支,0,[203201],"[2028,2031,2033,2029,2030,1007,1001]",1,0,[202901],1,0,[202901]
2033,1,野人伙伴支线8,守卫工作区,0,[203301],"[2028,2029,2030,1007,1001]",1,0,"[203101,203201]",1,0,"[203101,203201]"
2035,1,飞艇群支线,飞艇群支线,0,"[203501,203502,203503,203504,203505]","[1004,1005,1006,1015,1007,1008,1009,1010,1011,1012,1013,1014,1001]",0,0,[],1,1,"[100705,203501]"
2038,1,星尘之境-抵达,星尘之境抵达,0,[203506],"[2039,2041]",0,0,[],0,0,[]
2039,1,星尘之境-基础探索,星尘之境基础探索,0,"[203507,203508]","[2040,2041,2042,2045]",1,0,[203506],1,1,[203506]
2040,1,星尘之境-战力提升,星尘之境战力提升,0,"[203511,203512,203513]","[2045,2043,2041]",1,0,[203506],1,1,[203506]
2041,1,星尘之境-蘑菇村,星尘之境蘑菇村支线,0,[203514],"[2043,2042,2045]",1,0,[203506],1,1,[203506]
2042,1,星尘之境-四叶草村,星尘之境四叶草村支线,0,"[203517,203519]","[2044,2040,2045]",1,0,[203506],1,1,[203506]
2043,1,星尘之境-魔法城堡,星尘之境魔法城堡支线,0,"[203520,203521]","[2045,2040,2044]",1,0,[203506],1,1,[203506]
2044,1,星尘之境-宠物驯养,星尘之境宠物驯养支线,0,"[203522,203523,203524]","[2045,2040,2043]",1,0,[203506],1,1,[203506]
2045,1,星尘之境-最终boss,星尘之境最终boss支线,0,"[203525,203526,203527,203528]","[1004,1005,1006,1015,1007,1008,1009,1010,1011,1012,1013,1014,1001]",1,0,[203506],1,1,[203506]
2036,1,丰硕肥料,丰硕肥料教学,0,"[203601,203602]","[1003,1004,1015,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1001]",0,0,[],1,1,"[200102,200401]"
2037,1,符文法术工艺,符文法术制作教学,0,"[203701,203702,203703,203704]","[1004,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1001]",1,0,[100308],1,0,[100308]
3001,2,抵达迷拉星,顺利抵达迷拉星！,1,[300101],[],0,0,[],0,0,[]
3002,2,抵达烈焰星,顺利抵达烈焰星！,1,[300201],[],0,0,[],1,1,[300201]
3003,2,抵达萌眼星,顺利抵达萌眼星！,1,[300301],[],0,0,[],1,1,[300301]
3004,2,烧烤大师,用篝火烤制各种@item_12513#和@item_12496#吧,3,"[300401,300402,300403,300404,300405]",[],0,0,[],1,1,"[300401,100301]"
3005,2,烤鱼大师,用篝火烤制不同的鱼#r需要烤取#r@item_12521##r@item_12705##r@item_12706#,2,"[300501,300502,300503]",[],0,0,[],1,1,"[300403,300501,300502,300503]"
3006,2,烤肉大师,用篝火烤制不同的肉#r需要烤制#r@item_12517##r@item_12519##r@item_12531##r@item_12523##r@item_12608#,2,"[300601,300602,300603,300604,300605]",[],0,0,[],1,1,"[300403,300601,300602,300603,300604,300605]"
3007,2,烹饪大师,用锅烹饪尽可能多的食物#r#r什么食物都可以！,3,"[300701,300702,300703,300704,300705]",[],0,0,[],1,1,"[300701,200203]"
3008,2,定制菜品,用锅烹饪出各式超级美味#r需要烹饪出#r@item_150178##r@item_831##r@item_150166##r@item_12552##r@item_150189##r@item_150184#,2,"[300801,300802,300803,300804,300805,300806]",[],0,0,[],1,1,"[300801,300802,300803,300804,300805,300806,300703]"
3009,2,耕种大师,在耕地里种植尽可能多的作物#r#r什么作物都可以！,3,"[300901,300902,300903,300904,300905]",[],0,0,[],1,1,[200103]
3010,2,坑种大师,在土坑里种植尽可能多的植物#r#r什么花啊、树啊都可以！,3,"[301001,301002,301003,301004,301005]",[],0,0,[],1,1,[200402]
3011,2,蔬菜收集者,种出各类蔬菜,1,"[301101,301102,301103,301104,301105,301106,301107,301108,301109,301110,301111,301112]",[],0,0,[],1,1,"[300903,301101,301102,301103,301104,301105,301106,301107,301108,301109,301110,301111,301112]"
3012,2,水果收集者,种出各类水果,1,"[301201,301202,301203,301204,301205,301206,301207,301208,301209,301210,301211,301212,301213]",[],0,0,[],1,1,"[300903,301201,301202,301203,301204,301205,301206,301207,301208,301209,301210,301211,301212,301213]"
3013,2,树木收集者1,种出各类树木,1,"[301301,301302,301303,301304,301305,301306]",[],0,0,[],1,1,"[301003,301301,301302,301303,301304,301305,301306]"
3014,2,树木收集者2,种出各类树木,1,"[301401,301402,301403,301404,301405,301406]",[],0,0,[],1,1,"[301003,301401,301402,301403,301404,301405,301406]"
3015,2,树木收集者3,种出各类树木,1,"[301501,301502,301503,301504,301505]",[],1,0,[301501],1,1,"[301501,301502,301503,301504,301505]"
3016,2,花卉收集者1,种出各类花卉,1,"[301601,301602,301603,301604,301605]",[],0,0,[],1,1,"[301601,301602,301603,301604,301605,301003]"
3017,2,花卉收集者2,种出各类花卉,1,"[301701,301702,301703,301704,301705]",[],0,0,[],1,1,"[301701,301702,301703,301704,301705,301003]"
3018,2,忘忧草爱好者,种出各种颜色的忘忧草,2,"[301801,301802,301803,301804]",[],0,0,[],1,1,"[301801,301802,301803,301804,301004]"
3019,2,BOSS全制霸,击败所有BOSS，成为迷你最强之人！,3,"[301901,301902,301903,301904,301905,301906]",[],0,0,[],1,1,"[301901,301902,301903,301904,301905,301906]"
3020,2,修理大师,修！修！修！#r我真爱修东西！,3,"[302001,302002,302003,302004,302005]",[],0,0,[],1,1,"[200601,302001,302002,302003,302004,302005]"
3021,2,养殖大师,繁殖尽可能多的动物#r子子孙孙无穷尽也！,3,"[302101,302102,302103,302104,302105]",[],0,0,[],1,1,"[200804,302101,302102,302103,302104,302105]"
3022,2,养殖专家1,繁殖出一些指定的动物,1,"[302201,302202,302203,302204,302205]",[],0,0,[],1,1,"[302103,302201,302202,302203,302204,302205]"
3023,2,养殖专家2,繁殖出一些指定的动物,1,"[302301,302302,302303,302304,302305]",[],0,0,[],1,1,"[302103,302301,302302,302303,302304,302305]"
3024,2,养殖专家3,繁殖出一些指定的动物,1,"[302401,302402,302403,302404]",[],0,0,[],1,1,"[302103,302401,302402,302403,302404]"
3025,2,驯兽大师,驯服尽可能多的动物,3,"[302501,302502,302503,302504,302505]",[],0,0,[],1,1,"[200902,302501,302502,302503,302504,302505]"
3026,2,驯兽专家1,驯服一些指定的动物,1,"[302601,302602,302603,302604]",[],0,0,[],1,1,"[302502,302601,302602,302603,302604]"
3027,2,驯兽专家2,驯服一些指定的动物,1,"[302701,302702,302703,302704]",[],0,0,[],1,1,"[302502,302701,302702,302703,302704]"
3028,2,驯兽专家3,驯服一些指定的动物,1,"[302801,302802,302803,302804]",[],0,0,[],1,1,"[302502,302801,302802,302803,302804]"
3029,2,驯兽专家4,驯服一些指定的动物,1,"[302901,302902,302903,302904]",[],0,0,[],1,1,"[302502,302901,302902,302903,302904]"
3030,2,虚空生物驯兽专家5,驯服所有可以被驯服的虚空生物！,1,"[303001,303002,303003,303004]",[],0,0,[],1,1,"[302503,303001,303002,303003,303004]"
3031,2,野人公敌,战胜尽可能多的野人,3,"[303101,303102,303103,303104,303105]",[],0,0,[],1,1,"[303101,303102,303103,303104,303105]"
3032,2,乐器专家,演奏过所有乐器,1,"[303201,303202,303203,303204,303205,303206]",[],0,0,[],1,1,"[303201,303202,303203,303204,303205,303206]"
3033,2,钓鱼大师,尽可能多的钓鱼,3,"[303301,303302,303303,303304,303305]",[],0,0,[],1,1,"[201502,303301,303302,303303,303304,303305]"
3034,2,鱼竿全收集,收集所有种类的鱼竿,2,"[303401,303402,303403,303404]",[],0,0,[],1,1,"[201501,303401,303402,303403,303404]"
3035,2,钓鱼寻宝,钓到藏宝图！#r快看看藏宝图上标的什么,1,[303501],[],0,0,[],1,1,[303501]
3036,2,呆呆鱼专家,钓到所有的呆呆鱼,2,"[303601,303602,303603,303604,303605,303606]",[],0,0,[],1,1,"[303601,303602,303603,303604,303605,303606]"
3037,2,奇奇鱼专家,钓到所有的奇奇鱼,2,"[303701,303702,303703,303704,303705]",[],0,0,[],1,1,"[303701,303702,303703,303704,303705]"
3038,2,丑丑鱼专家,钓到所有的丑丑鱼,2,"[303801,303802,303803,303804,303805]",[],0,0,[],1,1,"[303801,303802,303803,303804,303805]"
3039,2,小鱼专家,钓到所有小型鱼类,1,"[303901,303902,303903,303904,303905]",[],0,0,[],1,1,"[303901,303902,303903,303904,303905]"
3040,2,大鱼专家,钓到所有大型鱼类,1,"[304001,304002,304003,304004,304005]",[],0,0,[],1,1,"[304001,304002,304003,304004,304005]"
3041,2,垃圾佬,钓到所有奇怪的东西,1,"[304101,304102,304103,304104,304105]",[],0,0,[],1,1,"[304101,304102,304103,304104,304105]"
3042,2,潜水装备专家,制作所有潜水装备,1,"[304201,304202,304203,304204,304205,304206]",[],0,0,[],1,1,"[304201,304202,304203,304204,304205,304206]"
3043,2,变身海灵！,变成海灵守卫,1,[304301],[],0,0,[],1,1,[304301]
3044,2,岛屿探险家,抵达所有类型的岛屿,1,"[304401,304402,304403]",[],0,0,[],1,1,"[201406,6304401,304402,304403]"
3045,2,海上贸易,与海洋里的所有商人交易,1,"[304501,304502,304503]",[],0,0,[],1,1,"[201406,304501,304502,304503]"
3046,2,解决海盗危机,海里全是海盗，渔民都快受不了了，！#r干翻他们,2,"[304601,304602,304603,304604,304605]",[],0,0,[],1,1,"[201406,304601,304602,304603,304604,304605]"
3047,2,头顶鲜花,制作所有类型的花冠,1,"[304701,304702]",[],0,0,[],1,1,"[304701,304702]"
3048,2,召唤沙灵！,使用召唤法杖召唤出一只沙灵守卫,1,[304801],[],0,0,[],1,1,"[201704,304801]"
3049,2,抵御风沙,制作能够抵御沙尘暴的东西,1,"[304901,304902]",[],0,0,[],1,1,"[201704,304901,304902]"
3050,2,沙漠交易,与沙漠里的所有商人进行交易,1,"[305001,305002,305003]",[],0,0,[],1,1,"[201704,305001,305002,305003]"
3051,2,解决蝎子危机,沙漠里到处都是蝎子，村民要受不了了！#r快处理一下！,2,"[305101,305102]",[],0,0,[],1,1,"[201704,305101,305102]"
3052,2,不儿，这也挖？,挖咒岩的时候你不疼吗？,2,[305201],[],0,0,[],1,1,[305201]
3053,2,古代科技,收集埋藏于沙漠地下的古代科技图纸并制作,1,"[305301,305302]",[],0,0,[],1,1,"[201704,305301,305302]"
3054,2,液体收集,将液体尽数收于容器之中#r需要收集到剧毒、水、岩浆、蜂蜜,1,"[305401,305402,305403,305404]",[],0,0,[],1,1,[305401]
3055,2,解冻！,救助尽可能多的被冻住的村民#r别忘了给他们喂香煎兔肉！,2,"[305501,305502,305503]",[],0,0,[],1,1,"[202102,305501,305502,305503]"
3056,2,雪人儿~,激活尽可能多的雪人,2,"[305601,305602,305603]",[],0,0,[],1,1,"[202202,305601,305602,305603]"
3057,2,元素灵公敌,战胜尽可能多的元素灵守卫,3,"[305701,305702,305703,305704,305705]",[],0,0,[],1,1,"[305701,305702,305703,305704,305705]"
3058,2,烈焰星猎人,战胜尽可能多的烈焰星怪物,2,"[305801,305802,305803,305804,305805,305806]",[],0,0,[],1,1,"[202303,305801,305802,305803,305804,305805,305806]"
3059,2,烈焰星特产,在烈焰星挖取各种矿物,2,"[305901,305902,305903,305904,305905,305906]",[],0,0,[],1,1,"[202303,305901,305902,305903,305904,305905,305906]"
3060,2,黑龙特产专家,获得黑龙相关的所有物品,3,"[306001,306002,306003,306004,306005,306006]",[],0,0,[],1,1,"[306001,306002,306003,306004,306005,306006]"
3061,2,萌眼猎人,战胜尽可能多的萌眼叮叮、咚咚、当当、咻咻,3,"[306101,306102,306103,306104,306105]",[],0,0,[],1,1,"[101204,306101,306102,306103,306104,306105]"
3062,2,异星图纸专家,收集所有的异星科技图纸,2,"[306201,306202,306203,306204,306205,306206]",[],0,0,[],1,1,"[306201,306202,306203,306204,306205,306206]"
3063,2,屡败屡战,在每次战败后，重新振作起来,3,"[306301,306302,306303,306304,306305]",[],0,0,[],1,1,"[306301,306302,306303,306304,306305]"
3064,2,迷拉星生存,在迷拉星生存尽可能久,3,"[306401,306402,306403,306404,306405]",[],0,0,[],1,1,"[306401,306402,306403,306404,306405]"
3065,2,烈焰星生存,在烈焰星生存尽可能久,3,"[306501,306502,306503,306504,306505]",[],0,0,[],1,1,"[306501,306502,306503,306504,306505]"
3066,2,萌眼星生存,在萌眼星生存尽可能久,3,"[306601,306602,306603,306604,306605]",[],0,0,[],1,1,"[306601,306602,306603,306604,306605]"
3067,2,狂战士,战胜尽可能多的生物,3,"[306701,306702,306703,306704,306705]",[],0,0,[],1,1,"[306701,306702,306703,306704,306705]"
3068,2,虚空使徒公敌,战胜尽可能多的虚空使徒,3,"[306801,306802,306803,306804,306805]",[],0,0,[],1,1,"[306801,306802,306803,306804,306805]"
3069,2,勘矿大师,挖掘尽可能多的矿物,3,"[306901,306902,306903,306904,306905,306906]",[],0,0,[],1,1,"[306901,306902,306903,306904,306905,306906]"
3070,2,伐木大师,采集尽可能多的木材,3,"[307001,307002,307003,307004,307005,307006]",[],0,0,[],1,1,"[307001,307002,307003,307004,307005,307006]"
3071,2,冶炼大师,冶炼尽可能多的金属,3,"[307101,307102,307103,307104,307105,307106]",[],0,0,[],1,1,"[307101,307102,307103,307104,307105,307106]"
3072,2,手工大师,制作尽可能多的物品,3,"[307201,307202,307203,307204,307205,307206]",[],0,0,[],1,1,"[307201,307202,307203,307204,307205,307206]"
3073,2,干货大师,晾晒获得尽可能多的鱼干或牦牛肉干,3,"[307301,307302,307303,307304,307305]",[],0,0,[],1,1,"[307301,307302,307303,307304,307305]"
3074,2,探索特殊生态,在迷拉星上探索所有的特殊生态,3,"[307401,307402,307403,307404,307405]",[],0,0,[],1,1,"[307401,307402,307403,307404,307405]"
3075,2,法杖专家,收集所有初级法杖,3,"[307501,307502,307503,307504,307505,307506]",[],0,0,[],1,1,"[307501,307502,307503,307504,307505,307506]"
3076,2,高阶法杖专家,收集所有高级法杖,3,"[307601,307602]",[],0,0,[],1,1,"[307601,307602]"
3077,2,皮装备专家,收集所有皮制装备,1,"[307701,307702,307703,307704,307705]",[],0,0,[],1,1,"[307701,307702,307703,307704,307705]"
3078,2,铜装备专家,收集所有铜制装备,1,"[307801,307802,307803,307804]",[],0,0,[],1,1,"[307801,307802,307803,307804]"
3079,2,铁装备专家,收集所有铁制装备,1,"[307901,307902,307903,307904]",[],0,0,[],1,1,"[307901,307902,307903,307904]"
3080,2,铝装备专家,收集所有铝制装备,1,"[308001,308002,308003,308004,308005]",[],0,0,[],1,1,"[308001,308002,308003,308004,308005]"
3081,2,钛装备专家,收集所有钛制装备,2,"[308101,308102,308103,308104]",[],0,0,[],1,1,"[308101,308102,308103,308104]"
3082,2,钴装备专家,收集所有钴制装备,2,"[308201,308202,308203,308204]",[],0,0,[],1,1,"[308201,308202,308203,308204]"
3083,2,钨装备专家,收集所有钨制装备,3,"[308301,308302,308303,308304,308305]",[],0,0,[],1,1,"[308301,308302,308303,308304,308305]"
3084,2,矿镐专家,收集所有镐,1,"[308401,308402,308403,308404,308405,308406]",[],0,0,[],1,1,"[308401,308402,308403,308404,308405,308406]"
3085,2,斧子专家,收集所有斧,1,"[308501,308502,308503,308504]",[],0,0,[],1,1,"[308501,308502,308503,308504]"
3086,2,铲子专家,收集所有铲,1,"[308601,308602,308603,308604,308605]",[],0,0,[],1,1,"[308601,308602,308603,308604,308605]"
3087,2,耙子专家,收集所有耙,1,"[308701,308702,308703,308704,308705]",[],0,0,[],1,1,"[308701,308702,308703,308704,308705]"
3088,2,超级工具专家,收集所有超级工具,2,"[308801,308802,308803]",[],0,0,[],1,1,"[308801,308802,308803]"
3089,2,投掷武器专家,收集所有投掷武器,1,"[308901,308902,308903,308904,308905]",[],0,0,[],1,1,"[308901,308902,308903,308904,308905]"
3090,2,剑专家,收集所有剑,1,"[309001,309002,309003,309004,309005,309006]",[],0,0,[],1,1,"[309001,309002,309003,309004,309005,309006]"
3091,2,远程武器专家,收集所有远程武器,1,"[309101,309102,309103,309104,309105,309106]",[],0,0,[],1,1,"[309101,309102,309103,309104,309105,309106]"
3092,2,钝器专家,收集所有钝器,1,"[309201,309202,309203,309204]",[],0,0,[],1,1,"[309201,309202,309203,309204]"
3093,2,盾牌专家,收集所有盾牌,1,"[309301,309302,309303,309304,309305]",[],0,0,[],1,1,"[309301,309302,309303,309304,309305]"
3094,2,特殊披风专家,收集所有特殊披风,2,"[309401,309402,309403,309404,309405]",[],0,0,[],1,1,"[309401,309402,309403,309404,309405]"
3095,2,调色技术,获得调色板#r将颜料直接怼上去，就能进行调色了，简单粗暴#r调完别忘了用瓶子收集起来,1,[309501],[],0,0,[],1,1,[309501]
3096,2,原色艺术家,收集三原色以及白色颜料,1,"[309601,309602,309603,309604]",[],0,0,[],1,1,"[309501,309601,309602,309603,309604]"
3097,2,混色艺术家1,调和出所有混合颜料,1,"[309701,309702,309703,309704,309705,309706]",[],0,0,[],1,1,"[309604,309701,309702,309703,309704,309705,309706]"
3098,2,混色艺术家2,调和出所有混合颜料,1,"[309801,309802,309803,309804,309805,309806]",[],0,0,[],1,1,"[309604,309801,309802,309803,309804,309805,309806]"
3099,2,混色艺术家3,调和出所有混合颜料,1,"[309901,309902,309903,309904,309905,309906]",[],0,0,[],1,1,"[309604,309901,309902,309903,309904,309905,309906]"
3100,2,混色艺术家4,调和出所有混合颜料,1,"[310001,310002,310003,310004,310005,310006]",[],0,0,[],1,1,"[309604,310001,310002,310003,310004,310005,310006]"
3101,2,BOSS战利品,收集所有boss战利品,3,"[310101,310102,310103,310104,310105]",[],0,0,[],1,1,"[310101,310102,310103,310104,310105,310106]"
3102,2,星能技术专家1,制作所有类型的星能方块,1,"[310201,310202,310203,310204,310205,310206]",[],0,0,[],1,1,"[310201,310202,310203,310204,310205,310206]"
3103,2,星能技术专家2,制作所有类型的星能方块,1,"[310301,310302,310303,310304,310305,310306]",[],0,0,[],1,1,"[310301,310302,310303,310304,310305,310306]"
3104,2,星能技术专家3,制作所有类型的星能方块,1,"[310401,310402,310403,310404,310405,310406]",[],0,0,[],1,1,"[100604,310401,310402,310403,310404,310405,310406]"
3105,2,符文强化大师,尽可能多的进行符文强化,3,"[310501,310502,310503,310504,310505]",[],0,0,[],1,1,"[101502,310501,310502,310503,310504,310505]"
3106,2,满腹经纶,编出属于自己的书,1,[310601],[],0,0,[],1,1,[310601]
3107,2,铁穹指挥官,制作出所有铁穹战车的召唤器,2,"[310701,310702]",[],0,0,[],1,1,"[310701,310702]"
3108,2,符能粉尘收集者,收集尽可能多的符能粉尘,1,"[310801,310802,310803]",[],0,0,[],1,1,[310801]
3109,2,提炼大失败,第一次提炼出无色符能瓶,1,[310901],[],0,0,[],1,1,[310901]
3110,2,真是好东西,第一次获得铭刻稳定剂,1,[311001],[],0,0,[],1,1,[311001]
3111,2,星尘之境成就,星尘之境活动成就,0,"[311002,311003,311004,311005,311006,311007,311008,311009,311010,311011,311012,311013,311014,311015,311016,311017,311018,311019,311020,311021,311022,311023,311024,311025,311026,311027,311028,311029,311030,311031,311032,311033,311034,311035,311036,311037,311038,311039,311040,311041,311042,311043,311044,311045]",[],0,0,[],1,1,"[311002,311003,311004,311005,311006,311007,311008,311009,311010,311011,311012,311013,311014,311015,311016,311017,311018,311019,311020,311021,311022,311023,311024,311025,311027,311028,311029,311030,311031,311032,311033,311034,311035,311036,311037,311038,311039,311040,311041,311042,311043,311044,311045]"
