任务ID,名称,类型（0=主线、1=支线、2=成就、3=科技树）,描述(加上@goal_index#会显示对应任务目标序号的任务计数，使用@item_道具id#添加可查看详情的道具),任务追踪框描述(加上@goal_index#会显示对应任务目标序号的任务计数，使用@item_道具id#添加道具文本，默认颜色#c7bbe3a),任务目标(道具：I_itemID(若使用组则填“IG_道具ID”)、生物：M_monsterID、生态：B_biometypename、星球：P_planet(0=迷拉星，1=烈焰星，2=萌眼星)、T_tunestoneEnchantType，0代表任意),奖励（成就型任务只读取index=1的奖励）,奖励发放类型(1=自动发放 2=手动领取),任务icon(填写“id”，获取显示对应item的图标，填写“#id”表示使用生物头像，路径：Assetruntime\Assets\Resources\ui\roles),指引图片(读取Assetruntime\Assets\Resources\ui\survivetaskguide目录下的文件名),继承存量已完成任务id,条件记录方式（科技树专用）,能否预完成（0=允许，1=不允许）,是否上报服务器（0=不上报，1=上报）,上报参数1,上报参数2
100208,简单照明,0,"[
{
""String"" : ""在夜晚来临之前，最好先把周围照亮#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""在黑暗中行动是极其危险的！#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""@item_298#是我们生存初期非常重要的光照来源#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""需要制作@item_298#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""制作获得"",
""@item_298#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_298"",
""GoalNum"" : 8
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 11226,
""RewardNum"" : 5
}
]",1,298,100208,[1002010],0,,0,,
100209,彻夜陪伴,0,"[
{
""String"" : ""@item_298#的燃烧时间并没有那么理想#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""可以拿@item_298#去点燃@item_1200#@goal_1#·#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""#r@item_1200#不但可以烧得更久，还能用来烹饪一些简单食物#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""还记得我们刚来的地方附近有个小房子么，里面就有一个现成的@item_1200#"",
""UnlockTaskId"" : 0,
}
]","[
""用@item_298#"",
""点燃@item_1200#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 17,
""GoalID1"" : ""I_298"",
""GoalID2"" : ""I_1200"",
""GoalNum"" : 1
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 298,
""RewardNum"" : 3
}
]",1,1200,100209,[1002010],0,,0,,
100210,求生必备,0,"[
{
""String"" : ""夜晚会唤醒#ca18be9邪恶的力量#n。#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""以我们当前的物资量很难在黑夜中向外探索#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""先在@item_797#制作@item_828#@goal_1#吧#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""铺好睡袋，准备睡觉"",
""UnlockTaskId"" : 0,
}
]","[
""在@item_797#中制作获得"",
""@item_828#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_828"",
""GoalNum"" : 1
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 11307,
""RewardNum"" : 3
}
]",1,828,100210,[1002014],0,,0,,
100211,安详入睡,0,"[
{
""String"" : ""#c7bbe3a睡一觉吧#n，跳过夜晚可以省很多事#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""点击@item_828#钻入被窝睡一觉#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""#c7bbe3a切记！周围有怪物的话，是睡不着的！#n"",
""UnlockTaskId"" : 0,
}
]","[
""钻入@item_828#睡一觉吧""
]","[
{
""Index"" : 1,
""Type"" : 17,
""GoalID1"" : 0,
""GoalID2"" : ""I_828,I_582,I_883,I_884,I_885"",
""GoalNum"" : 1
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 50
}
]",1,828,100211,[1002014],0,,0,,
100301,初识烹饪,0,"[
{
""String"" : ""睡一觉完饿了吗？是时候补充#c7bbe3a体力#n了#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""肉是一个不错的体力来源#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""将任意@item_12513#放在@item_1200#上烤制一段时间，就可以获得@item_12514#·#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""尝试烤@item_12513#@goal_1#"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""烤完记得吃@item_12514#@goal_2#"",
""UnlockTaskId"" : 0,
}
]","[
""使用@item_1200#烤制获得任意@item_12514#@goal_1#"",
""再食用@item_12514#@goal_2#""
]","[
{
""Index"" : 1,
""Type"" : 20,
""GoalID1"" : ""I_12517,I_12519,I_12523,I_12531,I_12533,I_12536,I_12608,I_12521,I_12705,I_12706,I_12742,I_12747,I_14013,I_14015"",
""GoalNum"" : 1
},
{
""Index"" : 2,
""Type"" : 7,
""GoalID1"" : ""I_12517,I_12519,I_12523,I_12531,I_12533,I_12536,I_12608,I_12521,I_12705,I_12706,I_12742,I_12747,I_14013,I_14015"",
""GoalNum"" : 1
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 12523,
""RewardNum"" : 5
}
]",1,12523,100301,[1003002],0,,0,,
100302,下矿准备,0,"[
{
""String"" : ""想要进一步发展，#c7bbe3a矿物#n是必须的#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""在下矿之前，除了#c7bbe3a食物#n和#c7bbe3a光源#n，还需准备一些必要物资#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""打开#c7bbe3a背包#n或是使用@item_797#·#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""制作@item_11012#@goal_1#和@item_11022#@goal_2#·#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""@item_11012#可以加快矿石的挖掘速度#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""@item_11022#可以让你挖土更快"",
""UnlockTaskId"" : 0,
}
]","[
""制作获得以下工具"",
""@item_11012#@goal_1#"",
""@item_11022#@goal_2#""
]","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11012"",
""GoalNum"" : 1
},
{
""Index"" : 2,
""Type"" : 3,
""GoalID1"" : ""I_11022"",
""GoalNum"" : 1
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 11323,
""RewardNum"" : 5
},
{
""Index"" : 2,
""RewardType"" : 0,
""RewardID"" : 11627,
""RewardNum"" : 5
}
]",1,11012,100302,[1003003],0,,0,,
100303,新手矿工,0,"[
{
""String"" : ""万事俱备，该向下深入啦！#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""初次下矿需要采集这些矿物#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""@item_402#@goal_1#"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""@item_451#@goal_2#"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""@item_104#@goal_3#·#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""这些都是科技发展必不可少的矿物，今后将大量使用#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""#c7bbe3a需要注意一下#n，@item_402#和@item_451#在接近地表的岩层分布较多，越往深处挖掘数量会逐渐减少，所以尽量在地下浅层寻找"",
""UnlockTaskId"" : 0,
}
]","[
""在#c7bbe3a地下浅层#n矿藏中采集以下矿物"",
""@item_402#@goal_1#"",
""@item_451#@goal_2#"",
""@item_104#@goal_3#""
]","[
{
""Index"" : 1,
""Type"" : 2,
""GoalID1"" : ""I_402"",
""GoalNum"" : 3
},
{
""Index"" : 2,
""Type"" : 2,
""GoalID1"" : ""I_451"",
""GoalNum"" : 3
},
{
""Index"" : 3,
""Type"" : 2,
""GoalID1"" : ""I_104"",
""GoalNum"" : 10
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 11201,
""RewardNum"" : 5
},
{
""Index"" : 2,
""RewardType"" : 0,
""RewardID"" : 11226,
""RewardNum"" : 5
},
{
""Index"" : 3,
""RewardType"" : 0,
""RewardID"" : 101,
""RewardNum"" : 10
}
]",1,402,100303,[1003005],0,,0,,
100304,光源升级,0,"[
{
""String"" : ""#c7bbe3a小火炬#n的弊端想必已经凸显出来了#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""想要在矿洞里更安全地采集，我们需要更加稳定的光源#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""使用@item_11201#制作@item_150018#@goal_1#吧"",
""UnlockTaskId"" : 0,
}
]","[
""制作获得"",
""@item_150018#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_150018"",
""GoalNum"" : 4
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 11226,
""RewardNum"" : 3
}
]",1,150018,100304,[1003006],0,,0,,
100305,冶炼台制作者,0,"[
{
""String"" : ""#c7bbe3a矿物原块#n是没法直接使用的，需要#c7bbe3a冶炼#n成对应的金属棒才能正常应用#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""先去@item_797#制作@item_802#@goal_1#吧#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""在#c7bbe3a生产#n页签下的#c7bbe3a冶炼台#n分类中就能找到@item_802#了"",
""UnlockTaskId"" : 0,
}
]","[
""制作获得"",
""@item_802#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_802"",
""GoalNum"" : 1
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 451,
""RewardNum"" : 3
}
]",1,802,100305,[1003006],0,,0,,
100306,金属冶炼：黄铜,0,"[
{
""String"" : ""冶炼金属的准备工作都已完成#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""把@item_802#方块放到地上，点击打开#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""将#c7bbe3a燃料#n和想要冶炼的#c7bbe3a矿物原块#n放进去就可以开始冶炼了#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""先尝试用@item_11201#冶炼@item_451#@goal_1#吧"",
""UnlockTaskId"" : 0,
}
]","[
""在@item_802#中冶炼"",
""@item_451#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 5,
""GoalID1"" : ""I_11329"",
""GoalNum"" : 3
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 50
}
]",1,11329,100306,[1003007],0,,0,,
100307,工具升级,0,"[
{
""String"" : ""现在我们已经有纯度较高的#c7bbe3a黄铜#n了#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""先升级一下镐吧!#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""用@item_11329#和@item_11323#制作@item_11011#@goal_1#·#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""#r有了@item_11011#，挖矿速度可不能同日而语了！"",
""UnlockTaskId"" : 0,
}
]
","[
""制作获得"",
""@item_11011#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11011"",
""GoalNum"" : 1
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 11329,
""RewardNum"" : 2
}
]",1,11011,100307,[1003008],0,,0,,
100308,在此，重新开始,0,"[
{
""String"" : ""现在我们只是发展到黄铜阶段，当我们发现新的矿物后就可以进一步提升#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""接下来是向外探索的最后一步准备工作#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""当我们因为#c7bbe3a血量#n不足而被击败时，会被传送回#c7bbe3a重生点#n#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""想要改变重生点的坐标，就必须向#c7bbe3a星星#n祈祷#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""@item_596#是祈祷的媒介，献上星星，向“它”祈祷吧#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""用@item_104#制作并放置@item_596#@goal_1#"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""#r点击@item_596#献上星星@goal_2#进行祈祷"",
""UnlockTaskId"" : 0,
}
]","[
""制作并放置"",
""@item_596#@goal_1#"",
""随后点击#c7bbe3a石像#n"",
""献上星星@goal_2#""
]","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_596"",
""GoalNum"" : 1
},
{
""Index"" : 2,
""Type"" : 13,
""GoalID1"" : ""I_596"",
""GoalNum"" : 1
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 50
}
]",1,596,100308,[1004016],0,,0,,
100401,中级矿工,0,"[
{
""String"" : ""#c7bbe3a黄铜#n的强度毕竟有限，我们需要获得更坚固的材料#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""这次需要更加深入地下，做好准备就出发吧！#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""这次下矿需要采集这些矿物#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""@item_401#@goal_1#·#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""#c7bbe3a需要注意一下，铁矿处于比铜矿更深一些的位置，但也不能太深#n"",
""UnlockTaskId"" : 0,
}
]","[
""在#c7bbe3a地下中上层#n矿藏中采集以下矿物"",
""@item_401#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 2,
""GoalID1"" : ""I_401"",
""GoalNum"" : 3
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 401,
""RewardNum"" : 3
}
]",1,401,100401,[1005008],0,,0,,
100402,金属冶炼：铁,0,"[
{
""String"" : ""把采集到的@item_401#放入#c7bbe3a冶炼台#n吧#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""冶炼获得@item_11209#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""在@item_802#中冶炼"",
""@item_401#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 5,
""GoalID1"" : ""I_11209"",
""GoalNum"" : 3
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 50
}
]",1,11209,100402,[1005009],0,,0,,
100403,铁制工具,0,"[
{
""String"" : ""用@item_11209#升级一下如下工具吧！#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""@item_11013#@goal_1#"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""@item_12003#@goal_2#"",
""UnlockTaskId"" : 0,
}
]","[
""制作获得"",
""@item_11013#@goal_1#"",
""@item_12003#@goal_2#""
]","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11013"",
""GoalNum"" : 1
},
{
""Index"" : 2,
""Type"" : 3,
""GoalID1"" : ""I_12003"",
""GoalNum"" : 1
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 11209,
""RewardNum"" : 3
},
{
""Index"" : 2,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 50
}
]",1,11013,100403,[1005010],0,,0,,
100404,铁制装备,0,"[
{
""String"" : ""也趁机升级一下装备吧，老的装备强度有点不够看了#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""制作并穿戴任意#c7bbe3a铁制装备#n@goal_1#吧#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""@item_12221#、@item_12222#"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""@item_12223#、@item_12224#·#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""都可以"",
""UnlockTaskId"" : 0,
}
]","[
""制作并穿戴"",
""任意#c7bbe3a铁制装备#n@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 34,
""GoalID1"" : ""I_12221,I_12222,I_12223,I_12224"",
""GoalNum"" : 1
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 11209,
""RewardNum"" : 3
}
]",1,12221,100404,[],0,,0,,
100405,机械技术入门,0,"[
{
""String"" : ""铁除了可以用来制作更强力的武器和装备#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""还可以用来制作一些更先进的功能方块#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""是时候尝试一下#c7bbe3a机械技术#n了#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""制作@item_150730#@goal_1#·#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""这是我们用到的第一个#c7bbe3a机械动力源#n·#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""深入接触这一系统，会发现很多新奇的东西"",
""UnlockTaskId"" : 0,
}
]","[
""制作获得"",
""@item_150730#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_150730"",
""GoalNum"" : 1
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 50
}
]",1,150730,100405,[],0,,0,,
100501,高级矿工,0,"[
{
""String"" : ""我们需要获得更坚固的材料#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""这次需要更加深入地下，做好准备就出发吧！#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""这次下矿需要采集这些矿物#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""@item_175#@goal_1#·#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""#c7bbe3a注意一下，铝矿处于较深的位置，但离基岩层还是有一定距离#n"",
""UnlockTaskId"" : 0,
}
]","[
""在#c7bbe3a地下中下层#n矿藏中采集以下矿物"",
""@item_175#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 2,
""GoalID1"" : ""I_175"",
""GoalNum"" : 3
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 175,
""RewardNum"" : 3
}
]",1,175,100501,[],0,,0,,
