组件ID,组件名字,备注,组件图标,组件所属类型（实体 0 ， 生物 1， 角色2， 世界 3，空对象4，方块5，UI6，道具7，状态8，配方11，熔炼13）,选择器组件一级分类(1基础 2玩法 3效果 4自定义),选择器组件二级分类（1通用 2物理）,组件LUA文件,排序ID,组件编辑类型（0 = 开发者不可访问的脚本 （实例化的组件，但通过接口获取获取不到） ， 1=官方触发器（可查看触发器实现），2=官方内部脚本（不可查看代码），3=官方外部脚本(可查看代码） ，101=开发者脚本，102，开发者触发器，103=开发者lua）,手动添加组件时能否增删（0=不可增删 1=可增删   仅影响选择器，实际运行时是可以动态添加）,预置上的属性界面分类 1 基础 2 玩法 3 行为 4 世界 5 规则 6 界面 7 数据,运行时权限（0|0=第一位代表是否能动态增删，第二位代表能否动态访问、执行指令 1|0会被识别成0|0）,组件支持运行的环境：第一位代表编辑模式，第二位代表运行模式（创造、冒险都属于运行模式）,组件属性可见范围    0、1、空=全部可见， 2=全部不可见  ，3=999渠道可见，4=白名单内用户可见（版本号Component_ShowRange）
78000121,1053,生存组件,icons_component/survive,2,1,1,SurviveComponent,68,2,1,2,0|1,,
78000122,9409500,城镇组件,icons_component/city,3,1,1,CityGen,69,2,1,4,0|1,,
78000123,9410100,箱子组件,icons_component/box,5,1,1,BoxRefresh,70,2,1,2,0|0,,
78000124,9410201,生成建筑,icons_component/city,3,1,1,WorldRuleBuildingGen,71,2,1,4,0|0,,
78000125,9411001,随机外观,icons_component/avatar,1,1,1,MobOutfitGen,72,2,1,1,1|1,1|1,3
78000126,9411004,标签,icons_component/Tag,"0,1,2,5,7,8,11,13",1,1,Tag,73,2,1,1,1|1,1|1,
78000127,9411023,作物,icons_component/block,5,1,1,Cropblock,74,2,1,2,0|0,1|1,3
78000128,307365,模组设置,icons_component/modSettings,3,1,1,WorldRuleModImportSetting,75,2,0,5,0|0,,
78000129,9411006,村庄,icons_component/city,5,1,1,VillageArea,76,2,1,2,0|0,,3
78000130,9411007,坐卧家具,icons_component/block,5,1,1,SitAndLie,77,2,1,2,0|0,1|1,3
78000131,9411008,储物箱,icons_component/block,5,1,1,Chest,78,2,1,2,0|0,1|1,3
78000132,9411009,灯光,icons_component/block,5,1,1,LightingFurniture,79,2,1,2,0|0,1|1,3
78000133,9411010,常规门,icons_component/block,5,1,1,Door,80,2,1,2,0|0,1|1,3
78000134,9411011,栅栏门,icons_component/block,5,1,1,DoorFence,81,2,1,2,0|0,1|1,3
78000135,9411012,窗户,icons_component/block,5,1,1,Window,82,2,1,2,0|0,1|1,3
78000136,9411013,花盆,icons_component/block,5,1,1,FlowerPot,83,2,1,2,0|0,1|1,3
78000137,9411014,横向拼接,icons_component/block,5,1,1,HorizontalConnection,84,2,1,2,0|0,1|1,3
78000138,9411015,纵向拼接,icons_component/block,5,1,1,VerticalConnection,85,2,1,2,0|0,1|1,3
78000139,9411016,方块堆叠组件,icons_component/block,5,1,1,BlockStackingComp,86,2,1,2,0|0,1|1,3
78000140,9411017,食物展示容器组件,icons_component/block,5,1,1,FoodDisplayComp,87,2,1,2,0|0,1|1,3
78000141,9411018,食物方块食用组件,icons_component/block,5,1,1,BlockEatComp,88,2,1,2,0|0,1|1,3
78000142,9411019,方块状态组件,icons_component/block,5,1,1,BlockStateEdit,89,2,1,2,0|0,,3
78000143,9411020,商人商店组件,icons_component/item,1,1,1,NPCShop,90,2,1,2,0|0,,3
78000144,9411021,子模型组件,icons_component/block,5,1,1,BlockSubMeshEdit,91,2,1,2,0|0,,3
78000145,9411022,攀藤架组件,icons_component/block,5,1,1,TrellisBlock,92,2,1,2,0|0,1|1,3
78000146,9411023,切换子模型组件,icons_component/block,5,1,1,ChangeSubMesh,93,2,1,2,0|0,1|1,3
78000147,9411101,生物刷新,icons_component/block,5,2,1,GenerateBlock,94,2,1,2,0|0,1|1,3
78000148,9411102,种植,icons_component/block,1,2,1,Plant,95,2,1,2,1|1,0|1,3
78000149,9411024,洒水器组件,icons_component/block,5,1,1,AutoSprinklerBlock,96,2,1,2,0|0,1|1,3
78000150,9411025,随机装扮,icons_component/avatar,1,1,1,RandOutfit,97,2,1,1,1|1,1|1,3
78000151,9411103,手持特效组件,icons_component/effect,"7,5",1,1,ItemEffect,98,2,1,1,0|0,1|1,
78000153,9411105,放置特效组件,icons_component/effect,5,1,1,BlockPlaceEffect,99,2,1,1,0|0,1|1,3
78000154,301396,背包展示平台标签,icons_component/openingSettings,3,1,1,WorldRuleBackPackPlatformTab,100,2,1,5,0|1,,
78000155,9411106,生物版本清除,icons_component/openingSettings,1,2,1,StayVersion,101,2,1,1,1|1,1|1,3
78000156,9411026,铭刻台组件,icons_component/block,5,1,1,InscriptionTable,102,2,1,2,0|0,1|1,3
78000157,9411160,贴图切换组件,icons_component/block,1,1,1,TextureSwitcher,103,2,1,2,1|1,1|1,3
78000158,9411170,魔法扫帚飞行组件,icons_component/ride,1,1,1,BroomFly,56,2,1,2,1|0,1|1,3
78000159,300581,高级运动器,icons_component/motion,0,1,1,MotionGroup,104,2,1,2,1|1,,2
78000160,9416177,相机设置,icons_component/openingSettings,3,1,1,WorldRuleCameraSetting,102,2,1,5,0|1,,
78000161,8502,技能,icons_component/status,"1,2",1,1,Skill,24,2,0,0,0|0,1|1,0
78000162,9411171,流星雨组件,icons_component/openingSettings,19,1,1,PlanetMeteorShower,105,2,1,4,0|1,1|1,3
78000163,9411172,流星方块组件,icons_component/block,5,2,1,MeteorBlock,106,2,1,2,0|0,1|1,3
78000164,9411173,流星神像组件,icons_component/block,5,2,1,MeteorStatueBlock,107,2,1,2,0|0,1|1,3
78000165,300948,植物碰撞发光,icons_component/block,5,2,1,CollideGlowBlock,108,2,1,2,0|0,1|1,3
78000166,300949,坠落弹跳,icons_component/block,5,2,1,BouncePad,109,2,1,2,0|0,1|1,3
78000167,300950,方块召唤生物,icons_component/block,5,2,1,SummonMobBlock,110,2,1,2,0|0,1|1,3
78000168,300951,放置随机模型,icons_component/block,5,2,1,RandomModelBlock,111,2,1,2,0|0,1|1,3
78000169,300952,交互方块添加BUFF,icons_component/block,5,2,1,SkillTrapBlock,112,2,1,2,0|0,1|1,3
78000170,300953,放置时模型变化,icons_component/block,5,2,1,FaceSubMeshBlock,113,2,1,2,0|0,1|1,3
78000171,300954,踩中音乐方块,icons_component/block,5,2,1,StepMusicBlock,114,2,1,2,0|0,1|1,3
78000172,300955,随机宝箱,icons_component/block,5,2,1,RandomChestBlock,115,2,1,2,0|0,1|1,3
78000173,300956,方块动画,icons_component/block,5,2,1,BlockAnimComp,116,2,1,2,0|0,1|1,3
78000174,9405001,人型Boss过渡演出,icons_component/motion,1,1,1,HumanoidTransition,56,2,1,2,1|0,1|1,3
78000175,9405023,巨型Boss过渡演出,icons_component/motion,1,1,1,GiantBossTransition,57,2,1,2,1|0,1|1,3
78000176,9416300,生物编组组件,icons_component/motion,1,1,1,BossGroup,58,2,1,2,1|1,1|1,3
78000177,9417000,地形寻找组件,icons_component/block,1,2,1,TerrainFinder,59,2,1,2,1|1,0|1,3
78000178,309967,星球基础配置,icons_component/openingSettings,19,1,1,PlanetBaseSetting,116,2,0,4,0|0,1|1,0
78000179,309968,星球站点配置,icons_component/openingSettings,19,1,1,PlanetStationSetting,117,2,0,4,0|0,1|1,0
78000180,305400,星球基础环境,icons_component/basicEnvironment,19,1,1,PlanetBaseEnvSetting,118,2,0,4,0|1,1|1,0
78000181,15384,星球环境配置,icons_component/basicEnvironment,19,1,1,PlanetEnvironmentSetting,119,2,0,4,0|1,1|1,0
78000182,305403,星球声音配置,icons_component/sound,19,1,1,PlanetSoundSetting,120,2,0,4,0|1,1|1,0
78000187,305448,星球特殊设定,icons_component/openingSettings,19,1,1,PlanetRule,121,2,0,4,0|1,1|1,0
78000183,300957,同类方块换贴图,icons_component/block,,2,1,BlockTextureSwitch,121,2,1,2,0|0,1|1,3
78000184,300958,顶侧放置随机,icons_component/block,5,2,1,AttachModelBlock,122,2,1,2,0|0,1|1,3
78000185,9411175,星球极光配置,icons_component/basicEnvironment,19,1,1,PlanetAurora,122,2,1,4,0|0,1|1,0
78000186,300959,新斜板拼接组件,icons_component/block,5,2,1,ShapeStitch,123,2,1,2,0|0,1|1,3
