iD,备注（坐骑必须配置两个，服务器解锁用0级，客户端商店用1级）,被骑时高度,存档界面显示放缩,商城界面显示放缩,最小生命,最大生命,最小陆地速度,最大陆地速度,最小飞行速度,最大飞行速度,最小游泳速度,最大游泳速度,最小跳跃高度,最大跳跃高度,坐骑蛋ID,下蛋时间(刻),骑乘切换背视角,子模型显示（原鞍使用模型）,天生装备鞍,天生装备铠甲,铠甲栏位概率,天生技能1（1孵化蛋，2蓄力期间加速，3水上行走，4超级跳跃，5滑翔，6岩浆行走，7奔腾）,天生技能2（同天生技能1）,天生技能3（同天生技能1）,天生技能4（同天生技能1）,天生技能5（同天生技能1）,天生技能6（同天生技能1）,坐骑类型(1=变形关联坐骑2=驯服类坐骑3=解锁坐骑),骑乘绑点ID,"个人中心界面位置调整（基准位置-260, 20, -150）",,加速特效名称,食物,骑乘坐姿（0坐，1站）,变色
3435,敏捷小飞鼠,290,0.7,,200,200,810,810,,,,,180,180,951,108000,,2,12273,,100,4,,,,,,3,,"-300, 20, -150",,,12503,,
34333,敏捷小飞鼠,290,0.7,,200,200,820,820,,,,,180,180,951,108000,,2,12273,,100,4,,,,,,3,,"-300, 20, -150",,,12503,,
34334,敏捷小飞鼠,290,0.7,,200,200,830,830,,,,,180,180,951,108000,,2,12273,,100,4,,,,,,3,,"-300, 20, -150",,,12503,,
34335,敏捷小飞鼠,290,0.7,,200,200,840,840,,,,,190,190,951,108000,,2,12273,,100,4,,,,,,3,,"-300, 20, -150",,,12503,,
34336,敏捷小飞鼠,290,0.7,,200,200,850,850,,,,,190,190,951,108000,,2,12273,,100,4,,,,,,3,,"-300, 20, -150",,,12503,,
34337,敏捷小飞鼠,290,0.7,,200,200,860,860,,,,,190,190,951,108000,,2,12273,,100,4,,,,,,3,,"-300, 20, -150",,,12503,,
34338,敏捷小飞鼠,290,0.7,,200,200,870,870,,,,,190,190,951,108000,,2,12273,,100,4,,,,,,3,,"-300, 20, -150",,,12503,,
34339,敏捷小飞鼠,290,0.7,,200,200,880,880,,,,,190,190,951,108000,,2,12273,,100,4,,,,,,3,,"-300, 20, -150",,,12503,,
34340,机灵小飞鼠,290,0.7,,200,200,900,900,1200,1200,,,200,200,951,72000,,3,12273,12274,100,4,5,,,,,3,,"-300, 20, -150",,,12503,,
3436,普通麒麟,290,0.7,,200,200,700,700,,,,,80,80,,,,1,11810,,1,,,,,,,3,,,,,11211,,
3437,麒麟,290,0.7,,200,200,1000,1000,,,,,120,120,952,108000,,2,12273,,100,6,,,,,,3,,,,,11211,,
3438,麒麟,290,0.7,,200,200,1010,1010,,,,,120,120,952,108000,,2,12273,,100,6,,,,,,3,,,,,11211,,
34363,麒麟,290,0.7,,200,200,1020,1020,,,,,120,120,952,108000,,2,12273,,100,6,,,,,,3,,,,,11211,,
34364,麒麟,290,0.7,,200,200,1030,1030,,,,,120,120,952,108000,,2,12273,,100,6,,,,,,3,,,,,11211,,
34365,麒麟,290,0.7,,200,200,1040,1040,,,,,130,130,952,108000,,2,12273,,100,6,,,,,,3,,,,,11211,,
34366,麒麟,290,0.7,,200,200,1050,1050,,,,,130,130,952,108000,,2,12273,,100,6,,,,,,3,,,,,11211,,
34367,麒麟,290,0.7,,200,200,1060,1060,,,,,130,130,952,108000,,2,12273,,100,6,,,,,,3,,,,,11211,,
34368,麒麟,290,0.7,,200,200,1070,1070,,,,,130,130,952,108000,,2,12273,,100,6,,,,,,3,,,,,11211,,
34369,麒麟,290,0.7,,200,200,1080,1080,,,,,130,130,952,108000,,2,12273,,100,6,,,,,,3,,,,,11211,,
34370,祥瑞麒麟,290,0.7,,200,200,1100,1100,,,,,130,130,952,72000,,3,12273,12274,100,6,7,,,,,3,,,,,11211,,
3439,陆行鸟,290,0.55,,200,200,700,700,,,,,80,80,,,,1,11810,,1,,,,,,,3,,,,,241,,
3440,大陆行鸟,290,0.55,,200,200,1000,1000,,,,,120,120,953,108000,,2,11810,,100,9,,,,,,3,,,,,241,,
3442,小白象,290,0.7,,160,160,500,500,,,,,60,60,,,,1,11810,,1,,,,,,,3,,"-280, 20, -150",,,228,,
3443,迷你小白象,290,0.7,,200,200,800,800,,,,,90,90,954,108000,,2,11810,,100,,,,,,,3,,"-280, 20, -150",,,228,,
3444,迷你小白象,290,0.7,,205,205,810,810,,,,,90,90,954,108000,,2,11810,,100,,,,,,,3,,"-280, 20, -150",,,228,,
34423,迷你小白象,290,0.7,,210,210,820,820,,,,,90,90,954,108000,,2,11810,,100,,,,,,,3,,"-280, 20, -150",,,228,,
34424,迷你小白象,290,0.7,,215,215,830,830,,,,,90,90,954,108000,,2,11810,,100,,,,,,,3,,"-280, 20, -150",,,228,,
34425,迷你小白象,290,0.7,,220,220,840,840,,,,,90,90,954,108000,,2,11810,,100,,,,,,,3,,"-280, 20, -150",,,228,,
34426,迷你小白象,290,0.7,,225,225,850,850,,,,,90,90,954,108000,,2,11810,,100,,,,,,,3,,"-280, 20, -150",,,228,,
34427,迷你小白象,290,0.7,,230,230,860,860,,,,,90,90,954,108000,,2,11810,,100,,,,,,,3,,"-280, 20, -150",,,228,,
34428,迷你小白象,290,0.7,,235,235,870,870,,,,,90,90,954,108000,,2,11810,,100,,,,,,,3,,"-280, 20, -150",,,228,,
34429,迷你小白象,290,0.7,,240,240,880,880,,,,,90,90,954,108000,,2,11810,,100,,,,,,,3,,"-280, 20, -150",,,228,,
34430,盛典小白象,290,0.7,,260,260,900,900,,,,,100,100,954,72000,,3,11810,,100,11,,,,,,3,,"-280, 20, -150",,,228,,
3445,海豹水手,290,0.6,,160,160,300,300,,,400,450,40,40,,,,1,11810,,1,12,,,,,,3,,"-300, 20, -150",,,12520,,
3446,海豹船长,290,0.6,,200,200,600,600,,,550,550,60,60,955,108000,,2,12273,,100,13,,,,,,3,,"-300, 20, -150",,,12520,,
3447,海豹船长,290,0.6,,200,200,610,610,,,550,550,60,60,955,108000,,2,12273,,100,13,,,,,,3,,"-300, 20, -150",,,12520,,
34453,海豹船长,290,0.6,,200,200,620,620,,,550,550,60,60,955,108000,,2,12273,,100,13,,,,,,3,,"-300, 20, -150",,,12520,,
34454,海豹船长,290,0.6,,200,200,630,630,,,550,550,60,60,955,108000,,2,12273,,100,13,,,,,,3,,"-300, 20, -150",,,12520,,
34455,海豹船长,290,0.6,,200,200,640,640,,,550,550,80,80,955,108000,,2,12273,,100,13,,,,,,3,,"-300, 20, -150",,,12520,,
34456,海豹船长,290,0.6,,200,200,650,650,,,550,550,80,80,955,108000,,2,12273,,100,13,,,,,,3,,"-300, 20, -150",,,12520,,
34457,海豹船长,290,0.6,,200,200,660,660,,,550,550,80,80,955,108000,,2,12273,,100,13,,,,,,3,,"-300, 20, -150",,,12520,,
34458,海豹船长,290,0.6,,200,200,670,670,,,550,550,80,80,955,108000,,2,12273,,100,13,,,,,,3,,"-300, 20, -150",,,12520,,
34459,海豹船长,290,0.6,,200,200,680,680,,,550,550,80,80,955,108000,,2,12273,,100,13,,,,,,3,,"-300, 20, -150",,,12520,,
34460,超能海豹,290,0.6,,200,200,700,700,,,700,700,80,80,955,72000,,3,12273,12274,100,13,14,,,,,3,,"-300, 20, -150",,,12520,,
3448,擎天柱0级,190,0.55,,100,100,1000,1000,,,,,80,80,,,,,,,,,,,,,,1,,,,,,,
3449,擎天柱,190,0.55,,100,100,2000,2000,,,,,80,80,,,,,,,,15,,,,,,1,,,,,,,
3450,威震天0级,190,0.55,,100,100,1000,1000,,,,,80,80,,,,,,,,,,,,,,1,,,,,,,
3451,威震天,190,0.55,,100,100,2000,2000,,,,,80,80,,,,,,,,16,,,,,,1,,,,,,,
3452,大黄蜂0级,190,0.55,,100,100,1000,1000,,,,,70,70,,,,,,,,,,,,,,1,,,,,,,
3453,大黄蜂,190,0.55,,100,100,2000,2000,,,,,70,70,,,,,,,,17,,,,,,1,,,,,,,
3454,猫咪0级,290,0.7,,160,160,500,500,,,,,70,70,,,,1,11810,,1,,,,,,,3,,"-280, 20, -150",,,12521,,
3455,猫咪1级,290,0.7,,180,180,800,800,,,,,100,100,956,108000,,2,12273,,100,18,,,,,,3,,"-280, 20, -150",,,12521,,
3456,猫咪2级,290,0.7,,180,180,820,820,,,,,100,100,956,108000,,2,12273,,100,18,,,,,,3,,"-280, 20, -150",,,12521,,
34543,猫咪3级,290,0.7,,180,180,840,840,,,,,100,100,956,108000,,2,12273,,100,18,,,,,,3,,"-280, 20, -150",,,12521,,
34544,猫咪4级,290,0.7,,180,180,860,860,,,,,110,110,956,108000,,2,12273,,100,18,,,,,,3,,"-280, 20, -150",,,12521,,
34545,猫咪5级,290,0.7,,200,200,880,880,,,,,110,110,956,108000,,2,12273,,100,18,,,,,,3,,"-280, 20, -150",,,12521,,
34546,猫咪6级,290,0.7,,200,200,900,900,,,,,110,110,956,108000,,2,12273,,100,18,,,,,,3,,"-280, 20, -150",,,12521,,
34547,猫咪7级,290,0.7,,200,200,920,920,,,,,120,120,956,108000,,2,12273,,100,18,,,,,,3,,"-280, 20, -150",,,12521,,
34548,猫咪8级,290,0.7,,200,200,940,940,,,,,120,120,956,108000,,2,12273,,100,18,,,,,,3,,"-280, 20, -150",,,12521,,
34549,猫咪9级,290,0.7,,200,200,960,960,,,,,120,120,956,108000,,2,12273,,100,18,,,,,,3,,"-280, 20, -150",,,12521,,
34550,猫咪10级,290,0.7,,220,220,1000,1000,,,,,130,130,956,72000,,3,12273,12274,100,18,19,248,,,,3,,"-280, 20, -150",,,12521,,
3457,天马0级,290,0.7,,160,160,600,600,,,,,60,60,,,,1,11810,,1,,,,,,,3,,,,,236,,
3458,天马1级,290,0.7,,180,180,800,800,,,,,90,90,957,108000,,2,12273,,100,20,,,,,,3,,,,,236,,
3459,天马2级,290,0.7,,180,180,820,820,,,,,90,90,957,108000,,2,12273,,100,20,,,,,,3,,,,,236,,
34573,天马3级,290,0.7,,180,180,840,840,,,,,90,90,957,108000,,2,12273,,100,20,,,,,,3,,,,,236,,
34574,天马4级,290,0.7,,180,180,860,860,,,,,90,90,957,108000,,2,12273,,100,20,,,,,,3,,,,,236,,
34575,天马5级,290,0.7,,200,200,880,880,,,,,90,90,957,108000,,2,12273,,100,20,,,,,,3,,,,,236,,
34576,天马6级,290,0.7,,200,200,900,900,,,,,90,90,957,108000,,2,12273,,100,20,,,,,,3,,,,,236,,
34577,天马7级,290,0.7,,200,200,920,920,,,,,90,90,957,108000,,2,12273,,100,20,,,,,,3,,,,,236,,
34578,天马8级,290,0.7,,200,200,940,940,,,,,90,90,957,108000,,2,12273,,100,20,,,,,,3,,,,,236,,
34579,天马9级,290,0.7,,200,200,960,960,,,,,90,90,957,108000,,2,12273,,100,20,,,,,,3,,,,,236,,
34580,天马10级,290,0.7,,220,220,1000,1000,,,,,100,100,957,72000,,3,12273,12274,100,241,,,,,,3,,,,,236,,
3460,竹制轿子,290,0.55,,160,160,300,300,,,,,50,50,,,,1,11810,,1,24,,,,,,3,,,,,11404,,
3461,镶金轿子,290,0.55,,180,180,800,800,,,,,80,80,958,108000,,2,11810,,100,22,,,,,,3,,,,,11404,,
3462,镶金轿子,290,0.55,,180,180,820,820,,,,,80,80,958,108000,,2,11810,,100,22,,,,,,3,,,,,11404,,
34603,镶金轿子,290,0.55,,180,180,840,840,,,,,80,80,958,108000,,2,11810,,100,22,,,,,,3,,,,,11404,,
34604,镶金轿子,290,0.55,,180,180,860,860,,,,,80,80,958,108000,,2,11810,,100,22,,,,,,3,,,,,11404,,
34605,镶金轿子,290,0.55,,200,200,880,880,,,,,90,90,958,108000,,2,11810,,100,22,,,,,,3,,,,,11404,,
34606,镶金轿子,290,0.55,,200,200,900,900,,,,,90,90,958,108000,,2,11810,,100,22,,,,,,3,,,,,11404,,
34607,镶金轿子,290,0.55,,200,200,920,920,,,,,90,90,958,108000,,2,11810,,100,22,,,,,,3,,,,,11404,,
34608,镶金轿子,290,0.55,,200,200,940,940,,,,,90,90,958,108000,,2,11810,,100,22,,,,,,3,,,,,11404,,
34609,镶金轿子,290,0.55,,200,200,960,960,,,,,90,90,958,108000,,2,11810,,100,22,,,,,,3,,,,,11404,,
34610,桃花轿子,290,0.55,,220,220,1000,1000,,,,,100,100,958,72000,,3,11810,,100,22,23,248,,,,3,,,,,11404,,
3463,红蜘蛛0级,190,0.55,,100,100,1000,1000,,,,,80,80,,,,,,,,,,,,,,1,,,,,,,
3464,红蜘蛛,190,0.55,,100,100,2000,2000,,,,,80,80,,,,,,,,25,,,,,,1,,,,,,,
3465,热破0级,190,0.55,,100,100,1000,1000,,,,,80,80,,,,,,,,,,,,,,1,,,,,,,
3466,热破,190,0.55,,100,100,2000,2000,,,,,80,80,,,,,,,,26,,,,,,1,,,,,,,
3467,惊破天0级,190,0.55,,100,100,1000,1000,,,,,80,80,,,,,,,,,,,,,,1,,,,,,,
3468,惊破天,190,0.55,,100,100,2000,2000,,,,,80,80,,,,,,,,27,,,,,,1,,,,,,,
3469,魔龙0级,290,0.7,,160,160,300,300,,,,,50,50,,,,1,11810,,1,,,,,,,3,,"-260, 10, -150",,,12517,,
3470,魔龙1级,290,0.7,,180,180,800,800,,,,,80,80,1800,108000,,2,12273,,100,28,30,,,,,3,,"-260, 10, -150",,,12517,,
3471,魔龙2级,290,0.7,,180,180,820,820,,,,,80,80,1800,108000,,2,12273,,100,28,30,,,,,3,,"-260, 10, -150",,,12517,,
34693,魔龙3级,290,0.7,,180,180,840,840,,,,,80,80,1800,108000,,2,12273,,100,28,30,,,,,3,,"-260, 10, -150",,,12517,,
34694,魔龙4级,290,0.7,,180,180,860,860,,,,,80,80,1800,108000,,2,12273,,100,28,30,,,,,3,,"-260, 10, -150",,,12517,,
34695,魔龙5级,290,0.7,,200,200,880,880,,,,,90,90,1800,108000,,2,12273,,100,28,30,,,,,3,,"-260, 10, -150",,,12517,,
34696,魔龙6级,290,0.7,,200,200,900,900,,,,,90,90,1800,108000,,2,12273,,100,28,30,,,,,3,,"-260, 10, -150",,,12517,,
34697,魔龙7级,290,0.7,,200,200,920,920,,,,,90,90,1800,108000,,2,12273,,100,28,30,,,,,3,,"-260, 10, -150",,,12517,,
34698,魔龙8级,290,0.7,,200,200,940,940,,,,,90,90,1800,108000,,2,12273,,100,28,30,,,,,3,,"-260, 10, -150",,,12517,,
34699,魔龙9级,290,0.7,,200,200,960,960,,,,,90,90,1800,108000,,2,12273,,100,28,30,,,,,3,,"-260, 10, -150",,,12517,,
34700,魔龙10级,290,0.7,,220,220,1000,1000,,,,,100,100,1800,72000,,3,12273,12274,100,29,241,,,,,3,,"-260, 10, -150",,,12517,,
3472,钢锁0级,190,0.55,,100,100,1000,1000,,,,,70,70,,,,,,,,,,,,,,1,,,,,,,
3473,钢锁,190,0.55,,100,100,2000,2000,,,,,70,70,,,,,,,,32,,,,,,1,,,,,,,
3474,飞标0级,190,0.55,,100,100,1000,1000,,,,,80,80,,,,,,,,,,,,,,1,,,,,,,
3475,飞标,190,0.55,,100,100,2000,2000,,,,,80,80,,,,,,,,33,,,,,,1,,,,,,,
3476,嚎叫0级,190,0.55,,100,100,1000,1000,,,,,70,70,,,,,,,,,,,,,,1,,,,,,,
3477,嚎叫,190,0.55,,100,100,2000,2000,,,,,70,70,,,,,,,,34,,,,,,1,,,,,,,
3478,月明星稀,290,0.7,0.7,160,160,400,400,,,,,50,50,,,,1,11810,,1,,,,,,,3,,"-260, -80, -150",,,302,,
3479,玉兔桃花,290,0.7,,180,180,800,800,,,,,80,80,1801,108000,,2,12273,,100,35,,,,,,3,,"-260, -80, -150",,,302,,
3480,玉兔桃花,290,0.7,,180,180,820,820,,,,,80,80,1801,108000,,2,12273,,100,35,,,,,,3,,"-260, -80, -150",,,302,,
34783,玉兔桃花,290,0.7,,180,180,840,840,,,,,80,80,1801,108000,,2,12273,,100,35,,,,,,3,,"-260, -80, -150",,,302,,
34784,玉兔桃花,290,0.7,,180,180,860,860,,,,,80,80,1801,108000,,2,12273,,100,35,,,,,,3,,"-260, -80, -150",,,302,,
34785,玉兔桃花,290,0.7,,200,200,880,880,,,,,90,90,1801,108000,,2,12273,,100,35,,,,,,3,,"-260, -80, -150",,,302,,
34786,玉兔桃花,290,0.7,,200,200,900,900,,,,,90,90,1801,108000,,2,12273,,100,35,,,,,,3,,"-260, -80, -150",,,302,,
34787,玉兔桃花,290,0.7,,200,200,920,920,,,,,90,90,1801,108000,,2,12273,,100,35,,,,,,3,,"-260, -80, -150",,,302,,
34788,玉兔桃花,290,0.7,,200,200,940,940,,,,,90,90,1801,108000,,2,12273,,100,35,,,,,,3,,"-260, -80, -150",,,302,,
34789,玉兔桃花,290,0.7,,200,200,960,960,,,,,90,90,1801,108000,,2,12273,,100,35,,,,,,3,,"-260, -80, -150",,,302,,
34790,皎月仙宫,290,0.7,,220,220,1000,1000,,,,,100,100,1801,72000,,3,12273,12274,100,35,241,,,,,3,,"-230, -80, -150",,,302,,
3481,兔子先生拉比0级,190,0.55,,100,100,1000,1000,,,,,60,60,,,,,,,,,,,,,,1,,,,,,,
3482,兔子先生拉比,190,0.55,,100,100,1500,1500,,,,,60,60,,,,,,,,37,,,,,,1,,,,,,,
3483,圣诞坐骑0级暖冬祝福,290,0.55,0.7,160,160,400,400,,,,,50,50,,,,1,11810,,1,,,,,,,3,,"-240, 20, -150",,,236,,
3484,圣夜惊喜,290,0.55,0.7,180,180,800,800,,,,,80,80,1802,108000,,2,11810,,100,22,,,,,,3,,"-240, 20, -150",,,236,,
3485,圣夜惊喜,290,0.55,0.7,180,180,820,820,,,,,80,80,1802,108000,,2,11810,,100,22,,,,,,3,,"-240, 20, -150",,,236,,
34833,圣夜惊喜,290,0.55,0.7,180,180,840,840,,,,,80,80,1802,108000,,2,11810,,100,22,,,,,,3,,"-240, 20, -150",,,236,,
34834,圣夜惊喜,290,0.55,0.7,180,180,860,860,,,,,80,80,1802,108000,,2,11810,,100,22,,,,,,3,,"-240, 20, -150",,,236,,
34835,圣夜惊喜,290,0.55,0.7,200,200,880,880,,,,,90,90,1802,108000,,2,11810,,100,22,,,,,,3,,"-240, 20, -150",,,236,,
34836,圣夜惊喜,290,0.55,0.7,200,200,900,900,,,,,90,90,1802,108000,,2,11810,,100,22,,,,,,3,,"-240, 20, -150",,,236,,
34837,圣夜惊喜,290,0.55,0.7,200,200,920,920,,,,,90,90,1802,108000,,2,11810,,100,22,,,,,,3,,"-240, 20, -150",,,236,,
34838,圣夜惊喜,290,0.55,0.7,200,200,940,940,,,,,90,90,1802,108000,,2,11810,,100,22,,,,,,3,,"-240, 20, -150",,,236,,
34839,圣夜惊喜,290,0.55,0.7,200,200,960,960,,,,,90,90,1802,108000,,2,11810,,100,22,,,,,,3,,"-240, 20, -150",,,236,,
34840,冰雪传说,290,0.55,0.7,220,220,1000,1000,,,,,100,100,1802,72000,,3,11810,,100,22,39,248,,,,3,,"-240, 20, -150",,,236,,
3486,缤纷幻想0级,290,0.55,1.7,200,200,600,600,,,,,70,70,,,,1,11810,,100,,,,,,,3,,"-290, 20, -150",,,11099,,
3487,缤纷幻想,290,0.55,1.7,200,200,600,600,,,,,70,70,,,,2,11810,,100,40,,,,,,3,,"-290, 20, -150",,,11099,,
3488,福运哞哞0,290,0.55,1.2,200,200,600,600,,,,,70,70,,,,1,11810,,100,,,,,,,3,,,,,236,,
3489,福运哞哞,290,0.55,1.2,200,200,600,600,,,,,70,70,,,,2,11810,,100,41,,,,,,3,,,,,236,,
3490,攀崖观日,290,0.2,0.3,200,200,600,600,,,500,500,70,70,,,,1,11810,,1,,,,,,,3,,"-290, 60, -150",,,12521,,
3491,北辰荧火,290,0.2,0.3,200,200,800,800,,,600,600,100,100,1803,108000,,2,11810,,100,42,44,,,,,3,,"-290, 60, -150",,,12521,,
3492,北辰荧火,290,0.2,0.3,210,210,820,820,,,600,600,100,100,1803,108000,,2,11810,,100,42,44,,,,,3,,"-290, 60, -150",,,12521,,
34903,北辰荧火,290,0.2,0.3,220,220,840,840,,,600,600,100,100,1803,108000,,2,11810,,100,42,44,,,,,3,,"-290, 60, -150",,,12521,,
34904,北辰荧火,290,0.2,0.3,230,230,860,860,,,600,600,110,110,1803,108000,,2,11810,,100,42,44,,,,,3,,"-290, 60, -150",,,12521,,
34905,北辰荧火,290,0.2,0.3,240,240,880,880,,,600,600,110,110,1803,108000,,2,11810,,100,42,44,,,,,3,,"-290, 60, -150",,,12521,,
34906,北辰荧火,290,0.2,0.3,250,250,900,900,,,600,600,110,110,1803,108000,,2,11810,,100,42,44,,,,,3,,"-290, 60, -150",,,12521,,
34907,北辰荧火,290,0.2,0.3,260,260,920,920,,,600,600,120,120,1803,108000,,2,11810,,100,42,44,,,,,3,,"-290, 60, -150",,,12521,,
34908,北辰荧火,290,0.2,0.3,270,270,940,940,,,600,600,120,120,1803,108000,,2,11810,,100,42,44,,,,,3,,"-290, 60, -150",,,12521,,
34909,北辰荧火,290,0.2,0.3,280,280,960,960,,,600,600,120,120,1803,108000,,2,11810,,100,42,44,,,,,3,,"-290, 60, -150",,,12521,,
34910,浮游山海,290,0.2,0.3,300,300,1000,1000,,,750,750,130,130,1803,72000,,3,11810,,100,42,44,241,,,,3,,"-290, 60, -150",,,12521,,
3493,牛魔王0级,190,0.55,0.3,100,100,1000,1000,,,,,80,80,,,,,,,,,,,,,,1,,,,,,,
3494,牛魔王,190,0.55,,100,100,1500,1500,,,,,110,110,,,,,,,,45,46,,,,,1,,,,,,,
3495,莲花0级,290,0.4,0.5,160,160,400,400,,,,,50,50,,,,1,11810,,1,,,,,,,3,,"-280, 20, -150",,,12500,,
3496,莲花1级,290,0.4,0.5,180,180,800,800,,,,,80,80,1804,108000,,2,12273,,100,47,,,,,,3,,"-280, 20, -150",,,12500,,
3497,莲花2级,290,0.4,0.5,180,180,820,820,,,,,80,80,1804,108000,,2,12273,,100,47,,,,,,3,,"-280, 20, -150",,,12500,,
34953,莲花3级,290,0.4,0.5,180,180,840,840,,,,,80,80,1804,108000,,2,12273,,100,47,,,,,,3,,"-280, 20, -150",,,12500,,
34954,莲花4级,290,0.4,0.5,180,180,860,860,,,,,80,80,1804,108000,,2,12273,,100,47,,,,,,3,,"-280, 20, -150",,,12500,,
34955,莲花5级,290,0.4,0.5,200,200,880,880,,,,,90,90,1804,108000,,2,12273,,100,47,,,,,,3,,"-280, 20, -150",,,12500,,
34956,莲花6级,290,0.4,0.5,200,200,900,900,,,,,90,90,1804,108000,,2,12273,,100,47,,,,,,3,,"-280, 20, -150",,,12500,,
34957,莲花7级,290,0.4,0.5,200,200,920,920,,,,,90,90,1804,108000,,2,12273,,100,47,,,,,,3,,"-280, 20, -150",,,12500,,
34958,莲花8级,290,0.4,0.5,200,200,940,940,,,,,90,90,1804,108000,,2,12273,,100,47,,,,,,3,,"-280, 20, -150",,,12500,,
34959,莲花9级,290,0.4,0.5,200,200,960,960,,,,,90,90,1804,108000,,2,12273,,100,47,,,,,,3,,"-280, 20, -150",,,12500,,
34960,莲花10级,290,0.4,0.5,220,220,1000,1000,,,,,100,100,1804,72000,,3,12273,12274,100,241,,,,,,3,,"-240, 20, -150",,,12500,,
3625,海马（驯服）,290,0.2,0.3,300,300,750,750,,,750,750,60,60,,,,3,11810,,100,60,,,,,,2,,,,,,,
3823,骆驼（驯服）,290,0.7,,150,150,400,400,,,,,60,60,,,,1,11810,,1,,,,,,,2,,,,,,,
3891,驯服的牛,190,0.7,,70,70,300,300,,,,,50,50,,,,1,11810,,,,,,,,,3,,,,,,,
3896,驯服的焱焱蟹（坐骑）,190,0.8,,100,100,250,250,,,,,50,50,,,,1,11810,,,6,,,,,,3,,,,,,,
3912,牦牛（驯服）,290,0.7,,150,150,500,500,2horse456,,,,60,60,,,,1,11810,,1,,,,,,,2,,,,,,,
