强化方向ID,强化方向名称,强化效果描述,消耗星星,材料ID,材料数量,强化文件（Skill文件，数组，多文件用|分割）,强化文件（Timeline文件，数组，多文件用|分割）,回溯星星消耗,是否允许广告重置
1000304,范围扩大,挥砍范围增加50%,1,11517,2,,Patch_ChargeBlade_Range_R1|Patch_ChargeBlade_Range_R2|Patch_ChargeBlade_Range_R3|Patch_ChargeBlade_Range_S1|Patch_ChargeBlade_Range_S2|Patch_ChargeBlade_Range_S3,2,1
1000305,蓄力加速,蓄力时间缩短50%,2,11609,2,,Patch_ChargeBlade_ChargeSpeed_S1|Patch_ChargeBlade_ChargeSpeed_S2|Patch_ChargeBlade_ChargeSpeed_S3,2,1
1000306,蓄力减伤,蓄力期间减少50%受到的伤害,3,11067,1,,Patch_ChargeBlade_Shield_S1|Patch_ChargeBlade_Shield_S2|Patch_ChargeBlade_Shield_S3,2,1
1000307,加速释放,冷却时间减少2秒,2,11611,2,Patch_ChargeBlade_CD,,2,1
1000308,吸血,造成伤害的30%转化为生命值,3,11593,1,,Patch_ChargeBlade_Lifesteal_R1|Patch_ChargeBlade_Lifesteal_R2|Patch_ChargeBlade_Lifesteal_R3,2,1
1000401,流血新星,命中敌人时对敌人附加流血效果,1,11201,1,,whirlwindBleed,2,1
1000402,贴脸战斗,命中敌人时不击退,1,11201,1,,whirlwindCloseRange,2,1
1000403,击飞强化,将敌人击飞,1,11517,1,,whirlwindKnock,2,1
1000404,旋风护盾,生成护盾，维持5秒,1,11077,2,,whirlwindShield,2,1
1000405,蓄力释放,多释放3秒,2,11632,1,,whirlwindDuration,2,1
1000406,加速释放,冷却时间减少2秒,3,11609,3,whirlwindCD,,2,1
1000407,火焰旋转,对流血敌人叠加燃烧状态,2,11207,2,,whirlwindFire,2,1
1000408,旋风冲刺,旋转的时候移动速度增加20%,3,11611,2,,whirlwindSpeed,2,1
1000501,范围强化,血浪大小增大30%,1,11201,1,,BloodWaveRangeUp,2,1
1000502,生命偷取,命中敌人回复5%生命,1,11201,1,,BloodWaveLifesteal,2,1
1000503,血浪连发,连续释放三段血浪,1,11632,1,,BloodWaveMulti,2,1
1000504,伤害附加,冲击波造成伤害+20%,1,11077,2,,BloodWaveDamageUp,2,1
1000505,流血强化,命中的敌人获得流血效果,2,11609,2,,BloodWaveStun,2,1
1000506,流血连携,对流血状态的敌人命中时造成额外伤害,3,11517,2,,BloodWaveBleedLink,2,1
1000507,血盾强化,释放后获得减伤护盾维持2秒,2,11211,2,,BloodWaveShield,2,1
1000508,加速释放,冷却时间减少2秒,3,11611,2,BloodWaveCD,,2,1
1000601,烈焰升级,命中目标后，原有点燃效果自动升级为点燃2级,1,11201,1,,Patch_Fire_Weapon1,2,1
1000602,灼焰贯穿,火箭灼穿敌群，一箭引燃多重威胁,1,11201,1,,Patch_Fire_Weapon2,2,1
1000603,炽焰爆发,箭矢凝聚炽焰，直接伤害提升,1,11517,1,,Patch_Fire_Weapon3,2,1
1000604,焰爆领域,命中触发小范围爆炸,1,11306,2,,Patch_Fire_Weapon4,2,1
1000605,火焰溅射,命中后溅射火焰到周围敌人，造成点燃状态,2,11609,2,,Patch_Fire_Weapon5,2,1
1000606,点燃引爆,对“点燃”状态的敌人造成暴击伤害,3,11207,2,,Patch_Fire_Weapon6,2,1
1000607,火焰余烬,箭落之处留下岩浆方块，持续灼烧地面,2,11211,3,,Patch_Fire_Weapon7,2,1
1000608,炎爆四矢,一次凝聚四支烈焰箭，朝前方圆形区域随机轰落,3,11611,2,,Patch_Fire_Weapon8,2,1
2000901,霜华回蓝,命中目标触发霜华绽放，加速法力值恢复,1,11201,1,,Patch_IceBall_Weapon1,2,1
2000902,冻魂连击,命中瞬间霜力蔓延，概率将目标冻结,1,11201,1,,Patch_IceBall_Weapon2,2,1
2000903,冰矢连发,冷却时间大幅缩减,1,11210,2,Patch_IceBall_Weapon3,,2,1
2000904,穿透,冰球凝聚破甲之力，可穿透敌人继续追击,1,12710,2,,Patch_IceBall_Weapon4,2,1
2000905,寒爆蓄伤,冰球内部爆发，造成更高伤害,2,11609,2,,Patch_IceBall_Weapon5,2,1
2000906,碎冰散射,命中瞬间冰球碎裂，分化出多枚小冰球,3,11518,2,,Patch_IceBall_Weapon6,2,1
2000907,极寒领域,命中处凝结极寒之地，踏入者皆受冰缓影响,2,11611,2,,Patch_IceBall_Weapon7,2,1
2000908,冰魂净化,触发冰神之力，瞬间清除自身所有负面状态,3,11824,1,,Patch_IceBall_Weapon8,2,1
2001001,超级风暴,暴风雪影响范围半径+4,1,11201,1,,Patch_Blizzard_Weapon1,2,1
2001002,风雪交加,暴风雪内每秒造成的伤害增加,1,11201,1,,Patch_Blizzard_Weapon2,2,1
2001003,风暴加时,暴风雪持续时间+2秒,1,12710,1,,Patch_Blizzard_Weapon3,2,1
2001004,绝对零度,减少技能释放后法力值消耗,1,11078,2,Patch_Blizzard_Weapon4S,,2,1
2001005,冰霜叠层,提升暴风雪内对目标带来的冰霜效果,2,11824,2,,Patch_Blizzard_Weapon5,2,1
2001006,狂风肆虐,减少技能蓄力时间2秒,3,11210,3,,Patch_Blizzard_Weapon6,2,1
2001007,风雪庇护,技能释放后对自身施加8秒减伤buff,2,11609,3,,Patch_Blizzard_Weapon7,2,1
2001008,双层风暴,技能释放后在自身位置同步释放8秒暴风雪,3,11518,3,,Patch_Blizzard_Weapon8,2,1
2001101,眩晕新星,冲锋结束后引发冲击波眩晕周围的敌人,1,11201,1,,rushStun,2,1
2001102,击飞强化,击飞加强一倍效果,1,11201,1,,rushKnock,2,1
2001103,多重冲锋,冲锋距离增加一倍,1,11077,1,,rushMultiCharge|rushMultiChargeIndicator,2,1
2001104,伤害增强,冲锋伤害增加50%但CD增加30%,1,11518,2,rushDamageUp,rushDamageUp,2,1
2001105,流血印记,冲锋命中的敌人上流血buff,2,11593,2,,rushBleed,2,1
2001106,冲锋护盾,冲锋时获得减伤buff,3,11609,3,,rushShield,2,1
2001107,范围扩大,冲锋范围扩大可攻击更多敌人,2,11611,2,,rushRange|Patch_Rush_Range_Charge,2,1
2001108,击退强化,冲刺击退敌人的距离增加一倍,3,11632,1,,rushKnockback,2,1
2001201,疾矢追风,箭矢离弦如风，初始速度大幅提升,1,11201,1,,Patch_Ice_Weapon1,2,1
2001202,霜痕累积,额外增加箭矢命中后的基础伤害,1,11201,1,,Patch_Ice_Weapon2,2,1
2001203,寒息领域,蓄满待机期间周身散发极寒气息，冰冻周围敌人,1,11078,1,,Patch_Ice_Weapon3,2,1
2001204,寒霜锁,提高箭矢命中目标后的冻结概率,1,12710,2,,Patch_Ice_Weapon4,2,1
2001205,穿骨寒霜,冰箭贯穿敌群，一箭穿透多重威胁,2,11609,2,,Patch_Ice_Weapon5,2,1
2001206,冻魂叠伤,对身上有冻结状态的目标额外造成高额伤害,3,11078,2,,Patch_Ice_Weapon6,2,1
2001207,冰域辐射,命中瞬间寒气向四周扩散，令周围敌人减速,2,11518,2,,Patch_Ice_Weapon7,2,1
2001208,三连霜矢,一发三矢，造成多重打击伤害,3,11611,2,,Patch_Ice_Weapon8,2,1
3000701,壁垒·后,身后召唤石墙，补全防御圈,1,11080,1,,Patch_StoneWall_Weapon1,2,1
3000702,壁垒·上,头顶生成石盖，封锁空中威胁,1,11080,1,,Patch_StoneWall_Weapon2,2,1
3000703,壁垒·左,左侧筑起石壁，拓宽防线,1,11080,1,,Patch_StoneWall_Weapon3,2,1
3000704,壁垒·右,右侧立起石垒，防御侧袭,1,11080,1,,Patch_StoneWall_Weapon4,2,1
3000705,土灵守护,大地之力环绕周身，提供减伤护盾,2,11609,2,,Patch_StoneWall_Weapon5,2,1
3000706,垒石如风,筑墙速度大幅提升，施法时间缩短,3,11520,2,,Patch_StoneWall_Weapon6,2,1
3000707,重壁叠垒,前方额外生成一层石墙，双层防御,2,11611,2,,Patch_StoneWall_Weapon7,2,1
3000708,岩壁垒阵,前方石墙体积提升，防御范围更大,3,11210,3,,Patch_StoneWall_Weapon8,2,1
3000801,耗蓝减少,法力消耗减少50%,1,11201,1,ControlStoneCostReduction,,2,1
3000802,伤害强化,伤害增加50%,1,11201,1,,ControlStoneDamageUp,2,1
3000803,石块爆炸,石块命中后小范围爆炸（半径1.5格）,1,11306,1,,ControlStoneExplosion,2,1
3000804,火焰强化,石块命中后给敌人附加点燃效果（每秒5伤害，持续5秒）,1,11780,2,,ControlStoneMultiTarget,2,1
3000805,击飞强化,石块命中有击飞效果,2,11520,2,,ControlStoneKnockUp,2,1
3000806,加速释放,冷却时间减少2秒,3,11609,3,ControlStoneCD,,2,1
3000807,蓄力缩减,蓄力时间缩短50%,2,11210,3,,ControlStoneBigStone,2,1
3000808,击退强化,石块命中有击退效果,3,11611,2,,ControlStoneKnockBack,2,1
3000901,风之韵律,蓄力时间缩短50%,1,11201,1,,Patch_NatureBall_Weapon1,2,1
3000902,自然循环,冷却时间减少3秒,1,11201,1,Patch_NatureBall_Weapon2,,2,1
3000903,大地馈赠,法力消耗降低10,1,11520,1,Patch_NatureBall_Weapon3,,2,1
3000904,自然之力,碰撞伤害提升30%,1,11077,2,,Patch_NatureBall_Weapon4,2,1
3000905,狂野生长,碰撞范围增大70%且击退翻倍,2,11609,2,,Patch_NatureBall_Weapon5,2,1
3000906,生命汲取,每次碰撞伤害恢复1%生命值,3,11593,1,,Patch_NatureBall_Weapon6,2,1
3000907,野性怒意,命中的生物眩晕2秒并头上长草,2,11611,2,,Patch_NatureBall_Weapon7,2,1
3000908,万物生长,每1秒释放冲击波对周围5x5范围生物造成1.5倍伤害并长出小草,3,11520,3,,Patch_NatureBall_Weapon8,2,1
3001001,眩晕加成,对眩晕状态的敌人命中时造成额外50%伤害,1,11201,1,,smashStun,2,1
3001002,范围强化,砸击范围扩大50%,1,11201,1,,smashRange,2,1
3001003,多段猛击,连续猛击多一次,1,11911,1,,smashMulti,2,1
3001004,击飞强化,对命中的敌人击飞高度更高,1,11077,2,,smashKnock,2,1
3001005,伤害强化,伤害增加50%，cd增加5秒,2,11609,2,smashDamageUp,smashDamageUp,2,1
3001006,眩晕强化,对命中的敌人造成眩晕状态,3,11520,2,,smashQuake,2,1
3001007,冷却强化,cd减少2秒,2,11611,2,smashCD,,2,1
3001008,快速猛击,减少30%蓄力时间，可以更快释放,3,11210,2,,smashFastCharge,2,1
3001101,增幅分裂,初始分裂箭矢数量+2,1,11201,1,,Patch_Split_Weapon1,2,1
3001102,冰冻附加,左侧分裂箭命中后附带冻结效果,1,11201,1,,Patch_Split_Weapon2,2,1
3001103,火焰附加,中间分裂箭命中后附带燃烧效果,1,11635,1,,Patch_Split_Weapon3,2,1
3001104,雷电附加,右侧分裂箭命中后附带感电效果,1,11073,2,,Patch_Split_Weapon4,2,1
3001105,伤害激增,三个分裂箭单发伤害增加,2,11609,3,,Patch_Split_Weapon5,2,1
3001106,多重发射,一次发射多波分裂箭,3,11520,2,,Patch_Split_Weapon6,2,1
3001107,高空瞄准,蓄满待机期间可以漂浮在空中,2,11611,2,,Patch_Split_Weapon7a|Patch_Split_Weapon7b,2,1
3001108,分裂增生,技能释放后自身获得防御效果,3,11780,2,,Patch_Split_Weapon8,2,1
3001201,三矢连弹,蓄力完毕瞬间连发三支魔箭，箭如雨落,1,11201,1,,Patch_MagicBow_Weapon1|Patch_MagicBow_Weapon1E,2,1
3001202,疾行挽弓,蓄力期间可自由移动，边走边蓄,1,11201,1,,Patch_MagicBow_Weapon2,2,1
3001203,碎星重矢,魔弓蓄满后凝聚巨箭，造成毁灭性暴击伤害,1,11080,2,,Patch_MagicBow_Weapon3,2,1
3001204,魔爆穿云,箭矢命中触发魔力爆炸，范围重创敌人,1,11911,2,,Patch_MagicBow_Weapon4,2,1
3001205,魔源回流,法力消耗降低,2,11520,2,Patch_MagicBow_Weapon5,,2,1
3001206,魔纹镇魂,箭矢命中必致晕头转向状态,3,11609,3,,Patch_MagicBow_Weapon6,2,1
3001207,后跃挽弓,射箭同时后撤五步，进退有度,2,11207,2,,Patch_MagicBow_Weapon7,2,1
3001208,噬血回元,命中目标后恢复自身一定血量,3,11611,2,,Patch_MagicBow_Weapon8,2,1
4000101,雷球环绕,召唤出两道雷球环绕周围,1,11201,1,,Patch_ThunderBall_Weapon1,2,1
4000102,眩晕加成,雷球携带雷纹之触，命中有概率触发麻痹效果,1,11201,1,,Patch_ThunderBall_Weapon2,2,1
4000103,苍穹雷罚,命中处上空召唤雷暴领域，持续轰击区域内所有敌人,1,11516,1,,Patch_ThunderBall_Weapon3,2,1
4000104,雷闪穿空,雷球释放后使自身位置随机发生偏移，躲避伤害,1,11635,2,,Patch_ThunderBall_Weapon4,2,1
4000105,闪电贯穿,使发出的雷球具备穿透效果,2,11609,2,,Patch_ThunderBall_Weapon5,2,1
4000106,麻痹扩散,命中有麻痹状态的敌人时，麻痹之威向四周扩散感染,3,11914,1,,Patch_ThunderBall_Weapon6,2,1
4000107,雷霆护盾,施法后在周身凝聚雷盾，触碰者皆被短暂麻痹,2,11611,2,,Patch_ThunderBall_Weapon7,2,1
4000108,四维雷鸣,身后及双侧同步发射雷球，形成四面夹击之势,3,11519,2,,Patch_ThunderBall_Weapon8,2,1
4000201,雷霆强化,闪电威能凝聚，伤害值获得提升,1,11201,1,,Patch_ChainLightning_Weapon1,2,1
4000202,电弧烙印,被击中的敌人进入“感电”状态,1,11201,1,,Patch_ChainLightning_Weapon2,2,1
4000203,感电传导,对感电状态的敌人命中时造成额外伤害,1,11516,2,,Patch_ChainLightning_Weapon3,2,1
4000204,持久电弧,闪电生命周期延长,1,11611,1,,Patch_ChainLightning_Weapon4,2,1
4000205,超长雷链,闪电穿透长度提升,2,11664,2,,Patch_ChainLightning_Weapon5,2,1
4000206,雷域扩张,闪电跳跃次数提升,3,11609,3,,Patch_ChainLightning_Weapon6,2,1
4000207,雷罚侦测,闪电跳跃的索敌范围提升，感知更广区域内敌人,2,11519,2,,Patch_ChainLightning_Weapon7,2,1
4000208,雷亟加速,闪电命中间隔缩短，输出频率大幅提升,3,11648,1,,Patch_ChainLightning_Weapon8,2,1
4000301,奥能暴击,子弹注入奥能之力，概率造成暴击伤害,1,11201,1,,Patch_MagicGun_Weapon1,2,1
4000302,穿甲强化,每发弹丸伤害额外加2，穿透更强,1,11201,1,,Patch_MagicGun_Weapon2,2,1
4000303,散射增幅,散射夹角范围扩大 10 度，覆盖更广打击面,1,12065,1,,Patch_MagicGun_Weapon3,2,1
4000304,精准聚焦,散射夹角收窄 1 度，弹道高度集中，命中率大幅提升,1,11073,2,,Patch_MagicGun_Weapon4,2,1
4000305,能量回收,消耗的魔力部分回收，整体法力值消耗降低,2,11609,2,Patch_MagicGun_Weapon5,,2,1
4000306,弹药扩容,弹夹容量从 30 提升至 50，续航能力大幅增强,3,11519,2,,Patch_MagicGun_Weapon6,2,1
4000307,速能充能,充能间隔缩短，技能冷却更快就绪,2,11611,2,Patch_MagicGun_Weapon7,,2,1
4000308,符能护盾,释放瞬间凝聚能量护盾，吸收至多 100 点伤害,3,11306,3,,Patch_MagicGun_Weapon8,2,1
4000401,瞬移+2格,瞬移距离+2格，CD+0.5秒,1,11201,1,shadowStepCD,shadowStepDist1,2,1
4000402,瞬移+2格,瞬移距离+2格，CD+0.5秒,1,11201,1,shadowStepCD2,shadowStepDist2,2,1
4000403,隐身2秒,隐身2秒，瞬移距离-2格,1,11640,1,,shadowStepInvis1,2,1
4000404,冲刺伤害,位移过程对路径上敌人造成物理伤害,1,11080,2,,shadowStepInvis2,2,1
4000405,暗影爆炸,隐身结束时爆炸，对周围敌人造成物理伤害并击退,2,11519,2,,shadowStepBomb,2,1
4000406,暗影护盾,冲刺结束后获得护盾，减伤持续2秒,3,11911,2,,shadowStepShield,2,1
4000407,伤害强化,冲刺后获得伤害强化50%的buff，维持3秒,2,11611,2,,shadowStepBackstab,2,1
4000408,暗影加速,瞬移后获得加速30%持续2秒,3,12718,1,,shadowStepSpeed,2,1
4000501,击飞强化,击飞加强一倍效果,1,11201,1,,Patch_Thunder_Weapon1,2,1
4000502,击退强化,击退距离增加一倍,1,11201,1,,Patch_Thunder_Weapon2,2,1
4000503,范围扩大,释放范围扩大可攻击更多敌人,1,11664,1,Patch_Thunder_Weapon3,Patch_Thunder_Weapon3,2,1
4000504,伤害强化,伤害+30% CD+1秒,1,11609,2,Patch_Thunder_Weapon4,Patch_Thunder_Weapon4,2,1
4000505,施法加速,施法时间缩短一半,2,11664,2,,Patch_Thunder_Weapon5,2,1
4000506,感电效果,被击中的敌人进入麻痹状态5秒 伤害-15%,3,11911,2,,Patch_Thunder_Weapon6,2,1
4000507,冷却强化,CD减少2秒,2,11519,2,Patch_Thunder_Weapon7,,2,1
4000508,感电引爆,对麻痹状态的敌人命中时造成额外伤害,3,11611,2,,Patch_Thunder_Weapon8,2,1
4000601,雷霆漫步,命中目标后令其不受控制地朝随机方向奔行一定距离,1,11201,1,,Patch_Thunder_Weapon1s,2,1
4000602,雷罚天降,箭载天雷之怒，伤害提升,1,11201,1,,Patch_Thunder_Weapon2s,2,1
4000603,雷碎脉震,蓄满待机期间使周围目标被击飞,1,11073,1,,Patch_Thunder_Weapon3s,2,1
4000604,雷纹封脉,箭带雷纹封锁之力，命中有 50% 几率令敌人麻痹,1,11664,2,,Patch_Thunder_Weapon4s,2,1
4000605,穿甲雷矢,雷电凝聚成矢，可穿透 1 名敌人继续追击,2,11519,2,,Patch_Thunder_Weapon5s,2,1
4000606,感电引爆,将目标身上的感电状态升级为感电2级,3,11609,3,,Patch_Thunder_Weapon6s,2,1
4000607,雷链扫射,向四周发射多支雷箭，沿途伤害所有触敌,2,11611,2,,Patch_Thunder_Weapon7s,2,1
4000608,雷神箭,箭载雷神之怒，命中时爆发冲击波，将目标击飞,3,11824,2,,Patch_Thunder_Weapon8s,2,1
5000101,双火球,连续发射2个火球，隔一秒,1,12020,1,,Patch_VoidFireBall_Weapon1,2,1
5000102,减速烙印,命中附加减速状态,1,12019,2,,Patch_VoidFireBall_Weapon2,2,1
5000103,火焰蔓延,虚空火焰区域扩大50%,1,12015,2,,Patch_VoidFireBall_Weapon3,2,1
5000104,伤害强化,燃烧区域伤害增加30%,1,12014,2,,Patch_VoidFireBall_Weapon4,2,1
5000105,快速释放,冷却时间减少30%,2,12020,1,Patch_VoidFireBall_Weapon5,,2,1
5000106,持续燃烧,燃烧区域持续时间增加3秒,3,15080,1,,Patch_VoidFireBall_Weapon6,2,1
5000107,减伤护盾,释放后给自己上个减伤的护盾buff,2,11201,1,,Patch_VoidFireBall_Weapon7,2,1
5000108,消耗减少,消耗血量降低50%,3,11609,2,Patch_VoidFireBall_Weapon8,,2,1
5000201,护盾,释放后给自己添加减伤护盾,1,11717,2,,Patch_VoidShockWave_Weapon1,2,1
5000202,虚弱波纹,命中的敌人获得减速状态,1,12014,2,,Patch_VoidShockWave_Weapon2,2,1
5000203,双重冲击,连续释放2道冲击波间隔1秒,1,12020,1,,Patch_VoidShockWave_Weapon3,2,1
5000204,伤害提升,冲击波伤害×1.4,1,15081,3,,Patch_VoidShockWave_Weapon4,2,1
5000205,生命偷取,冲击波命中回复5%生命,2,11516,3,,Patch_VoidShockWave_Weapon5,2,1
5000206,击飞强化,冲击波附带击飞效果,3,11611,1,,Patch_VoidShockWave_Weapon6,2,1
5000207,消耗减少,消耗血量降低50%,2,11609,2,Patch_VoidShockWave_Weapon7,,2,1
5000208,冷却缩减,CD-3秒,3,200411,1,Patch_VoidShockWave_Weapon8,,2,1
5000301,引力增强,牵引范围+50%,1,12016,2,Patch_VoidBlackHole_Weapon_IndicatorScale,Patch_VoidBlackHole_Weapon1,2,1
5000302,黑洞延时,持续时间+2秒,1,12019,2,,Patch_VoidBlackHole_Weapon2,2,1
5000303,快速蓄力,蓄力时间缩短一半,1,12015,2,,Patch_VoidBlackHole_Weapon3,2,1
5000304,黑洞爆炸,黑洞消失时爆炸造成额外伤害,1,12014,2,,Patch_VoidBlackHole_Weapon4,2,1
5000305,伤害增幅,吸附过程持续伤害×1.4,2,11911,1,,Patch_VoidBlackHole_Weapon5,2,1
5000306,虚空流血,被吸入的敌人附加流血状态,3,11201,1,,Patch_VoidBlackHole_Weapon6,2,1
5000307,减少消耗,消耗的生命值减少50%,2,11611,1,Patch_VoidBlackHole_Weapon7,,2,1
5000308,减少冷却,冷却减少5秒,3,15080,1,Patch_VoidBlackHole_Weapon8,,2,1
5000401,连发增强,一次发射2枚法球,1,12020,1,,Patch_VoidMagicOrb_Weapon1,2,1
5000402,虚空印记,命中附加"流血"状态,1,11516,3,,Patch_VoidMagicOrb_Weapon2,2,1
5000403,爆裂扩散,命中后分裂3个小弹射向附近敌人,1,11609,2,,Patch_VoidMagicOrb_Weapon3,2,1
5000404,伤害增幅,基础伤害增加,1,11717,2,,Patch_VoidMagicOrb_Weapon4,2,1
5000405,穿透增强,穿透多个目标,2,12014,2,,Patch_VoidMagicOrb_Weapon5,2,1
5000406,汲取强化,命中带"流血"状态的敌人额外回复,3,11611,1,,Patch_VoidMagicOrb_Weapon6,2,1
5000407,减速黏滞,命中敌人移速降低,2,11911,1,,Patch_VoidMagicOrb_Weapon7,2,1
5000408,冷却缩减,cd减少,3,200411,1,Patch_VoidMagicOrb_Weapon8,,2,1
5000501,光束增多,激光束从3升级为5条,1,11911,1,,Patch_VoidMagicLaser_Weapon1,2,1
5000502,灼烧路径,被激光命中的敌人附加"点燃"状态,1,200411,1,,Patch_VoidMagicLaser_Weapon2,2,1
5000503,伤害增幅,激光伤害增加,1,11201,1,,Patch_VoidMagicLaser_Weapon3,2,1
5000504,激光印记,被激光命中的敌人附加"流血"状态,1,11611,1,,Patch_VoidMagicLaser_Weapon4,2,1
5000505,移动施法,发射期间可移动,2,12020,1,,Patch_VoidMagicLaser_Weapon5,2,1
5000506,击退激光,每道激光命中敌人时附带小幅度击退,3,15081,3,,Patch_VoidMagicLaser_Weapon6,2,1
5000507,减速光束,被激光命中的敌人移速降低,2,11516,3,,Patch_VoidMagicLaser_Weapon7,2,1
5000508,冷却缩减,CD减少,3,11117,2,Patch_VoidMagicLaser_Weapon8,,2,1
5000601,地刺扩散,单条突刺升级为多条突刺,1,12015,2,,Patch_VoidMagicThrust_Weapon1,2,1
5000602,虚空缠绕,被命中的敌人移速降低,1,12014,2,,Patch_VoidMagicThrust_Weapon2,2,1
5000603,击飞强化,击飞高度增加,1,12016,2,,Patch_VoidMagicThrust_Weapon3,2,1
5000604,伤害增幅,伤害增加,1,12019,2,,Patch_VoidMagicThrust_Weapon4,2,1
5000605,冷却缩减,CD减少,2,15080,1,Patch_VoidMagicThrust_Weapon5,,2,1
5000606,虚空反噬,首次突刺命中敌人时回复血量,3,11201,1,,Patch_VoidMagicThrust_Weapon6,2,1
5000607,连刺,突刺结束后额外触发一条突刺,2,11911,1,,Patch_VoidMagicThrust_Weapon7,2,1
5000608,撕裂伤口,命中后附加"流血"状态,3,200411,1,,Patch_VoidMagicThrust_Weapon8,2,1
5000701,三连炸弹,一次性在目标区域生成3个炸弹,1,11201,1,,Patch_VoidMagicBomb_Weapon1,2,1
5000702,范围扩大,爆炸范围扩大,1,11611,1,,Patch_VoidMagicBomb_Weapon2,2,1
5000703,麻痹炸弹,爆炸附加"麻痹",1,15081,3,,Patch_VoidMagicBomb_Weapon3,2,1
5000704,伤害增幅,爆炸伤害增加,1,11516,3,,Patch_VoidMagicBomb_Weapon4,2,1
5000705,延时缩短,爆炸延迟缩短至1.5秒,2,11609,2,,Patch_VoidMagicBomb_Weapon5,2,1
5000706,禁锢力场,预警光圈范围内的敌人移速降低,3,11717,2,,Patch_VoidMagicBomb_Weapon6,2,1
5000707,印记引爆,爆炸对带"流血"状态的目标额外伤害,2,11117,2,,Patch_VoidMagicBomb_Weapon7,2,1
5000708,虚空补给,命中敌人回复血量,3,12020,1,,Patch_VoidMagicBomb_Weapon8,2,1
5000901,冲刺强化,冲刺距离+50%,1,12014,2,,Patch_VoidLightningBlink_Weapon1,2,1
5000902,闪电尾迹,冲刺路径上留下虚空火焰,1,11609,2,,Patch_VoidLightningBlink_Weapon2,2,1
5000903,落地震击,冲刺终点释放小范围冲击波，击退附近敌人,1,15081,3,,Patch_VoidLightningBlink_Weapon3,2,1
5000904,炸弹遗留,路径上掉落炸弹,1,11516,3,,Patch_VoidLightningBlink_Weapon4,2,1
5000905,二段冲刺,可在3秒内再冲刺一次,2,11717,2,,Patch_VoidLightningBlink_Weapon5,2,1
5000906,虚空隐身,首次冲刺结束后隐身1.5秒,3,200411,1,,Patch_VoidLightningBlink_Weapon6,2,1
5000907,强力击退,冲刺期间击退靠近的目标,2,11611,1,,Patch_VoidLightningBlink_Weapon7,2,1
5000908,冷却缩减,CD减少,3,15080,1,Patch_VoidLightningBlink_Weapon8,,2,1
5001001,蓄力强化,蓄力时间减短50%,1,12020,1,,Patch_VoidLaserBall_Weapon1,2,1
5001002,激光伤害,激光伤害×1.4,1,12014,2,,Patch_VoidLaserBall_Weapon2,2,1
5001003,流血强化,命中敌人造成流血状态,1,12016,2,,Patch_VoidLaserBall_Weapon3,2,1
5001004,穿透强化,激光命中穿透敌人不减伤,1,12019,2,,Patch_VoidLaserBall_Weapon4,2,1
5001005,护盾强化,释放后获得减伤护盾,2,11201,1,,Patch_VoidLaserBall_Weapon5,2,1
