id,中文名称【所有用到道具名称的地方都是读这里】,预制文件名,插件用【作为插件json文件的名称，不能有空格】,2.0创造背包开放，11=地形，12=植物，13=建筑，14=装饰，15=星能，16=颜色，17=功能，18=机械，21=动物，22=怪物，23=人物（NPC），24=载具，31=装备，32=功能，33=食物，34=材料，35武器，36工具，41=功能，42=创造，43=功能对象,插件编辑【大于0开放插件编辑，1=工具，2=武器，3=食物，4=装备，5=材料】,2.0插件编辑模板【0=不是模板，1=作为插件编辑模板】,作为插件编辑材料，如道具掉落等【0=不作为材料，1=作物分类，2=工具，3=杂物，4=方块】,开放到触发器选择的道具库【1-5方块类 6-10道具类 12投掷物类 1=植物方块 2=液体方块 3=自然方块 4=装饰方块 5=功能方块 6=消耗品 7=材料 8=武器 9=装备 10=工具 11=生物蛋 12=投掷物 13=乐器】,模型文件夹名字【用于手持模型和凋落物模型，位于res/itemmods】,贴图【模型的贴图文件，已弃用】,贴图id【一个模型可以使用不同的贴图，改变外观；仅用于手持模型名字为texturen】,海外开放（0和空为在国内海外都开放，1为只在国内开放，2为只在海外开放）,"品质等级【用于旧版家园开果实的奖励级别，0一级,1二级,2三级,3四级】","帐号道具类型【0普通功能，1碎片，2仅普通地图提取，3仅家园提取，4都可提取,5可选择，6抽奖礼包，7商业化道具，8宠物蛋】",1-皮肤，2-坐骑，3-avatar，4-皮肤碎片，5-坐骑碎片，6-武器皮肤道具，7-武器皮肤碎片，8-头像框，9-喷漆道具，10-喷漆道具碎片，11-气泡道具，12-播报道具，13-称号道具，14-迷你大会员，15-优惠券，16-头像，17-动作，18-心情框，19-背景，20称号，21表情包，22迷你赛季积分道具，23坐骑升级道具，24搭配赛抽奖券，26七彩碎片，29图鉴道具,皮肤/坐骑/avatarID/武器皮肤,"品质等级（1=浅灰色,2=绿色，3=蓝色，4=紫色，5=橙色，6=红色，7=白金）",0-普通，1-稀有，2-珍贵，3-传说，抽奖礼包暂用:4-永久，5-体验,关联物品ID【用于家园图鉴碎片配置对应解锁的道具，解锁类型是4时填10000】,家园图鉴解锁的货币类型【0不用解锁3碎片4迷你豆5混合】,家园图鉴解锁标志位【每个道具对应一个标志位】,替换解锁物品【家园图鉴解锁货币不足时用什么代替，解锁类型是4的时候这里填服务器那个ID】,碎片价格【跟替换解锁物品配套使用，替换物数】,家园图鉴解锁需要的碎片数量,"条件解锁类型【用来控制打完黑龙解锁的配方,1=一阶黑龙,2=二阶黑龙,3=三阶黑龙,4=科技树，-1=解锁配方才能用的道具】",背包筛选类型【冒险模式背包的筛选类型，1装备2工具3方块4材料】,"道具类型【会影响道具的功能，无0，方块1，杂物2，工具3，一组物品4，怪物5，帐号物品6，弓7，投掷8，装备9，枪械10，食物11，12工具+投掷物，13工具+食物，14方块+食物，16机械，17地图通行证，18乐器，19喷漆贴图，20气泡，21武器皮肤，22播报，23称号，24特长碎片,25头像，26动作，27心情框，28背景，31可孵化蛋，32方块+预制蓝图】","创造模式背包一级分类【0不显示,1作物2工具3杂物4方块5编辑】",创造模式背包二级分类【植物=11 食物=12 饲料=13 特殊作物=14 道具=21 电路=22 生物=23 装备=24 建材=[31] 家具=32 装饰物=33 特殊杂物=34 地形=41 资源=42 特殊方块=43 建筑=44 玩法=51】,排序【创造模式背包同分类下调整排序用，数字小的在前面，数字相同id小的在前面】,高级创造排序【高级创造背包/高级资源列表/资源库，同分类下调整排序用，数字小的在前面，数字相同id小的在前面】,类型描述,新道具提示版本号【填了之后，玩家第一次看到时会显示新字，取第二位】,描述中的解锁途径-String表ID,类型描述-String表ID,描述【所有道具tips等用到道具描述的地方，都是读的这里】,获取方式(工匠台和冶炼台的内容可读取并显示在tips上，无需写在这里了),图标【所有显示道具图标的地方都是读的这里，默认文件路径是env1/bin/res/items；方块类道具不填则使用自动生成的图标；#=使用角色头像，hf=使用头像框图标，#avatar_icon1000_=使用avatar图标，[=使用方块贴图】,是否显示模型【控制拿在手上是否显示模型，0显示图标，1显示工具模型toolmodel，2显示方块模型有模型优先调用模型没有就程序生成blockmodel，9显示新prefab模型（prefab道具手持），10prefab方块手持】,图标特效/填1带有特效,挥舞音效,挥舞用的图片,第一人称大小,第三人称大小,掉落物大小,挥舞周期（毫秒）,冒险背包最大堆叠数目/做了防作弊的处理，获得超过这个数量会宕机,是否可以右键使用,右键使用操作范围(1/100方块）,归属物品组【同一物品组，在作为制作或者修理素材时会视为同一物品】,"使用目标:0-放置或者不能用, 1-点击方块, 2-点击液体方块  3-点使用按钮,  4-使用弓, 5-使用食物，6-使用特技，7-仓库中使用，8-使用枪, 9-蓄力扔出，烟雾弹，手雷等,10-钩爪, 11-“微缩组合”道具，12-乐器，14-使用盾牌，15-使用timeline蓄力投出）",使用的脚本,使用的脚本2（同时使用两个脚本时填写）,发射器发射物品的脚本,附魔标记（1放上面 2放下面 3前两者都可以 0前两者都不可以）,材料级别（0木1皮2石3链4铁5钛合金6钻，6代表5条附魔 5代表3条附魔 4代表1条附魔）,附魔后道具ID,是否可以提取(0不能 1能 2只有房主),分数,冷却,道具功能,消耗饥饿度,手持特效,手持特效放大系数,UGC工具屏蔽（填0或空不屏蔽脚本调用，作者解锁了就能用。填1屏蔽脚本调用。填2屏蔽脚本、选择器调用，作者解锁也不能用）,给道具添加技能（可以添加多个，用 | 隔开）,3.0高级创造背包开放，11=地形，12=植物，13=建筑，14=装饰，15=星能，16=颜色，17=功能，18=机械，21=动物，22=怪物，23=人物（NPC），24=载具，31=装备，32=功能，33=食物，34=材料，35武器，36工具，41=功能，42=创造，43=功能对象 999=不展示并屏蔽使用功能,显示模型特效（prefab模型使用，0或不填=不显示，1=显示）,显示第一人称手模型(1=显示，0=不显示),新输入方式标识（0或不填为老单击、长按判断，1为新单击长按判断）,标签,豪华值
20,外星空气,,,,,,,,,,,,,,,,,-1,,,,,,,,,0,0,,,,测试,,,,快去下载最新的游戏版本吧！,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
21,游戏版本过低,,,,,,,,,,,,,,,,,-1,,,,,,,,,0,0,,,,测试,,,,快去下载最新的游戏版本吧！,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
22,游戏版本过低,,,,,,,,,,,,,,,,,-1,,,,,,,,,0,0,,,,测试,,,,快去下载最新的游戏版本吧！,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
23,深积岩,,SedimentaryRock,11,,,4,4,,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,240,测试,22,,,在深海中被挤压了数万年而形成的层叠结构，蕴含了深海藻类所需的各类营养，非常适合种植荧光棒藻和红藻,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
24,锰结核矿,,ManganeseOre,11,,,4,3,,,,,,,,,,-1,,,,,,,,3,1,4,[42],0,650,测试,22,,,用于#c0aba1d强化潜水装备、制作@item_1206##n抵御深海的高压,锰金属不断地在@item_23#中凝聚所产生的矿物，因此只在深海稍有产出，破坏后掉落@item_12614#,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
25,礁石,,Reef,11,,,4,4,,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,240,测试,22,,,非常适合珊瑚生长，珊瑚成熟后，礁石的颜色也会随之变化,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
26,漂流瓶,,,32,,,3,4,,,,,,,,,,-1,,,,,,,,3,1,3,[33],0,140,测试,22,,100014,在海洋与河流生态#c0aba1d蓄力#n丢出，水流会带着你的心愿到远方，也许有一天会被人在远方发现,将@item_11806#放入放置在@item_28#中获得,icon12720,2,,,,1.5,1.5,1.5,200,1,0,5,,9,,,,,,,,,,,,,,,,32,,,,,
27,远方的漂流瓶,,,,,,3,4,,,,,,,,,,-1,,,,,,,,,,,,,,测试,22,,100014,密封在漂流瓶中的纸条往往包含着重要的信息或者衷心的祝福，当然也有可能是某人某时的所思所想，看它的样子像是跨越了山海，穿越了时间…把瓶子放在地上取出纸条看看吧…,钓鱼和探索海洋有几率获得,icon27,2,,,,1.5,1.5,1.5,200,1,0,5,,9,,,,,,,,,,,,,,,,,,,,,
28,小玻璃瓶（方块）,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,测试,22,,100014,将它摆出来，把写了字的@item_11806#装进去,,icon11320,2,,,,1.5,1.5,1.5,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
29,黄沙,,Sand,11,,,4,3,,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,110,测试,,,100016,#c0aba1d铲类工具#n可快速开采，是冶炼@item_11305#的原材料，@item_11305#常用于制作@item_632#,常见于#c0aba1d水边#n和#c0aba1d沙漠地区#n,,2,,,,,,,200,64,0,5,29,,,,,,,,,,,,,,,,,11,,,,,
30,游戏版本过低,,,,,,,,,,,,,,,,,-1,,,,,,,,,0,0,,,,测试,,,,快去下载最新的游戏版本吧！,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
31,坚固冰棱,,HardIcicle,11,,,4,3,,,,,,,,,,-1,,,,,,,4,3,1,4,[41],32,350,测试,28,,100009,"很#c0aba1d稳定#n的冰棱,在它附近要带好头盔哦",,icon31,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
32,脆冰棱,,WeakIcicle,11,,,4,3,,,,,,,,,,-1,,,,,,,4,3,1,4,[41],32,350,测试,28,,100009,"很容易会#c0aba1d掉落#n的冰棱,在它附近要带好头盔哦",,icon32,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
33,平凡晶核矿,,OrdinaryCrystalCoreOre,,,,,,,,,,,,,,,-1,,,,,,,,3,1,,,,,测试,28,,100010,要用@item_11013#或更高级镐开采,稀有矿石，可能出现冰原#c0aba1d雪山洞窟#n和雨林的#c0aba1d地下#n,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
34,霜火石矿,,IceCrystalOre,11,,,4,3,,,,,,,,,,-1,,,,,,,,3,1,4,[42],0,650,测试,28,,100010,散发出阵阵寒气的矿石，要用@item_11011#或更高级镐开采，会使#c0aba1d周围温度降低#n,稀有矿石，可能出现冰原#c0aba1d雪山洞窟#n中,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
35,霜火石块,,IceCrystalBlock,13,,,4,4,,,,,,,,,,-1,,,,,,,4,3,1,4,[42],0,250,测试,28,,100010,大量@item_11824#聚合，发出寒光的方块，会使#c0aba1d周围温度大幅降低#n,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,13,,,,,
36,洞窟洞口刷新,,,,,,,,,,,,,,,,,-1,,,,,,,,,1,0,,,210,测试,,,,,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
37,洞窟通道刷新,,,,,,,,,,,,,,,,,-1,,,,,,,,,1,0,,,0,测试,,,,,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
38,洞窟大洞刷新,,,,,,,,,,,,,,,,,-1,,,,,,,,,1,0,,,111,测试,,,,,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
39,洞窟小洞刷新,,,,,,,,,,,,,,,,,-1,,,,,,,,,1,0,,,110,测试,,,,,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
40,虚空晶块,,,13,,,4,5,,,,,,,,,,-1,,,,,,,4,3,1,4,[42],0,250,测试,33,,100010,用虚空晶体合成的方块，可照亮周围的空间，放置在@item_596#下方后在虚空之夜凌晨时会有最强力的怪物来袭击，请慎重使用！,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,13,,,,,
41,静态星辉水,,StaticStarWater,11,,,4,2,,,,,,,,,,-1,,,,,,,,3,1,0,,70,750,测试,,,,静止的星辉水方块,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
42,动态星辉水,,StarWater,11,,,4,2,,,,,,,,,,-1,,,,,,,,3,1,0,,70,750,测试,,,,可流动的星辉水,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
43,蘑古沙,,MoguSand,11,,,4,3,,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,110,地形,,,100016,星尘之境水边特有的沙块，细腻柔软且带有闪闪发亮的碎屑。#r可以冶炼成@item_11305#,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
99,混凝土,,GrassBlock,11,,,4,3,,,,0,,,,,,-1,,,,,,,,3,1,4,[41],10,10,测试,,,100016,建筑方块,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
100,长草土块,,GrassBlock,11,,,4,3,,,,0,,,,,,-1,,,,,,,,3,1,4,[41],0,10,测试,,,100016,地表方块，铲类工具可快速开采，#c0aba1d使用耙类工具可变为@item_102#，使用铲类工具可变为@item_103#,对@item_101#使用@item_11226#可以获得,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
101,土块,,Soil,11,,,4,3,,,,,,,,,,-1,,,,,,,4,3,1,4,[41],0,10,测试,,,100016,使用@item_11226#或者雨后都会萌发绿意变@item_100#，铲类工具可快速开采，#c0aba1d使用耙类工具可变为@item_102#，使用铲类工具可变为@item_103#,地表之下随手可得,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
102,耕地,,Farmland,11,,,4,3,,,,,,,,,,-1,,,,,,,,3,1,0,,0,10,测试,,,,可种植农作物，靠近水或用水源灌溉可保持湿润，利于作物生长,使用耙开垦@item_100#或@item_101#获得,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
103,土坑,,Pit,11,,,4,3,,,,,,,,,,-1,,,,,,,,3,1,0,,0,10,测试,,,,可种植花种子、树苗，靠近水源或用水灌溉可保持湿润，利于植物生长,使用铲子开垦@item_100#或@item_101#获得,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
104,岩石,,Stone,11,,,4,3,,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,210,测试,,,100016,地下随处可见，镐类工具可快速开采,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
105,青石,,MossRock,11,,,4,4,,,,,,,,,,-1,,,,,,,4,3,1,4,[41],0,210,测试,,,100016,具有装饰作用的方块,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
106,细黄沙,,Sand,,,,,,,,,,,,,,,-1,,,,,,,,3,1,,,0,0,测试,,,100016,铲类工具可快速开采，是冶炼@item_11305#的原材料，@item_11305#常用于制作@item_632##r会受重力影响下落,常见于水边和沙漠地区,,2,,,,,,,200,64,0,5,29,,,,,,,,,,,,,,,,,,,,,,
107,碎石堆,,Gravel,11,,,4,3,,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,111,测试,,,100016,不牢固的碎石堆，铲类工具可以快速开采。#r下方为空时，站在上面会塌陷，小心站稳,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
108,素纹黄砖,,Sandstone,13,,,4,4,,,,,,,,,,-1,,,,,,,4,3,1,4,[44],0,260,测试,,,100011,用@item_29#烧制的建筑材料,,,2,,,,,,,200,64,0,5,107,,,,,,,,,,,,,,,,,13,,,,,
109,砂土,,SandySoil,11,,,4,4,,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,110,测试,,,100016,贫瘠的土块，植物无法在上面生长，铲类工具可快速开采,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
110,散落的石块,,ScatteredStone,11,,,3,3,,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,850,测试,,,100016,被风磨损的小岩石，开采后获得@item_11627#，用来制作石质工具,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
111,游戏版本过低,,,,,,,,,,,,,,,,,-1,,,,,,,,3,0,0,,,,测试,,,,快去下载最新的游戏版本吧！,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
