id,备注,中文简体,此表为公共目录stringdef表的子表，根据分配的id填写，必须与公共表格id不冲突
172819,新版仓库,还未拥有@1，快去商店挑选吧,
172820,新版仓库,搭配,
172821,新版商店,已达到装扮方案上限，请前往仓库使用,
172822,新版商店,该部件无法搭配当前装扮,
172823,新版商店,购买前阅读[color=#DD992E]《迷你大会员服务协议》[/color],
172824,新版商店,请阅读并勾选大会员服务协议,
172825,新版商店,"迷你大会员服务协议：

1、在迷你大会员有效期内可享受以下服务：
    尊贵身份：
    ①会员身份标识
    ②好友置顶（在好友列表优先排序）
    ③炫酷入场播报
    专属装扮使用权：
    ①个性头像框（可在头像框功能中查看并使用）
    ②个性聊天气泡（可在聊天界面中查看并使用）
    ③会员表情（可在聊天界面中查看并使用）
    ④专属装扮 - 苍鸿（可在商城-装扮中查看并使用）
    ⑤专属装扮 - 云胭（可在商城-装扮中查看并使用）
    专属功能特权
    ①额外获得50格仓库位
    ②额外获得5个定制装扮位
    ③云服房间内发起投票踢人
    ④家园果实成熟时间减少10%
    ⑤家园果实中，每隔48小时必定出现一个金果实

2、有效期计算规则：从开通当日起开始计算，以自然天为结算周期

3、售价及时长说明
      1个月：99迷你币，购买后立即增加31天有效期
      3个月：297迷你币，购买后立即增加93天有效期
      6个月：594迷你币，购买后立即增加186天有效期
      12个月：1188迷你币，购买后立即增加372天有效期

4、当会员有效期≤365天时，可以进行续费操作",
233021,新手创角,冒险家证,
233022,新手创角,你属于哪类冒险家？,
233023,新手创角,亲爱的玩家，在冒险开始之前，需要先登记专属冒险家证！,
233024,新手创角,昵称有不合格词，请重新想一个名字哦~,
233025,新手创角,请输入名字,
233026,新手创角,登记,
233027,新手创角,"@1，冒险家证登记成功啦！
现在自由搭配，定制你的专属装扮吧！",
233028,新手创角,点击“定制完成”后不可修改，搭配好了再点哦！,
233029,新手创角,定制完成,
233030,新手创角,恭喜创角成功！,
233031,新手创角,获得新手装扮（[color=#68FFC1]7天体验卡[/color]）,
233032,新手创角,玩家昵称,
233033,新手创角,开启冒险,
233034,新手创角,定制新手装扮,
233035,新手创角,请选择性别,
233036,新手创角,请选择定制装扮,
233037,新手创角,创建角色失败，请稍后重试,
233038,新手创角,装扮已保存至坑位,
233039,新手创角,定制装扮保存失败,
233040,新手创角,请选择冒险家类型,
233041,新手创角,名字已存在,
233042,新手创角,名字长度不能超过7个字,
233043,新手创角,使用装扮失败,
233044,存档错误提示,记录已失效，可以用id或名字重新搜索作品,
233045,新手创角指引,"@1，欢迎来到迷你世界!
为了让你更了解游戏，请选择对应指引!",
233046,新手创角指引,让我带领你来开始游玩吧！,
233047,新手创角指引, 请选择你喜欢的地图，进行游玩吧！,
233048,新手创角指引,请先选择一种游玩模式创建游戏！,
233049,新手创角指引,请为模式取一个名字，点击开始生成地图！,
233050,新手创角指引,试试移动到光环这儿吧！,
233051,新手创角指引,试试看跳跃！,
233052,新手创角指引,中心瞄点点亮的方块区域，点击可放置方块，来试试看放置你的第一块方块吧！,
233053,新手创角指引,中心瞄点点亮的方块区域，右键可放置方块，来试试看放置你的第一块方块吧！,
233054,新手创角指引,刚刚你放置了你的第一块方块！长按方块可以销毁它，试试看吧,
233055,新手创角指引,刚刚你放置了你的第一块方块！对准按左键可以销毁它，试试看吧,
233056,新手创角指引,点击切换到飞行模式，视角更广创造也更方便哦~,
233057,新手创角指引,双击空格键切换到飞行模式，视角更广创造也更方便哦~,
233058,新手创角指引,打开背包可以获取到各种资源哦！,
233059,新手创角指引,按B键与点击背包可以获取到各种资源哦！,
233060,新手创角指引,将背包中的物品拖到栏中，就可以随身携带放置使用,
233061,新手创角指引,有些方块可使用，将方块拿在手上，点击使用按钮来使用,
233062,新手创角指引,有些方块可使用，将方块拿在手上，点击右键来使用它们,
233063,新手创角指引,你都了解啦，那么开始你的创造吧！,
233067,新手创角指引,现在自由搭配，创建角色即可开启冒险!,
233068,新手创角指引,"非常熟悉沙盒游戏玩法
（跳过新手教程）",
234001,房间水印优化,单人房间状态,
234002,存档备份,"确认使用当前备份地图进行还原？
[color=#EA532F]还原后会覆盖当前地图[/color]",
234003,存档备份,暂无本地备份,
234004,存档备份,暂无云端备份,
234005,存档备份,是否将该地图上传到云端？,
234006,存档备份,还原备份,
234007,存档备份,确认还原,
234008,存档备份,创建本地备份,
234009,存档备份,创建云端备份,
234010,存档备份,备份还原帮助,
234011,存档备份,"[color=#D0773C]自动备份:[/color][color=#514E45]备创作者[b]更新[/b]公开发布地图时，会将线上地图公开版本自动备份一份到备份还原功能的本地列表内。
[/color]
[color=#D0773C]本地备份:[/color][color=#514E45]备份的地图文件存储在本地存储内。
[/color]
[color=#D0773C]云端备份:[/color][color=#514E45]备份的地图文件存储在服务器存储内，可以进行跨设备还原。
[/color]
[color=#D0773C]扩容:[/color][color=#514E45]云端容量有使用限制，可以通过扩容按钮进行扩容。
[/color]
[color=#D0773C]还原按钮:[/color][color=#514E45]点击还原按钮会使用此备份文件，覆盖到当前使用存档。
[/color]
[color=#D0773C]云备份按钮:[/color][color=#514E45]将此备份文件同步到云端备份。
[/color]
[color=#D0773C]删除按钮:[/color][color=#514E45]删除此备份文件。[/color]",
234012,存档备份,备份管理帮助,
234013,存档备份,"[color=#D0773C]地图列表:[/color][color=#514E45]当前有使用备份的所有地图。
[/color]
[color=#D0773C]自动备份:[/color][color=#514E45]创作者更新公开发布地图时，会将线上地图公开版本自动备份一份到备份还原功能的本地列表内。
[/color]
[color=#D0773C]还原按钮:[/color][color=#514E45]点击还原按钮会使用此备份文件，覆盖到当前使用存档。
[/color]
[color=#D0773C]云备份按钮:[/color][color=#514E45]将此备份文件同步到云端备份。
[/color]
[color=#D0773C]删除按钮:[/color][color=#514E45]删除此备份文件。
[/color]",
234014,在线地图备份,下载中,
234015,在线地图备份,解压中,
234016,在线地图备份,创建备份中,
234017,在线地图备份,当前线上版本备份完成,
234018,在线地图备份,线上版本备份失败,
234019,在线地图备份,发布同时备份当前上线版本到本地备份管理库,
234020,存档详情页,游戏类型,
234021,存档详情页,游戏作品,
234022,在线地图备份,当前线上地图备份,
234023,在线地图备份,自动备份,
234024,在线地图备份,不是作者,
234025,在线地图备份,其他备份执行中,
234026,在线地图备份,服务URL空,
234027,在线地图备份,下载地址空,
234028,在线地图备份,MD5校验失败,
234029,在线地图备份,下载失败,
234030,在线地图备份,解压失败,
234031,在线地图备份,压缩失败,
234032,在线地图备份,读取地图失败,
234033,在线地图备份,文件夹创建失败,
234034,在线地图备份,压缩校验失败,
234035,云服调试,云服调试版本,
234036,云服调试,需要先在studio上传云服调试数据,
234050,搜索动态,玩家、地图、动态,
234051,搜索动态,输入关键字搜索动态,
234060,跳转材质界面,材质包未解锁，请到资源工坊中解锁,
234080,通用提示,正在加载中，请稍后再试...,
234081,通用提示,已保存到系统相册,
234082,通用提示,已保存到桌面,
234083,通用提示,保存本地,
234084,通用提示,聊天,
234085,通用提示,请输入搜索关键字,
234086,通用提示,热搜作者,
234087,通用提示,近期热门,
234088,通用提示,请输入介绍。,
234089,通用提示,请输入名称最多%s个字(必填),
234090,通用提示,请输入介绍(必填)。,
234091,通用提示,未发布,
234092,通用提示,暂时无法发布大于1G的作品，请您优化地图后再试,
234093,通用提示,猜你喜欢,
234094,通用提示,清空列表,
234095,通用提示,导入,
234096,通用提示,提交订单,
234097,通用提示,前往,
234098,通用提示,发布作品,
234099,通用提示,导入完成,
234100,通用提示,链接失效,
234101,通用提示,创建房间失败，使用单机启动,
234102,通用提示,该地图未公开发布，无法打开作品详情页,
234103,通用提示,云服模式地图无法开设个人云服房间，请选择其它地图,
234104,通用提示,开设个人云服房间失败,
234105,通用提示,注意：非云服房间、沙盒服务器房间、迷你云服房间三种房间内的游戏数据不互通！,
234106,通用提示,作者未开启此功能,
234107,通用提示,请选择地图,
234108,通用提示,帮助说明,
234109,通用提示,（适度娱乐，理性消费）,
234110,通用提示,房间即将在%s后到期关闭,
234111,通用提示,道具%s不足，还需要%s个,
234112,通用提示,神秘玩家,
234113,通用提示,购买道具,
234114,通用提示,仍然创建,
234115,通用提示,图片压缩失败,
234116,通用提示,未保存,
234117,通用提示,最近玩家,
234118,通用提示,这里空空如也~,
234119,通用提示,活动时间,
234120,通用提示,活动奖励,
234121,通用提示,房员管理,
234122,通用提示,备份文件解压失败，失败文件：,
234123,通用提示,运行,
234124,通用提示,维护,
234125,通用提示,关闭,
234126,通用提示,权限,
234127,通用提示,状态,
234128,通用提示,分享给好友,
234129,通用提示,分享给群组,
234130,通用提示,协作,
234131,通用提示,无,
234132,通用提示,移除记录,
234133,通用提示,操作太频繁了，请稍后再试,
234134,通用提示,我收藏的,
234135,通用提示,删除之后此地图将不在游戏库内展示，可以在studio上重新发布或云服调试来恢复展示状态,
234136,通用提示,地图名修改成功,
234137,通用提示,请选择要上传/下架的地图,
234138,通用提示,确定取消本次游戏加载吗？,
234139,通用提示,我再想想,
234140,通用提示,确认取消,
234141,通用提示,发布时间,
234142,通用提示,更新时间,
234143,通用提示,数据异常，请重新打开页面,
234144,通用提示,图片上传失败，请稍后再试,
234145,通用提示,下架商品,
234146,通用提示,确认下架,
234147,通用提示,操作成功,
234148,通用提示,撤销,
234149,通用提示,付费,
234150,分发,公开,
234151,分发,私人,
234152,分发,云服游戏选择,
234153,分发,创建私人房间,
234154,分发,私人云服房间时长剩余,
234155,分发,房间即将在%s后关闭,
234156,分发,离开地图将关闭私人云服房间，结束本次体验,
234157,分发,离开地图将踢出其他玩家，关闭私人云服房间，结束本次体验,
234158,分发,退出游戏会和其他队员一起返回组队主页哦~,
234159,分发,每消耗%s张房间卡可创建%s私人房间,
234160,创建私人云服帮助文案,"1.创建私人云服房间需要消耗%CostNum%张道具%CostName%。
2.私人云服房间的房主权限归创建者所有，房主退出后，房间关闭。
3.房间最多存在3小时，超时则自动关闭，请注意时效。
4.房间人数默认最多6人，具体以进入游戏后实际人数为准。
5.如果因意外掉线等原因退出地图，房间会保留一段时间，在这段时间内可以重新进入房间，如果房主长时间不回来，房间会关闭。",
234161,分发,%s的私人房间,
234162,分发,私人房间,
234163,分发,%s的服务器,
234164,分发,迷你云服房间,
234165,项目管理,[项目]副本管理,
234166,项目管理,创建副本,
234167,项目管理,最后编辑,
234168,项目管理,改名,
234169,项目管理,请输入修改后的名称,
234170,项目管理,项目,
234171,项目管理,关联地图数据详情,
234172,项目管理,主地图,
234173,项目管理,副本地图,
234174,项目管理,项目审核详情,
234175,项目管理,项目审核未通过,
234176,项目管理,主地图审核未通过,
234177,项目管理,副本审核未通过,
234178,项目管理,"本地图转换为项目地图后可添加副本，但每次发布审核时玩家暂时无法游玩
(项目只能上传为[color=#FF0000]不支持单人模式[/color]的云服游戏地图)",
234179,项目管理,"项目中[color=#FF0000]包含的副本将一并删除[/color]，是否删除？
（本地未备份存档，删除将无法恢复）",
234180,项目管理,当前最多只可配置 %s 个副本,
234181,项目管理,副本,
234182,项目管理,项目发布,
234183,项目管理,可在游戏内，通过传送门和触发器关联副本地图,
234184,项目管理,快去右上角创建副本地图吧,
234185,项目管理,需要勾选发布主地图,
234186,创作中心,我要创作,
234187,创作中心,常用服务,
234188,创作中心,服务平台,
234189,创作中心,赛事大厅,
234190,创作中心,反馈建议,
234191,创作中心,工具资讯,
234192,创作中心,创作动态,
234193,创作中心,7日数据,
234194,创作中心,获赞数,
234195,创作中心,评论数,
234196,创作中心,游玩数,
234197,创作中心,成为见习创作者后可见,
234198,创作中心,官方教程,
234199,私人云服,已到期,
234200,沙盒服务器,沙盒服务器,
234201,沙盒服务器,沙盒服务器说明,
234202,沙盒服务器,"玩家可以租用自己的服务器，将本地自己专属玩法的地图上传到服务器上开设服务器房间，即使房主不在线也可以和小伙伴们进行联机冒险。
[color=#ff0000]注意：
房主与管理员有义务维护房间良好环境，避免房间出现违法违规的情况，如有恶意违规行为官方有权对房间进行封禁。
服务器房间只能使用非云服游戏地图，数据是独立存储在服务器房间内，与普通联机、迷你云服房间的数据是不互通的。[/color]",
234203,沙盒服务器,服务器管理,
234204,沙盒服务器,服务器管理帮助,
234205,沙盒服务器,"[b]基础设置说明
[/b]
[color=#FFA500]1.名称介绍：[/color]在外显场景中显示，需要审核后才会其它玩家才会看到。
[color=#FFA500]2.密码：[/color]设置密码后,玩家需要输入正确的密码才能进入云服(服主、超管和管理,进入云服不需要输入密码)。
[color=#FFA500]3.权限：[/color]
好友可进入：只有是服主好友的玩家才能进入此云服;
白名单可进入：只有在此云服白名单内的玩家才能进入此云服
注：【好友可进入】【白名单可进入】都勾选则好友与日白名单都可进入云服,若都不勾选则所有玩家都可以进入此云服。
[color=#FFA500]4.保存：[/color]对以上基础内容编辑修改后需要点击保存,才能设置成功。

[b]玩家设置说明
[/b]
[color=#FFA500]1.玩家：[/color]玩家列表记录进入过此云服的玩家，并显示玩家最后登录时间或正在游戏中(点击玩家右侧的【设置】按钮可对玩家进行设置权限等功能)
[color=#FFA500]2.白名单：[/color]在云服管理-基础-权限中勾选【白名单可进入】时,只有在白名单内的玩家才能进入此云服。
[color=#FFA500]3.黑名单：[/color]黑名单内的玩家不能进入此云服。
[color=#FFA500]4.管理者：[/color]服主能将玩家设为管理者(管理者分两种：超级管理员!与管理员),服主外的管理者只能在云服内使用自己的权限(具体拥有的权限请点击【超级管理员】、【管理员】查看)。
[color=#FFA500]5.搜索框：[/color]输入迷你号点击搜索,该迷你号玩家将显示在列表中,可对其进行设置。

[b]备份说明
[/b]
[color=#FFA500]1.当前在用存档：[/color]
置顶的存档位是云服当前在用存档。
点击设置按钮可进行存档备份,即在此存档列表下新增一个备份存档(备份需要关闭云服后进行)
[color=#FFA500]2.备份的存档：[/color]
备份的存档共有4个(不包括当前在用存档),创建云服时会将上传的地图自动备份一个备份存档。其余备份存档需要服主手动备份。
点击设置按钮可进行还原、下载、重命名和删除。还原：将此备份存档覆盖当前在用存档(还原操作需要关闭云服后进行);下载：将此备份存档下载到服主本地：重命名：修改此备份存档的名称;删除：将此备份存档在列表中删除。

[b]状态设置说明
[/b]
[color=#FFA500]1.云服状态：[/color]
分为开启与关闭状态（点击开关按钮进行状态切换）。
开启：云服正常运行，玩家可进入;
关闭：云服停止运行，所有玩家无法进入。云服在关闭状态下，能进行以下操作：存档备份、备份还原、升级云服和重置云服。
[color=#FFA500]2.维护状态：[/color]
分为正常与维护状态(当云服在开启状态下，维护状态才能调整)。
正常：云服对外开放，符合条件的玩家就能进入（条件指：基础设置中的密码、好友可进、白名单可进，以及黑名单）;
维护：云服不对外开放，已在云服的其他玩家会被踢出云服房间，只有服主与超级管理员可进入，在房间内邀请其他玩家才能进入云服。
[color=#FFA500]3.云服公告：[/color]服主与超级管理员可发布公告，云服每天可发布3次公告。(不勾选“仅提示一次”，则每次进入云服都会弹出此公告;勾选后公告只出现一次，再次进入云服不提示。)",
234206,沙盒服务器,备份列表,
234207,沙盒服务器,重命名,
234208,沙盒服务器,当前备份正在下载中，请耐心等候,
234209,沙盒服务器,其他备份正在下载中，请完成后再执行此操作,
234210,沙盒服务器,沙盒服务器备份解压失败,
234211,沙盒服务器,沙盒服务器备份转换失败,
234212,沙盒服务器,沙盒服务器备份下载失败,
234213,沙盒服务器,沙盒服务器备份下载成功，已下载到个人的存档或对应地图存档的云服备份中。,
234214,沙盒服务器,下载进度,
234215,沙盒服务器,上传进度,
234216,沙盒服务器,未选择地图,
234217,沙盒服务器,当前沙盒服务器正在上传地图，请耐心等候,
234218,沙盒服务器,有沙盒服务器正在上传地图，请完成后再执行此操作,
234219,沙盒服务器,可容纳%s人,
234220,沙盒服务器,服务器号,
234221,沙盒服务器,服务器,
234222,沙盒服务器," 1、添加黑名单
 2、将玩家踢出房间
 3、修改公告
 4、将玩家禁言
 5、游戏权限管理",
234223,沙盒服务器,服务器数量,
234224,沙盒服务器,游戏权限管理,
234225,沙盒服务器,权限说明,
234226,沙盒服务器,请输入服务器名,
234227,沙盒服务器,请输入服务器简介,
234228,沙盒服务器,请输入服务器密码,
234229,沙盒服务器,沙盒服务器已到期，请续费。,
234230,沙盒服务器,沙盒服务器已到期,
234231,沙盒服务器,沙盒服务器已关闭,
234232,沙盒服务器,沙盒服务器正在维护,
234233,沙盒服务器,"沙盒服务器创建成功。
  立刻开启服务器？
  （开启后才能进入云服游玩）",
234234,沙盒服务器,已使用空间：@1/@2,
234235,沙盒服务器,还没有服务器，快去整一个吧~,
234236,沙盒服务器,游戏地图暂时不支持此功能,
234237,沙盒服务器,确认清空白名单列表？,
234238,沙盒服务器,确认清空黑名单列表？,
234239,沙盒服务器,确认清空超级管理员列表？,
234240,沙盒服务器,确认清空管理列表？,
234241,沙盒服务器,是否将[color=#0aaa1a]%s[/color]踢出房间并拉入服务器黑名单？,
234242,沙盒服务器,我要拉黑,
234243,沙盒服务器,仅踢出房间,
234244,沙盒服务器,请使用%s以下的地图开设服务器,
234245,沙盒服务器,服务器已被封禁，无法执行任何操作,
234246,沙盒服务器,请等待审核完成之后再修改,
234247,沙盒服务器,当前房间已违规，请手动重置服务器,
234248,沙盒服务器,我的服务器,
234249,沙盒服务器,购买服务器,
234250,沙盒服务器,我玩过的,
234251,沙盒服务器,服务器类型,
234252,沙盒服务器,仅好友与白名单,
234253,沙盒服务器,仅好友,
234254,沙盒服务器,仅白名单,
234255,沙盒服务器,密码,
234256,沙盒服务器,公开,
234257,沙盒服务器,该服务器涉嫌违规，暂时无法查看,
234258,沙盒服务器,这个服务器太棒了，我想分享它,
234259,沙盒服务器,重置服务器,
234260,沙盒服务器,关闭服务器,
234261,沙盒服务器,开启服务器,
234262,沙盒服务器,上传地图,
234263,沙盒服务器,选择的服务器包含违规服务器，无法执行此操作,
234264,沙盒服务器,发布公告,
234265,沙盒服务器,公告仅提示一次,
234266,沙盒服务器,"1、提交申诉前，请确保此云服的地图与信息无违规内容，并请必须认真阅读
2、提交后，等待申诉通过云服才能正常使用。
3、若申诉不通过，将返回待修改状态。",
234267,沙盒服务器,“内容发布须知”,
234268,沙盒服务器,仅服主可以发起招募,
234269,沙盒服务器,发起招募需要将房间转为公开，将会移除服务器的仅好友、仅白名单和密码限制,
234270,沙盒服务器,移除并招募,
234271,沙盒服务器,服主很懒，还没有写介绍,
234272,沙盒服务器,批量重置完成,
234273,沙盒服务器,批量开启完成,
234274,沙盒服务器,批量关闭完成,
234275,沙盒服务器,成功数量：%s，失败数量：%s,
234276,沙盒服务器,请勾选需要批量处理的服务器,
234277,沙盒服务器,没有可以开启的服务器,
234278,沙盒服务器,没有可以关闭的服务器,
234279,沙盒服务器,将#cff0000@1#n个服务器进行关闭，关闭将踢出服务器中所有玩家！,
234280,沙盒服务器,没有可以重置的服务器,
234281,沙盒服务器,将#cff0000@1#n个服务器进行服务器重置。服务器重置会#cff0000不可逆#n地清除当前所有存档备份以及服务器设置等信息，请务必谨慎操作！,
234282,沙盒服务器,没有可以上传地图的服务器,
234283,沙盒服务器,"违规服务器将转为#cDA5B0A待修改#n状态。
待修改状态下，你可以对服务器的地图与信息进行修改。确认无违规内容，可提交申诉，申诉通过后违规状态才会解除。
或者您可以选重置服务器。",
234284,沙盒服务器,选择执行方式,
234285,沙盒服务器,购买服务器,
234286,沙盒服务器,选择服务器类型,
234287,沙盒服务器,选择时长,
234288,沙盒服务器,选择购买数量,
234289,沙盒服务器,已选择,
234290,沙盒服务器,购买时长,
234291,沙盒服务器,单价,
234292,沙盒服务器,费用总计,
234293,沙盒服务器,最多容纳%s人,
234294,沙盒服务器,续费升级服务器,
234295,沙盒服务器,续费人,
234296,沙盒服务器,续费天数,
234297,沙盒服务器,续费日期,
234298,沙盒服务器,服务器的续费名单,
234299,沙盒服务器,续费名单,
234300,房间名,云服房间,
234301,地图房间列表,%s等 在玩,
234302,地图房间列表,%s 在玩,
234303,切换房间,换房间,
234304,切换房间,当前地图无法换房间,
234305,切换房间,已经是房主，不能创建,
234306,地图房间列表,正在此房间,
234307,房间邀请,邀请你一起玩,
234308,房间邀请,发现一个好玩的地图，快来一起吧,
234309,地图整体创建,副本,
234310,地图整体创建,即将进入下架审核流程，在审核通过之前，作品仍然处于发布状态。,
234311,地图整体创建,删除项目下副图后才能删除项目,
234312,地图整体创建,精选地图暂不允许下架，请先与平台进行联系,
234313,沙盒服务器,发现服务器,
234314,沙盒服务器,请填写服务器名称和介绍,
234315,私人云服,私人房间续费,
234316,私人云服,续费时长,
234317,私人云服,当前私人房间有效期为,
234318,私人云服,续费后私人房间有效期为,
234319,私人云服,房间即将在%s后结束，如需继续游戏请提醒房主续时,
234320,私人云服,房间即将在%s后结束，如需继续游戏请用房间卡续时,
234350,新资源详情,详情,
234351,新资源详情,讨论,
234352,整合包更新,更新整合包中，请勿关闭当前页面避免造成存档丢失。,
234400,新资源商店,资源文件详情,
234401,新资源商店,了解生产教程,
234402,新资源商店,前往生产模组,
234403,新资源商店,"如何将资源上架？
1.将自己生产的模组在模组库处同步上传到云端。
2.点击发布资源按钮，选择发布模组，然后就可以选择已上云并审核通过的模组了。
3.更新模组本体也需要在模组库处将修改好的模组同步上传到云端。",
234404,新资源商店,该资源已经发布过请选择其它资源。,
234405,新资源商店,请输入名称最多7个字(必填),
234406,新资源商店,请简单介绍你的资源(必填)。,
234407,新资源商店,名称不能为空,
234408,新资源商店,简介不能为空,
234409,新资源商店,名称和简介不能为空,
234410,新资源商店,请输入价格,
234411,新资源商店,发布达到上限，您可以尝试下架不必要的资源商品或者提示升级解锁发布权限,
234412,新资源商店,图片数量达到上限,
234413,新资源商店,请设置封面图,
234414,新资源商店,游戏内玩法截图不能少于%s张,
234415,新资源商店,选择合适的标签，让作品被更多人看到。,
234416,新资源商店,价格不能为空,
234417,新资源商店,标签不能为空,
234418,新资源商店,由于您的作品出现%s违规，发布审核结果为不通过，请您修改后重新提交,
234419,新资源商店,由于您的作品出现%s违规，已被封禁,
234420,新资源商店,作品正在审核中，审核通过后作品会在沙盒工坊正常展示,
234421,新资源商店,作品发布成功,
234422,新资源商店,提交成功，审核通过后会在沙盒工坊正常展示,
234423,新资源商店,"确定要删除作品吗?
删除作品后会删除该作品的所有数据,但是不影响已购买玩家使用。再次发布将会变成一个新的商品资源。",
234424,新资源商店,通过模组为地图添加有趣玩法,
234425,新资源商店,模组库,
234426,新资源商店,创造模式暂不支持导入模组，加速支持中~,
234427,新资源商店,当前玩法暂不支持导入模组~,
234428,新资源商店,可编辑,
234429,新资源商店,不可编辑,
234430,新资源商店,可发布,
234431,新资源商店,不可发布,
234432,新资源商店,本模组允许玩家进行本地修改,
234433,新资源商店,本模组允许玩家导入到地图后随地图发布,
234434,新资源商店,价格范围最低%s，最高%s,
234435,新资源商店,发布数量已达到上限，提升平台等级解锁更高的发布上限,
234436,新资源商店,获取该资源云端的最新版本进行更新。,
234437,新资源商店,"玩家根据你设定的价格获取永久试用权限。
上架的资源作品选择迷你币或者迷你豆付费获取后，将无法改回免费。",
234438,新资源商店,添加到创建新世界界面成功。,
234439,新资源商店,该资源商品涉嫌违规，已被封禁,
234440,新资源商店,我很喜欢这个资源，我想将它分享到,
234441,新资源商店,商品内容出现违规暂无法使用，等待作者更新,
234442,新资源商店,该资源商品审核未通过，暂时无法执行此操作,
234443,新资源商店,"由于您的作品出现%s导致封禁
你可以选择下架或者联系官方进行申诉",
234444,新资源商店,下架作品,
234445,新资源商店,截图,
234446,新资源商店,更新资源请更新介绍,
234447,新资源商店,作品包含不开源的模组%s，请移除后发布,
234448,新资源商店,模组已下载，可在模组库中查看并使用,
234449,新资源商店,商品目前已下架，暂无法打开详情页,
234450,新资源商店,完全开源,
234451,新资源商店,本模组允许修改并支持跟随地图发布和作为新模组进行发布,
234452,新资源商店,"你确认要下架作品吗?
下架商品对自己和已购买的玩家可见,保留统计数据。下架后可以重新上架。",
234453,新资源商店,作品已重新上架,
234454,新资源商店,删除作品,
234455,新资源商店,联机模式无法执行此操作,
234456,新资源商店,更新的模组需要重新导入地图才会生效,
234457,新资源商店,开启后，玩家可以通过观看广告解锁商品,
234458,新资源商店,上架的资源作品选择迷你币或者迷你豆付费获取后，将无法改回免费。,
234459,新资源商店,购买解锁后才可以进行点赞点踩,
234460,新资源商店,仅展示支持导入模组的地图,
234461,新资源商店,您不能对自己发布的资源商品进行收藏操作,
