法术ID,法术名,描述,图标,法术颜色(11517=红，11518=蓝，11520=绿，11519=黄，11521=紫，11522=无),法术等级,铭刻特殊材料(用|隔开）,稳定剂权重增益,属于符文卷轴,符文卷轴权重,属于武器类型,武器权重,解锁道具,技能文件名,铭刻特效
20013,方块转化术,"点石更替，将目标方块随机转换为其他材质
可以铭刻在<font color='#70D86D'>纸张</font>上",blockTransformation,11518,1,11678|11609,5990,17020,100,,,,,
20014,低重力术,"轻身减重，赋予自身低重力提升机动性
可以铭刻在<font color='#70D86D'>纸张</font>上",lowGravity,11518,1,11678|11609,5990,17021,100,,,,,
20015,搭桥术,"吟唱结束后，在身前生成20个石块铺成桥梁，维持15秒后清除
可以铭刻在<font color='#70D86D'>纸张</font>上",bridgeConjuring,11518,1,11678|11609,5990,17027,100,,,,,
30001,初级活化术,"赋灵化形，引方块化灵伴身随行
可以铭刻在<font color='#70D86D'>纸张</font>上",lesserAnimating,11520,1,11678|11609,4280,17001,100,,,,,
30002,高级活化术,"赋灵化形，引方块化灵伴身久随
可以铭刻在<font color='#70D86D'>纸张</font>上",greaterAnimating,11520,3,11678|11611|11217,6080,17017,10,,,,,
30003,初级催生术,"催芽引灵，唤草木速焕蓬勃生机
可以铭刻在<font color='#70D86D'>纸张</font>上",lesserVitalizing,11520,1,11678|11609,4280,17002,100,,,,,
30004,高级催生术,"催芽引灵，草木生机速焕且扩域
可以铭刻在<font color='#70D86D'>纸张</font>上",greaterVitalizing,11520,3,11678|11611|11763,6080,17018,10,,,,,
30005,初级采集术,"引收灵韵，成熟植物自动入囊
可以铭刻在<font color='#70D86D'>纸张</font>上",lesserGleaning,11520,1,11678|11609,4280,17003,100,,,,,
30006,高级采集术,"引收灵韵，成熟植物自入囊且扩域
可以铭刻在<font color='#70D86D'>纸张</font>上",greaterGleaning,11520,3,11678|11611,6080,17019,10,,,,,
30007,石墙术,"垒石成壁，升起土墙阻挡移动与投射物
可以铭刻在<font color='#70D86D'>法杖</font>上",stoneWall,11520,1,11678|11609,4280,,,14,50,,Skill_StoneWall_Weapon,3168
30008,控石术,"御石控物，操控浮空石块依次射向目标
可以铭刻在<font color='#70D86D'>法杖</font>上",controlStone,11520,2,11678|11609|11611,4280,,,14,50,,Skill_ControlStone_Weapon,3168
30009,自然之球,"聚元成弹，蓄力发射超大威力炮弹击退敌人
可以铭刻在<font color='#70D86D'>法杖</font>上",natureBall,11520,3,11678|11611,6080,,,14,50,18005,Skill_NatureBall_Weapon,3174
30010,猛击,"震地碎岩，猛击地面击飞前方扇形之敌
可以铭刻在<font color='#70D86D'>剑,锤,矛</font>上",smash,11520,2,11678|11609|11611,4280,,,1|3|4,50,,Skill_Smash_Weapon,3168
30011,分裂箭,"裂矢分影，命中时分裂成多支箭矢散射
可以铭刻在<font color='#70D86D'>弓</font>上",splitArrow,11520,2,11678|11609|11611,4280,,,9,50,,Skill_SplitArrow_Weapon,3168
30012,蓄力魔弓,"凝弓聚元，蓄力射出巨型魔法箭追猎目标
可以铭刻在<font color='#70D86D'>弓</font>上",magicBow,11520,3,11678|11611,6080,,,9,50,18003,Skill_MagicBow_Weapon,3174
30013,草精灵术,"草灵伴战，召唤草元素精灵协助战斗
可以铭刻在<font color='#70D86D'>纸张</font>上",grassSprite,11520,1,11678|11609,4280,17024,100,,,,,
30014,化身方块术,"形随块变，变身为准心对准的方块伪装自身
可以铭刻在<font color='#70D86D'>纸张</font>上",blockTransform,11520,1,11678|11609,4280,17025,100,,,,,
40001,雷球术,"聚雷成珠，蓄力发射雷电球概率触发感电
可以铭刻在<font color='#70D86D'>法杖</font>上",thunderBall,11519,1,11678|11609,5990,,,14,50,,Skill_ThunderBall_Weapon,3166
40002,连锁闪电,"雷链跳跃，闪电连锁跳跃多次不衰减
可以铭刻在<font color='#70D86D'>法杖</font>上",chainLightning,11519,2,11678|11609|11611,7000,,,14,50,,Skill_ChainLightning_Weapon,3166
40003,符能机关枪,"符能速射，疯狂发射小投掷物压制目标
可以铭刻在<font color='#70D86D'>法杖</font>上",magicGun,11519,2,11678|11609|11611,7000,,,14,50,,Skill_MagicGun_Weapon,3166
40004,暗影步,"影遁无踪，短距瞬移并短暂遁入隐身
可以铭刻在<font color='#70D86D'>剑,锤,矛</font>上",shadowStep,11519,2,11678|11609|11611,5990,,,1|3|4,50,,Skill_ShadowStep_Weapon,3166
40005,雷霆一击,"雷引地裂，重击地面同时召唤雷电轰击
可以铭刻在<font color='#70D86D'>剑,锤,矛</font>上",thunderStrike,11519,2,11678|11609|11611,5990,,,1|3|4,50,,Skill_ThunderStrike_Weapon,3166
40006,雷电箭,"雷矢破空，雷箭命中附加感电持续麻痹
可以铭刻在<font color='#70D86D'>弓</font>上",thunderArrow,11519,1,11678|11609,5990,,,9,50,,Skill_Thunder_Weapon,3166
50001,虚空火球,【虚空法术会消耗生命力】虚空之火凝聚，发射火球命中后灼烧区域之敌，可以铭刻在<font color='#70D86D'>法杖</font>上,voidFireBall,11521,2,11678|11609|11611,5990,,,14,50,,Skill_VoidFireBall_Weapon,3169
50002,虚空冲击波,"【虚空法术会消耗生命力】虚空冲击波：蓄力后向前方释放矩形虚空冲击波，以大范围冲击波扩散，可以铭刻在<font color='#70D86D'>剑,锤,矛</font>上",voidShockWave,11521,2,11678|11609|11611,5990,,,1|3|4,50,,Skill_VoidShockWave_Weapon,3169
50003,虚空黑洞,【虚空法术会消耗生命力】凝聚虚空能量，生成黑洞持续吸引并伤害区域敌人，可以铭刻在法杖上,voidBlackHole,11521,3,11678|11611,5990,,,14,50,18007,Skill_VoidBlackHole_Weapon,3176
50004,虚空法球,【虚空法术会消耗生命力】发射一枚暗紫色虚空能量球，直线飞行，可以铭刻在法杖上,voidBlot,11521,1,11678|11609,5990,,,14,50,,Skill_VoidMagicOrb,3169
50005,虚空激光,【虚空法术会消耗生命力】朝前方区域发射虚空激光束，可以铭刻在法杖上,voidLaser,11521,3,11678|11611,5990,,,14,50,18006,Skill_VoidMagicLaser,3169
50006,虚空突刺,"【虚空法术会消耗生命力】从地面召唤一排虚空尖刺从敌人脚下刺出，可以铭刻在剑,锤,矛上",voidSpike,11521,1,11678|11609,5990,,,1|3|4,50,,Skill_VoidMagicThrust,3169
50007,虚空炸弹,【虚空法术会消耗生命力】在目标位置瞬发产生预警光圈，等待后爆炸，可以铭刻在法杖上,voidBomb,11521,1,11678|11609,5990,,,14,50,,Skill_VoidMagicBomb,3169
50009,虚空闪电瞬步,"【虚空法术会消耗生命力】角色化作一道紫色闪电，朝前方高速冲刺一段距离，可以铭刻在剑,锤,矛上",voidFlash,11521,2,11678|11609|11611,5990,,,1|3|4,50,,Skill_VoidLightningBlink,3169
50010,虚空激光球,"【虚空法术会消耗生命力】蓄力后在头顶生成虚空球体，持续朝四周发射激光弹幕，可以铭刻在剑,锤,矛上",voidLaserBall,11521,3,11678|11611,5990,,,1|3|4,50,18009,Skill_VoidLaserBall_Weapon,3169
50011,虚空陨石雨,【虚空法术会消耗生命力】蓄力后在头顶召唤虚空传送门，持续降下陨石雨轰击敌人，可以铭刻在法杖上,voidMeteorRain,11521,3,11678|11611,5990,,,14,50,18008,Skill_VoidMeteorRain_Weapon,3176
50012,虚空召唤,"【虚空法术会消耗生命力】召唤虚空仆从协助战斗，可以铭刻在剑,锤,矛上",voidSummonMinion,11521,2,11678|11609|11611,5990,,,1|3|4,50,,Skill_VoidSummonMinion_Weapon,3169
50013,虚空环绕球,"【虚空法术会消耗生命力】虚空环绕，凝聚虚空之力环绕自身，法球持续攻击周围敌人，可以铭刻在剑,锤,矛上",voidOrbitBall,11521,1,11678|11609,5990,,,1|3|4,50,,Skill_VoidOrbitBall_Weapon,3169
60001,烟花术,"燃彩升空，漫天烟火助兴添欢
可以铭刻在<font color='#70D86D'>纸张</font>上",sparklerConjuring,11522,1,11678|11609,4660,17012,100,,,,,
60002,大头术,"塑形弄趣，令其头大憨态尽显
可以铭刻在<font color='#70D86D'>纸张</font>上",headEnlarging,11522,1,11678|11609,4660,17013,100,,,,,
60003,小头术,"缩首凝形，小巧身形奇趣横生
可以铭刻在<font color='#70D86D'>纸张</font>上",headShrinking,11522,1,11678|11609,4660,17015,100,,,,,
60004,移动术,"牵影引灵，牵引生灵随己同游
可以铭刻在<font color='#70D86D'>纸张</font>上",creatureWarding,11522,2,11678|11611|11609|11068,5660,17016,50,,,,,
60005,互换位置术,"移形换位，发射光球与击中的目标互换位置
可以铭刻在<font color='#70D86D'>纸张</font>上",posChange,11522,1,11678|11609,4660,17022,100,,,,,
60006,击飞术,"气墙迸发，周身创建气墙击飞碰撞目标
可以铭刻在<font color='#70D86D'>纸张</font>上",knockUp,11522,1,11678|11609,4660,17023,100,,,,,
60007,跟踪飞弹,灵弹追踪，自动索敌追击目标不放,homingMissile,11522,1,11678|11609,5660,,,14,50,,Skill_HomingMissile_Weapon,3170
60008,萌兽冲击,"萌兽出击，召唤萌兽冲锋撞击目标
可以铭刻在<font color='#70D86D'>法杖</font>上",petCharge,11522,2,11678|11609|11611,5660,,,14,50,,Skill_PetCharge_Weapon,3170
60009,追踪箭,追魂索迹，自动追踪最近敌人精准命中,tracking,11522,2,11678|11609|11611,5660,,,9,50,,Skill_Tracking_Weapon,3170
60010,喷花烟花术,"彩焰绽放，挥洒绚烂烟花棒欢庆助兴
可以铭刻在<font color='#70D86D'>纸张</font>上",sparkler,11522,1,11678|11609,4660,17026,100,,,,,Skill_17026
60011,空间术,"撕开空间的法术，释放后可以在当前位置创建一个5*5*5格的独立空间，维持300秒
可以铭刻在<font color='#70D86D'>纸张</font>上",spaceExpanding,11522,1,11678|11609,4660,17028,100,,,,,
