喷漆ID,喷漆显示时间(s),喷漆贴图信息
10,30,"[{""TexName"":""#spray_010_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_010_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_010_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_010_4"", ""Left"":0,""Up"":-1}]"
11,30,"[{""TexName"":""#spray_011_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_011_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_011_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_011_4"", ""Left"":0,""Up"":-1}]"
12,30,"[{""TexName"":""#spray_012_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_012_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_012_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_012_4"", ""Left"":0,""Up"":-1}]"
13,30,"[{""TexName"":""#spray_013_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_013_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_013_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_013_4"", ""Left"":0,""Up"":-1}]"
14,30,"[{""TexName"":""#spray_014_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_014_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_014_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_014_4"", ""Left"":0,""Up"":-1}]"
15,30,"[{""TexName"":""#spray_015_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_015_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_015_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_015_4"", ""Left"":0,""Up"":-1}]"
16,30,"[{""TexName"":""#spray_016_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_016_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_016_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_016_4"", ""Left"":0,""Up"":-1}]"
17,30,"[{""TexName"":""#spray_017_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_017_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_017_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_017_4"", ""Left"":0,""Up"":-1}]"
18,30,"[{""TexName"":""#spray_018_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_018_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_018_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_018_4"", ""Left"":0,""Up"":-1}]"
19,30,"[{""TexName"":""#spray_019_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_019_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_019_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_019_4"", ""Left"":0,""Up"":-1}]"
20,30,"[{""TexName"":""#spray_020_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_020_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_020_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_020_4"", ""Left"":0,""Up"":-1}]"
21,30,"[{""TexName"":""#spray_021_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_021_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_021_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_021_4"", ""Left"":0,""Up"":-1}]"
22,30,"[{""TexName"":""#spray_022_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_022_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_022_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_022_4"", ""Left"":0,""Up"":-1}]"
23,30,"[{""TexName"":""#spray_023_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_023_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_023_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_023_4"", ""Left"":0,""Up"":-1}]"
24,30,"[{""TexName"":""#spray_024_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_024_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_024_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_024_4"", ""Left"":0,""Up"":-1}]"
25,30,"[{""TexName"":""#spray_025_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_025_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_025_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_025_4"", ""Left"":0,""Up"":-1}]"
26,30,"[{""TexName"":""#spray_026_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_026_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_026_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_026_4"", ""Left"":0,""Up"":-1}]"
27,30,"[{""TexName"":""#spray_027_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_027_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_027_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_027_4"", ""Left"":0,""Up"":-1}]"
28,30,"[{""TexName"":""#spray_028_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_028_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_028_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_028_4"", ""Left"":0,""Up"":-1}]"
29,30,"[{""TexName"":""#spray_029_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_029_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_029_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_029_4"", ""Left"":0,""Up"":-1}]"
30,30,"[{""TexName"":""#spray_030_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_030_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_030_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_030_4"", ""Left"":0,""Up"":-1}]"
31,30,"[{""TexName"":""#spray_031_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_031_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_031_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_031_4"", ""Left"":0,""Up"":-1}]"
32,30,"[{""TexName"":""#spray_032_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_032_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_032_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_032_4"", ""Left"":0,""Up"":-1}]"
33,30,"[{""TexName"":""#spray_033_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_033_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_033_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_033_4"", ""Left"":0,""Up"":-1}]"
34,30,"[{""TexName"":""#spray_034_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_034_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_034_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_034_4"", ""Left"":0,""Up"":-1}]"
35,30,"[{""TexName"":""#spray_035_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_035_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_035_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_035_4"", ""Left"":0,""Up"":-1}]"
36,30,"[{""TexName"":""#spray_036_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_036_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_036_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_036_4"", ""Left"":0,""Up"":-1}]"
37,30,"[{""TexName"":""#spray_037_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_037_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_037_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_037_4"", ""Left"":0,""Up"":-1}]"
38,30,"[{""TexName"":""#spray_038_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_038_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_038_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_038_4"", ""Left"":0,""Up"":-1}]"
39,30,"[{""TexName"":""#spray_039_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_039_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_039_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_039_4"", ""Left"":0,""Up"":-1}]"
40,30,"[{""TexName"":""#spray_040_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_040_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_040_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_040_4"", ""Left"":0,""Up"":-1}]"
41,30,"[{""TexName"":""#spray_041_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_041_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_041_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_041_4"", ""Left"":0,""Up"":-1}]"
42,30,"[{""TexName"":""#spray_042_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_042_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_042_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_042_4"", ""Left"":0,""Up"":-1}]"
43,30,"[{""TexName"":""#spray_043_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_043_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_043_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_043_4"", ""Left"":0,""Up"":-1}]"
44,30,"[{""TexName"":""#spray_044_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_044_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_044_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_044_4"", ""Left"":0,""Up"":-1}]"
45,30,"[{""TexName"":""#spray_045_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_045_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_045_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_045_4"", ""Left"":0,""Up"":-1}]"
46,30,"[{""TexName"":""#spray_046_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_046_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_046_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_046_4"", ""Left"":0,""Up"":-1}]"
47,30,"[{""TexName"":""#spray_047_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_047_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_047_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_047_4"", ""Left"":0,""Up"":-1}]"
48,30,"[{""TexName"":""#spray_048_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_048_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_048_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_048_4"", ""Left"":0,""Up"":-1}]"
49,30,"[{""TexName"":""#spray_049_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_049_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_049_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_049_4"", ""Left"":0,""Up"":-1}]"
50,30,"[{""TexName"":""#spray_050_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_050_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_050_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_050_4"", ""Left"":0,""Up"":-1}]"
51,30,"[{""TexName"":""#spray_051_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_051_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_051_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_051_4"", ""Left"":0,""Up"":-1}]"
52,30,"[{""TexName"":""#spray_052_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_052_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_052_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_052_4"", ""Left"":0,""Up"":-1}]"
53,30,"[{""TexName"":""#spray_053_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_053_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_053_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_053_4"", ""Left"":0,""Up"":-1}]"
54,30,"[{""TexName"":""#spray_054_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_054_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_054_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_054_4"", ""Left"":0,""Up"":-1}]"
55,30,"[{""TexName"":""#spray_055_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_055_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_055_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_055_4"", ""Left"":0,""Up"":-1}]"
56,30,"[{""TexName"":""#spray_056_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_056_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_056_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_056_4"", ""Left"":0,""Up"":-1}]"
57,30,"[{""TexName"":""#spray_057_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_057_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_057_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_057_4"", ""Left"":0,""Up"":-1}]"
58,30,"[{""TexName"":""#spray_058_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_058_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_058_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_058_4"", ""Left"":0,""Up"":-1}]"
59,30,"[{""TexName"":""#spray_059_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_059_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_059_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_059_4"", ""Left"":0,""Up"":-1}]"
60,30,"[{""TexName"":""#spray_060_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_060_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_060_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_060_4"", ""Left"":0,""Up"":-1}]"
61,30,"[{""TexName"":""#spray_061_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_061_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_061_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_061_4"", ""Left"":0,""Up"":-1}]"
62,30,"[{""TexName"":""#spray_062_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_062_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_062_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_062_4"", ""Left"":0,""Up"":-1}]"
63,30,"[{""TexName"":""#spray_063_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_063_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_063_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_063_4"", ""Left"":0,""Up"":-1}]"
64,30,"[{""TexName"":""#spray_064_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_064_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_064_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_064_4"", ""Left"":0,""Up"":-1}]"
65,30,"[{""TexName"":""#spray_065_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_065_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_065_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_065_4"", ""Left"":0,""Up"":-1}]"
66,30,"[{""TexName"":""#spray_066_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_066_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_066_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_066_4"", ""Left"":0,""Up"":-1}]"
67,30,"[{""TexName"":""#spray_067_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_067_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_067_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_067_4"", ""Left"":0,""Up"":-1}]"
68,30,"[{""TexName"":""#spray_068_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_068_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_068_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_068_4"", ""Left"":0,""Up"":-1}]"
69,30,"[{""TexName"":""#spray_069_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_069_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_069_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_069_4"", ""Left"":0,""Up"":-1}]"
70,30,"[{""TexName"":""#spray_070_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_070_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_070_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_070_4"", ""Left"":0,""Up"":-1}]"
71,30,"[{""TexName"":""#spray_071_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_071_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_071_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_071_4"", ""Left"":0,""Up"":-1}]"
72,30,"[{""TexName"":""#spray_072_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_072_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_072_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_072_4"", ""Left"":0,""Up"":-1}]"
73,30,"[{""TexName"":""#spray_073_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_073_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_073_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_073_4"", ""Left"":0,""Up"":-1}]"
74,30,"[{""TexName"":""#spray_074_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_074_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_074_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_074_4"", ""Left"":0,""Up"":-1}]"
75,30,"[{""TexName"":""#spray_075_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_075_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_075_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_075_4"", ""Left"":0,""Up"":-1}]"
76,30,"[{""TexName"":""#spray_076_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_076_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_076_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_076_4"", ""Left"":0,""Up"":-1}]"
77,30,"[{""TexName"":""#spray_077_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_077_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_077_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_077_4"", ""Left"":0,""Up"":-1}]"
78,30,"[{""TexName"":""#spray_078_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_078_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_078_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_078_4"", ""Left"":0,""Up"":-1}]"
79,30,"[{""TexName"":""#spray_079_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_079_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_079_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_079_4"", ""Left"":0,""Up"":-1}]"
80,30,"[{""TexName"":""#spray_080_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_080_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_080_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_080_4"", ""Left"":0,""Up"":-1}]"
81,30,"[{""TexName"":""#spray_081_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_081_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_081_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_081_4"", ""Left"":0,""Up"":-1}]"
82,30,"[{""TexName"":""#spray_082_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_082_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_082_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_082_4"", ""Left"":0,""Up"":-1}]"
83,30,"[{""TexName"":""#spray_083_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_083_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_083_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_083_4"", ""Left"":0,""Up"":-1}]"
84,30,"[{""TexName"":""#spray_084_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_084_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_084_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_084_4"", ""Left"":0,""Up"":-1}]"
85,30,"[{""TexName"":""#spray_085_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_085_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_085_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_085_4"", ""Left"":0,""Up"":-1}]"
86,30,"[{""TexName"":""#spray_086_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_086_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_086_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_086_4"", ""Left"":0,""Up"":-1}]"
87,30,"[{""TexName"":""#spray_087_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_087_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_087_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_087_4"", ""Left"":0,""Up"":-1}]"
88,30,"[{""TexName"":""#spray_088_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_088_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_088_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_088_4"", ""Left"":0,""Up"":-1}]"
89,30,"[{""TexName"":""#spray_089_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_089_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_089_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_089_4"", ""Left"":0,""Up"":-1}]"
90,30,"[{""TexName"":""#spray_090_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_090_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_090_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_090_4"", ""Left"":0,""Up"":-1}]"
91,30,"[{""TexName"":""#spray_091_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_091_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_091_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_091_4"", ""Left"":0,""Up"":-1}]"
92,30,"[{""TexName"":""#spray_092_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_092_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_092_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_092_4"", ""Left"":0,""Up"":-1}]"
93,30,"[{""TexName"":""#spray_093_1"", ""Left"":3,""Up"":0},{""TexName"":""#spray_093_2"", ""Left"":2,""Up"":0},{""TexName"":""#spray_093_3"", ""Left"":1,""Up"":0},{""TexName"":""#spray_093_4"", ""Left"":0,""Up"":0},{""TexName"":""#spray_093_5"", ""Left"":3,""Up"":-1},{""TexName"":""#spray_093_6"", ""Left"":2,""Up"":-1},{""TexName"":""#spray_093_7"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_093_8"", ""Left"":0,""Up"":-1},{""TexName"":""#spray_093_9"", ""Left"":3,""Up"":-2},{""TexName"":""#spray_093_10"", ""Left"":2,""Up"":-2},{""TexName"":""#spray_093_11"", ""Left"":1,""Up"":-2},{""TexName"":""#spray_093_12"", ""Left"":0,""Up"":-2}]"
94,30,"[{""TexName"":""#spray_094_1"", ""Left"":3,""Up"":0},{""TexName"":""#spray_094_2"", ""Left"":2,""Up"":0},{""TexName"":""#spray_094_3"", ""Left"":1,""Up"":0},{""TexName"":""#spray_094_4"", ""Left"":0,""Up"":0},{""TexName"":""#spray_094_5"", ""Left"":3,""Up"":-1},{""TexName"":""#spray_094_6"", ""Left"":2,""Up"":-1},{""TexName"":""#spray_094_7"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_094_8"", ""Left"":0,""Up"":-1},{""TexName"":""#spray_094_9"", ""Left"":3,""Up"":-2},{""TexName"":""#spray_094_10"", ""Left"":2,""Up"":-2},{""TexName"":""#spray_094_11"", ""Left"":1,""Up"":-2},{""TexName"":""#spray_094_12"", ""Left"":0,""Up"":-2}]"
95,30,"[{""TexName"":""#spray_095_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_095_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_095_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_095_4"", ""Left"":0,""Up"":-1}]"
96,30,"[{""TexName"":""#spray_096_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_096_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_096_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_096_4"", ""Left"":0,""Up"":-1}]"
