索引ID[=Library*1000000+SourceID*10000+SourceValue],库[1=项目，2=我的，3=商店],分页[数字是几就是第几页],一级分类[仅备注用],一级分类ID,一级分类stringID[有重复的读第一个],二级分类,二级分类ID（图标）,二级分类stringID,二级分类排序（数字越大越靠后，有文件夹的必须用0）,来源ID[定义看配置表的资源数据页],来源区分[0=无区分，1=官方，2=玩家自定义],内容来源参数,资源卡片格式[0=图标，1=缩略图],新增按钮[0=无，1=新增，2=上传]（实际需要技术加）,左键点击操作[0=选中资源，1=插件包那种直接进编辑界面],放到快捷栏[0=不可，1=可以],可否编辑[0=不可，大于1=可以。2=方块编辑，3=生物，4=道具编辑，5=UI编辑，6=状态编辑，8=剧情编辑，10=配方编辑，12=熔炼编辑，14插件包编辑],默认打开预览[0=默认不开，1=默认打开],"查看菜单功能[0=没有，1=排序，2=来源筛选，3=模型筛选，4=动作筛选，5=预览开关，6=文件数信息显示。多个用""，""隔开]",文件数信息显示文本[填stringid],允许自定义文件夹[0=不允许，1=允许],"管理功能[0=移动，1=下载，2=删除，3=还原，4=导入，5=同步，6=上传，7=取消上传，8=复制，9=启用，10=禁用，11=重命名，12=添加快捷栏。多个用""，""隔开]（实际需要技术改）",预览外观[0=无，1=图片，2=模型],预览内容[1=名称，2=资源类型，3=描述，4=持续时间，5=触发目标，6=需要材料，7=燃烧时间，8=低温产物，9=中温产物，10=高温产物，11=状态，12=文件大小，13=模型类型，14=作者迷你号，15=动作标记，16=图片尺寸，17=音频类型，18=时长],Tips内容
1010032,1,1,道具,3,3933,功能,32,6377,3,1,1,32,0,0,0,1,4,0,5,,0,[2],1,"[1,2,3]",
1010033,1,1,道具,3,3933,食物,33,23014,4,1,1,33,0,0,0,1,4,0,5,,0,[2],1,"[1,2,3]",
1010034,1,1,道具,3,3933,材料,34,15358,5,1,1,34,0,0,0,1,4,0,5,,0,[2],1,"[1,2,3]",
1040000,1,1,道具,3,3933,自定义,39,4544,6,4,2,,0,1,0,1,4,0,5,,0,[2],1,"[1,2,3]",
1200000,1,1,实体,16,16176,基础,111,16177,0,20,1,,0,0,0,1,0,0,,,0,,2,"[1,2,3]",
1200112,1,1,实体,16,16176,玩法,112,16185,2,20,1,112,0,0,0,1,0,0,,,0,,2,"[1,2,3]",
1200113,1,1,实体,16,16176,装饰,113,16186,1,20,1,113,0,0,0,1,0,0,,,0,,2,"[1,2,3]",
1210000,1,1,实体,16,16176,自定义,119,4544,4,21,2,,0,1,0,1,15,0,,,0,"[2,8]",2,"[1,2,3]",
1200114,1,1,实体,16,16176,特效,114,16106,3,20,1,114,,0,0,1,0,0,,,0,,2,"[1,2,3]",
1010042,1,1,玩法,4,3806,创造,42,419,0,1,0,42,0,0,0,1,0,0,5,,0,[2],1,"[1,2,3]",
1010015,1,1,玩法,4,3806,星能,15,4705,1,1,1,15,0,0,0,1,2,0,5,,0,[2],1,"[1,2,3]",
1010018,1,1,玩法,4,3806,机械,44,2141,2,1,1,18,0,0,0,1,2,0,5,,0,[2],1,"[1,2,3]",
1010041,1,1,玩法,4,3806,功能,41,6377,4,1,0,41,0,0,0,1,0,0,5,,0,[2],1,"[1,2,3]",
1010043,1,1,玩法,4,3806,功能对象,43,300339,5,1,0,43,0,0,0,1,0,0,5,,0,[2],1,"[1,2,3]",
1010044,1,1,玩法,4,3806,载具,18,15370,3,1,0,44,0,0,0,1,0,0,5,,0,[2],1,"[1,2,3]",
1050000,1,1,UI,5,101000,无,0,,0,5,0,,1,1,1,0,5,0,,,0,"[5,8,2,11]",,,
1061151,1,1,状态,6,34606,有益,61,1151,0,6,1,1151,0,0,0,0,6,0,5,,0,[2],1,"[1,2,4,3]",
1061150,1,1,状态,6,34606,有害,62,1150,1,6,1,1150,0,0,0,0,6,0,5,,0,[2],1,"[1,2,4,3]",
1061152,1,1,状态,6,34606,中立,63,1152,2,6,1,1152,0,0,0,0,6,0,5,,0,[2],1,"[1,2,4,3]",
1070000,1,1,状态,6,34606,自定义,69,4544,3,7,2,,0,1,0,0,6,0,5,,0,[2],1,"[1,2,4,3]",
1090000,1,1,剧情,7,11006,无,0,,0,9,2,,0,1,0,0,8,0,5,,0,[2],1,"[1,2,5,3]",
1100001,1,1,配方,8,1231,装备,81,2136,0,10,1,1,0,0,0,0,10,0,5,,0,[2],1,"[1,2,6]",
1100002,1,1,配方,8,1231,道具,82,2137,1,10,1,2,0,0,0,0,10,0,5,,0,[2],1,"[1,2,6]",
1100003,1,1,配方,8,1231,材料,83,2138,2,10,1,3,0,0,0,0,10,0,5,,0,[2],1,"[1,2,6]",
1100004,1,1,配方,8,1231,建筑,84,2139,3,10,1,4,0,0,0,0,10,0,5,,0,[2],1,"[1,2,6]",
1100005,1,1,配方,8,1231,装饰,85,2140,4,10,1,5,0,0,0,0,10,0,5,,0,[2],1,"[1,2,6]",
1100006,1,1,配方,8,1231,机械,86,2141,5,10,1,6,0,0,0,0,10,0,5,,0,[2],1,"[1,2,6]",
1110000,1,1,配方,8,1231,自定义,89,4544,6,11,2,,0,1,0,0,10,0,5,,0,[2],1,"[1,2,6]",
1120001,1,1,熔炼,9,1230,作物,91,296,0,12,1,1,0,0,0,0,12,0,5,,0,[2],1,"[1,2,7,8]",
1120002,1,1,熔炼,9,1230,工具,92,295,1,12,1,2,0,0,0,0,12,0,5,,0,[2],1,"[1,2,7,8]",
1120003,1,1,熔炼,9,1230,杂物,93,297,2,12,1,3,0,0,0,0,12,0,5,,0,[2],1,"[1,2,7,8]",
1120004,1,1,熔炼,9,1230,方块,94,298,3,12,1,4,0,0,0,0,12,0,5,,0,[2],1,"[1,2,7,8]",
1130000,1,1,熔炼,9,1230,自定义,99,4544,4,13,2,,0,1,0,0,12,0,5,,0,[2],1,"[1,2,7,8]",
1140000,1,1,模组,10,307118,无,0,,0,14,0,,1,1,1,0,14,0,2,,0,"[5,2,9,10]",,,
1150000,1,1,模型,11,16102,默认分类,0,3462,0,15,0,,0,1,0,1,1,1,"[3,5]",,1,"[0,11,2]",2,"[1,2,13,14,12,3]",
1160000,1,1,动作,12,16108,默认分类,0,3462,0,16,0,,0,1,0,1,0,1,"[3,4]",,1,"[0,2]",2,"[1,2,14,15,12]",
1170000,1,1,图片,13,16105,无,0,,0,17,0,,0,1,0,0,0,1,5,,1,"[0,2]",1,"[1,2,14,11,16,12]",
1330000,1,1,动效,33,305008,自定义,150,4544,0,33,0,,0,1,0,1,0,1,5,,1,"[0,11,2]",2,"[1,2,14,12,3]",
1990000,1,1,蓝图,15,16506,自定义,150,4544,0,99,0,,0,1,0,0,0,0,0,,1,"[0,2]",0,0,
2010011,2,1,方块,1,3931,地形,11,100016,0,1,1,11,0,0,0,0,2,0,5,,0,[2],1,"[1,2,3]",
2010012,2,1,方块,1,3931,自然,12,300398,1,1,1,12,0,0,0,0,2,0,5,,0,[2],1,"[1,2,3]",
2010013,2,1,方块,1,3931,建筑,13,292,2,1,1,13,0,0,0,0,2,0,5,,0,[2],1,"[1,2,3]",
2010014,2,1,方块,1,3931,装饰,14,100014,3,1,1,14,0,0,0,0,2,0,5,,0,[2],1,"[1,2,3]",
2010016,2,1,方块,1,3931,功能,16,6377,4,1,1,16,0,0,0,0,2,0,5,,0,[2],1,"[1,2,3]",
2010017,2,1,方块,1,3931,颜色,17,111911,5,1,1,17,0,0,0,0,2,0,5,,0,[2],1,"[1,2,3]",
2020000,2,1,方块,1,3931,自定义,19,4544,6,2,2,,0,0,0,0,2,0,5,,0,[2],1,"[1,2,3]",
2010021,2,1,生物,2,3932,动物,21,3964,0,1,1,21,0,0,0,1,3,0,5,,0,[2],2,"[1,2,3]",
2010022,2,1,生物,2,3932,怪物,22,3965,1,1,1,22,0,0,0,1,3,0,5,,0,[2],2,"[1,2,3]",
2010023,2,1,生物,2,3932,人物,23,16289,2,1,1,23,0,0,0,1,3,0,5,,0,[2],2,"[1,2,3]",
2030000,2,1,生物,2,3932,自定义,29,4544,3,3,2,,0,0,0,1,3,0,5,,0,[2],2,"[1,2,3]",
2010035,2,1,道具,3,3933,武器,35,23012,0,1,1,35,0,0,0,1,4,0,5,,0,[2],1,"[1,2,3]",
2010036,2,1,道具,3,3933,工具,36,23019,1,1,1,36,0,0,0,1,4,0,5,,0,[2],1,"[1,2,3]",
2010031,2,1,道具,3,3933,装备,31,3013,2,1,1,31,0,0,0,1,4,0,5,,0,[2],1,"[1,2,3]",
2010032,2,1,道具,3,3933,功能,32,6377,3,1,1,32,0,0,0,1,4,0,5,,0,[2],1,"[1,2,3]",
2010033,2,1,道具,3,3933,食物,33,23014,4,1,1,33,0,0,0,1,4,0,5,,0,[2],1,"[1,2,3]",
2010034,2,1,道具,3,3933,材料,34,15358,5,1,1,34,0,0,0,1,4,0,5,,0,[2],1,"[1,2,3]",
2040000,2,1,道具,3,3933,自定义,39,4544,6,4,2,,0,0,0,1,4,0,5,,0,[2],1,"[1,2,3]",
2050000,2,1,UI,5,101000,无,0,,0,5,0,,1,0,1,0,5,0,5,,0,"[4,8,2,11]",,,
2061151,2,1,状态,6,34606,有益,61,1151,0,6,1,1151,0,0,0,0,6,0,5,,0,[2],1,"[1,2,4,3]",
2061150,2,1,状态,6,34606,有害,62,1150,1,6,1,1150,0,0,0,0,6,0,5,,0,[2],1,"[1,2,4,3]",
2061152,2,1,状态,6,34606,中立,63,1152,2,6,1,1152,0,0,0,0,6,0,5,,0,[2],1,"[1,2,4,3]",
2070000,2,1,状态,6,34606,自定义,69,4544,3,7,2,,0,0,0,0,6,0,5,,0,[2],1,"[1,2,4,3]",
2090000,2,1,剧情,7,11006,无,0,,0,9,0,,0,0,0,0,8,0,5,,0,[2],1,"[1,2,5,3]",
2100001,2,1,配方,8,1231,装备,81,2136,0,10,1,1,0,0,0,0,10,0,5,,0,[2],1,"[1,2,6]",
2100002,2,1,配方,8,1231,道具,82,2137,1,10,1,2,0,0,0,0,10,0,5,,0,[2],1,"[1,2,6]",
2100003,2,1,配方,8,1231,材料,83,2138,2,10,1,3,0,0,0,0,10,0,5,,0,[2],1,"[1,2,6]",
2100004,2,1,配方,8,1231,建筑,84,2139,3,10,1,4,0,0,0,0,10,0,5,,0,[2],1,"[1,2,6]",
2100005,2,1,配方,8,1231,装饰,85,2140,4,10,1,5,0,0,0,0,10,0,5,,0,[2],1,"[1,2,6]",
2100006,2,1,配方,8,1231,机械,86,2141,5,10,1,6,0,0,0,0,10,0,5,,0,[2],1,"[1,2,6]",
2110000,2,1,配方,8,1231,自定义,89,4544,6,11,2,,0,0,0,0,10,0,5,,0,[2],1,"[1,2,6]",
2120001,2,1,熔炼,9,1230,作物,91,296,0,12,1,1,0,0,0,0,12,0,5,,0,[2],1,"[1,2,7,8]",
2120002,2,1,熔炼,9,1230,工具,92,295,1,12,1,2,0,0,0,0,12,0,5,,0,[2],1,"[1,2,7,8]",
2120003,2,1,熔炼,9,1230,杂物,93,297,2,12,1,3,0,0,0,0,12,0,5,,0,[2],1,"[1,2,7,8]",
2120004,2,1,熔炼,9,1230,方块,94,298,3,12,1,4,0,0,0,0,12,0,5,,0,[2],1,"[1,2,7,8]",
2130000,2,1,熔炼,9,1230,自定义,99,4544,4,13,2,,0,0,0,0,12,0,5,,0,[2],1,"[1,2,7,8]",
2140000,2,1,模组,10,307118,无,0,,0,14,0,,1,0,1,0,14,0,2,,0,"[1,4,6,7,2,3]",,,
2150000,2,1,模型,11,16102,默认分类,0,3462,0,15,0,,0,0,0,1,1,1,"[3,5]",,1,"[1,0,6,7,2]",2,"[1,2,13,14,12,3]",
2160000,2,1,动作,12,16108,默认分类,0,3462,0,16,0,,0,0,0,1,0,1,"[3,4]",,1,"[1,0,6,7,2]",2,"[1,2,14,15,12]",
2170000,2,1,图片,13,16105,无,0,,0,17,0,,0,1,0,0,0,1,5,,1,"[0,2]",1,"[1,2,14,11,16,12]",
2330000,2,1,动效,33,305008,自定义,150,4544,0,33,0,,0,0,0,0,0,1,5,,1,"[1,0,6,7,2]",2,"[1,2,14,12,3]",
2180000,2,1,音频,14,16107,普通音频,101,120111,0,18,0,,0,1,0,0,0,1,5,,0,[2],1,"[1,2,17,14,11,18,12]",
2190000,2,1,音频,14,16107,MIDI音频,102,120112,0,19,0,,0,1,0,0,0,1,5,,0,[2],1,"[1,2,17,14,11,18,12]",
2990000,2,1,蓝图,15,16506,自定义,150,4544,0,99,0,,0,0,0,0,0,0,0,,1,"[0,2]",0,0,
