材料id,材料名,成功产物（11517=红/11518=蓝/11519=黄/11520=绿/11521=紫）,生产时间,生产数量,基础成功率,适配方块类型（竖线隔开）,适配环境修正值（%）,相悖方块类型（竖线隔开）,相悖环境修正值（%）,备注说明
40,虚空晶块,11521,3,1,60,voidHerbSeedBellFlower|voidBellFlower|voidHerbSeedDragonFlower|voidDragonFlower|voidModelStarFlower|voidModelDragonFlower|voidModelYellowFlower|voidModelWhiteFlower|voidModelWinterFlower|voidModelBiAnflower|Voidflowers|voidModelRuolan|voidModelRosebush,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,紫
100,长草土块,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
101,土块,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
104,岩石,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
105,青石,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
106,细黄沙,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
107,碎石堆,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
108,素纹黄砖,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
109,砂土,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
112,黑晶石,11521,7,5,75,voidHerbSeedBellFlower|voidBellFlower|voidHerbSeedDragonFlower|voidDragonFlower|voidModelStarFlower|voidModelDragonFlower|voidModelYellowFlower|voidModelWhiteFlower|voidModelWinterFlower|voidModelBiAnflower|Voidflowers|voidModelRuolan|voidModelRosebush,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,紫
113,脆冰,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
114,淤泥,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
115,松软的雪,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
116,萌眼星石块,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
117,萌眼星草块,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
118,萌眼星云团,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
119,旱土,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
120,冻土,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
122,厚实的雪,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
123,自然冰,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
124,硫黄岩,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
126,魔古岩,11521,4,2,50,voidHerbSeedBellFlower|voidBellFlower|voidHerbSeedDragonFlower|voidDragonFlower|voidModelStarFlower|voidModelDragonFlower|voidModelYellowFlower|voidModelWhiteFlower|voidModelWinterFlower|voidModelBiAnflower|Voidflowers|voidModelRuolan|voidModelRosebush,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,紫
128,红沙,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
130,厚实的雪堆,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
131,坚固的冰,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
132,硫黄晶砂,11517,8,6,60,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
133,空的蜂巢,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
134,满的蜂巢,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
143,破损的石座,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
144,红薇蝶玻璃瓶,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
145,兰青蝶玻璃瓶,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
146,香粉蝶玻璃瓶,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
147,白香蝶玻璃瓶,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
148,龙信蝶玻璃瓶,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
149,舌钟蝶玻璃瓶,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
175,铝矿,11519,5,3,90,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
177,钴矿,11518,7,5,100,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
178,铝块,11519,10,12,100,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
180,钴块,11518,10,20,100,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
200,樱桃木,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
201,落叶松木,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
202,白杨木,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
203,红杉木,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
205,核桃木,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
218,樱桃木树叶,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
219,落叶松树叶,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
220,白杨树叶,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
221,红杉树叶,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
223,核桃树叶,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
224,小草,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
225,枯草,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
226,土笋,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
227,紫苏,11521,3,1,50,voidHerbSeedBellFlower|voidBellFlower|voidHerbSeedDragonFlower|voidDragonFlower|voidModelStarFlower|voidModelDragonFlower|voidModelYellowFlower|voidModelWhiteFlower|voidModelWinterFlower|voidModelBiAnflower|Voidflowers|voidModelRuolan|voidModelRosebush,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,紫
228,独葵,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
229,玉米,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
230,巨布鲁果,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
232,气根,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
233,红土,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
234,水稻,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
236,青瓜,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
237,红杉果,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
238,荆棘草,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
239,巨鳞羽果,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
241,番薯,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
242,仙人掌茎,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
245,水草,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
246,海带,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
247,漂浮的花瓣,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
248,漂浮的木板,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
249,松果,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
250,荷花,11520,4,2,65,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
251,竹子,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
252,竹叶,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
253,竹笋,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
254,桃花木,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
255,桃花树叶,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
256,桃花树苗,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
257,珍木,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
258,珍木树叶,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
259,珍木树苗,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
260,无叶珍木,11519,5,3,54,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
261,星光孢子杆,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
262,苔藓,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
269,荧光彩色草,11517,4,2,65,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
287,无球锯齿蕨,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
288,结球锯齿蕨,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
296,异化巨大椰叶,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
297,异化大椰子,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
298,燃烧的小火炬,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
300,风铃花,11519,4,2,65,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
301,若兰,11517,4,2,65,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
302,星辰花,11518,4,2,65,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
303,龙血花,11517,4,2,65,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
304,风信子,11518,4,2,65,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
305,龙爪草,11521,4,2,65,voidHerbSeedBellFlower|voidBellFlower|voidHerbSeedDragonFlower|voidDragonFlower|voidModelStarFlower|voidModelDragonFlower|voidModelYellowFlower|voidModelWhiteFlower|voidModelWinterFlower|voidModelBiAnflower|Voidflowers|voidModelRuolan|voidModelRosebush,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,紫
306,龙血树,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
307,红色忘忧草,11517,4,2,65,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
308,橙色忘忧草,11517,4,2,65,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
309,灰色忘忧草,11519,4,2,65,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
310,粉色忘忧草,11517,4,2,65,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
311,雪滴花,11519,4,2,65,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
312,黄钟花,11519,4,2,65,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
313,月季,11517,4,2,65,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
314,红藻,11517,4,2,65,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
321,桃花堆,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
322,小花堆,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
323,落叶堆,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
332,粗樱桃木树枝,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
333,细樱桃木树枝,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
334,粗落叶松树枝,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
335,细落叶松树枝,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
336,粗珍木树枝,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
337,细珍木树枝,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
338,粗核桃树树枝,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
339,细核桃树树枝,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
340,粗桃花树树枝,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
341,细桃花树树枝,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
342,粗白杨木树枝,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
