投射物id,名称,攻击类型（0 - 点射，1范围爆炸，2新范围爆炸）,伤害类型(1物理伤害、9元素伤害、4燃烧伤害、5毒素伤害、6混乱伤害、7闪电伤害、8冰冻伤害),攻击力,爆炸范围（新范围爆炸使用）,爆炸范围类型（新范围爆炸使用1全向爆炸 2向上爆炸）,爆炸是否破坏方块（新范围爆炸使用0不破坏方块，1破坏方块）,削刃值,运动类型（0 - 抛物线模型）,重力,重力变化时机（投掷物生成后一段时间）,重力变化量,初始速度,速度衰减（速度=初始速度*（1-速度衰减））,是否可以拾取（0否 1是）,"触发条件（1碰撞Actor，2碰撞Block，3两者皆有, 4出手就触发，5不触发）",触发延迟,触发特效,触发音效（0伤害 1爆炸）,模型,（无效的）碰撞体大小,拖尾特效,Buff,Buff等级,是否开放作为弹药[0=不开放，1=开放],触发器开放[0=不开放 1=开放],可击碎方块,击碎值,穿透上限
11554,攻击,,,,,,,,0,3,,,250,0,0,3,0,item_12287_2,misc.egg_hit,12287,20,mob_3414_4,,,,,,,
11555,击飞,,,,,,,,0,3,,,250,0,0,3,0,item_12287_2,misc.egg_hit,12287,20,mob_3414_4,,,,,,,
11556,召唤,,,,,,,,0,3,,,250,0,0,3,0,item_12287_2,misc.egg_hit,12287,20,mob_3414_4,,,,,,,
11557,加状态,,,,,,,,0,3,,,250,0,0,3,0,item_12287_2,misc.egg_hit,12287,20,mob_3414_4,,,,,,,
11558,发射投掷物,,,,,,,,0,3,,,250,0,0,3,0,item_12287_2,misc.egg_hit,12287,20,mob_3414_4,,,,,,,
11559,治疗,,,,,,,,0,3,,,250,0,0,3,0,item_12287_2,misc.egg_hit,12287,20,mob_3414_4,,,,,,,
11586,平凡法球,0,1,18,,,,,0,1,,,300,0,0,3,0,item_12248_1,,11586,20,item_11585_tail,,,1,1,,,
11587,炽烈法球,0,4,15,,,,,0,1,,,240,0,0,3,0,item_15060_trigger,,11586,100,item_11587_tail,111001,1,1,1,,,
11588,雷电法球,0,7,20,,,,,0,1,,,240,0,0,3,0,item_12248_1,,11586,20,item_11582_tail,,,1,1,,,
11589,淬毒法球,0,5,15,,,,,0,1,,,240,0,0,3,0,item_12248_1,,11586,20,item_11589_tail,112001,1,1,1,,,
11590,复苏法球,0,1,15,,,,,0,1,,,240,0,0,3,0,item_12248_1,,11586,20,item_11590_tail,,,1,1,,,
11592,回旋镖,0,1,100,,,,35,0,0,,,190,0,1,3,0,item_12002_2,misc.bowhit,11592,50,1026,,,1,1,1,,
11595,苔藓球,0,1,0,,,,,0,3,,,250,0,0,3,0,,misc.moss,387,20,,,,1,1,,,
11629,召唤法球,0,1,5,,,,,0,2,,,240,0,0,3,0,item_12248_1,,11629,20,item_11585_tail,,,1,1,,,
11630,剧毒瓶,0,1,1,,,,,0,3,,,190,0,0,3,0,1026,,11630,100,1026,,,1,1,,,
11631,解毒粉包,0,1,0,,,,,0,3,,,200,0,0,3,0,bossblock_jinghua,,11631,100,1026,,,1,1,,,
11636,破损的元素核,0,1,0,,,,,0,1,,,200,0,0,3,0,,,11636,50,1026,,,1,1,,,
11637,熔化剂,0,1,0,,,,,0,1,,,250,0,0,3,0,,,11637,50,1026,,,1,1,,,
11638,音爆罐子,1,1,1,,,,25,0,3,,,190,0,0,3,2,,,11638,100,1026,,,1,1,,,
11651,空气球,0,1,0,,,,,0,3,,,200,0,0,3,0,sea_04_baozha,,12007,100,sea_38_kongqiqiu,,,1,1,,,
11652,海灵守卫-水柱,0,1,30,,,,,0,0,,,100,0,0,3,0,sea_07_shouji,item.11649.airball1,12007,100,sea_06_zidan,,,1,1,,,
11654,彼岸菠萝,0,1,0,,,,,0,3,,,200,0,0,3,0,sea_11_baozha,item.11654.pineappledestory1,11654,100,,,,1,1,,,
11657,发光的荧光棒,0,1,5,,,,,0,5,,,200,0,0,3,0,1024,misc.egg_hit,11656,20,sea_13_glow,,,1,1,,,
11658,耗尽的荧光棒,0,1,5,,,,,0,5,,,200,0,0,3,0,1024,misc.egg_hit,11656,50,1026,,,1,1,,,
11660,大椰子（掉落中）,0,1,10,,,,15,0,10,,,300,0,0,3,0,,,11660,100,1026,1019002,2,,,,,
11661,异化大椰子（掉落中）,0,1,10,,,,15,0,10,,,300,0,0,3,0,,,11660,100,1026,1019002,2,,,1,,
11662,海马水泡,0,1,5,,,,,0,0,,,150,0,0,3,0,sea_26_start,misc.slingshot_hit,12007,10,sea_26_flight,,,,,,,
11663,水母闪电特效,0,1,2,,,,,0,0,,,50,0,0,3,0,sea_23_shuimu,item.15002.hit,12007,100,,,,1,1,,,
11669,冰魄法球,0,8,20,,,,,0,1,,,240,0,0,3,0,ice_bingwushouji_jineng,item.11669.ice_attack,11586,100,ice_faqiu_01,,,1,1,,,
11670,极寒域法球,0,8,0,,,,,0,1,,,240,0,0,3,0,ice_bingwushouji_jineng,item.11669.ice_attack,11586,100,ice_faqiu_02,,,1,1,,,
11671,法阵冰凌,0,8,17,,,,5,0,10,,,300,0,0,3,0,bujiangu,item.32.break,11674,100,item_15059_tail,,,1,1,,,
11672,冰雾瓶,0,8,1,,,,,0,3,,,190,0,0,3,0,,item.11672.ice_brust,11672,100,1026,,,1,1,,,
11673,冰凌（掉落中）,0,8,10,,,,5,0,10,,,300,0,0,3,0,jiangu,item.32.break,11674,100,item_15059_tail,,,1,1,,,
11674,脆冰凌（掉落中）,0,8,10,,,,5,0,10,,,300,0,0,3,0,bujiangu,item.32.break,11674,100,item_15059_tail,,,1,1,,,
12002,石矛,0,1,35,,,,15,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,1,1,,2
12004,黄铜矛,0,1,50,,,,25,0,3,,,190,0,1,3,0,item_12002_2,misc.bowhit,12004,50,1026,,,1,1,1,,2
12013,能量矛,0,1,100,,,,35,0,2,,,240,0,1,3,0,item_12002_2,misc.bowhit,12013,50,mao_Line,,,1,1,1,,999
12006,钩爪头部,,1,20,,,,,0,0,,,250,0,0,3,0,item_15003_2,item.15002.hit,12006,50,item_15003_1,,,1,1,1,,
12007,激光武器,,,20,,,,,0,0,,,250,0,0,3,0,bossskill_3510_laser,item.15002.hit,12007,50,item_15003_1,,,1,1,,,
12008,塞子头部,0,1,1,,,,,0,0,,,180,0,0,3,0,item_12008_1,misc.pulg,12008,50,,,,1,1,,,
12009,核心的激光,0,1,10,,,,,0,0,,,220,0,0,3,0,item_1059_1,,,50,,,,1,1,,,
12015,酸液泡,0,1,0,,,,,0,3,,,150,0,0,3,0,,misc.egg_hit,12015,20,Boss_snake_duwu_tuowei,,,1,1,,,
12018,流星,0,1,5,,,,,0,2,,,150,0,0,3,0,Skill_MagicBullet_Hit_2,misc.magicBullet_hit,void_model,20,Meteor_Trail,,,1,1,1,,
12026,猫猫鱼漂,0,1,0,,,,,0,2,,,200,0,1,3,0,,,12726,50,1026,,,,,,,
12051,石箭,0,1,15,,,,10,0,3,,,280,0,1,3,0,,misc.bowhit,12051,50,1026,,,1,1,1,,
12052,嘟嘟鸟蛋,0,1,0,,,,,0,3,,,250,0,0,3,0,,misc.egg_hit,12052,20,,,,1,1,,,
12053,企鹅蛋,0,1,0,,,,,0,3,,,250,0,0,3,0,,misc.egg_hit,12053,20,,,,1,1,,,
12054,小沙包,0,1,5,,,,,0,3,,,250,0,0,3,0,snowhit,misc.snowball_hit,12054,20,,,,1,1,,,
12057,圣诞小雪球,0,1,0,,,,,0,3,,,250,0,0,3,0,item12057,misc.snowball_hit_christmas,12057,20,,,,1,1,,,
12058,红色福袋,0,1,5,,,,,0,3,,,250,0,0,3,0,item_12058,misc.snowball_hit_christmas,12058,20,,,,1,1,,,
12059,汤圆,0,1,5,,,,,0,3,,,250,0,0,3,0,item_12058,misc.snowball_hit_christmas,12059,20,,8001,3,1,1,,,
12060,紫色福袋,0,1,5,,,,,0,3,,,250,0,0,3,0,item_12058,misc.snowball_hit_christmas,12060,20,,,,1,1,,,
12062,海洋箭,0,1,15,,,,10,0,3,,,280,0,1,3,0,,misc.bowhit,12062,50,1026,,,1,1,1,,
12063,魔鬼鱼叉,0,1,65,,,,30,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12063,50,1026,1017002,1,1,1,1,,
12068,雪球-投掷物,0,1,20,,,,,0,2,,,200,0,0,3,0,snowhit,misc.snowball_hit,12057,100,,45001,1,1,1,,,
12240,小彩蛋,0,1,0,,,,,0,3,,,250,0,0,3,0,item_12248_1,misc.egg_hit,12248,20,item_12248_2,,,1,1,,,
12248,彩蛋,0,1,0,,,,,0,3,,,250,0,0,3,0,item_12248_1,misc.egg_hit,12248,20,item_12248_2,,,1,1,,,
12249,彩弹枪子弹,0,1,0,,,,,0,0,,,1000,0,0,3,0,item_12248_1,,12248,20,item_12248_2,,,1,1,,,
12280,大爆竹,1,1,2,,,,35,0,5,,,125,0,0,4,1.7,,,12280,50,explosive_1,,,1,1,,,
12282,石子,0,1,5,,,,5,0,1,,,300,0,0,3,0,slingshot_hit,misc.slingshot_hit,12282,30,,,,1,1,,,
12285,火箭弹,1,1,4,,,,55,0,3,,,350,0,0,3,0,bazooka_hit,,12285,50,bazooka_1,,,1,1,1,,
12286,金色福袋,0,1,5,,,,,0,3,,,250,0,0,3,0,item_12058,misc.snowball_hit_christmas,12286,20,,,,1,1,,,
12287,泡泡球,0,1,5,,,,,0,3,,,250,0,0,3,0,item_12287_2,misc.egg_hit,12287,20,mob_3414_4,42001,1,1,1,,,
12289,蜂刺飞镖,0,1,10,,,,10,0,1,,,450,0,1,3,0,item_12002_2,misc.egg_hit,12289,20,1026,44001,1,1,1,,,
12290,荧光球,0,1,0,,,,,0,5,,,200,0,0,2,0,item_12287_2,misc.egg_hit,12290,20,mob_3418,,,1,1,,,
12292,脉冲箭,0,1,15,,,,10,0,0,,,220,0,0,3,0,item_12248_1,,12292,50,item_12292_1,,,1,1,1,,
12295,钢珠,0,1,0,,,,,0,0,,,350,0,0,4,3,slingshot_hit,misc.slingshot_hit,12295,30,item_15003_1,,,1,1,,,
12296,桌球,0,1,0,,,,,0,3,,,150,0,0,5,,item_12248_1,item.12296.hit,12296,20,,,,1,1,,,
12297,排球,0,1,0,,,,,0,3,,,300,0,0,5,,item_12248_1,misc.egg_hit,12297,20,,,,1,1,,,
12298,木箱子,0,1,0,,,,,0,3,,,20,0,0,5,,item_12248_1,item.12298.hit,12298,20,,,,1,1,,,
12299,无畏导弹(威震天),0,1,5,,,,,0,0.8,,,300,0,0,3,0,item_12299_1,item.12299.hit,12299,50,item_12299_2,,,,,,,
12300,星星弹,0,1,0,,,,,0,0,,,25,0,0,4,1,horse_3478_callstar_fire,item.12591.hit,12300,30,item_12591_tail,,,,,,,
12308,帝皇炮,0,1,7,,,,,0,0.8,,,300,0,0,3,0,Bomb103,item.12299.hit,15003,50,Shoot103,,,,,,,
12309,能量柱,0,1,7,,,,,0,0.8,,,300,0,0,3,0,item_12299_1,item.12299.hit,15003,50,attack236,,,,,,,
12310,电磁炮,0,1,7,,,,,0,0.8,,,300,0,0,3,0,item_12299_1,item.12299.hit,15003,50,attack236,,,,,,,
12588,变蛋枪子弹,0,1,0,,,,,0,0,,,300,0,0,3,0,item_12588_trigger,item.12587.hit,12588,50,item_12248_2,,,1,1,,,
12590,荧光弹,0,1,5,,,,,0,1,,,300,0,0,3,180,item_12591_trigger,item.12591.hit,12590,30,item_12591_tail,102001,1,1,1,,,
12591,荧光球,0,1,0,,,,,0,3,,,400,0,1,3,60,item_12591_trigger,item.12591.hit,12591,20,item_12591_tail,102001,1,1,1,,,
12619,刺球,0,1,1,,,,,0,3,,,400,0,0,3,180,,item.12591.hit,12619,20,1026,,,,,,,
12620,海盗船掉的箱子,0,1,0,,,,,0,3,,,20,0,0,5,,item_12248_1,item.12298.hit,12620,20,,,,,,,,
12625,冰石,0,1,0,,,,,0,2,,,70,0,0,3,0,item12057,,12625,100,item_15059_tail,45001,1,1,1,,,
12726,普通鱼漂,0,1,0,,,,,0,2,,,200,0,1,3,0,,,12726,50,1026,,,,,,,
12727,角珊瑚鱼漂,0,1,0,,,,,0,2,,,200,0,1,3,0,,,12727,50,1026,,,,,,,
12728,气泡珊瑚鱼漂,0,1,0,,,,,0,2,,,200,0,1,3,0,,,12727,50,1026,,,,,,,
12729,圆盘珊瑚鱼漂,0,1,0,,,,,0,2,,,200,0,1,3,0,,,12727,50,1026,,,,,,,
12730,树珊瑚鱼漂,0,1,0,,,,,0,2,,,200,0,1,3,0,,,12727,50,1026,,,,,,,
12740,飞盘,0,1,5,,,,,0,3,,,115,0,1,3,0,item_12002_2,misc.bowhit,12740,50,1026,,,1,1,1,,
12836,红色新年烟花,0,1,5,,,,,0,1,,,150,0,0,3,0,item_12836,ent.yanhua.blast1,12836,50,bazooka_1,202001,1,1,1,,,
12837,紫色新年烟花,0,1,5,,,,,0,1,,,150,0,0,3,0,item_12837,ent.yanhua.blast2,12837,50,bazooka_1,202001,1,1,1,,,
12838,绿色新年烟花,0,1,5,,,,,0,1,,,150,0,0,3,0,item_12838,ent.yanhua.blast3,12838,50,bazooka_1,202001,1,1,1,,,
12839,草莓导弹,0,1,10,,,,,0,0.8,,,300,0,0,3,0,candy264,item.12299.hit,97509,50,color264,,,,,,,
15003,子弹,0,1,15,,,,5,0,0,,,1000,0,0,3,0,item_15003_2,item.15002.hit,15003,0,item_15003_1,,,1,1,1,,
15007,罐装手雷,1,1,2,,,,35,0,3,,,280,0,0,4,2,,item.15007.hit,15007,50,explosive_1,,,1,1,,,
15008,菠萝手雷,1,1,2,,,,35,0,3,,,280,0,0,4,3,,item.15007.hit,15008,50,explosive_1,,,1,1,,,
15050,投射物-野人投矛手,0,1,0,,,,,0,3,,,190,0,0,3,0,,misc.bowhit,15050,50,1026,,,1,1,1,,
15051,投射物-硫黄弓手,0,1,0,,,,,0,3,,,200,0,0,3,0,,misc.bowhit,12051,50,1028,200001,1,1,1,1,,
15052,投射物-小恶魔,0,1,15,,,,,0,3,,,220,0,0,3,0,3508_lavaball_hit,ent.3508.lavaball_hit,12054,50,3508_lavaball,,,1,1,,,
15053,投射物-野生团子,0,1,0,,,,,0,3,,,280,0,0,3,0,item_12287_2,misc.egg_hit,12054,50,mob_3414_4,42001,3,1,1,,,
15054,投射物-黑龙火球,1,1,4,,,,55,0,0,,,400,0,0,3,0,,,15055,100,3508_lavaball,,,1,1,,,
15055,投射物-黑龙熔岩石柱,0,1,4,,,,55,0,0,,,400,0,0,3,0,,,15055,100,3508_lavaball,,,1,1,,,
15056,投射物-黑龙熔岩球,1,1,4,,,,55,0,0,,,400,0,0,3,0,,,15055,100,3503_lavaball,,,1,1,,,
15057,投射物-黑龙混乱球,1,1,0,,,,,0,0,,,400,0,0,3,0,,,15055,100,3504_chaosball,,,1,1,,,
15058,投射物-小外星人A（炸弹）,1,1,2,,,,35,0,5,,,80,0,0,4,2,item_12002_2,,15058,100,item_15058_tail,,,1,1,,,
15059,投射物-小外星人B（冰锥）,0,1,0,,,,,0,2,,,70,0,0,3,0,item12057,,15059,100,item_15059_tail,45001,1,1,1,,,
15060,投射物-小外星人C（岩浆球）,0,1,0,,,,,0,1,,,60,0,0,3,0,item_15060_trigger,,15060,100,item_15060_tail,,,1,1,,,
15061,投射物-萌眼叮叮（巨型炸弹）,1,1,3,,,,45,0,5,,,80,0,0,4,2,item_12002_2,,15061,100,item_15058_tail,,,1,1,,,
15062,投射物-萌眼咚咚（巨型冰锥）,0,1,0,,,,,0,2,,,70,0,0,3,0,item12057,,15062,100,item_15059_tail,45002,2,1,1,,,
15063,投射物-萌眼当当（巨型岩浆球）,0,1,0,,,,,0,1,,,60,0,0,3,0,item_15060_trigger,,15063,100,item_15060_tail,,,1,1,,,
15064,投射物-萌眼叮咚（冰炸弹）,1,1,2,,,,30,0,5,,,80,0,0,4,2,item_15064_trigger,,15064,100,item_15064_tail,,,1,1,,,
15065,投射物-萌眼叮当（火炸弹）,1,1,2,,,,30,0,5,,,80,0,0,4,2,item_15065_trigger,,15065,100,item_15065_tail,,,1,1,,,
15066,投射物-萌眼咚当（冰火球）,0,1,0,,,,,0,1,,,60,0,0,3,0,item_15060_trigger,,15066,100,item_15066_tail,,,1,1,,,
15067,投射物-萌眼咻咻（重力结晶）,0,1,0,,,,,0,1,,,60,0,0,3,0,item_15067_trigger,,15067,100,item_15067_tail,38003,3,1,1,,,
15068,投射物-混乱弓手,0,1,0,,,,,0,3,,,100,0,0,3,0,,misc.bowhit,12051,50,item_15068_tail,,,1,1,1,,
15069,投射物-远程守卫-石子,0,1,10,,,,5,0,1,,,300,0,0,3,0,slingshot_hit,misc.slingshot_hit,12282,50,,,,,,,,
15070,投射物-远程守卫-石矛,0,1,25,,,,10,0,3,,,280,0,0,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,,,1,,
15071,投射物-远程守卫-箭,0,1,25,,,,10,0,3,,,280,0,0,3,0,,misc.bowhit,12051,50,1026,,,,,1,,
15073,投射物-沙球,0,1,30,,,,15,0,3,,,180,0,0,3,0,,ent.3508.lavaball_hit,15073,100,touzishaqiu,,,1,1,,,
15074,投射物-沙矛,0,1,40,,,,20,0,3,,,180,0,0,3,0,,,15074,100,touzishaqiu,,,1,1,,,
15075,投射物-骆驼口水,0,1,1,,,,5,0,1,,,130,0,0,3,0,koushui,,15075,50,koushui_1,,,1,1,,,
15076,投射物-实心秘银弹,1,1,3,,,,45,0,2,,,220,0,0,3,0,sea_39_baozha,ent.3508.lavaball_hit,15061,100,,,,0,,,,
15077,超级直球,0,1,100,,,,55,0,0,,,100,0,0,3,0,Zombies_ball_jizhong,misc.explode1,,100,Zombies_bangqiu,,,,,,,
15078,蘑晶球,0,1,1,,,,,0,3,,,190,0,0,3,0,1026,,12700,100,1026,,,1,1,,,
15082,星尘箭,0,1,15,,,,10,0,3,,,280,0,1,3,0,Arrow_Orb_Hit,misc.bowhit,15082,50,Purple_Arrow_Orb,2272001,1,1,1,1,,
15505,虚空巨石,0,1,20,,,,10,0,0,,,180,0,0,3,0,,,15505,,boss_10069_hq,,,1,1,,,
15506,圆球爆弹,1,1,3,,,,45,0,5,,,150,0,0,4,2,item_12002_2,,15061,100,item_15058_tail,,,1,1,,,
15507,冰锥,0,8,20,,,,10,0,2,,,220,0,0,3,0,item12057,,15062,100,item_15059_tail,45001,3,1,1,,,
15508,熔岩球,0,4,20,,,,10,0,3,,,180,0,0,3,0,item_15060_trigger,,15063,100,item_15060_tail,,,1,1,,,
15509,萌眼星BOSS-击飞激光,0,1,150,,,,35,0,0,,,350,0,0,3,0,bossskill_lasertailred,item.15002.hit,12007,100,bossskill_3510_laserred,33001,1,1,1,,,
15510,萌眼星BOSS-冰冻激光,0,1,150,,,,35,0,0,,,350,0,0,3,0,bossskill_lasertailblue,item.15002.hit,12007,100,bossskill_3510_laserblue,45001,2,1,1,,,
15511,萌眼星BOSS-爆炸激光,1,1,4,,,,50,0,0,,,300,0,0,3,1,bossskill_lasertailwhite,item.15002.hit,12007,100,bossskill_3510_laserwhite,,,1,1,,,
15512,萌眼星BOSS-岩石海啸,0,1,500,,,,45,0,0,,,200,0,0,3,0,,,15512,300,item_15059_tail,101001,5,1,1,1,,
15513,萌眼星BOSS-蓝色手臂技能,0,1,150,,,,35,0,0,,,250,0,0,3,0,bossskill_3510_laser,,15513,100,item_15059_tail,45001,2,1,1,1,,
15514,萌眼星BOSS-白色手臂技能,1,1,4,,,,50,0,0,,,200,0,0,4,3,bossskill_3510_laser,,15061,100,item_15058_tail,,,1,1,,,
15515,萌眼星BOSS精英怪-蓝色投掷,0,1,0,,,,,0,1,,,100,0,0,3,0,mob_3512_throwready,,15059,100,item_15059_tail,45001,1,1,1,1,,
15516,萌眼星BOSS精英怪-白色投掷,1,1,3,,,,45,0,2,,,100,0,0,4,4,mob_3511_throwready,,15058,100,item_15058_tail,,,1,1,,,
15517,萌眼星BOSS精英怪-蓝色技能,0,1,0,,,,,0,1,,,200,0,0,3,0,mob_3511_throwready,,15062,100,item_15059_tail,45001,1,1,1,1,,
15518,萌眼星BOSS精英怪-白色技能,1,1,4,,,,50,0,2,,,200,0,0,4,4,mob_3511_throwready,,15061,100,item_15058_tail,,,1,1,,,
15519,黑龙熔岩球,0,1,30,,,,10,0,3,,,250,0,0,3,0,3508_lavaball_hit,ent.3508.lavaball_hit,15519,100,3503_lavaball,,,1,1,,,
15520,黑龙混乱球,0,1,0,,,,,0,3,,,250,0,0,3,0,3508_lavaball_hit,ent.3508.lavaball_hit,15520,100,3504_chaosball,,,1,1,,,
15530,物理清除弹,0,1,0,,,,,0,0,,,300,0,0,3,0,item_12248_1,item.12587.hit,15003,50,item_12248_2,,,1,1,,,
15551,新罐装手雷,2,1,500,2,2,,35,0,3,,,280,0,0,4,2,,item.15007.hit,15007,50,explosive_1,,,1,1,,,
15600,羽蛇神投掷物,0,1,65,,,,40,0,0,,,100,0,0,3,0,,,15003,100,Boss_snake_duwu_tuowei,,,,1,,,
15601,机械boss头部火球,0,1,0,,,,40,0,20,,,150,0.1,0,3,0,,,15003,100,,,,,1,,,
15602,机械boss左手钻头,0,1,0,,,,40,0,0,,,75,0,0,3,0,mach_boss_explode,ent.3938.MachBoss_Shoot3,15519,100,mach_boss_drilling,,,,1,,,
15603,机械精英炮兵左手投掷物,0,1,0,,,,40,0,0.3,,,50,0,0,3,0,mach_ranged_explode,ent.3938.MachEliteRanged_Boom,12625,100,mach_ranged_bullet,,,,1,,,
15604,机械精英炮兵回血投掷物,0,1,0,,,,0,0,0.3,,,100,0,0,3,0,,,15003,100,Boss_snake_duwu_tuowei,,,,1,,,
15605,机械小怪发射投掷物,0,1,0,,,,0,0,0.3,,,50,0,0,3,0,100135_explode,ent.3938.MachSmallRanged_Hit,15003,100,100135_bullet,,,,1,,,
15606,投射物-大恶魔,0,1,0,,,,,0,3,,,150,0,0,3,0,,ent.3508.lavaball_hit,15003,50,3508_lavaball,,,1,1,,,
15607,浮空术投掷物,0,1,0,,,,,0,0.3,,,75,0,0,3,0,100135_explode,ent.3938.MachSmallRanged_Hit,void_model,100,magic_fukong_2,,,1,1,,,
15608,烟花术投掷物,0,1,0,,,,,0,0.3,,,75,0,0,3,0,magic_yanhua_2,misc.fireWork_burst,void_model,100,magic_yanhua_1,,,1,1,,,
15609,大小头术投掷物,0,1,0,,,,,0,0.3,,,75,0,0,3,0,,buff.buff_dumpling,void_model,100,magic_fukong_3,,,1,1,,,
15610,法力弹I,0,9,0,,,,,0,0.3,,,75,0,0,3,0,Skill_MagicBullet_Hit_1,misc.magicBullet_hit,void_model,100,Skill_MagicBullet_1,,,1,1,,,
15611,法力弹II,0,9,0,,,,,0,0.3,,,75,0,0,3,0,Skill_MagicBullet_Hit_2,misc.magicBullet_hit,void_model,100,Skill_MagicBullet_2,,,1,1,,,
15612,法力弹III,0,9,0,,,,,0,0.3,,,120,0,0,3,0,Skill_MagicBullet_Hit_2,misc.magicBullet_hit,void_model,100,Skill_MagicBullet_3,,,1,1,,,
15613,自然之球,0,9,0,,,,,0,0,,,10,0,0,3,0,Skill_NatureBall_Fade,misc.magicBullet_hit,void_model,100,,,,0,1,,,
15614,萌兽冲击,0,1,0,,,,,0,0,,,50,0,0,3,0,Skill_Tuanzi_2,misc.magicBullet_hit,void_model,1,,,,0,1,,,
15615,大虚空飞弹,0,9,0,,,,,0,0.1,,,140,0,0,3,0,Skill_BigVoidBall_Boom,newAtkSys.cyclops_bolt_hit,void_model,100,Skill_BigVoidBall_Trail,,,1,1,,,
15616,魔力弹I,0,1,25,,,,,0,0.3,,,75,0,0,3,0,Skill_MagicBullet_Hit_2,misc.magicBullet_hit,void_model,100,Skill_Lighting_Trail,,,,,,,
15617,魔力弹II,0,1,50,,,,,0,0.3,,,75,0,0,3,0,Skill_MagicBullet_Hit_2,misc.magicBullet_hit,void_model,100,Skill_Lighting_Trail,,,,,,,
15618,虚空爆弹,1,1,3,,,,45,0,5,,,150,0,0,4,2,item_12002_2,,15618,100,item_15058_tail,,,1,1,,,
15619,小虚空飞弹,0,9,125,,,,,0,0.1,,,140,0,0,3,0,boss_Loka_huoqiu2,newAtkSys.cyclops_bolt_hit,void_model,100,Skill_VoidBall_Trail,,,1,1,,,
