状态ID,名字,等级,作用时间(秒),"调用Update周期(秒), 0表示不调用","脚本名字:开始Script_Start,结束Script_End,Tick:Script_Tick",作为插件编辑效果[0代表不开放，1150=有害，1151=有益，1152=中立 ],触发器开放[0代表不开放，1=有害效果，2=有益效果，3=中立效果 ],效果库ID1,默认值1（时间需要除以10）,效果库ID2,默认值2,效果库ID3,默认值3,效果库ID4,默认值4,效果库ID5,默认值5,效果库ID6,默认值6,效果库ID7,默认值7,效果库ID8,默认值8,效果库ID9,默认值9,效果库ID10,默认值10,睡觉获取权重,睡觉获取权重生态加成,图标(填图标库ID),特效(填特效库ID),音效(填音效库ID),持续模式（0=无限时间 大于0=有限时间）,优先级（1=覆盖 2=并存）,死亡不清除（1=清除 2=不清除）,主动攻击清除效果（1=清除 2=不清除）,受到伤害清除效果（1=清除 2=不清除）,冷却时间（获取后这段时间内无法再次获得同一个buff，填秒数）（未开发）,冷却说明（描述冷却原因，填stringid）（未开发）,插件编辑模板(不填=不是模板 1=作为模板),属性类型1（废弃）,属性值1（废弃）,属性类型2（废弃）,属性值2（废弃）,属性类型3（废弃）,属性值3（废弃）,属性类型4（废弃）,属性值4（废弃）,属性类型5（废弃）,属性值5（废弃）,描述,图标名字,类型(0有益，1不利，2特殊),状态类型(0-无，1-火，2-变身，3-毒素，4-流血，5-冰，6-冻结),状态类型名称（填stringid）,特效名称,音效类型（0单次1循环）,音效名称,身体模型,中BUFF变第三人称,禁止做一切事,图标缺失,部件放大(将来除以1000等于部件),在buff栏隐藏,备注,标签,预制资源名
4004,疾跑4级,4,600,,,1151,2,1001,100101|75,,,,,,,,,,,,,,,,,,,,,1067,1238,10094,600,1,1,2,2,,,1,MOVE_SPEED,0.75,,,,,,,,,基础速度提高75%。,move_speed_add,0,,,BUFF_SPEED_1,0,buff.buff_speed_1,,0,,,,,,,
5001,速泳1级,1,60,,,,,1001,100103|25,,,,,,,,,,,,,,,,,,,,,1074,1238,10094,60,1,1,2,2,,,,SWIM_SPEED,0.25,,,,,,,,,游泳速度提高25%。,swim_speed_add,0,,,BUFF_SPEED_1,0,buff.buff_speed_1,,0,,,,,,,
5002,速泳2级,2,60,,,,,1001,100103|50,,,,,,,,,,,,,,,,,,,,,1074,1238,10094,60,1,1,2,2,,,,SWIM_SPEED,0.5,,,,,,,,,游泳速度提高50%。,swim_speed_add,0,,,BUFF_SPEED_1,0,buff.buff_speed_1,,0,,,,,,,
5003,速泳3级,3,60,,,,,1001,100103|75,,,,,,,,,,,,,,,,,,,,,1074,1238,10094,60,1,1,2,2,,,,SWIM_SPEED,0.75,,,,,,,,,游泳速度提高75%。,swim_speed_add,0,,,BUFF_SPEED_1,0,buff.buff_speed_1,,0,,,,,,,
6001,跳高高1级,1,60,,,1151,2,1004,4,,,,,,,,,,,,,,,,,,,,,1067,1417,10094,60,1,1,2,2,,,1,JUMP_SPEED,0.4,,,,,,,,,跳跃高度提高,move_speed_add,0,,,jump_speed_add,0,buff.buff_speed_1,,0,,1,,,,,
6002,跳高高2级,2,60,,,1151,2,1004,10,,,,,,,,,,,,,,,,,,,,,1067,1417,10094,60,1,1,2,2,,,1,JUMP_SPEED,1,,,,,,,,,跳跃高度提高,move_speed_add,0,,,jump_speed_add,0,buff.buff_speed_1,,0,,1,,,,,
6003,跳高高3级,3,60,,,1151,2,1004,17,,,,,,,,,,,,,,,,,,,,,1067,1417,10094,60,1,1,2,2,,,1,JUMP_SPEED,1.7,,,,,,,,,跳跃高度提高，小心摔断腿！,move_speed_add,0,,,jump_speed_add,0,buff.buff_speed_1,,0,,1,,,,,
6004,跳高高4级,4,10,,,,,1004,24,,,,,,,,,,,,,,,,,,,,,1067,1417,10094,10,1,1,2,2,,,,,,,,,,,,,,跳跃高度提高，小心摔断腿！,move_speed_add,0,,,jump_speed_add,0,buff.buff_speed_1,,0,,1,,,,,
6005,强化跑酷,1,600,,,1151,2,1001,100101|90,1004,25,,,,,,,,,,,,,,,,,,,1067,1784,10094,600,1,1,2,2,,,1,MOVE_SPEED,0.75,,,,,,,,,基础速度提高90%，跳跃提升25。,move_speed_add,0,,,BUFF_SPEED_1,0,buff.buff_speed_1,,0,,,,,,,
6006,跳高高6级,6,300,,,,,1004,20,,,,,,,,,,,,,,,,,,,,,1067,1417,10094,300,1,1,2,2,,,,,,,,,,,,,,跳跃高度提高，小心摔断腿！,move_speed_add,0,,,jump_speed_add,0,buff.buff_speed_1,,0,,1,,,,,
7001,疯狂挖掘1级,1,45,,,,,1002,25,,,,,,,,,,,,,,,,,,,,,1052,1238,10094,45,1,1,2,2,,,,DIG_SPEED,0.25,,,,,,,,,挖掘速度提高25%。,dig_speed_add,0,,,BUFF_SPEED_1,0,buff.buff_speed_1,,0,,,,,,,
7002,疯狂挖掘2级,2,180,,,,,1002,50,,,,,,,,,,,,,,,,,,,,,1052,1238,10094,180,1,1,2,2,,,,DIG_SPEED,0.5,,,,,,,,,挖掘速度提高50%。,dig_speed_add,0,,,BUFF_SPEED_1,0,buff.buff_speed_1,,0,,,,,,,
7003,疯狂挖掘3级,3,180,,,,,1002,75,,,,,,,,,,,,,,,,,,,,,1052,1238,10094,180,1,1,2,2,,,,DIG_SPEED,0.75,,,,,,,,,挖掘速度提高75%。,dig_speed_add,0,,,BUFF_SPEED_1,0,buff.buff_speed_1,,0,,,,,,,
8001,迟缓1级,1,5,,,1150,1,1001,100101|-25,,,,,,,,,,,,,,,,,,,,,1068,1238,10094,5,1,1,2,2,,,1,MOVE_SPEED,-0.25,,,,,,,,,基础速度降低25%。,move_speed_reduce,1,,,BUFF_SPEED_1,0,buff.buff_speed_1,,0,,,,,,,
8002,迟缓2级,2,5,,,1150,1,1001,100101|-50,,,,,,,,,,,,,,,,,,,,,1068,1238,10094,5,1,1,2,2,,,1,MOVE_SPEED,-0.5,,,,,,,,,基础速度降低50%。,move_speed_reduce,1,,,BUFF_SPEED_1,0,buff.buff_speed_1,,0,,,,,,,
8003,迟缓3级,3,5,,,1150,1,1001,100101|-75,,,,,,,,,,,,,,,,,,,,,1068,1238,10094,5,1,1,2,2,,,1,MOVE_SPEED,-0.75,,,,,,,,,基础速度降低75%。,move_speed_reduce,1,,,BUFF_SPEED_1,0,buff.buff_speed_1,,0,,,,,,,
9001,挖掘疲劳1级,1,60,,,,,1002,-25,,,,,,,,,,,,,,,,,,,,,1053,1225,10078,60,1,1,2,2,,,,DIG_SPEED,-0.25,,,,,,,,,挖掘速度降低25%。,dig_speed_reduce,1,,,BUFF_ATTACK_2,0,buff.buff_attack_1,,0,,,,,,,
9002,挖掘疲劳2级,2,60,,,,,1002,-50,,,,,,,,,,,,,,,,,,,,,1053,1225,10078,60,1,1,2,2,,,,DIG_SPEED,-0.5,,,,,,,,,挖掘速度降低50%。,dig_speed_reduce,1,,,BUFF_ATTACK_2,0,buff.buff_attack_1,,0,,,,,,,
9003,挖掘疲劳3级,3,60,,,,,1002,-75,,,,,,,,,,,,,,,,,,,,,1053,1225,10078,60,1,1,2,2,,,,DIG_SPEED,-0.75,,,,,,,,,挖掘速度降低75%。,dig_speed_reduce,1,,,BUFF_ATTACK_2,0,buff.buff_attack_1,,0,,,,,,,
10001,吸收伤害1级,1,60,,,,,1022,,,,,,,,,,,,,,,,,,,,,,1036,1228,10082,60,1,1,2,2,,,,DAMAGE_ABSORB,2,,,,,,,,,给予2点吸收伤害生命。,damaged_all_add,0,,,BUFF_DAMAGE_ABSORB,0,buff.buff_damage_absorb,,0,,,,,,,
10002,吸收伤害2级,2,60,,,,,1022,,,,,,,,,,,,,,,,,,,,,,1036,1228,10082,60,1,1,2,2,,,,DAMAGE_ABSORB,4,,,,,,,,,给予4点吸收伤害生命。,damaged_all_add,0,,,BUFF_DAMAGE_ABSORB,0,buff.buff_damage_absorb,,0,,,,,,,
10003,吸收伤害3级,3,60,,,,,1022,,,,,,,,,,,,,,,,,,,,,,1036,1228,10082,60,1,1,2,2,,,,DAMAGE_ABSORB,6,,,,,,,,,给予6点吸收伤害生命。,damaged_all_add,0,,,BUFF_DAMAGE_ABSORB,0,buff.buff_damage_absorb,,0,,,,,,,
11001,暴击1级,1,60,,,,,1003,,,,,,,,,,,,,,,,,,,,,,1016,1224,10078,60,1,1,2,2,,,,CRITICAL_HIT,0.25,,,,,,,,,暴击伤害提高25%。,attack_punch_add,0,,,BUFF_ATTACK_1,0,buff.buff_attack_1,,0,,1,,,,,
11002,暴击2级,2,60,,,,,1003,,,,,,,,,,,,,,,,,,,,,,1016,1224,10078,60,1,1,2,2,,,,CRITICAL_HIT,0.5,,,,,,,,,暴击伤害提高50%。,attack_punch_add,0,,,BUFF_ATTACK_1,0,buff.buff_attack_1,,0,,1,,,,,
11003,暴击3级,3,60,,,,,1003,,,,,,,,,,,,,,,,,,,,,,1016,1224,10078,60,1,1,2,2,,,,CRITICAL_HIT,0.75,,,,,,,,,暴击伤害提高75%。,attack_punch_add,0,,,BUFF_ATTACK_1,0,buff.buff_attack_1,,0,,1,,,,,
12001,强力击退1级,1,60,,,1151,2,1013,2,,,,,,,,,,,,,,,,,,,,,1058,1224,10078,60,1,1,2,2,,,1,KNOCK,2,,,,,,,,,击退距离增加2米。,knock,0,,,BUFF_ATTACK_1,0,buff.buff_attack_1,,0,,,,,,,
12002,强力击退2级,2,60,,,1151,2,1013,4,,,,,,,,,,,,,,,,,,,,,1058,1224,10078,60,1,1,2,2,,,1,KNOCK,4,,,,,,,,,击退距离增加4米。,knock,0,,,BUFF_ATTACK_1,0,buff.buff_attack_1,,0,,,,,,,
12003,强力击退3级,3,60,,,1151,2,1013,6,,,,,,,,,,,,,,,,,,,,,1058,1224,10078,60,1,1,2,2,,,1,KNOCK,6,,,,,,,,,击退距离增加6米。,knock,0,,,BUFF_ATTACK_1,0,buff.buff_attack_1,,0,,,,,,,
13001,击退抵抗1级,1,60,,,1151,2,1014,1,,,,,,,,,,,,,,,,,,,,,1059,1229,10081,60,1,1,2,2,,,1,KNOCK_RESIST,1,,,,,,,,,降低被击退距离1米。,knock_resist,0,,,BUFF_DAMAGED_1,0,buff.buff_damaged_1,,0,,,,,,,
13002,击退抵抗2级,2,60,,,1151,2,1014,2,,,,,,,,,,,,,,,,,,,,,1059,1229,10081,60,1,1,2,2,,,1,KNOCK_RESIST,2,,,,,,,,,降低被击退距离2米。,knock_resist,0,,,BUFF_DAMAGED_1,0,buff.buff_damaged_1,,0,,,,,,,
13003,击退抵抗3级,3,60,,,1151,2,1014,3,,,,,,,,,,,,,,,,,,,,,1059,1229,10081,60,1,1,2,2,,,1,KNOCK_RESIST,3,,,,,,,,,降低被击退距离3米。,knock_resist,0,,,BUFF_DAMAGED_1,0,buff.buff_damaged_1,,0,,,,,,,
14001,挖掘幸运1级,1,60,,,,,1012,,,,,,,,,,,,,,,,,,,,,,1060,1235,10087,60,1,1,2,2,,,,LUCK_DIG,0.01,,,,,,,,,获得特殊掉落几率提高1%。,luck_dig,0,,,BUFF_LUCK_1,0,buff.buff_hp_1,,0,,,,,暂时不用,,
14002,挖掘幸运2级,2,60,,,,,1012,,,,,,,,,,,,,,,,,,,,,,1060,1235,10087,60,1,1,2,2,,,,LUCK_DIG,0.02,,,,,,,,,获得特殊掉落几率提高2%。,luck_dig,0,,,BUFF_LUCK_1,0,buff.buff_hp_1,,0,,,,,暂时不用,,
14003,挖掘幸运3级,3,60,,,,,1012,,,,,,,,,,,,,,,,,,,,,,1060,1235,10087,60,1,1,2,2,,,,LUCK_DIG,0.03,,,,,,,,,获得特殊掉落几率提高3%。,luck_dig,0,,,BUFF_LUCK_1,0,buff.buff_hp_1,,0,,,,,暂时不用,,
15001,狩猎幸运1级,1,60,,,,,1012,,,,,,,,,,,,,,,,,,,,,,1061,1235,10087,60,1,1,2,2,,,,LUCK_KILLMOB,0.01,,,,,,,,,获得特殊掉落几率提高1%。,luck_killmob,0,,,BUFF_LUCK_1,0,buff.buff_hp_1,,0,,,,,暂时不用,,
15002,狩猎幸运2级,2,60,,,,,1012,,,,,,,,,,,,,,,,,,,,,,1061,1235,10087,60,1,1,2,2,,,,LUCK_KILLMOB,0.02,,,,,,,,,获得特殊掉落几率提高2%。,luck_killmob,0,,,BUFF_LUCK_1,0,buff.buff_hp_1,,0,,,,,暂时不用,,
15003,狩猎幸运3级,3,60,,,,,1012,,,,,,,,,,,,,,,,,,,,,,1061,1235,10087,60,1,1,2,2,,,,LUCK_KILLMOB,0.03,,,,,,,,,获得特殊掉落几率提高3%。,luck_killmob,0,,,BUFF_LUCK_1,0,buff.buff_hp_1,,0,,,,,暂时不用,,
16001,夜视1级,1,60,,,1151,2,1009,20,,,,,,,,,,,,,,,,,,,,,1077,,10081,60,1,1,2,2,,,1,VIEW_BRIGHT,0.2,,,,,,,,,视野亮度提高20。,view_bright,0,,,,0,buff.buff_damaged_1,,0,,,,,,,
16002,夜视2级,2,60,,,1151,2,1009,40,,,,,,,,,,,,,,,,,,,,,1077,,10081,60,1,1,2,2,,,1,VIEW_BRIGHT,0.4,,,,,,,,,视野亮度提高40。,view_bright,0,,,,0,buff.buff_damaged_1,,0,,,,,,,
16003,夜视3级,3,60,,,1151,2,1009,50,,,,,,,,,,,,,,,,,,,,,1077,,10081,60,1,1,2,2,,,1,VIEW_BRIGHT,0.6,,,,,,,,,视野亮度提高50。,view_bright,0,,,,0,buff.buff_damaged_1,,0,,,,,,,
16004,夜视4级,4,600,,,1151,2,1009,60,,,,,,,,,,,,,,,,,,,,,1077,,10081,600,1,1,2,2,,,1,VIEW_BRIGHT,0.6,,,,,,,,,视野亮度提高60。,view_bright,0,,,,0,buff.buff_damaged_1,,0,,,,,,,
16005,夜视5级,5,60,,,1151,2,1009,50,,,,,,,,,,,,,,,,,,,,,1077,,10081,0,1,1,2,2,,,1,VIEW_BRIGHT,0.6,,,,,,,,,视野亮度提高50。,view_bright,0,,,,0,buff.buff_damaged_1,,0,,,,,,,
17001,强力攻击1级,1,180,,,1151,2,1003,100301|25,,,,,,,,,,,,,,,,,,,,,1016,1224,10078,180,1,1,2,2,,,1,ATTACK_PUNCH,0.25,,,,,,,,,近战伤害提高25%。,attack_punch_add,0,,,BUFF_ATTACK_1,0,buff.buff_attack_1,,0,,,,,,,
17002,强力攻击2级,2,180,,,1151,2,1003,100301|50,,,,,,,,,,,,,,,,,,,,,1016,1224,10078,180,1,1,2,2,,,1,ATTACK_PUNCH,0.5,,,,,,,,,近战伤害提高50%。,attack_punch_add,0,,,BUFF_ATTACK_1,0,buff.buff_attack_1,,0,,,,,,,
17003,强力攻击3级,3,180,,,1151,2,1003,100301|75,,,,,,,,,,,,,,,,,,,,,1016,1224,10078,180,1,1,2,2,,,1,ATTACK_PUNCH,0.75,,,,,,,,,近战伤害提高75%。,attack_punch_add,0,,,BUFF_ATTACK_1,0,buff.buff_attack_1,,0,,,,,,,
18001,强力射击1级,1,180,,,1151,2,1003,100302|25,,,,,,,,,,,,,,,,,,,,,1018,1224,10078,180,1,1,2,2,,,1,ATTACK_RANGE,0.25,,,,,,,,,远程伤害提高25%。,attack_range_add,0,,,BUFF_ATTACK_1,0,buff.buff_attack_1,,0,,,,,,,
18002,强力射击2级,2,180,,,1151,2,1003,100302|50,,,,,,,,,,,,,,,,,,,,,1018,1224,10078,180,1,1,2,2,,,1,ATTACK_RANGE,0.5,,,,,,,,,远程伤害提高50%。,attack_range_add,0,,,BUFF_ATTACK_1,0,buff.buff_attack_1,,0,,,,,,,
18003,强力射击3级,3,180,,,1151,2,1003,100302|75,,,,,,,,,,,,,,,,,,,,,1018,1224,10078,180,1,1,2,2,,,1,ATTACK_RANGE,0.75,,,,,,,,,远程伤害提高75%。,attack_range_add,0,,,BUFF_ATTACK_1,0,buff.buff_attack_1,,0,,,,,,,
19001,强力爆炸1级,1,180,,,1151,2,1003,100303|25,,,,,,,,,,,,,,,,,,,,,1008,1224,10078,180,1,1,2,2,,,1,ATTACK_EXPLODE,0.25,,,,,,,,,爆炸伤害提高25%。,attack_explode_add,0,,,BUFF_ATTACK_1,0,buff.buff_attack_1,,0,,,,,,,
19002,强力爆炸2级,2,180,,,1151,2,1003,100303|50,,,,,,,,,,,,,,,,,,,,,1008,1224,10078,180,1,1,2,2,,,1,ATTACK_EXPLODE,0.5,,,,,,,,,爆炸伤害提高50%。,attack_explode_add,0,,,BUFF_ATTACK_1,0,buff.buff_attack_1,,0,,,,,,,
19003,强力爆炸3级,3,180,,,1151,2,1003,100303|75,,,,,,,,,,,,,,,,,,,,,1008,1224,10078,180,1,1,2,2,,,1,ATTACK_EXPLODE,0.75,,,,,,,,,爆炸伤害提高75%。,attack_explode_add,0,,,BUFF_ATTACK_1,0,buff.buff_attack_1,,0,,,,,,,
20001,火焰攻击1级,1,60,,,,,1003,100304|100,,,,,,,,,,,,,,,,,,,,,1010,1224,10078,60,1,1,2,2,,,,ATTACK_FIRE,1,,,,,,,,,火焰伤害提高100%。,attack_fire_add,0,,,BUFF_ATTACK_1,0,buff.buff_attack_1,,0,,,,,,,
21001,毒素攻击1级,1,60,,,,,1003,100305|100,,,,,,,,,,,,,,,,,,,,,1014,1224,10078,60,1,1,2,2,,,,ATTACK_POISON,1,,,,,,,,,毒素伤害提高100%。,attack_poison_add,0,,,BUFF_ATTACK_1,0,buff.buff_attack_1,,0,,,,,,,
22001,混乱攻击1级,1,60,,,,,1003,100306|100,,,,,,,,,,,,,,,,,,,,,1022,1224,10078,60,1,1,2,2,,,,ATTACK_WITHER,1,,,,,,,,,混乱伤害提高100%。,attack_wither_add,0,,,BUFF_ATTACK_1,0,buff.buff_attack_1,,0,,,,,,,
23001,精英猎手1级,1,180,,,1151,2,1003,100307|25,,,,,,,,,,,,,,,,,,,,,1020,1224,10078,180,1,1,2,2,,,1,ATTACK_UNDEAD,0.25,,,,,,,,,对精英伤害提高25%。,attack_undead_add,0,,,BUFF_ATTACK_1,0,buff.buff_attack_1,,0,,,,,对动物也有加成,,
23002,精英猎手2级,2,180,,,1151,2,1003,100307|50,,,,,,,,,,,,,,,,,,,,,1020,1224,10078,180,1,1,2,2,,,1,ATTACK_UNDEAD,0.5,,,,,,,,,对精英伤害提高50%。,attack_undead_add,0,,,BUFF_ATTACK_1,0,buff.buff_attack_1,,0,,,,,对动物也有加成,,
23003,精英猎手3级,3,180,,,1151,2,1003,100307|75,,,,,,,,,,,,,,,,,,,,,1020,1224,10078,180,1,1,2,2,,,1,ATTACK_UNDEAD,0.75,,,,,,,,,对精英伤害提高75%。,attack_undead_add,0,,,BUFF_ATTACK_1,0,buff.buff_attack_1,,0,,,,,对动物也有加成,,
24001,野兽猎手1级,1,180,,,,,1003,100308|25,,,,,,,,,,,,,,,,,,,,,1006,1224,10078,180,1,1,2,2,,,,ATTACK_ANIMAL,0.25,,,,,,,,,对野兽伤害提高25%。,attack_animal_add,0,,,BUFF_ATTACK_1,0,buff.buff_attack_1,,0,,,,,对动物无效,,
24002,野兽猎手2级,2,180,,,,,1003,100308|50,,,,,,,,,,,,,,,,,,,,,1006,1224,10078,180,1,1,2,2,,,,ATTACK_ANIMAL,0.5,,,,,,,,,对野兽伤害提高50%。,attack_animal_add,0,,,BUFF_ATTACK_1,0,buff.buff_attack_1,,0,,,,,对动物无效,,
24003,野兽猎手3级,3,180,,,,,1003,100308|75,,,,,,,,,,,,,,,,,,,,,1006,1224,10078,180,1,1,2,2,,,,ATTACK_ANIMAL,0.75,,,,,,,,,对野兽伤害提高75%。,attack_animal_add,0,,,BUFF_ATTACK_1,0,buff.buff_attack_1,,0,,,,,对动物无效,,
25001,人类猎手1级,1,180,,,1151,2,1003,100309|25,,,,,,,,,,,,,,,,,,,,,1012,1224,10078,180,1,1,2,2,,,1,ATTACK_PLAYER,0.25,,,,,,,,,对人类伤害提高25%。,attack_player_add,0,,,BUFF_ATTACK_1,0,buff.buff_attack_1,,0,,,,,,,
25002,人类猎手2级,2,180,,,1151,2,1003,100309|50,,,,,,,,,,,,,,,,,,,,,1012,1224,10078,180,1,1,2,2,,,1,ATTACK_PLAYER,0.5,,,,,,,,,对人类伤害提高50%。,attack_player_add,0,,,BUFF_ATTACK_1,0,buff.buff_attack_1,,0,,,,,,,
25003,人类猎手3级,3,180,,,1151,2,1003,100309|75,,,,,,,,,,,,,,,,,,,,,1012,1224,10078,180,1,1,2,2,,,1,ATTACK_PLAYER,0.75,,,,,,,,,对人类伤害提高75%。,attack_player_add,0,,,BUFF_ATTACK_1,0,buff.buff_attack_1,,0,,,,,,,
26001,近战防御1级,1,180,,,1151,2,1010,100401|-25,,,,,,,,,,,,,,,,,,,,,1046,1229,10081,180,1,1,2,2,,,1,DAMAGED_PUNCH,-0.25,,,,,,,,,降低25%受到的近战伤害。,damaged_punch_add,0,,,BUFF_DAMAGED_1,0,buff.buff_damaged_1,,0,,,,,,,
26002,近战防御2级,2,180,,,1151,2,1010,100401|-50,,,,,,,,,,,,,,,,,,,,,1046,1229,10081,180,1,1,2,2,,,1,DAMAGED_PUNCH,-0.5,,,,,,,,,降低50%受到的近战伤害。,damaged_punch_add,0,,,BUFF_DAMAGED_1,0,buff.buff_damaged_1,,0,,,,,,,
26003,近战防御3级,3,180,,,1151,2,1010,100401|-75,,,,,,,,,,,,,,,,,,,,,1046,1229,10081,180,1,1,2,2,,,1,DAMAGED_PUNCH,-0.75,,,,,,,,,降低75%受到的近战伤害。,damaged_punch_add,0,,,BUFF_DAMAGED_1,0,buff.buff_damaged_1,,0,,,,,,,
27001,远程防御1级,1,180,,,1151,2,1010,100402|-25,,,,,,,,,,,,,,,,,,,,,1048,1229,10081,180,1,1,2,2,,,1,DAMAGED_RANGE,-0.25,,,,,,,,,降低25%受到的远程伤害。,damaged_range_add,0,,,BUFF_DAMAGED_1,0,buff.buff_damaged_1,,0,,,,,,,
27002,远程防御2级,2,180,,,1151,2,1010,100402|-50,,,,,,,,,,,,,,,,,,,,,1048,1229,10081,180,1,1,2,2,,,1,DAMAGED_RANGE,-0.5,,,,,,,,,降低50%受到的远程伤害。,damaged_range_add,0,,,BUFF_DAMAGED_1,0,buff.buff_damaged_1,,0,,,,,,,
27003,远程防御3级,3,180,,,1151,2,1010,100402|-75,,,,,,,,,,,,,,,,,,,,,1048,1229,10081,180,1,1,2,2,,,1,DAMAGED_RANGE,-0.75,,,,,,,,,降低75%受到的远程伤害。,damaged_range_add,0,,,BUFF_DAMAGED_1,0,buff.buff_damaged_1,,0,,,,,,,
