序列ID,物品ID,物品名称,系列ID,大类ID,大类名称
166,427,竖格釉面砖,16,2,建筑
167,428,四格釉面砖,16,2,建筑
168,429,不规则釉面砖,16,2,建筑
169,539,象牙白栅栏,17,2,建筑
170,551,粗制石砖围栏,17,2,建筑
171,552,象牙白围栏,17,2,建筑
172,553,木栅栏,17,2,建筑
173,554,铜围栏,17,2,建筑
174,1108,厚秘银板,19,2,建筑
175,1102,镜冰,19,2,建筑
176,1105,星能秘银块,19,2,建筑
177,1109,镂空秘银板,19,2,建筑
178,1103,冰灯,19,2,建筑
179,1106,星能秘银板,19,2,建筑
180,1107,紫线秘银块,19,2,建筑
181,1110,实验室灯,19,2,建筑
182,1101,实验室门,19,2,建筑
183,1104,花纹星能块,19,2,建筑
184,1112,秘银丝网,20,2,建筑
185,1113,竖纹秘银板,20,2,建筑
186,1114,锈秘银板,20,2,建筑
187,1115,条纹锈秘银板,20,2,建筑
188,1116,镂空锈秘银板,20,2,建筑
189,1119,花纹秘银块,20,2,建筑
190,1117,星能锈秘银块,20,2,建筑
191,1118,荧光灯,20,2,建筑
192,1111,锈秘银门,20,2,建筑
193,1120,象牙白旧秘银块,20,2,建筑
194,12589,荧光弹弓,21,3,装备
195,15506,圆球爆弹,21,3,装备
196,15507,冰锥,21,3,装备
197,15508,熔岩球,21,3,装备
198,12291,脉冲弓,22,3,装备
199,15519,黑龙熔岩球,22,3,装备
200,15520,黑龙混乱球,22,3,装备
201,1060,反射镜,22,3,装备
202,1136,雪梅屏风,23,4,节日
203,1137,红烛灯,23,4,节日
204,1145,春节窗花-牛,23,4,节日
205,1747,骆驼雕塑,25,2,建筑
206,1748,敦煌石窟,25,2,建筑
207,1749,敦煌飞天雕塑,25,2,建筑
208,1750,莲花壁画,25,2,建筑
209,1751,飞天女壁画,25,2,建筑
210,1752,九色鹿王壁画,25,2,建筑
211,12301,弦月魔法棒,26,3,装备
212,12302,星翼魔法棒（蓝）,26,3,装备
213,12303,星翼魔法棒（红）,26,3,装备
214,12304,魔仙剑,26,3,装备
215,12305,公主魔法绘本,26,3,装备
216,12306,魔法调色盘（红）,26,3,装备
217,12307,魔法调色盘（黄）,26,3,装备
218,1147,春节窗花-虎,23,4,节日
219,1811,中式椅子,27,1,家具
220,1812,中式桌子,27,1,家具
221,1813,中式木椅,27,1,家具
222,1814,中式火炉,27,1,家具
223,1815,中式柜子,27,1,家具
224,1816,凯蒂猫餐桌,28,1,家具
225,1817,凯蒂猫沙发,28,1,家具
226,1818,凯蒂猫公主床,28,1,家具
227,1819,凯蒂猫衣柜,28,1,家具
228,1820,凯蒂猫公主椅,28,1,家具
229,1821,凯蒂猫留言牌,28,1,家具
230,1822,凯蒂猫字牌,28,1,家具
231,1823,凯蒂猫围栏,28,1,家具
232,1824,凯蒂猫方块,28,1,家具
233,1825,大耳狗餐桌,29,1,家具
234,1826,大耳狗沙发,29,1,家具
235,1827,大耳狗星愿床,29,1,家具
236,1828,大耳狗衣柜,29,1,家具
237,1829,大耳狗椅子,29,1,家具
238,1830,大耳狗留言牌,29,1,家具
239,1831,大耳狗字牌,29,1,家具
240,1832,大耳狗围栏,29,1,家具
241,1833,大耳狗方块,29,1,家具
242,1834,凯蒂猫门,28,1,家具
243,1835,酷洛米餐桌,30,1,家具
244,1836,酷洛米沙发,30,1,家具
245,1837,酷洛米公主床,30,1,家具
246,1838,酷洛米衣柜,30,1,家具
247,1839,酷洛米公主椅,30,1,家具
248,1840,酷洛米留言牌,30,1,家具
249,1841,酷洛米字牌,30,1,家具
250,1842,酷洛米围栏,30,1,家具
251,1843,酷洛米方块,30,1,家具
252,1844,美乐蒂餐桌,31,1,家具
253,1845,美乐蒂沙发,31,1,家具
254,1846,美乐蒂公主床,31,1,家具
255,1847,美乐蒂衣柜,31,1,家具
256,1848,美乐蒂公主椅,31,1,家具
257,1849,美乐蒂留言牌,31,1,家具
258,1850,美乐蒂字牌,31,1,家具
259,1851,美乐蒂围栏,31,1,家具
260,1852,美乐蒂方块,31,1,家具
261,1853,美乐蒂门,31,1,家具
262,1854,大眼蛙方块,32,1,家具
263,1855,大眼蛙字牌,32,1,家具
264,1856,大眼蛙留言牌,32,1,家具
265,1857,大眼蛙围栏,32,1,家具
266,1858,大眼蛙桌子,32,1,家具
267,1859,大眼蛙椅子,32,1,家具
268,1860,大眼蛙沙发,32,1,家具
269,1861,大眼蛙衣柜,32,1,家具
270,1862,大眼蛙床,32,1,家具
271,1863,布丁狗衣柜,33,1,家具
272,1864,布丁狗床,33,1,家具
273,1865,布丁狗沙发,33,1,家具
274,1866,布丁狗桌子,33,1,家具
275,1867,布丁狗椅子,33,1,家具
276,1868,布丁狗门,33,1,家具
277,1869,布丁狗围栏,33,1,家具
278,1870,布丁狗字牌,33,1,家具
279,1871,布丁狗留言牌,33,1,家具
280,1872,布丁狗方块,33,1,家具
281,1874,双子星衣柜,34,1,家具
282,1875,双子星床,34,1,家具
283,1876,双子星沙发,34,1,家具
284,1877,双子星桌子,34,1,家具
285,1878,双子星椅子,34,1,家具
286,1879,双子星门,34,1,家具
287,1880,双子星围栏,34,1,家具
288,1881,双子星字牌,34,1,家具
289,1882,双子星留言牌,34,1,家具
290,1883,双子星方块,34,1,家具
